03_hivemind/num_clients,04_peers/peer_1_samples_per_second,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/global_samples_accumulated,03_hivemind/epoch_s,04_peers/peer_2_samples_accumulated,03_hivemind/overshot_TBS,03_hivemind/epoch_based_sps,03_hivemind/num_peers,03_hivemind/global_epoch,03_hivemind/estimated_current_samples,_step,_timestamp,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,_runtime,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos
0,640.17,16448.0,951.3469873206878,2.0,2.0,0.0,15.52,1504,22.642494420986623,352.0,2.0,726.4217313775669,2,2,1617,45,1680690013.0,0.0,32864.0,97,6.21,762.66,160.0,951.3469873206878,0.0,0.0
0,283.67,,1351.1991956015572,2.0,2.0,0.0,9.68,3136,,1152.0,,,2,2,3308,46,1680690014.0,,,98,3.87,667.68,352.0,1351.1991956015572,,0.0
0,654.7,,1411.5600228520382,2.0,2.0,0.0,8.08,4800,,1952.0,,,2,2,4980,47,1680690015.0,,,99,3.23,696.5,1184.0,1411.5600228520382,,0.0
0,699.33,,1376.6682645263822,2.0,2.0,0.0,7.1,6464,,2784.0,,,2,2,6609,48,1680690016.0,,,100,2.84,712.23,2016.0,1376.6682645263822,,0.0
0,671.5,,1394.9262529219625,2.0,2.0,0.0,5.83,8096,,3616.0,,,2,2,8248,49,1680690017.0,,,101,2.33,705.16,2848.0,1394.9262529219625,,0.0
0,681.64,,1199.1316365315683,2.0,2.0,0.0,5.79,9312,,4416.0,,,2,2,9445,50,1680690019.0,,,103,2.31,713.28,3680.0,1199.1316365315683,,0.0
0,728.61,,1413.9612671529621,2.0,2.0,0.0,3.7,10976,,4800.0,,,2,2,11147,51,1680690020.0,,,104,1.48,470.52,4512.0,1413.9612671529621,,0.0
0,762.5,,1003.0111859789872,2.0,2.0,0.0,4.03,12224,,5600.0,,,2,2,12344,52,1680690021.0,,,105,1.61,651.46,5376.0,1003.0111859789872,,0.0
0,708.56,,1320.0305097264923,2.0,2.0,0.0,1.81,13856,,5984.0,,,2,2,13990,53,1680690022.0,,,106,0.73,294.45,6240.0,1320.0305097264923,,0.0
0,683.69,,1422.3165991766837,2.0,2.0,0.0,0.49,15520,,6784.0,,,2,2,15690,54,1680690023.0,,,107,0.5,636.34,7072.0,1422.3165991766837,,0.0
0,720.67,,1435.1215965140234,2.0,2.0,0.0,0.0,16416,,7648.0,,,2,2,17410,55,1680690025.0,,,109,0.5,701.64,7872.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,2.0,2.0,0.0,0.0,16416,,8096.0,,,2,2,19119,56,1680690026.0,,,110,0.5,709.93,8320.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,2.0,2.0,0.0,0.0,16416,,8096.0,,,2,2,20823,57,1680690027.0,,,111,0.5,709.93,8320.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,2.0,2.0,0.0,0.0,16416,,8096.0,,,2,2,22536,58,1680690028.0,,,112,0.5,709.93,8320.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,2.0,2.0,0.0,0.0,16416,,8096.0,,,2,2,24233,59,1680690029.0,,,113,0.5,709.93,8320.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,2.0,2.0,0.0,0.0,16416,,8096.0,,,2,2,25943,60,1680690031.0,,,115,0.5,709.93,8320.0,1435.1215965140234,,0.0
0,725.2,,1435.1215965140234,2.0,2.0,0.0,0.0,16416,,8096.0,,,2,2,27648,61,1680690032.0,,,116,0.5,709.93,8320.0,1435.1215965140234,,0.0
