03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_5_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_5_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_6_samples_accumulated,04_peers/peer_6_samples_per_second,04_peers/peer_6_epoch,04_peers/peer_6_epoch_oos,04_peers/peer_7_epoch,04_peers/peer_7_samples_per_second,04_peers/peer_7_samples_accumulated,04_peers/peer_8_samples_per_second,04_peers/peer_7_epoch_oos,04_peers/peer_8_samples_accumulated,04_peers/peer_8_epoch,04_peers/peer_8_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
6884,6471.696821429714,8,5920,24,4.0,112,3,2.91,6471.696821429714,1683052672,0,4192.0,4288.0,2.0,2.0,0.0,833.35,829.19,0.0,819.54,835.4,4224.0,0.0,2.0,2.0,4224.0,838.16,4288.0,2.0,0.0,0.0,4256.0,836.82,2.0,0.0,2.0,756.24,3680.0,802.44,0.0,3744.0,2.0,0.0,,,,,,,
16138,6573.249430473094,8,15136,25,2.53,114,3,1.84,6573.249430473094,1683052674,0,704.0,768.0,3.0,3.0,0.0,818.97,818.67,0.0,825.7,813.37,768.0,0.0,3.0,3.0,736.0,827.39,800.0,3.0,0.0,0.0,800.0,817.33,3.0,0.0,3.0,780.21,704.0,770.05,0.0,640.0,3.0,0.0,9.991791347041726,0.0,106720.0,32896.0,0.0,3292.3025368959024,3.0
25324,6506.640470736972,8,24352,26,1.14,115,3,0.83,6506.640470736972,1683052675,0,1856.0,1952.0,3.0,3.0,0.0,843.44,817.89,0.0,828.57,821.54,1920.0,0.0,3.0,3.0,1920.0,826.72,1952.0,3.0,0.0,0.0,1952.0,825.84,3.0,0.0,3.0,806.97,1824.0,802.29,0.0,1760.0,3.0,0.0,,,,,,,
34473,6467.636090414346,8,32928,27,0.0,117,3,0.5,6467.636090414346,1683052677,0,2944.0,3072.0,3.0,3.0,0.0,782.61,797.38,0.0,819.53,833.05,3104.0,0.0,3.0,3.0,3072.0,832.14,3136.0,3.0,0.0,0.0,3136.0,838.52,3.0,0.0,3.0,802.09,2976.0,801.31,0.0,2912.0,3.0,0.0,,,,,,,
43628,6467.636090414346,8,32928,28,0.0,118,3,0.5,6467.636090414346,1683052678,0,4032.0,4160.0,3.0,3.0,0.0,840.51,808.75,0.0,836.94,798.15,4160.0,0.0,3.0,3.0,4192.0,830.7,4224.0,3.0,0.0,0.0,4224.0,837.01,3.0,0.0,3.0,737.72,3968.0,777.85,0.0,3968.0,3.0,0.0,,,,,,,
52750,6467.636090414346,8,32928,29,0.0,119,3,0.5,6467.636090414346,1683052679,0,4032.0,4160.0,3.0,3.0,0.0,840.51,808.75,0.0,836.94,798.15,4160.0,0.0,3.0,3.0,4192.0,830.7,4224.0,3.0,0.0,0.0,4224.0,837.01,3.0,0.0,3.0,737.72,3968.0,777.85,0.0,3968.0,3.0,0.0,,,,,,,
61944,6467.636090414346,8,32928,30,0.0,121,3,0.5,6467.636090414346,1683052681,0,4032.0,4160.0,3.0,3.0,0.0,840.51,808.75,0.0,836.94,798.15,4160.0,0.0,3.0,3.0,4192.0,830.7,4224.0,3.0,0.0,0.0,4224.0,837.01,3.0,0.0,3.0,737.72,3968.0,777.85,0.0,3968.0,3.0,0.0,,,,,,,
11273,6467.636090414346,8,0,31,3.32,122,4,2.42,6467.636090414346,1683052682,0,4032.0,4160.0,3.0,3.0,0.0,840.51,808.75,0.0,836.94,798.15,4160.0,0.0,3.0,3.0,4192.0,830.7,4224.0,3.0,0.0,0.0,4224.0,837.01,3.0,0.0,3.0,737.72,3968.0,777.85,0.0,3968.0,3.0,0.0,,,,,,,
20368,6467.636090414346,8,0,32,1.92,124,4,1.39,6467.636090414346,1683052684,0,0.0,0.0,4.0,4.0,0.0,840.51,808.75,0.0,836.94,798.15,0.0,0.0,4.0,4.0,0.0,830.7,0.0,4.0,0.0,0.0,0.0,837.01,4.0,0.0,4.0,737.72,0.0,777.85,0.0,0.0,4.0,0.0,9.88782646227628,0.0,139648.0,32928.0,0.0,3330.155532727628,4.0
29462,6467.636090414346,8,0,33,0.51,125,4,0.5,6467.636090414346,1683052685,0,0.0,0.0,4.0,4.0,0.0,840.51,808.75,0.0,836.94,798.15,0.0,0.0,4.0,4.0,0.0,830.7,0.0,4.0,0.0,0.0,0.0,837.01,4.0,0.0,4.0,737.72,0.0,777.85,0.0,0.0,4.0,0.0,,,,,,,
