03_hivemind/epoch_s,04_peers/peer_2_epoch,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/overshot_TBS,04_peers/peer_1_samples_accumulated,03_hivemind/global_samples_accumulated,03_hivemind/num_peers,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,03_hivemind/total_training_samples,03_hivemind/estimated_current_samples,04_peers/peer_1_epoch,03_hivemind/global_epoch,03_hivemind/undershot_TBS,04_peers/peer_1_samples_per_second,03_hivemind/optimistic_total_samples_per_second,_runtime,03_hivemind/epoch_based_sps,03_hivemind/next_fetch_time_s,03_hivemind/per_epoch_training_samples,_step,03_hivemind/num_clients,04_peers/peer_2_epoch_oos
,1.0,8.05,252.8,5792.0,503.52850043211663,1680690751.0,,5888.0,12256,2,,0.0,,12333,1.0,1,,250.57,503.52850043211663,122,,3.22,,61,0,0.0
,1.0,6.85,252.88,6080.0,503.7724247345932,1680690753.0,,6176.0,12832,2,,0.0,,12935,1.0,1,,250.65,503.7724247345932,124,,2.74,,62,0,0.0
,1.0,5.65,252.69,6368.0,503.58827331734534,1680690754.0,,6464.0,13472,2,,0.0,,13536,1.0,1,,251.09,503.58827331734534,125,,2.26,,63,0,0.0
,1.0,4.47,252.45,6688.0,503.5026634804598,1680690755.0,,6784.0,14048,2,,0.0,,14135,1.0,1,,251.14,503.5026634804598,126,,1.79,,64,0,0.0
,1.0,3.27,252.46,6976.0,503.75863490212305,1680690756.0,,7072.0,14656,2,,0.0,,14737,1.0,1,,251.04,503.75863490212305,127,,1.31,,65,0,0.0
,1.0,2.09,252.47,7296.0,503.2537540433442,1680690757.0,,7360.0,15264,2,,0.0,,15334,1.0,1,,251.29,503.2537540433442,128,,0.83,,66,0,0.0
,1.0,0.9,252.3,7584.0,503.2127220894945,1680690759.0,,7680.0,15840,2,,0.0,,15932,1.0,1,,250.95,503.2127220894945,130,,0.5,,67,0,0.0
,1.0,0.0,252.43,7872.0,503.00859449550376,1680690760.0,,7968.0,16416,2,,0.0,,16531,1.0,1,,250.79,503.00859449550376,131,,0.5,,68,0,0.0
,1.0,0.0,252.01,8160.0,503.00859449550376,1680690761.0,,8256.0,16416,2,,0.0,,17133,1.0,1,,251.0,503.00859449550376,132,,0.5,,69,0,0.0
,1.0,0.0,252.01,8160.0,503.00859449550376,1680690762.0,,8256.0,16416,2,,0.0,,17731,1.0,1,,251.0,503.00859449550376,133,,0.5,,70,0,0.0
,1.0,0.0,252.01,8160.0,503.00859449550376,1680690763.0,,8256.0,16416,2,,0.0,,18331,1.0,1,,251.0,503.00859449550376,134,,0.5,,71,0,0.0
,1.0,0.0,252.01,8160.0,503.00859449550376,1680690765.0,,8256.0,16416,2,,0.0,,18930,1.0,1,,251.0,503.00859449550376,136,,0.5,,72,0,0.0
,1.0,0.0,252.01,8160.0,503.00859449550376,1680690766.0,,8256.0,16416,2,,0.0,,19532,1.0,1,,251.0,503.00859449550376,137,,0.5,,73,0,0.0
,1.0,0.0,252.01,8160.0,503.00859449550376,1680690767.0,,8256.0,16416,2,,0.0,,20128,1.0,1,,251.0,503.00859449550376,138,,0.5,,74,0,0.0
,1.0,0.0,252.01,8160.0,503.00859449550376,1680690768.0,,8256.0,16416,2,,0.0,,20728,1.0,1,,251.0,503.00859449550376,139,,0.5,,75,0,0.0
,1.0,0.0,252.01,8160.0,503.00859449550376,1680690769.0,,8256.0,16416,2,,0.0,,21324,1.0,1,,251.0,503.00859449550376,140,,0.5,,76,0,0.0
,1.0,0.0,252.01,8160.0,503.00859449550376,1680690770.0,,8256.0,16416,2,,0.0,,21924,1.0,1,,251.0,503.00859449550376,141,,0.5,,77,0,0.0
,1.0,34.14,252.01,8160.0,464.5690647357582,1680690772.0,,8256.0,448,2,,0.0,,524,1.0,2,,251.0,464.5690647357582,143,,10.0,,78,0,0.0
45.22595479385927,2.0,36.42,231.72,224.0,423.06684885227827,1680690773.0,2.0,224.0,896,2,0.0,0.0,32864.0,974,2.0,2,0.0,232.85,423.06684885227827,144,362.97741141838634,10.0,16416.0,79,0,0.0
,2.0,31.69,244.3,512.0,467.1065802895972,1680690774.0,,384.0,1504,2,,0.0,,1583,2.0,2,,178.77,467.1065802895972,145,,10.0,,80,0,0.0
,2.0,28.98,249.91,832.0,489.8290700102233,1680690775.0,,672.0,2112,2,,0.0,,2189,2.0,2,,217.19,489.8290700102233,146,,10.0,,81,0,0.0
,2.0,27.28,251.74,1120.0,498.27517486072816,1680690776.0,,992.0,2720,2,,0.0,,2790,2.0,2,,238.09,498.27517486072816,147,,10.0,,82,0,0.0
,2.0,25.91,252.23,1440.0,501.6016804191943,1680690778.0,,1280.0,3328,2,,0.0,,3389,2.0,2,,246.05,501.6016804191943,149,,10.0,,83,0,0.0
,2.0,24.67,252.54,1728.0,502.536946163474,1680690779.0,,1600.0,3808,2,,0.0,,3987,2.0,2,,249.06,502.536946163474,150,,9.87,,84,0,0.0
,2.0,30.62,252.62,2016.0,395.4012700506119,1680690780.0,,1792.0,4224,2,,0.0,,4275,2.0,2,,249.92,395.4012700506119,151,,10.0,,85,0,0.0
,2.0,25.78,252.46,2336.0,446.35843426357076,1680690781.0,,1888.0,4800,2,,0.0,,4879,2.0,2,,142.94,446.35843426357076,152,,10.0,,86,0,0.0
,2.0,25.28,252.27,2624.0,434.36252892859346,1680690782.0,,2176.0,5344,2,,0.0,,5405,2.0,2,,194.09,434.36252892859346,153,,10.0,,87,0,0.0
,2.0,21.8,206.79,2848.0,475.8097237522458,1680690784.0,,2496.0,5952,2,,0.0,,6012,2.0,2,,227.57,475.8097237522458,155,,8.72,,88,0,0.0
,2.0,19.87,234.33,3168.0,491.6939397605604,1680690785.0,,2784.0,6528,2,,0.0,,6613,2.0,2,,241.48,491.6939397605604,156,,7.95,,89,0,0.0
,2.0,18.47,244.61,3456.0,496.84242859537756,1680690786.0,,3072.0,7104,2,,0.0,,7208,2.0,2,,247.08,496.84242859537756,157,,7.39,,90,0,0.0
,2.0,17.14,249.2,3744.0,500.56375079446104,1680690787.0,,3360.0,7744,2,,0.0,,7806,2.0,2,,247.64,500.56375079446104,158,,6.85,,91,0,0.0
,2.0,15.9,250.77,4064.0,501.87689674056446,1680690788.0,,3680.0,8288,2,,0.0,,8404,2.0,2,,249.79,501.87689674056446,159,,6.36,,92,0,0.0
,2.0,15.64,251.1,4320.0,477.3263424318517,1680690790.0,,3968.0,8832,2,,0.0,,8921,2.0,2,,250.78,477.3263424318517,161,,6.25,,93,0,0.0
,2.0,13.91,226.35,4576.0,493.1791203334086,1680690791.0,,4256.0,9472,2,,0.0,,9523,2.0,2,,250.97,493.1791203334086,162,,5.56,,94,0,0.0
,2.0,12.57,242.19,4896.0,498.27018290393517,1680690792.0,,4576.0,10048,2,,0.0,,10120,2.0,2,,250.98,498.27018290393517,163,,5.03,,95,0,0.0
,2.0,11.31,247.61,5184.0,500.92175963299064,1680690793.0,,4864.0,10624,2,,0.0,,10719,2.0,2,,250.66,500.92175963299064,164,,4.52,,96,0,0.0
,2.0,10.1,249.97,5472.0,501.88047848114763,1680690794.0,,5152.0,11264,2,,0.0,,11316,2.0,2,,250.95,501.88047848114763,165,,4.04,,97,0,0.0
,2.0,8.91,251.03,5792.0,501.91236057973106,1680690795.0,,5472.0,11840,2,,0.0,,11913,2.0,2,,250.86,501.91236057973106,166,,3.56,,98,0,0.0
,2.0,7.72,251.27,6080.0,501.7168595153503,1680690797.0,,5760.0,12416,2,,0.0,,12510,2.0,2,,250.65,501.7168595153503,168,,3.09,,99,0,0.0
,2.0,6.53,251.37,6368.0,501.6989497733498,1680690798.0,,6048.0,13056,2,,0.0,,13107,2.0,2,,250.35,501.6989497733498,169,,2.61,,100,0,0.0
,2.0,5.34,251.38,6688.0,502.02958292103375,1680690799.0,,6368.0,13632,2,,0.0,,13704,2.0,2,,250.32,502.02958292103375,170,,2.13,,101,0,0.0
,2.0,4.26,251.12,6976.0,492.74559962013296,1680690800.0,,6656.0,14208,2,,0.0,,14283,2.0,2,,250.91,492.74559962013296,171,,1.71,,102,0,0.0
,2.0,3.02,251.27,7264.0,497.91162447435204,1680690801.0,,6944.0,14816,2,,0.0,,14879,2.0,2,,241.48,497.91162447435204,172,,1.21,,103,0,0.0
,2.0,1.82,251.32,7584.0,500.15946164602644,1680690803.0,,7232.0,15392,2,,0.0,,15474,2.0,2,,246.59,500.15946164602644,174,,0.73,,104,0,0.0
,2.0,0.67,251.1,7872.0,492.4318016699484,1680690804.0,,7520.0,16000,2,,0.0,,16056,2.0,2,,249.06,492.4318016699484,175,,0.5,,105,0,0.0
,2.0,0.0,242.5,8160.0,496.5594327738313,1680690805.0,,7840.0,16416,2,,0.0,,16650,2.0,2,,249.93,496.5594327738313,176,,0.5,,106,0,0.0
,2.0,0.0,246.47,8384.0,496.5594327738313,1680690806.0,,8032.0,16416,2,,0.0,,17240,2.0,2,,250.09,496.5594327738313,177,,0.5,,107,0,0.0
,2.0,0.0,246.47,8384.0,496.5594327738313,1680690807.0,,8032.0,16416,2,,0.0,,17830,2.0,2,,250.09,496.5594327738313,178,,0.5,,108,0,0.0
,2.0,0.0,246.47,8384.0,496.5594327738313,1680690809.0,,8032.0,16416,2,,0.0,,18420,2.0,2,,250.09,496.5594327738313,180,,0.5,,109,0,0.0
,2.0,0.0,246.47,8384.0,496.5594327738313,1680690810.0,,8032.0,16416,2,,0.0,,19011,2.0,2,,250.09,496.5594327738313,181,,0.5,,110,0,0.0
,2.0,0.0,246.47,8384.0,496.5594327738313,1680690811.0,,8032.0,16416,2,,0.0,,19598,2.0,2,,250.09,496.5594327738313,182,,0.5,,111,0,0.0
,2.0,0.0,246.47,8384.0,496.5594327738313,1680690812.0,,8032.0,16416,2,,0.0,,20190,2.0,2,,250.09,496.5594327738313,183,,0.5,,112,0,0.0
