03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_5_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_5_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_6_samples_accumulated,04_peers/peer_6_samples_per_second,04_peers/peer_6_epoch,04_peers/peer_6_epoch_oos,04_peers/peer_7_epoch,04_peers/peer_7_samples_per_second,04_peers/peer_7_samples_accumulated,04_peers/peer_8_samples_per_second,04_peers/peer_7_epoch_oos,04_peers/peer_8_samples_accumulated,04_peers/peer_8_epoch,04_peers/peer_8_epoch_oos,04_peers/peer_9_epoch,04_peers/peer_9_samples_accumulated,04_peers/peer_9_samples_per_second,04_peers/peer_9_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
24425,838.1784021142669,9,23968,21,9.95,107,0,7.47,838.1784021142669,1683053945,0,3104.0,94.66,2976.0,93.52,3072.0,0.0,0.0,0.0,0.0,0.0,3104.0,0.0,94.7,94.59,0.0,0.0,93.74,2560.0,0.0,0.0,2304.0,92.0,0.0,0.0,0.0,94.09,2080.0,93.42,0.0,2048.0,0.0,0.0,0.0,1536.0,86.56,0.0,,,,,,,
25605,838.8463072454092,9,25056,22,8.54,108,0,6.4,838.8463072454092,1683053946,0,3264.0,94.53,3104.0,93.44,3200.0,0.0,0.0,0.0,0.0,0.0,3232.0,0.0,94.8,94.39,0.0,0.0,93.84,2688.0,0.0,0.0,2432.0,92.45,0.0,0.0,0.0,94.18,2208.0,93.35,0.0,2208.0,0.0,0.0,0.0,1632.0,87.19,0.0,,,,,,,
26782,839.1973955793262,9,26240,23,7.13,110,0,5.35,839.1973955793262,1683053948,0,3360.0,94.47,3232.0,93.38,3328.0,0.0,0.0,0.0,0.0,0.0,3360.0,0.0,94.85,94.31,0.0,0.0,93.92,2816.0,0.0,0.0,2560.0,92.71,0.0,0.0,0.0,94.24,2336.0,93.38,0.0,2304.0,0.0,0.0,0.0,1760.0,87.58,0.0,,,,,,,
27967,839.6154544616987,9,27552,24,5.72,111,0,4.29,839.6154544616987,1683053949,0,3520.0,94.37,3360.0,93.37,3456.0,0.0,0.0,0.0,0.0,0.0,3488.0,0.0,94.84,94.24,0.0,0.0,93.88,2944.0,0.0,0.0,2688.0,92.84,0.0,0.0,0.0,94.4,2464.0,93.37,0.0,2432.0,0.0,0.0,0.0,1888.0,87.88,0.0,,,,,,,
29147,839.646275508044,9,28704,25,4.31,113,0,3.23,839.646275508044,1683053951,0,3648.0,94.28,3520.0,93.25,3584.0,0.0,0.0,0.0,0.0,0.0,3648.0,0.0,94.82,94.23,0.0,0.0,93.92,3072.0,0.0,0.0,2848.0,92.95,0.0,0.0,0.0,94.42,2624.0,93.66,0.0,2592.0,0.0,0.0,0.0,2016.0,88.09,0.0,,,,,,,
30328,839.4369653369681,9,29888,26,2.91,114,0,2.18,839.4369653369681,1683053952,0,3776.0,94.25,3648.0,93.14,3712.0,0.0,0.0,0.0,0.0,0.0,3776.0,0.0,94.72,94.21,0.0,0.0,94.0,3200.0,0.0,0.0,2976.0,92.92,0.0,0.0,0.0,94.37,2752.0,93.8,0.0,2720.0,0.0,0.0,0.0,2144.0,88.23,0.0,,,,,,,
31504,839.1826802600685,9,30976,27,1.51,115,0,1.13,839.1826802600685,1683053953,0,3904.0,94.2,3776.0,93.08,3840.0,0.0,0.0,0.0,0.0,0.0,3904.0,0.0,94.62,94.18,0.0,0.0,94.04,3360.0,0.0,0.0,3104.0,92.92,0.0,0.0,0.0,94.33,2880.0,93.9,0.0,2848.0,0.0,0.0,0.0,2272.0,88.16,0.0,,,,,,,
32683,838.5803302953049,9,32224,28,0.1,117,0,0.5,838.5803302953049,1683053955,0,4032.0,94.16,3904.0,92.98,3968.0,0.0,0.0,0.0,0.0,0.0,4032.0,0.0,94.56,94.14,0.0,0.0,94.07,3456.0,0.0,0.0,3232.0,92.89,0.0,0.0,0.0,94.28,3008.0,93.94,0.0,2976.0,0.0,0.0,0.0,2368.0,88.16,0.0,,,,,,,
33859,838.4530089595286,9,32896,29,0.0,118,0,0.5,838.4530089595286,1683053956,0,4160.0,94.13,4032.0,92.9,4128.0,0.0,0.0,0.0,0.0,0.0,4160.0,0.0,94.58,94.14,0.0,0.0,94.05,3616.0,0.0,0.0,3360.0,92.84,0.0,0.0,0.0,94.23,3136.0,93.81,0.0,3104.0,0.0,0.0,0.0,2528.0,87.9,0.0,,,,,,,
35039,838.4530089595286,9,32896,30,0.0,120,0,0.5,838.4530089595286,1683053958,0,4256.0,94.07,4128.0,92.93,4192.0,0.0,0.0,0.0,0.0,0.0,4224.0,0.0,94.63,94.18,0.0,0.0,94.04,3680.0,0.0,0.0,3424.0,92.86,0.0,0.0,0.0,94.2,3200.0,93.69,0.0,3200.0,0.0,0.0,0.0,2592.0,87.87,0.0,,,,,,,
36215,838.4530089595286,9,32896,31,0.0,121,0,0.5,838.4530089595286,1683053959,0,4256.0,94.07,4128.0,92.93,4192.0,0.0,0.0,0.0,0.0,0.0,4224.0,0.0,94.63,94.18,0.0,0.0,94.04,3680.0,0.0,0.0,3424.0,92.86,0.0,0.0,0.0,94.2,3200.0,93.69,0.0,3200.0,0.0,0.0,0.0,2592.0,87.87,0.0,,,,,,,
37431,838.4530089595286,9,32896,32,0.0,123,0,0.5,838.4530089595286,1683053961,0,4256.0,94.07,4128.0,92.93,4192.0,0.0,0.0,0.0,0.0,0.0,4224.0,0.0,94.63,94.18,0.0,0.0,94.04,3680.0,0.0,0.0,3424.0,92.86,0.0,0.0,0.0,94.2,3200.0,93.69,0.0,3200.0,0.0,0.0,0.0,2592.0,87.87,0.0,,,,,,,
38613,838.4530089595286,9,32896,33,0.0,124,0,0.5,838.4530089595286,1683053962,0,4256.0,94.07,4128.0,92.93,4192.0,0.0,0.0,0.0,0.0,0.0,4224.0,0.0,94.63,94.18,0.0,0.0,94.04,3680.0,0.0,0.0,3424.0,92.86,0.0,0.0,0.0,94.2,3200.0,93.69,0.0,3200.0,0.0,0.0,0.0,2592.0,87.87,0.0,,,,,,,
39794,838.4530089595286,9,32896,34,0.0,125,0,0.5,838.4530089595286,1683053963,0,4256.0,94.07,4128.0,92.93,4192.0,0.0,0.0,0.0,0.0,0.0,4224.0,0.0,94.63,94.18,0.0,0.0,94.04,3680.0,0.0,0.0,3424.0,92.86,0.0,0.0,0.0,94.2,3200.0,93.69,0.0,3200.0,0.0,0.0,0.0,2592.0,87.87,0.0,,,,,,,
40966,838.4530089595286,9,32896,35,0.0,127,0,0.5,838.4530089595286,1683053965,0,4256.0,94.07,4128.0,92.93,4192.0,0.0,0.0,0.0,0.0,0.0,4224.0,0.0,94.63,94.18,0.0,0.0,94.04,3680.0,0.0,0.0,3424.0,92.86,0.0,0.0,0.0,94.2,3200.0,93.69,0.0,3200.0,0.0,0.0,0.0,2592.0,87.87,0.0,,,,,,,
42149,838.4530089595286,9,32896,36,0.0,128,0,0.5,838.4530089595286,1683053966,0,4256.0,94.07,4128.0,92.93,4192.0,0.0,0.0,0.0,0.0,0.0,4224.0,0.0,94.63,94.18,0.0,0.0,94.04,3680.0,0.0,0.0,3424.0,92.86,0.0,0.0,0.0,94.2,3200.0,93.69,0.0,3200.0,0.0,0.0,0.0,2592.0,87.87,0.0,,,,,,,
43337,838.4530089595286,9,32896,37,0.0,130,0,0.5,838.4530089595286,1683053968,0,4256.0,94.07,4128.0,92.93,4192.0,0.0,0.0,0.0,0.0,0.0,4224.0,0.0,94.63,94.18,0.0,0.0,94.04,3680.0,0.0,0.0,3424.0,92.86,0.0,0.0,0.0,94.2,3200.0,93.69,0.0,3200.0,0.0,0.0,0.0,2592.0,87.87,0.0,,,,,,,
44518,838.4530089595286,9,32896,38,0.0,131,0,0.5,838.4530089595286,1683053969,0,4256.0,94.07,4128.0,92.93,4192.0,0.0,0.0,0.0,0.0,0.0,4224.0,0.0,94.63,94.18,0.0,0.0,94.04,3680.0,0.0,0.0,3424.0,92.86,0.0,0.0,0.0,94.2,3200.0,93.69,0.0,3200.0,0.0,0.0,0.0,2592.0,87.87,0.0,,,,,,,
45702,838.4530089595286,9,32896,39,0.0,132,0,0.5,838.4530089595286,1683053970,0,4256.0,94.07,4128.0,92.93,4192.0,0.0,0.0,0.0,0.0,0.0,4224.0,0.0,94.63,94.18,0.0,0.0,94.04,3680.0,0.0,0.0,3424.0,92.86,0.0,0.0,0.0,94.2,3200.0,93.69,0.0,3200.0,0.0,0.0,0.0,2592.0,87.87,0.0,,,,,,,
46881,838.4530089595286,9,32896,40,0.0,134,0,0.5,838.4530089595286,1683053972,0,4256.0,94.07,4128.0,92.93,4192.0,0.0,0.0,0.0,0.0,0.0,4224.0,0.0,94.63,94.18,0.0,0.0,94.04,3680.0,0.0,0.0,3424.0,92.86,0.0,0.0,0.0,94.2,3200.0,93.69,0.0,3200.0,0.0,0.0,0.0,2592.0,87.87,0.0,,,,,,,
48067,838.4530089595286,9,32896,41,0.0,135,0,0.5,838.4530089595286,1683053973,0,4256.0,94.07,4128.0,92.93,4192.0,0.0,0.0,0.0,0.0,0.0,4224.0,0.0,94.63,94.18,0.0,0.0,94.04,3680.0,0.0,0.0,3424.0,92.86,0.0,0.0,0.0,94.2,3200.0,93.69,0.0,3200.0,0.0,0.0,0.0,2592.0,87.87,0.0,,,,,,,
49244,838.4530089595286,9,32896,42,0.0,137,0,0.5,838.4530089595286,1683053975,0,4256.0,94.07,4128.0,92.93,4192.0,0.0,0.0,0.0,0.0,0.0,4224.0,0.0,94.63,94.18,0.0,0.0,94.04,3680.0,0.0,0.0,3424.0,92.86,0.0,0.0,0.0,94.2,3200.0,93.69,0.0,3200.0,0.0,0.0,0.0,2592.0,87.87,0.0,,,,,,,
50424,838.4530089595286,9,32896,43,0.0,138,0,0.5,838.4530089595286,1683053976,0,4256.0,94.07,4128.0,92.93,4192.0,0.0,0.0,0.0,0.0,0.0,4224.0,0.0,94.63,94.18,0.0,0.0,94.04,3680.0,0.0,0.0,3424.0,92.86,0.0,0.0,0.0,94.2,3200.0,93.69,0.0,3200.0,0.0,0.0,0.0,2592.0,87.87,0.0,,,,,,,
51598,838.4530089595286,9,32896,44,0.0,139,0,0.5,838.4530089595286,1683053977,0,4256.0,94.07,4128.0,92.93,4192.0,0.0,0.0,0.0,0.0,0.0,4224.0,0.0,94.63,94.18,0.0,0.0,94.04,3680.0,0.0,0.0,3424.0,92.86,0.0,0.0,0.0,94.2,3200.0,93.69,0.0,3200.0,0.0,0.0,0.0,2592.0,87.87,0.0,,,,,,,
52770,838.4530089595286,9,32896,45,0.0,141,0,0.5,838.4530089595286,1683053979,0,4256.0,94.07,4128.0,92.93,4192.0,0.0,0.0,0.0,0.0,0.0,4224.0,0.0,94.63,94.18,0.0,0.0,94.04,3680.0,0.0,0.0,3424.0,92.86,0.0,0.0,0.0,94.2,3200.0,93.69,0.0,3200.0,0.0,0.0,0.0,2592.0,87.87,0.0,,,,,,,
53947,838.4530089595286,9,32896,46,0.0,142,0,0.5,838.4530089595286,1683053980,0,4256.0,94.07,4128.0,92.93,4192.0,0.0,0.0,0.0,0.0,0.0,4224.0,0.0,94.63,94.18,0.0,0.0,94.04,3680.0,0.0,0.0,3424.0,92.86,0.0,0.0,0.0,94.2,3200.0,93.69,0.0,3200.0,0.0,0.0,0.0,2592.0,87.87,0.0,,,,,,,
55126,838.4530089595286,9,32896,47,0.0,144,0,0.5,838.4530089595286,1683053982,0,4256.0,94.07,4128.0,92.93,4192.0,0.0,0.0,0.0,0.0,0.0,4224.0,0.0,94.63,94.18,0.0,0.0,94.04,3680.0,0.0,0.0,3424.0,92.86,0.0,0.0,0.0,94.2,3200.0,93.69,0.0,3200.0,0.0,0.0,0.0,2592.0,87.87,0.0,,,,,,,
56312,838.4530089595286,9,32896,48,0.0,145,0,0.5,838.4530089595286,1683053983,0,4256.0,94.07,4128.0,92.93,4192.0,0.0,0.0,0.0,0.0,0.0,4224.0,0.0,94.63,94.18,0.0,0.0,94.04,3680.0,0.0,0.0,3424.0,92.86,0.0,0.0,0.0,94.2,3200.0,93.69,0.0,3200.0,0.0,0.0,0.0,2592.0,87.87,0.0,,,,,,,
57488,838.4530089595286,9,32896,49,0.0,146,0,0.5,838.4530089595286,1683053984,0,4256.0,94.07,4128.0,92.93,4192.0,0.0,0.0,0.0,0.0,0.0,4224.0,0.0,94.63,94.18,0.0,0.0,94.04,3680.0,0.0,0.0,3424.0,92.86,0.0,0.0,0.0,94.2,3200.0,93.69,0.0,3200.0,0.0,0.0,0.0,2592.0,87.87,0.0,,,,,,,
58666,838.4530089595286,9,32896,50,0.0,148,0,0.5,838.4530089595286,1683053986,0,4256.0,94.07,4128.0,92.93,4192.0,0.0,0.0,0.0,0.0,0.0,4224.0,0.0,94.63,94.18,0.0,0.0,94.04,3680.0,0.0,0.0,3424.0,92.86,0.0,0.0,0.0,94.2,3200.0,93.69,0.0,3200.0,0.0,0.0,0.0,2592.0,87.87,0.0,,,,,,,
59845,838.4530089595286,9,32896,51,0.0,149,0,0.5,838.4530089595286,1683053987,0,4256.0,94.07,4128.0,92.93,4192.0,0.0,0.0,0.0,0.0,0.0,4224.0,0.0,94.63,94.18,0.0,0.0,94.04,3680.0,0.0,0.0,3424.0,92.86,0.0,0.0,0.0,94.2,3200.0,93.69,0.0,3200.0,0.0,0.0,0.0,2592.0,87.87,0.0,,,,,,,
