_timestamp,02_timing/step_time_s,memory/total_memory_sys_MB,disk/counter/disk_read_sys_count,cpu/interrupts/ctx_switches_count,cpu/load/avg_sys_load_five_min_percent,01_general/minibatch_loss,disk/time/disk_busy_time_sys_s,02_timing/dataload_cuda_move_time_s,process/voluntary_proc_ctx_switches,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/text_resident_set_proc_MB,process/memory/virtual_memory_size_proc_MB,_runtime,memory/used_memory_sys_percent,disk/counter/disk_write_sys_count,01_general/locally_processed_samples,cpu/logical_core_count,02_timing/backward_time_s,02_timing/opt_step_time_s,disk/time/disk_write_time_sys_s,cpu/load/avg_sys_load_one_min_percent,process/memory/data_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,_step,01_general/lr,01_general/step,02_timing/loss_calc_time_s,cpu/interrupts/interrupts_count,process/memory/shared_memory_proc_MB,memory/used_memory_sys_MB,process/involuntary_proc_ctx_switches,bandwidth/disk_write_sys_bandwidth_MBs,bandwidth/net_recv_sys_bandwidth_Mbits,02_timing/forward_time_s,01_general/step_based_sps,memory/available_memory_sys_MB,process/memory/lib_memory_proc_MB,process/memory/resident_set_size_proc_MB,02_timing/dataload_time_s,disk/time/disk_read_time_sys_s,01_general/dataset_iteration_count,cpu/interrupts/soft_interrupts_count,process/memory/dirty_pages_proc_count,bandwidth/net_sent_sys_bandwidth_Mbits
1680785035.0,,,5.0,65850.0,10.5,,1.1479999999999961,0.006301612000015666,1276.0,0.0,2.654208,22875.50464,99,12.8,578.0,,,0.3571521540000049,2.185999960602203e-06,0.6109999999998763,13.875000000000002,0.0,7.625,202,,,0.000695688000064365,123560.0,812.249088,3474.071552,210.0,0.057186169976105254,23.457873828847344,0.02650662700000339,,27510.878208,3320.598528,3275.65312,,0.005000000000000782,,80278.0,0.0,0.24010532527604486
1680785035.0,0.396129252000037,,,,,7.24365234375,,,,,,,99,,,3328.0,,,,,,,,203,0.0001,103.0,,,,,,,,,80.7817141461621,,,,0.005470984999988104,,0.0,,,
1680785036.0,,,5.0,66329.0,10.5,,1.156000000000006,0.005380277000085698,1286.0,0.0,2.654208,22875.50464,100,12.8,580.0,,,0.3609612380000726,2.2920000901649473e-06,0.6119999999991705,13.875000000000002,0.0,7.625,204,,,0.0007113420000450787,124525.0,812.249088,3474.65728,213.0,0.008170624282967028,27.615784494034628,0.02475367699992148,,27510.43584,3320.598528,3275.65312,,0.005000000000000782,,80882.0,0.0,0.020937224722183213
1680785036.0,0.39579256900015025,,,,,7.207763671875,,,,,,,100,,,3360.0,,,,,,,,205,0.0001,104.0,,,,,,,,,80.8504315299256,,,,0.0039837429999352025,,0.0,,,
1680785037.0,0.39207378300000073,,,,,6.891845703125,,0.005490776999977243,,,,,101,,,3392.0,,0.35539696600005755,1.8929999896499794e-06,,,,,206,0.0001,105.0,0.0007789329999923211,,,,,,,0.026433324999970864,81.6172908964942,,,,0.003971889000013107,,0.0,,,
1680785037.0,,,5.0,67145.0,10.5,,1.1639999999999873,0.005397956000024351,1303.0,0.0,2.654208,22875.50464,101,12.8,583.0,,,,,0.6149999999997817,13.875000000000002,0.0,7.625,207,,,0.0006591039999648274,125954.0,812.249088,3473.010688,215.0,0.012253809264688649,37.62704454503465,0.02454736499998944,,27531.091968,3320.598528,3275.65312,,0.005000000000000782,,81791.0,0.0,0.04134065079396819
1680785038.0,0.3912511969999741,,,,,6.9700927734375,,,,,,,102,,,3424.0,,0.35654658900000413,2.506999976503721e-06,,,,,208,0.0001,106.0,,,,,,,,,81.78888715323755,,,,0.0040976760000148715,,0.0,,,
1680785038.0,,,5.0,67812.0,10.5,,1.1759999999999877,0.005430693999983305,1313.0,0.0,2.654208,22875.50464,102,12.8,588.0,,,,,0.6189999999996871,13.875000000000002,0.0,7.625,209,,,0.0007094840000263503,127364.0,812.249088,3474.444288,218.0,0.09393474897603951,46.17468836729019,0.025446455999940554,,27510.66112,3320.598528,3275.65312,,0.005000000000000782,,82821.0,0.0,0.03725163703358693
1680785039.0,0.39188669899988327,,,,,7.3726806640625,,,,,,,103,,,3456.0,,0.355862884999965,2.3599999394718907e-06,,,,,210,0.0001,107.0,,,,,,,,,81.65625442676617,,,,0.004434820000028594,,0.0,,,
1680785039.0,,,5.0,68488.0,10.5,,1.1839999999999975,0.00549943099997563,1327.0,0.0,2.654208,22875.50464,103,12.9,590.0,,,0.35588434599992524,2.155000061065948e-06,0.6209999999991851,13.875000000000002,0.0,7.625,211,,,0.0007125910000240765,128434.0,812.249088,3483.32032,221.0,0.00817125384583436,19.66064321057525,0.025908280000066952,,27501.510656,3320.598528,3275.65312,,0.005000000000000782,,83447.0,0.0,0.013038895295151776
