03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
35635,1067.7813722916849,2,0,61,0.0,110,4,0.5,1067.7813722916849,1683034315,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
36730,1067.7813722916849,2,0,62,0.0,112,4,0.5,1067.7813722916849,1683034317,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
37819,1067.7813722916849,2,0,63,0.0,113,4,0.5,1067.7813722916849,1683034318,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
38912,1067.7813722916849,2,0,64,0.0,114,4,0.5,1067.7813722916849,1683034319,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
39999,1067.7813722916849,2,0,65,0.0,115,4,0.5,1067.7813722916849,1683034320,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
41091,1067.7813722916849,2,0,66,0.0,116,4,0.5,1067.7813722916849,1683034321,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
42181,1067.7813722916849,2,0,67,0.0,117,4,0.5,1067.7813722916849,1683034322,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
43275,1067.7813722916849,2,0,68,0.0,118,4,0.5,1067.7813722916849,1683034323,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
44364,1067.7813722916849,2,0,69,0.0,119,4,0.5,1067.7813722916849,1683034324,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
45456,1067.7813722916849,2,0,70,0.0,120,4,0.5,1067.7813722916849,1683034325,0,0.0,4.0,530.87,0.0,0.0,4.0,0.0,536.91,,,,,,,
