02_timing/opt_step_time_s,memory/available_memory_sys_MB,02_timing/dataload_cuda_move_time_s,_timestamp,01_general/lr,memory/used_memory_sys_percent,cpu/interrupts/interrupts_count,disk/time/disk_write_time_sys_s,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,bandwidth/disk_write_sys_bandwidth_MBs,cpu/load/avg_sys_load_five_min_percent,process/memory/text_resident_set_proc_MB,_step,_runtime,01_general/minibatch_loss,process/memory/lib_memory_proc_MB,process/voluntary_proc_ctx_switches,process/memory/data_resident_set_proc_MB,02_timing/forward_time_s,01_general/dataset_iteration_count,process/memory/shared_memory_proc_MB,process/involuntary_proc_ctx_switches,cpu/load/avg_sys_load_fifteen_min_percent,02_timing/dataload_time_s,02_timing/loss_calc_time_s,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/net_recv_sys_bandwidth_Mbits,bandwidth/net_sent_sys_bandwidth_Mbits,02_timing/step_time_s,memory/used_memory_sys_MB,memory/total_memory_sys_MB,disk/time/disk_read_time_sys_s,cpu/interrupts/ctx_switches_count,disk/counter/disk_write_sys_count,03_hivemind/num_peers,03_hivemind/global_epoch,disk/time/disk_busy_time_sys_s,01_general/locally_processed_samples,cpu/interrupts/soft_interrupts_count,process/memory/virtual_memory_size_proc_MB,01_general/step,cpu/logical_core_count,02_timing/backward_time_s,process/memory/resident_set_size_proc_MB
,197863.825408,0.003366812999956892,1681395619.0,,6.3,3896744.0,0.3569999999999709,0.0,4.266666666666667,0.016344649428290985,2.2,2.719744,509,194,,7153.5616,6188.0,0.0,,,2452.852736,4571.0,1.3666666666666665,,,0.0,0.0,93.03850108119207,2.481425841199839,,9804.578816,,0.0,3055093.0,857.0,,,2.4639999999999986,,1251726.0,34528.612352,,,,6714.63424
0.04095277000033093,,,1681395619.0,0.0001,,,,,,,,,510,194,7.3424072265625,,,,0.018043404000309238,0.0,,,,0.0031815019997338823,0.0004208800000924384,,,,,0.21146429000054923,,,,,,9.0,2.0,,10092.0,,,315.0,,0.14549892100012585,
0.04069126200010942,,0.0033284799997090886,1681395619.0,0.0001,,,,,,,,,511,194,7.42578125,,,,0.016976764999981242,0.0,,,,0.003019052000126976,0.000400530000206345,,,,,0.21130573200025538,,,,,,9.0,2.0,,10124.0,,,316.0,,0.1468896430001223,
0.04082383800005118,197839.654912,0.003291409999746975,1681395620.0,,6.3,3901535.0,0.3569999999999709,0.0,4.266666666666667,0.012261572582197724,2.2,2.719744,512,195,,7162.085376,6244.0,0.0,0.016606739000053494,,2452.852736,4575.0,1.3666666666666665,,0.0003989950000686804,0.0,0.0,103.35149411597305,2.477572079091155,,9809.420288,,0.0,3062114.0,860.0,,,2.475999999999999,,1256898.0,34604.11392,,,0.1471799959999771,6714.63424
,,,1681395620.0,0.0001,,,,,,,,,513,195,7.132568359375,,,,,0.0,,,,0.002842136999788636,,,,,,0.21114311499968608,,,,,,9.0,2.0,,10156.0,,,317.0,,,
0.04091789899985088,,0.003190456000083941,1681395620.0,0.0001,,,,,,,,,514,195,7.025146484375,,,,0.01667743400003019,0.0,,,,0.0029874449996896146,0.0003926260001207993,,,,,0.21062841299954016,,,,,,9.0,2.0,,10188.0,,,318.0,,0.14646255299976474,
0.04105645900017407,,0.003222881000056077,1681395620.0,0.0001,,,,,,,,,515,195,7.125732421875,,,,0.016710356999737996,0.0,,,,0.002779347999876336,0.0003923429999304062,,,,,0.2109415709996938,,,,,,9.0,2.0,,10220.0,,,319.0,,0.1467801829999189,
0.04075061999992613,197826.387968,0.003228778999982751,1681395621.0,,6.3,3907033.0,0.36099999999999,0.0,4.266666666666667,0.09809211393840687,2.2,2.719744,516,196,,7162.085376,6304.0,0.0,0.0170724100003099,,2452.852736,4596.0,1.3666666666666665,,0.00042026499977509957,0.0,0.0,138.18985192503177,2.654737574833268,,9823.10912,,0.0,3070614.0,869.0,,,2.4960000000000093,,1262982.0,34604.11392,,,0.14694051600008606,6714.63424
,,,1681395621.0,0.0001,,,,,,,,,517,196,7.233642578125,,,,,0.0,,,,0.0029151339999771153,,,,,,0.21132772400005706,,,,,,9.0,2.0,,10252.0,,,320.0,,,
0.04081674999997631,,0.0033133319998341904,1681395621.0,0.0001,,,,,,,,,518,196,7.281494140625,,,,0.017073269999855256,0.0,,,,0.0032501450000381737,0.00040702000023884466,,,,,0.2115256369997951,,,,,,9.0,2.0,,10284.0,,,321.0,,0.14666511999985232,
0.040667772000233526,,0.0033136080000986112,1681395621.0,0.0001,,,,,,,,,519,196,7.3072509765625,,,,0.01700944399999571,0.0,,,,0.00288768100017478,0.00042196499998681247,,,,,0.21145502500030489,,,,,,9.0,2.0,,10316.0,,,322.0,,0.14715455499981545,
0.04098536499986949,197833.09312,0.003176912000071752,1681395622.0,,6.3,3911803.0,0.36299999999999955,0.0,4.266666666666667,0.01634838617827762,2.2,2.719744,520,197,,7162.085376,6364.0,0.0,0.01698321199955899,,2452.84864,4619.0,1.3666666666666665,,0.0003944459999729588,0.0,0.0,92.13064379029909,3.175402605938815,,9816.334336,,0.0,3077324.0,873.0,,,2.5120000000000005,,1267412.0,34604.11392,,,0.14648685500014835,6714.630144
,,,1681395622.0,0.0001,,,,,,,,,521,197,7.4483642578125,,,,,0.0,,,,0.0031959299999471114,,,,,,0.21122271999956865,,,,,,9.0,2.0,,10348.0,,,323.0,,,
0.04083332700020037,,0.003205628000159777,1681395622.0,0.0001,,,,,,,,,522,197,6.9453125,,,,0.01831673700007741,0.0,,,,0.002867958000024373,0.0003774629999497847,,,,,0.21090286900061983,,,,,,9.0,2.0,,10380.0,,,324.0,,0.14530175600020812,
0.04078033099995082,,0.0033560760002728784,1681395622.0,0.0001,,,,,,,,,523,197,7.1956787109375,,,,0.01680754600010914,0.0,,,,0.0030428000000028987,0.00038903600034245756,,,,,0.2121878120005931,,,,,,9.0,2.0,,10412.0,,,325.0,,0.14781202299991492,
,197829.976064,0.0032934599998952763,1681395623.0,,6.3,3916225.0,0.3639999999999759,0.0,4.2,0.016336680035556196,2.2333333333333334,2.719744,524,198,,7162.085376,6437.0,0.0,0.016978820000076666,,2452.881408,4635.0,1.3666666666666665,,0.00039448000006814254,0.0,0.0,76.8871886200611,2.482114438085073,,9819.066368,,0.0,3084236.0,877.0,,,2.528000000000006,,1271445.0,34604.11392,,,0.14621978300010596,6714.683392
0.04083459799994671,,,1681395623.0,0.0001,,,,,,,,,525,198,7.0235595703125,,,,,0.0,,,,0.003396943000097963,,,,,,0.21111808400019072,,,,,,9.0,2.0,,10444.0,,,326.0,,,
0.040726226000060706,,0.0032430890000796353,1681395623.0,0.0001,,,,,,,,,526,198,6.8675537109375,,,,0.017150181000033626,0.0,,,,0.002896017000239226,0.0036778160001631477,,,,,0.21106150800051182,,,,,,9.0,2.0,,10476.0,,,327.0,,0.14336817899993548,
0.04076465099979032,,0.0032376740000472637,1681395623.0,0.0001,,,,,,,,,527,198,7.24462890625,,,,0.01689826899973923,0.0,,,,0.0027752579999287263,0.00040941099996416597,,,,,0.21163485799979753,,,,,,9.0,2.0,,10508.0,,,328.0,,0.14754959500032783,
,197848.82176,0.0033099180000135675,1681395624.0,,6.3,3922135.0,0.3669999999999618,0.0,4.2,0.09808222022913564,2.2333333333333334,2.719744,528,199,,7162.085376,6514.0,0.0,0.01691399299988916,,2452.877312,4662.0,1.3666666666666665,,0.00039331200014203205,0.0,0.0,88.40633098112708,3.0511249128852564,,9819.623424,,0.0,3091168.0,884.0,,,2.543999999999997,,1277341.0,34604.11392,,,,6714.679296
0.04090557300014552,,,1681395624.0,0.0001,,,,,,,,,529,199,7.3323974609375,,,,,0.0,,,,0.003051340999718377,,,,,,0.2121947860000546,,,,,,9.0,2.0,,10540.0,,,329.0,,0.14762064900014593,
,197823.750144,0.0032753099999354163,1681395625.0,,6.3,3932834.0,0.367999999999995,0.0,4.2,0.008173821679158103,2.2333333333333334,2.719744,530,200,,7162.105856,6620.0,0.0,0.016893739999886748,,2452.881408,4677.0,1.3666666666666665,,0.00038778599991928786,0.0,0.0,53.30426100230575,2.963185967728858,,9825.62816,,0.0,3109028.0,886.0,,,2.5600000000000023,,1281875.0,34604.11392,,,0.14737653000020146,6714.683392
,197823.758336,,1681395626.0,,6.3,3933521.0,0.367999999999995,0.0,4.2,0.004087199609629634,2.2333333333333334,2.719744,531,201,,7162.114048,6620.0,0.0,,,2452.881408,4677.0,1.3666666666666665,,,0.0,0.0,0.02136200422621078,0.08973478681027981,,9825.611776,,0.0,3109730.0,887.0,,,2.564000000000007,,1282102.0,34604.11392,,,,6714.75712
,197788.123136,,1681395627.0,,6.3,3961176.0,0.367999999999995,0.0,4.2,0.004086564757477937,2.2333333333333334,2.719744,532,202,,7162.114048,6620.0,0.0,,,2452.881408,4677.0,1.3666666666666665,,,0.0,0.0,184.93692121796042,312.5915304453292,,9861.259264,,0.0,3157717.0,888.0,,,2.567999999999998,,1292739.0,34604.11392,,,,6714.75712
,197763.833856,,1681395628.0,,6.3,3993105.0,0.36899999999997135,0.0,3.8666666666666663,0.004086549197180254,2.166666666666667,2.719744,533,203,,7162.114048,6620.0,0.0,,,2452.881408,4677.0,1.3666666666666665,,,0.0,0.0,434.074509151353,245.38991251161605,,9885.55264,,0.0,3212783.0,889.0,,,2.5720000000000027,,1305162.0,34604.11392,,,,6714.75712
,197753.884672,,1681395629.0,,6.3,4034629.0,0.37000000000000455,0.0,3.8666666666666663,0.03677807671751941,2.166666666666667,2.719744,534,204,,7162.114048,6620.0,0.0,,,2452.881408,4677.0,1.3666666666666665,,,0.0,0.0,511.5771329367649,442.283349484677,,9895.493632,,0.0,3283407.0,892.0,,,2.5799999999999983,,1322940.0,34604.11392,,,,6714.75712
,197718.339584,,1681395630.0,,6.3,4094714.0,0.37000000000000455,0.0,3.8666666666666663,0.00408650253877511,2.166666666666667,2.719744,535,205,,7162.114048,6620.0,0.0,,,2452.881408,4677.0,1.3666666666666665,,,0.0,0.0,541.8943250640472,763.2627856708533,,9931.03872,,0.0,3388916.0,893.0,,,2.584000000000003,,1345183.0,34604.11392,,,,6714.75712
,197676.941312,,1681395631.0,,6.3,4163359.0,0.37000000000000455,0.0,3.8666666666666663,0.0040865365676828035,2.166666666666667,2.719744,536,206,,7162.114048,6620.0,0.0,,,2452.881408,4677.0,1.3666666666666665,,,0.0,0.0,815.2907505696251,763.9845074975838,,9972.441088,,0.0,3510835.0,894.0,,,2.588000000000008,,1368541.0,34604.11392,,,,6714.75712
,197657.137152,,1681395632.0,,6.4,4194977.0,0.3709999999999809,0.0,3.8666666666666663,0.00408465649896684,2.166666666666667,2.719744,537,207,,7162.114048,6620.0,0.0,,,2452.881408,4677.0,1.3666666666666665,,,0.0,0.0,437.7677154484275,476.3922193537177,,9992.245248,,0.0,3564795.0,895.0,,,2.5919999999999987,,1382804.0,34604.11392,,,,6714.75712
,197609.148416,,1681395633.0,,6.4,4271731.0,0.3709999999999809,0.0,5.966666666666667,0.0040840379630961285,2.6333333333333333,2.719744,538,208,,7162.114048,6620.0,0.0,,,2452.881408,4677.0,1.5333333333333334,,,0.0,0.0,884.798992309782,841.7129501314295,,10040.23808,,0.0,3702724.0,896.0,,,2.5960000000000036,,1406906.0,34604.11392,,,,6714.75712
,197586.419712,,1681395634.0,,6.4,4305523.0,0.37199999999995725,0.0,5.966666666666667,0.004086286764768461,2.6333333333333333,2.719744,539,209,,7162.114048,6620.0,0.0,,,2452.881408,4677.0,1.5333333333333334,,,0.0,0.0,350.21066560906144,340.473555044479,,10062.966784,,0.0,3758932.0,897.0,,,2.6000000000000085,,1422342.0,34604.11392,,,,6714.75712
,197568.950272,,1681395635.0,,6.4,4355997.0,0.37299999999999045,0.0,5.966666666666667,0.03269352900613992,2.6333333333333333,2.719744,540,210,,7162.114048,6620.0,0.0,,,2452.881408,4677.0,1.5333333333333334,,,0.0,0.0,667.0361509666295,494.3076567579836,,10080.436224,,0.0,3846040.0,900.0,,,2.603999999999999,,1440759.0,34604.11392,,,,6714.75712
,197540.855808,,1681395636.0,,6.4,4408737.0,0.37599999999997635,0.0,5.966666666666667,0.04493623230319948,2.6333333333333333,2.719744,541,211,,7162.114048,6620.0,0.0,,,2452.881408,4677.0,1.5333333333333334,,,0.0,0.0,485.9348788564109,493.603264451712,,10108.530688,,0.0,3936914.0,911.0,,,2.612000000000009,,1457750.0,34604.11392,,,,6714.75712
,197529.92768,,1681395637.0,,6.4,4435045.0,0.37599999999997635,0.0,5.966666666666667,0.00408302365917344,2.6333333333333333,2.719744,542,212,,7162.114048,6620.0,0.0,,,2452.881408,4677.0,1.5333333333333334,,,0.0,0.0,139.04336754011092,309.08523414094407,,10119.462912,,0.0,3982829.0,912.0,,,2.6159999999999997,,1468031.0,34604.11392,,,,6714.75712
,197526.573056,,1681395638.0,,6.4,4445706.0,0.37700000000000955,0.0,5.466666666666666,0.004084657477383868,2.6,2.719744,543,213,,7162.114048,6620.0,0.0,,,2452.881408,4677.0,1.5333333333333334,,,0.0,0.0,55.68232192125315,137.43694069320063,,10122.81344,,0.0,4001701.0,913.0,,,2.6200000000000045,,1472152.0,34604.11392,,,,6714.75712
,197520.789504,,1681395639.0,,6.4,4449156.0,0.3779999999999859,0.0,5.466666666666666,0.09396506168413989,2.6,2.719744,544,214,,7162.114048,6620.0,0.0,,,2452.881408,4677.0,1.5333333333333334,,,0.0,0.0,54.05483004391853,22.470201292796585,,10128.687104,,0.0,4007129.0,917.0,,,2.6240000000000094,,1474165.0,34604.11392,,,,6714.75712
,197518.127104,,1681395640.0,,6.4,4452734.0,0.3779999999999859,0.0,5.466666666666666,0.00408673487656567,2.6,2.719744,545,215,,7162.114048,6620.0,0.0,,,2452.881408,4677.0,1.5333333333333334,,,0.0,0.0,10.419026792337704,21.514384260351644,,10131.349504,,0.0,4012784.0,918.0,,,2.628,,1476497.0,34604.11392,,,,6714.75712
,197519.183872,,1681395641.0,,6.4,4455145.0,0.3839999999999577,0.0,5.466666666666666,0.13073076568854639,2.6,2.719744,546,216,,7162.114048,6620.0,0.0,,,2452.881408,4677.0,1.5333333333333334,,,0.0,0.0,56.82726110777155,31.745370025512702,,10130.292736,,0.0,4015699.0,929.0,,,2.63600000000001,,1478835.0,34604.11392,,,,6714.75712
,197516.214272,,1681395642.0,,6.4,4456538.0,0.3839999999999577,0.0,5.466666666666666,0.0040845195771135245,2.6,2.719744,547,217,,7162.114048,6620.0,0.0,,,2452.881408,4677.0,1.5333333333333334,,,0.0,0.0,6.612382466641182,0.27648687375016695,,10133.262336,,0.0,4017847.0,930.0,,,2.6400000000000006,,1479668.0,34604.11392,,,,6714.75712
,197512.761344,,1681395643.0,,6.4,4461814.0,0.3839999999999577,0.0,5.033333333333333,0.004087158770470166,2.566666666666667,2.719744,548,218,,7162.114048,6620.0,0.0,,,2452.881408,4677.0,1.5000000000000002,,,0.0,0.0,16.029868640702137,11.24040507307486,,10136.715264,,0.0,4025258.0,931.0,,,2.6440000000000055,,1483564.0,34604.11392,,,,6714.75712
,197520.089088,,1681395644.0,,6.4,4463081.0,0.38599999999996726,0.0,5.033333333333333,0.03674034974226753,2.566666666666667,2.719744,549,219,,7162.114048,6620.0,0.0,,,2452.881408,4677.0,1.5000000000000002,,,0.0,0.0,3.3420243613326917,25.067371344053864,,10129.38752,,0.0,4026277.0,934.0,,,2.656000000000006,,1485459.0,34604.11392,,,,6714.75712
,197510.918144,,1681395645.0,,6.4,4467975.0,0.38599999999996726,0.0,5.033333333333333,0.004086839864153783,2.566666666666667,2.719744,550,220,,7162.114048,6620.0,0.0,,,2452.881408,4677.0,1.5000000000000002,,,0.0,0.0,31.140921577249497,13.009129687153509,,10138.546176,,0.0,4033917.0,935.0,,,2.6599999999999966,,1488374.0,34604.11392,,,,6714.75712
,197511.70048,,1681395646.0,,6.4,4469254.0,0.38599999999996726,0.0,5.033333333333333,0.00408713057973942,2.566666666666667,2.719744,551,221,,7162.114048,6620.0,0.0,,,2452.881408,4677.0,1.5000000000000002,,,0.0,0.0,1.4720455347304031,24.09400992861747,,10137.759744,,0.0,4034960.0,936.0,,,2.6640000000000015,,1490417.0,34604.11392,,,,6714.75712
,197511.467008,,1681395647.0,,6.4,4470032.0,0.38700000000000045,0.0,5.033333333333333,0.004085585139948428,2.566666666666667,2.719744,552,222,,7162.114048,6620.0,0.0,,,2452.881408,4677.0,1.5000000000000002,,,0.0,0.0,3.1263823154603347,0.1435620357624151,,10137.993216,,0.0,4035992.0,937.0,,,2.6680000000000064,,1491106.0,34604.11392,,,,6714.75712
,197511.467008,,1681395648.0,,6.4,4470507.0,0.38700000000000045,0.0,4.633333333333333,0.004085021695401571,2.5,2.719744,553,223,,7162.114048,6620.0,0.0,,,2452.881408,4677.0,1.5000000000000002,,,0.0,0.0,2.7106113560644465,0.023297389324613324,,10137.993216,,0.0,4036693.0,938.0,,,2.676000000000002,,1491428.0,34604.11392,,,,6714.75712
,197508.538368,,1681395649.0,,6.4,4476320.0,0.38700000000000045,0.0,4.633333333333333,0.004083765167723885,2.5,2.719744,554,224,,7162.114048,6620.0,0.0,,,2452.881408,4677.0,1.5000000000000002,,,0.0,0.0,29.622643511959538,1.4457804881236533,,10140.934144,,0.0,4046117.0,939.0,,,2.680000000000007,,1494656.0,34604.11392,,,,6714.75712
,197511.696384,,1681395650.0,,6.4,4477411.0,0.38900000000001,0.0,4.633333333333333,0.040832643316656966,2.5,2.719744,555,225,,7162.114048,6620.0,0.0,,,2452.881408,4677.0,1.5000000000000002,,,0.0,0.0,0.8458896769921952,23.225336365113897,,10137.76384,,0.0,4046869.0,942.0,,,2.6839999999999975,,1496522.0,34604.11392,,,,6714.75712
,197514.399744,,1681395651.0,,6.4,4478601.0,0.38900000000001,0.0,4.633333333333333,0.020426560703789082,2.5,2.719744,556,226,,7162.114048,6620.0,0.0,,,2452.881408,4677.0,1.5000000000000002,,,0.0,0.0,8.845171553472708,11.769824173602926,,10135.064576,,0.0,4048146.0,944.0,,,2.6920000000000073,,1497918.0,34604.11392,,,,6714.75712
,197505.052672,,1681395652.0,,6.4,4482677.0,0.38999999999998636,0.0,4.633333333333333,0.004087150998935419,2.5,2.719744,557,227,,7162.114048,6620.0,0.0,,,2452.881408,4677.0,1.5000000000000002,,,0.0,0.0,26.830366134585926,28.280139261059045,,10144.411648,,0.0,4054656.0,945.0,,,2.695999999999998,,1500679.0,34604.11392,,,,6714.75712
