04_peers/peer_1_epoch,03_hivemind/global_epoch,04_peers/peer_1_epoch_oos,03_hivemind/undershot_TBS,03_hivemind/optimistic_total_samples_per_second,03_hivemind/eta_next_epoch_s,03_hivemind/global_samples_accumulated,_step,_runtime,03_hivemind/epoch_s,03_hivemind/num_peers,03_hivemind/num_clients,03_hivemind/overshot_TBS,04_peers/peer_3_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/estimated_current_samples,04_peers/peer_2_epoch,04_peers/peer_3_epoch,03_hivemind/total_training_samples,04_peers/peer_1_samples_per_second,04_peers/peer_3_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,04_peers/peer_3_samples_per_second,_timestamp,03_hivemind/epoch_based_sps,04_peers/peer_2_samples_accumulated,03_hivemind/reached_TBS,04_peers/peer_2_epoch_oos
0.0,0,0.0,,712.3269982013906,2.4,30944,39,85,,3,0,,0.0,1.2,233.84,11776.0,31057,0.0,0.0,,238.2,9152.0,,712.3269982013906,238.94,1680694500.0,,9152.0,,0.0
0.0,0,0.0,,707.0090827386852,1.23,31808,40,87,,3,0,,0.0,0.62,234.23,12064.0,31898,0.0,0.0,,238.13,9440.0,,707.0090827386852,239.97,1680694502.0,,9440.0,,0.0
0.0,0,0.0,,708.6124481023946,0.03,32640,41,88,,3,0,,0.0,0.5,233.91,12352.0,32747,0.0,0.0,,233.08,9728.0,,708.6124481023946,240.02,1680694503.0,,9728.0,,0.0
0.0,0,0.0,,707.4827042352072,0.0,32832,42,89,,3,0,,0.0,0.5,233.32,12640.0,33592,0.0,0.0,,235.49,10016.0,,707.4827042352072,239.8,1680694504.0,,9984.0,,0.0
0.0,0,0.0,,707.4827042352072,0.0,32832,43,90,,3,0,,0.0,0.5,233.21,12704.0,34436,0.0,0.0,,234.87,10080.0,,707.4827042352072,239.4,1680694505.0,,10048.0,,0.0
0.0,0,0.0,,707.4827042352072,0.0,32832,44,91,,3,0,,0.0,0.5,233.21,12704.0,35283,0.0,0.0,,234.87,10080.0,,707.4827042352072,239.4,1680694506.0,,10048.0,,0.0
0.0,0,0.0,,707.4827042352072,0.0,32832,45,93,,3,0,,0.0,0.5,233.21,12704.0,36152,0.0,0.0,,234.87,10080.0,,707.4827042352072,239.4,1680694508.0,,10048.0,,0.0
0.0,1,0.0,,681.9997219982941,47.08,544,46,94,,3,0,,0.0,10.0,233.21,12704.0,660,0.0,0.0,,234.87,10080.0,,681.9997219982941,239.4,1680694509.0,,10048.0,,0.0
1.0,1,0.0,0.0,698.8160479003295,44.73,1408,47,95,58.11435281019658,3,0,1.0,0.0,10.0,226.17,160.0,1512,1.0,1.0,32832.0,225.13,192.0,32832.0,698.8160479003295,230.71,1680694510.0,564.9550999428732,192.0,0.0,0.0
1.0,1,0.0,,700.9901695776077,43.39,2240,48,96,,3,0,,0.0,10.0,230.98,448.0,2353,1.0,1.0,,232.2,480.0,,700.9901695776077,235.63,1680694511.0,,480.0,,0.0
1.0,1,0.0,,707.6198253223574,41.77,3072,49,97,,3,0,,0.0,10.0,232.43,704.0,3212,1.0,1.0,,230.39,768.0,,707.6198253223574,238.17,1680694512.0,,768.0,,0.0
1.0,1,0.0,,708.5017867394585,40.51,3936,50,99,,3,0,,0.0,10.0,233.72,992.0,4063,1.0,1.0,,234.81,1056.0,,708.5017867394585,239.09,1680694514.0,,1024.0,,0.0
1.0,1,0.0,,709.1880499151097,39.28,4800,51,100,,3,0,,0.0,10.0,233.65,1280.0,4911,1.0,1.0,,235.32,1344.0,,709.1880499151097,239.53,1680694515.0,,1312.0,,0.0
1.0,1,0.0,,709.0906111079667,38.09,5664,52,101,,3,0,,0.0,10.0,233.67,1568.0,5761,1.0,1.0,,235.73,1632.0,,709.0906111079667,239.8,1680694516.0,,1600.0,,0.0
1.0,1,0.0,,709.1145960681442,36.89,6464,53,102,,3,0,,0.0,10.0,233.98,1856.0,6611,1.0,1.0,,235.25,1920.0,,709.1145960681442,239.86,1680694517.0,,1888.0,,0.0
1.0,1,0.0,,710.226583759348,35.63,7328,54,103,,3,0,,0.0,10.0,233.94,2112.0,7462,1.0,1.0,,235.08,2208.0,,710.226583759348,240.09,1680694518.0,,2144.0,,0.0
1.0,1,0.0,,711.8269634093248,34.35,8192,55,104,,3,0,,0.0,10.0,233.5,2400.0,8316,1.0,1.0,,236.69,2496.0,,711.8269634093248,240.04,1680694519.0,,2432.0,,0.0
1.0,1,0.0,,709.5169631093725,33.27,9056,56,106,,3,0,,0.0,10.0,234.11,2688.0,9160,1.0,1.0,,237.63,2784.0,,709.5169631093725,240.09,1680694521.0,,2720.0,,0.0
1.0,1,0.0,,711.1536159304745,32.0,9888,57,107,,3,0,,0.0,10.0,234.24,2976.0,10008,1.0,1.0,,235.16,3072.0,,711.1536159304745,240.12,1680694522.0,,3008.0,,0.0
1.0,1,0.0,,709.4766954822242,30.88,10720,58,108,,3,0,,0.0,10.0,234.49,3264.0,10858,1.0,1.0,,236.45,3360.0,,709.4766954822242,240.22,1680694523.0,,3264.0,,0.0
1.0,1,0.0,,708.555829819245,29.73,11584,59,109,,3,0,,0.0,10.0,234.22,3520.0,11702,1.0,1.0,,234.75,3648.0,,708.555829819245,240.5,1680694524.0,,3552.0,,0.0
1.0,1,0.0,,709.324811977071,28.5,12448,60,110,,3,0,,0.0,10.0,233.84,3808.0,12553,1.0,1.0,,234.83,3936.0,,709.324811977071,239.89,1680694525.0,,3840.0,,0.0
1.0,1,0.0,,665.5606018739118,29.25,13184,61,112,,3,0,,0.0,10.0,234.16,4096.0,13297,1.0,1.0,,234.98,4224.0,,665.5606018739118,240.18,1680694527.0,,4128.0,,0.0
1.0,1,0.0,,688.0390590789455,27.06,14016,62,113,,3,0,,0.0,10.0,234.41,4288.0,14147,1.0,1.0,,191.29,4512.0,,688.0390590789455,239.86,1680694528.0,,4384.0,,0.0
