process/memory/lib_memory_proc_MB,process/voluntary_proc_ctx_switches,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/resident_set_size_proc_MB,02_timing/backward_time_s,disk/time/disk_read_time_sys_s,disk/counter/disk_write_sys_count,02_timing/forward_time_s,memory/used_memory_sys_percent,process/memory/virtual_memory_size_proc_MB,cpu/load/avg_sys_load_five_min_percent,01_general/lr,01_general/step,cpu/interrupts/interrupts_count,01_general/minibatch_loss,memory/total_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,memory/available_memory_sys_MB,disk/time/disk_write_time_sys_s,cpu/interrupts/ctx_switches_count,01_general/locally_processed_samples,cpu/load/avg_sys_load_fifteen_min_percent,_timestamp,02_timing/step_time_s,cpu/logical_core_count,cpu/load/avg_sys_load_one_min_percent,process/memory/dirty_pages_proc_count,process/memory/text_resident_set_proc_MB,02_timing/loss_calc_time_s,disk/time/disk_busy_time_sys_s,process/memory/shared_memory_proc_MB,02_timing/dataload_time_s,02_timing/opt_step_time_s,disk/counter/disk_read_sys_count,01_general/dataset_iteration_count,02_timing/dataload_cuda_move_time_s,_step,03_hivemind/num_peers,03_hivemind/global_epoch,process/memory/data_resident_set_proc_MB,bandwidth/disk_read_sys_bandwidth_MBs,process/involuntary_proc_ctx_switches,bandwidth/net_recv_sys_bandwidth_Mbits,_runtime,memory/used_memory_sys_MB,cpu/interrupts/soft_interrupts_count
5316.841472,515.0,0.008980043652814186,4196.671488,,0.0,170.0,,3.4,19517.70624,3.3666666666666663,,,651601.0,,,0.053129929377011845,203886.047232,0.08600000000001273,22792.0,,2.0666666666666664,1680687553.0,,,6.1000000000000005,0.0,2.719744,,0.1600000000000108,1477.369856,,,0.0,,,27,,,0.0,0.0,409.0,0.006928602570105508,27,4416.704512,7790.0
5316.841472,515.0,0.053625713429285564,4196.671488,,0.0,171.0,,3.4,19517.70624,3.3666666666666663,,,651957.0,,,0.0040875934649542475,203885.789184,0.08600000000001273,23344.0,,2.0666666666666664,1680687554.0,,,6.1000000000000005,0.0,2.719744,,0.16400000000000148,1477.369856,,,0.0,,,28,,,0.0,0.0,409.0,0.01641424248569692,28,4416.96256,7977.0
5316.841472,515.0,0.009171766285039677,4196.671488,,0.0,172.0,,3.4,19517.70624,3.3666666666666663,,,652226.0,,,0.004086983754744512,203885.789184,0.08600000000001273,23815.0,,2.0666666666666664,1680687555.0,,,6.1000000000000005,0.0,2.719744,,0.16800000000000637,1477.369856,,,0.0,,,29,,,0.0,0.0,409.0,0.0074715171851500554,29,4416.958464,8094.0
5316.841472,515.0,0.04803747539874204,4196.671488,,0.0,179.0,,3.4,19517.70624,3.3666666666666663,,,652488.0,,,0.03678243380678097,203885.789184,0.08899999999994179,24233.0,,2.0666666666666664,1680687556.0,,,6.1000000000000005,0.0,2.719744,,0.17600000000000193,1477.369856,,,0.0,,,30,,,0.0,0.0,409.0,0.010616457674250453,30,4416.958464,8250.0
5316.841472,515.0,0.008996380560613554,4196.696064,,0.0,180.0,,3.4,19517.710336,3.3000000000000003,,,652832.0,,,0.004087086817746318,203885.789184,0.08899999999994179,24831.0,,2.0666666666666664,1680687557.0,,,5.633333333333333,0.0,2.719744,,0.18000000000000682,1477.369856,,,0.0,,,31,,,0.0,0.0,409.0,0.006928889376552686,31,4416.950272,8413.0
5316.841472,515.0,0.14159187230228834,4196.696064,,0.0,182.0,,3.4,19517.710336,3.3000000000000003,,,653409.0,,,0.00817398112852297,203885.809664,0.08899999999994179,25690.0,,2.0666666666666664,1680687558.0,,,5.633333333333333,0.0,2.719744,,0.1840000000000117,1477.369856,,,0.0,,,32,,,0.0,0.0,409.0,0.15390073841017515,32,4416.946176,8782.0
5316.841472,515.0,0.009036777233360285,4196.696064,,0.0,185.0,,3.4,19517.710336,3.3000000000000003,,,653677.0,,,0.06539688966329774,203885.81376,0.09100000000000819,26155.0,,2.0666666666666664,1680687559.0,,,5.633333333333333,0.0,2.719744,,0.1880000000000024,1477.369856,,,0.0,,,33,,,0.0,0.0,409.0,0.006793548960906661,33,4416.94208,8901.0
5316.841472,515.0,0.01097628519661862,4196.696064,,0.0,186.0,,3.4,19517.710336,3.3000000000000003,,,654030.0,,,0.00408716946636162,203885.821952,0.09100000000000819,26775.0,,2.0666666666666664,1680687560.0,,,5.633333333333333,0.0,2.719744,,0.19200000000000728,1477.369856,,,0.0,,,34,,,0.0,0.0,409.0,0.011327526323825209,34,4416.933888,9138.0
5316.841472,515.0,0.06609406467140373,4196.696064,,0.0,187.0,,3.4,19517.710336,3.3000000000000003,,,654396.0,,,0.004086975983875628,203885.563904,0.09100000000000819,27381.0,,2.0666666666666664,1680687561.0,,,5.633333333333333,0.0,2.719744,,0.20000000000000284,1477.369856,,,0.0,,,35,,,0.0,0.0,409.0,0.017784731413839263,35,4417.191936,9314.0
5316.87424,515.0,0.008381120865071347,4196.696064,,0.0,206.0,,3.4,19517.710336,3.2333333333333334,,,654672.0,,,0.11443023688319462,203885.568,0.09900000000004638,27849.0,,2.033333333333333,1680687562.0,,,5.166666666666667,0.0,2.719744,,0.20800000000001262,1477.369856,,,0.0,,,36,,,0.0,0.0,409.0,0.00878022186218955,36,4417.18784,9480.0
5316.87424,515.0,0.05364984841851389,4196.696064,,0.0,207.0,,3.4,19517.710336,3.2333333333333334,,,655019.0,,,0.004086999311090953,203885.568,0.10000000000002274,28394.0,,2.033333333333333,1680687563.0,,,5.166666666666667,0.0,2.719744,,0.2120000000000033,1477.369856,,,0.0,,,37,,,0.0,0.0,409.0,0.013833534781138428,37,4417.183744,9642.0
5316.87424,515.0,0.0032957909800506464,4196.696064,,0.0,210.0,,3.4,19517.710336,3.2333333333333334,,,655287.0,,,0.053115701597540255,203885.572096,0.10099999999999909,28835.0,,2.033333333333333,1680687564.0,,,5.166666666666667,0.0,2.719744,,0.21600000000000819,1477.369856,,,0.0,,,38,,,0.0,0.0,409.0,0.003934200857899809,38,4417.175552,9784.0
5316.87424,515.0,0.05257594889255772,4196.696064,,0.0,211.0,,3.4,19517.710336,3.2333333333333334,,,655586.0,,,0.004087289069687995,203885.572096,0.10099999999999909,29365.0,,2.033333333333333,1680687565.0,,,5.166666666666667,0.0,2.719744,,0.21999999999999886,1477.369856,,,0.0,,,39,,,0.0,0.0,409.0,0.015207589226377462,39,4417.171456,9926.0
5316.87424,515.0,0.008907823988183914,4196.696064,,0.0,212.0,,3.4,19517.710336,3.2333333333333334,,,655895.0,,,0.004086743618670751,203885.314048,0.10199999999997544,29919.0,,2.033333333333333,1680687566.0,,,5.166666666666667,0.0,2.719744,,0.22400000000000375,1477.369856,,,0.0,,,40,,,0.0,0.0,409.0,0.007199692862999797,40,4417.429504,10091.0
5316.87424,515.0,0.05368668252316241,4196.696064,,0.0,219.0,,3.4,19517.710336,3.2,,,656175.0,,,0.04086765009793887,203885.314048,0.10400000000004184,30390.0,,2.033333333333333,1680687567.0,,,4.766666666666667,0.0,2.719744,,0.23199999999999932,1477.369856,,,0.0,,,41,,,0.0,0.0,409.0,0.015971907778879513,41,4417.425408,10239.0
5316.87424,515.0,0.00890944531155278,4196.696064,,0.0,220.0,,3.4,19517.710336,3.2,,,656554.0,,,0.0040874874516136014,203885.318144,0.10400000000004184,31049.0,,2.033333333333333,1680687568.0,,,4.766666666666667,0.0,2.719744,,0.2360000000000042,1477.369856,,,0.0,,,42,,,0.0,0.0,409.0,0.0072010032947035655,42,4417.421312,10411.0
5316.87424,515.0,0.05362561135647187,4196.696064,,0.0,227.0,,3.4,19517.710336,3.2,,,656889.0,,,0.09401447064921135,203885.318144,0.10799999999994725,31640.0,,2.033333333333333,1680687569.0,,,4.766666666666667,0.0,2.719744,,0.24399999999999977,1477.369856,,,0.0,,,43,,,0.0,0.0,409.0,0.016741537441280565,43,4417.421312,10579.0
5316.87424,515.0,0.008908366482986155,4196.696064,,0.0,228.0,,3.4,19517.710336,3.2,,,657189.0,,,0.004086992505174814,203885.350912,0.10799999999994725,32177.0,,2.033333333333333,1680687570.0,,,4.766666666666667,0.0,2.719744,,0.24800000000000466,1477.369856,,,0.0,,,44,,,0.0,0.0,409.0,0.005380142480663154,44,4417.404928,10727.0
5316.87424,515.0,0.04771848993716853,4196.696064,,0.0,229.0,,3.4,19517.710336,3.2,,,657484.0,,,0.004086963344479431,203885.350912,0.10799999999994725,32612.0,,2.033333333333333,1680687571.0,,,4.766666666666667,0.0,2.719744,,0.25200000000000955,1477.369856,,,0.0,,,45,,,0.0,0.0,409.0,0.012013437163772298,45,4417.404928,10866.0
