03_hivemind/total_training_samples,04_peers/peer_2_epoch_oos,03_hivemind/optimistic_total_samples_per_second,03_hivemind/overshot_TBS,03_hivemind/estimated_current_samples,03_hivemind/per_epoch_training_samples,03_hivemind/num_clients,04_peers/peer_1_epoch_oos,03_hivemind/num_peers,03_hivemind/reached_TBS,03_hivemind/undershot_TBS,03_hivemind/eta_next_epoch_s,_runtime,_timestamp,04_peers/peer_2_samples_accumulated,03_hivemind/next_fetch_time_s,03_hivemind/epoch_based_sps,03_hivemind/global_samples_accumulated,_step,03_hivemind/epoch_s,03_hivemind/global_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_2_samples_per_second,04_peers/peer_1_epoch,04_peers/peer_2_epoch,03_hivemind/actual_total_samples_per_second,04_peers/peer_1_samples_accumulated
65600.0,0.0,1632.768823813542,2.0,3270,32800.0,0,0.0,2,0.0,0.0,18.07,98,1682808909.0,640.0,7.23,1379.073069378809,3104,46,23.784091451205313,2,756.36,819.88,2.0,2.0,1632.768823813542,640.0
,0.0,1684.3810597489542,,5278,,0,0.0,2,,,16.32,99,1682808910.0,1632.0,6.53,,5088,47,,2,792.85,839.92,2.0,2.0,1684.3810597489542,1472.0
,0.0,1684.026954597697,,7284,,0,0.0,2,,,15.13,100,1682808911.0,2624.0,6.05,,7104,48,,2,841.35,843.03,2.0,2.0,1684.026954597697,2464.0
,0.0,1667.008297901571,,9273,,0,0.0,2,,,14.09,101,1682808912.0,3616.0,5.64,,9088,49,,2,844.53,839.49,2.0,2.0,1667.008297901571,3488.0
,0.0,1583.7148062464776,,11182,,0,0.0,2,,,13.63,102,1682808913.0,4608.0,5.45,,11008,50,,2,839.75,827.26,2.0,2.0,1583.7148062464776,4480.0
,0.0,1662.8309892832208,,13182,,0,0.0,2,,,11.78,104,1682808915.0,5568.0,4.71,,13024,51,,2,821.47,762.24,2.0,2.0,1662.8309892832208,5440.0
,0.0,1669.0006856250593,,15174,,0,0.0,2,,,10.54,105,1682808916.0,6560.0,4.22,,15008,52,,2,836.39,826.44,2.0,2.0,1669.0006856250593,6464.0
,0.0,1523.170519649398,,16722,,0,0.0,2,,,10.53,106,1682808917.0,7552.0,4.21,,16576,53,,2,845.87,823.13,2.0,2.0,1523.170519649398,7456.0
,0.0,1666.0174485520702,,18728,,0,0.0,2,,,8.43,107,1682808918.0,8544.0,3.37,,18560,54,,2,687.9,835.27,2.0,2.0,1666.0174485520702,8032.0
,0.0,1684.8865108607038,,20736,,0,0.0,2,,,7.14,108,1682808919.0,9536.0,2.86,,20544,55,,2,830.09,835.93,2.0,2.0,1684.8865108607038,9024.0
,0.0,1673.7458929806326,,22734,,0,0.0,2,,,5.99,109,1682808920.0,10528.0,2.4,,22560,56,,2,843.35,841.53,2.0,2.0,1673.7458929806326,10016.0
,0.0,1615.917141186838,,24662,,0,0.0,2,,,5.02,111,1682808922.0,11520.0,2.01,,24480,57,,2,843.69,830.06,2.0,2.0,1615.917141186838,11040.0
,0.0,1678.0112808746808,,26668,,0,0.0,2,,,3.64,112,1682808923.0,12448.0,1.45,,26496,58,,2,843.18,772.73,2.0,2.0,1678.0112808746808,12032.0
,0.0,1672.529319778731,,28663,,0,0.0,2,,,2.45,113,1682808924.0,13440.0,0.98,,28128,59,,2,842.33,835.68,2.0,2.0,1672.529319778731,13056.0
,0.0,1624.0224412633281,,30255,,0,0.0,2,,,1.55,114,1682808925.0,14464.0,0.62,,30080,60,,2,832.28,840.25,2.0,2.0,1624.0224412633281,13664.0
,0.0,1652.136435282498,,32224,,0,0.0,2,,,0.33,115,1682808926.0,15456.0,0.5,,32032,61,,2,788.47,835.56,2.0,2.0,1652.136435282498,14624.0
,0.0,1654.520295642512,,34195,,0,0.0,2,,,0.0,117,1682808928.0,16416.0,0.5,,32800,62,,2,832.9,819.24,2.0,2.0,1654.520295642512,15616.0
,0.0,1654.520295642512,,36182,,0,0.0,2,,,0.0,118,1682808929.0,16800.0,0.5,,32800,63,,2,828.3,826.22,2.0,2.0,1654.520295642512,16000.0
,0.0,1654.520295642512,,38144,,0,0.0,2,,,0.0,119,1682808930.0,16800.0,0.5,,32800,64,,2,828.3,826.22,2.0,2.0,1654.520295642512,16000.0
,0.0,1654.520295642512,,40119,,0,0.0,2,,,0.0,120,1682808931.0,16800.0,0.5,,32800,65,,2,828.3,826.22,2.0,2.0,1654.520295642512,16000.0
,0.0,1654.520295642512,,42090,,0,0.0,2,,,0.0,121,1682808932.0,16800.0,0.5,,32800,66,,2,828.3,826.22,2.0,2.0,1654.520295642512,16000.0
,0.0,1654.520295642512,,44055,,0,0.0,2,,,0.0,123,1682808934.0,16800.0,0.5,,32800,67,,2,828.3,826.22,2.0,2.0,1654.520295642512,16000.0
,0.0,1654.520295642512,,496,,0,0.0,2,,,19.51,124,1682808935.0,16800.0,7.8,,0,68,,3,828.3,826.22,2.0,2.0,1654.520295642512,16000.0
98400.0,0.0,1654.520295642512,3.0,2473,32800.0,0,0.0,2,0.0,0.0,18.31,125,1682808936.0,0.0,7.32,1197.1096021423539,0,69,27.39932913519442,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,4438,,0,0.0,2,,,17.12,126,1682808937.0,0.0,6.85,,0,70,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,6407,,0,0.0,2,,,15.93,127,1682808938.0,0.0,6.37,,0,71,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,8372,,0,0.0,2,,,14.75,129,1682808940.0,0.0,5.9,,0,72,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,15028,,0,0.0,2,,,10.72,133,1682808944.0,0.0,4.29,,0,73,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,16721,,0,0.0,2,,,9.7,134,1682808945.0,0.0,3.88,,0,74,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,18410,,0,0.0,2,,,8.68,135,1682808946.0,0.0,3.47,,0,75,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,20097,,0,0.0,2,,,7.66,136,1682808947.0,0.0,3.06,,0,76,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,21792,,0,0.0,2,,,6.63,137,1682808948.0,0.0,2.65,,0,77,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,23485,,0,0.0,2,,,5.61,138,1682808949.0,0.0,2.24,,0,78,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,25177,,0,0.0,2,,,4.59,139,1682808950.0,0.0,1.84,,0,79,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,26865,,0,0.0,2,,,3.57,140,1682808951.0,0.0,1.43,,0,80,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,28553,,0,0.0,2,,,2.55,141,1682808952.0,0.0,1.02,,0,81,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,30247,,0,0.0,2,,,1.52,142,1682808953.0,0.0,0.61,,0,82,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,31939,,0,0.0,2,,,0.5,143,1682808954.0,0.0,0.5,,0,83,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,33626,,0,0.0,2,,,0.0,144,1682808955.0,0.0,0.5,,0,84,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
,0.0,1654.520295642512,,35319,,0,0.0,2,,,0.0,145,1682808956.0,0.0,0.5,,0,85,,3,828.3,826.22,3.0,3.0,1654.520295642512,0.0
