04_peers/peer_1_epoch,03_hivemind/num_clients,_step,_timestamp,03_hivemind/global_epoch,03_hivemind/undershot_TBS,03_hivemind/eta_next_epoch_s,04_peers/peer_1_samples_per_second,03_hivemind/optimistic_total_samples_per_second,_runtime,03_hivemind/epoch_s,04_peers/peer_1_epoch_oos,04_peers/peer_2_epoch_oos,03_hivemind/global_samples_accumulated,03_hivemind/num_peers,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,03_hivemind/reached_TBS,04_peers/peer_1_samples_accumulated,03_hivemind/per_epoch_training_samples,04_peers/peer_2_epoch,03_hivemind/overshot_TBS,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/next_fetch_time_s,03_hivemind/estimated_current_samples
1.0,0,42,1680690495.0,1,,8.06,365.49,733.6735646476827,97,,0.0,0.0,10368,2,,,,4864.0,,1.0,,368.31,4640.0,733.6735646476827,3.22,10470
1.0,0,43,1680690496.0,1,,6.87,365.4,733.3937331493048,98,,0.0,0.0,11232,2,,,,5280.0,,1.0,,368.28,5088.0,733.3937331493048,2.75,11343
1.0,0,44,1680690497.0,1,,5.67,365.25,734.3488724999876,99,,0.0,0.0,12128,2,,,,5728.0,,1.0,,368.15,5504.0,734.3488724999876,2.27,12220
1.0,0,45,1680690499.0,1,,4.49,366.48,733.1789648296149,101,,0.0,0.0,12992,2,,,,6176.0,,1.0,,367.86,5952.0,733.1789648296149,1.8,13089
1.0,0,46,1680690500.0,1,,3.31,365.84,732.6569157450566,102,,0.0,0.0,13856,2,,,,6592.0,,1.0,,367.34,6400.0,732.6569157450566,1.32,13960
1.0,0,47,1680690501.0,1,,2.11,365.86,733.6987203121305,103,,0.0,0.0,14752,2,,,,7040.0,,1.0,,366.79,6816.0,733.6987203121305,0.85,14834
1.0,0,48,1680690502.0,1,,0.93,366.13,730.0948670405546,104,,0.0,0.0,15616,2,,,,7488.0,,1.0,,367.57,7264.0,730.0948670405546,0.5,15704
1.0,0,49,1680690503.0,1,,0.0,365.05,728.8563848077649,105,,0.0,0.0,16320,2,,,,7904.0,,1.0,,365.05,7712.0,728.8563848077649,0.5,16571
1.0,0,50,1680690505.0,1,,0.0,365.34,557.1703276590915,107,,0.0,0.0,16352,2,,,,8224.0,,1.0,,363.52,8096.0,557.1703276590915,0.5,17021
1.0,0,51,1680690506.0,1,,0.0,193.65,557.1703276590915,108,,0.0,0.0,16352,2,,,,8256.0,,1.0,,363.52,8096.0,557.1703276590915,0.5,17684
1.0,0,52,1680690507.0,1,,0.0,193.65,557.1703276590915,109,,0.0,0.0,16352,2,,,,8256.0,,1.0,,363.52,8096.0,557.1703276590915,0.5,18349
1.0,0,53,1680690508.0,1,,0.0,193.65,557.1703276590915,110,,0.0,0.0,16352,2,,,,8256.0,,1.0,,363.52,8096.0,557.1703276590915,0.5,19014
1.0,0,54,1680690509.0,1,,0.0,193.65,557.1703276590915,111,,0.0,0.0,16352,2,,,,8256.0,,1.0,,363.52,8096.0,557.1703276590915,0.5,19679
