_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,03_hivemind/num_peers,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/backward_time_s,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,02_timing/dataload_cuda_move_time_s,01_general/dataset_iteration_count,01_general/step
25,20,,,1681378159,20.75,0.0,0.38400000000001455,10826.829824,0.13481828216671404,37693.0,1.122304748059901,5096.321024,193.0,11987.177472,0.0,0.0,0.0,15.5,20346.0,74.22255512689291,13660.966912,2.711552,1278.0,3.2010000000009313,7538.520064,0.0,15678.0,53.6,22.25,36589.309952,849.0,,0.0006907629999659548,0.021923187000084,,,,,,,,,0.005780375000085769,,
26,20,,,1681378159,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.01555603000042538,192.0,12.742456436157227,0.10891964099982943,0.15413070400018114,0.0,0.0001,0.0012607079997906112,,0.0,5.0
27,20,,,1681378159,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.000680814000133978,0.022099266000168427,0.015267102000052546,224.0,12.713682174682617,0.11052341599997817,0.15517906000013681,0.0,0.0001,0.0008903080001800845,0.00571815399962361,0.0,6.0
28,21,,,1681378160,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0006961630001569574,0.021869413999866083,0.01590463299999101,256.0,12.523848533630371,0.11059169700001803,0.15553544300018984,0.0,0.0001,0.000678373000027932,0.005795163000129833,0.0,7.0
29,21,,,1681378160,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0006681300001218915,0.022251992000292375,0.01576880999982677,288.0,12.602690696716309,0.10937187399986215,0.15455597100026353,0.0,0.0001,0.0006790309998905286,0.0058161340002698125,0.0,8.0
30,21,,,1681378160,20.75,0.0,0.4560000000000173,10829.524992,5.787411315924401,44542.0,1.1482989370560106,5096.321024,210.0,11987.304448,0.0,0.0,0.0,15.5,24091.0,76.09883258027581,13658.042368,2.711552,1343.0,3.405000000000655,7538.520064,0.0,19305.0,53.6,22.25,36589.314048,861.0,,0.0007102309996298573,0.022006327000326564,0.015651493999939703,,,0.11146434100010083,,,,,0.005925253999976121,,
31,21,,,1681378160,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,320.0,12.528165817260742,,0.15641635900010442,0.0,0.0001,0.0006587120001313451,,0.0,9.0
32,21,,,1681378160,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0006933780000508705,0.021845956999641203,0.015653147000193712,352.0,12.824609756469727,0.1096203020001667,0.15423099000008733,0.0,0.0001,0.0006766260003132629,0.00574157999972158,0.0,10.0
33,22,,,1681378161,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0007262419999278791,0.021952062000309525,0.015306478000184143,384.0,12.635123252868652,0.11117126599992844,0.15554839400056153,0.0,0.0001,0.0006555250001838431,0.005736821000027703,0.0,11.0
34,22,,,1681378161,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0006828479999967385,0.021839605999957712,0.015439645000242308,416.0,12.539152145385742,0.11094288499998584,0.15538600099989708,0.0,0.0001,0.0006880279997858452,0.005792988999928639,0.0,12.0
35,22,,,1681378161,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0006613959999413055,0.022064899999804766,0.015168831999744725,448.0,12.618749618530273,0.10931102599988662,0.15381061899961423,0.0,0.0001,0.0008530560003237042,0.00575140899991311,0.0,13.0
36,22,,,1681378161,20.75,0.0,0.4840000000000373,10832.150528,0.024507175703177852,50809.0,1.4004351126380519,5096.321024,216.0,11987.337216,0.0,0.0,0.0,15.5,27591.0,65.69697305912922,13655.638016,2.711552,1409.0,3.4060000000008586,7538.520064,0.0,22711.0,53.6,22.25,36589.314048,867.0,,,,,,,,,,,,0.005635356000311731,,
