01_general/step,01_general/minibatch_loss,process/voluntary_proc_ctx_switches,01_general/locally_processed_samples,bandwidth/net_sent_sys_bandwidth_Mbits,_step,memory/available_memory_sys_MB,disk/counter/disk_read_sys_count,cpu/interrupts/ctx_switches_count,process/memory/data_resident_set_proc_MB,02_timing/step_time_s,01_general/step_based_sps,memory/used_memory_sys_percent,cpu/interrupts/interrupts_count,process/memory/lib_memory_proc_MB,_timestamp,disk/time/disk_read_time_sys_s,disk/time/disk_write_time_sys_s,process/memory/resident_set_size_proc_MB,process/memory/virtual_memory_size_proc_MB,cpu/logical_core_count,02_timing/backward_time_s,disk/time/disk_busy_time_sys_s,disk/counter/disk_write_sys_count,process/memory/shared_memory_proc_MB,01_general/lr,cpu/interrupts/soft_interrupts_count,process/involuntary_proc_ctx_switches,process/memory/text_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,bandwidth/disk_read_sys_bandwidth_MBs,bandwidth/disk_write_sys_bandwidth_MBs,cpu/load/avg_sys_load_five_min_percent,_runtime,02_timing/dataload_time_s,02_timing/opt_step_time_s,memory/used_memory_sys_MB,memory/total_memory_sys_MB,process/memory/dirty_pages_proc_count,bandwidth/net_recv_sys_bandwidth_Mbits,02_timing/forward_time_s,02_timing/loss_calc_time_s,01_general/dataset_iteration_count,02_timing/dataload_cuda_move_time_s,cpu/load/avg_sys_load_one_min_percent
37.0,12.793695449829102,,1216.0,,57,,,,,0.06785873100125173,471.56791068506317,,,,1680630454.0,,,,,,0.04748468700017838,,,,0.0001,,,,,,,,19,0.0006394500014721416,1.275000613532029e-06,,,,,0.019007068000064464,0.0005700839992641704,0.0,0.00015616699965903535,
38.0,12.659996032714844,,1248.0,,58,,,,,0.06832189899978403,468.37105625681096,,,,1680630454.0,,,,,,0.04836572299973341,,,,0.0001,,,,,,,,19,0.001039074999425793,1.2710006558336318e-06,,,,,0.018228902999908314,0.0005160330001672264,0.0,0.0001708939998934511,
39.0,12.611257553100586,,1280.0,,59,,,,,0.06744854999851668,474.43569951768774,,,,1680630454.0,,,,,,0.04725273499934701,,,,0.0001,,,,,,,,19,0.0007059380004648119,1.5699988580308855e-06,,,,,0.018730522999248933,0.0006003990001772763,0.0,0.00015738500042061787,
40.0,12.6640625,,1312.0,,60,,,,,0.06825394799670903,468.83734844968865,,,,1680630454.0,,,,,,0.047510725000392995,,,,0.0001,,,,,,,,19,0.001041804998749285,1.525000698165968e-06,,,,,0.01886464299968793,0.0006648999988101423,0.0,0.00017034999837051146,
41.0,12.634632110595703,,1344.0,,61,,,,,0.06797427699893888,470.7663165067506,,,,1680630455.0,,,,,,0.047418271999049466,,,,0.0001,,,,,,,,20,0.0009430949994566618,1.4170000213198364e-06,,,,,0.018883738999647903,0.00056933500127343,0.0,0.0001584189994900953,
42.0,12.682373046875,,1376.0,,62,,,,,0.06776380699739093,472.2284862364961,,,,1680630455.0,,,,,,0.048338110998884076,,,,0.0001,,,,,,,,20,0.0010792489993036725,1.4999986888142303e-06,,,,,0.017675393999525113,0.0005138529995747376,0.0,0.000155700001414516,
,,785.0,,0.3146187713688303,63,204907.044864,0.0,45877.0,0.0,,,2.9,49274.0,5232.259072,1680630455.0,0.0,0.07400000000001228,3338.539008,26741.32992,,,0.3039999999999736,187.0,651.198464,,39645.0,779.0,2.719744,5.566666666666666,0.0,0.044954661055650116,5.333333333333334,20,,,4404.985856,,0.0,72.05584827216732,,,,0.00015460400027222931,4.233333333333333
43.0,12.705957412719727,,1408.0,,64,,,,,0.06792949899863743,471.07663786305676,,,,1680630455.0,,,,,,0.04640484999981709,,,,0.0001,,,,,,,,20,0.0009816279998631217,1.6029989637900144e-06,,,,,0.01985441400029231,0.0005323999994288897,0.0,,
44.0,12.696795463562012,,1440.0,,65,,,,,0.06797512600314803,470.76043667087913,,,,1680630455.0,,,,,,0.047608097000193084,,,,0.0001,,,,,,,,20,0.001065405000190367,1.489001078880392e-06,,,,,0.018589474000691553,0.0005406140007835347,0.0,0.0001700470002106158,
45.0,12.75551986694336,,1472.0,,66,,,,,0.06768561999706435,472.77398066809315,,,,1680630455.0,,,,,,0.046509424999385374,,,,0.0001,,,,,,,,20,0.0009951769989129389,1.493999661761336e-06,,,,,0.019351592998646083,0.0006482970002252841,0.0,0.00017963400023290887,
46.0,12.893415451049805,,1504.0,,67,,,,,0.06806074499763781,470.16822988215347,,,,1680630455.0,,,,,,0.048355431001255056,,,,0.0001,,,,,,,,20,0.0009793069984880276,1.3640001270687208e-06,,,,,0.01804153199918801,0.0005220069997449173,0.0,0.00016110399883473292,
47.0,12.766160011291504,,1536.0,,68,,,,,0.06784873099968536,471.6374135302309,,,,1680630455.0,,,,,,0.04822935199990752,,,,0.0001,,,,,,,,20,0.0008675059998495271,1.5630012057954445e-06,,,,,0.018085755000356585,0.0005092189985589357,0.0,0.00015533599980699364,
48.0,12.62459945678711,,1568.0,,69,,,,,0.06797339100012323,470.7724527078837,,,,1680630455.0,,,,,,0.04766917099914281,,,,0.0001,,,,,,,,20,0.0011593760009418475,1.6529993445146829e-06,,,,,0.01840537200041581,0.0005837070002598921,0.0,0.00015411200001835823,
49.0,12.454004287719727,,1600.0,,70,,,,,0.06771668799956387,472.5570748558479,,,,1680630455.0,,,,,,0.04697832700003346,,,,0.0001,,,,,,,,20,0.0007054059988149675,1.4079996617510915e-06,,,,,0.019215457999962382,0.000654003000818193,0.0,0.0001620860002731206,
50.0,12.69288444519043,,1632.0,,71,,,,,0.06804375800129492,470.28560649738097,,,,1680630456.0,,,,,,0.04822621700077434,,,,0.0001,,,,,,,,21,0.0009500180003669811,1.4409997675102204e-06,,,,,0.01816229299947736,0.0005520550002984237,0.0,0.00015173400061030407,
51.0,12.678013801574707,,1664.0,,72,,,,,0.06751791500209947,473.94828467385224,,,,1680630456.0,,,,,,0.04752473200096574,,,,0.0001,,,,,,,,21,0.0006323930010694312,1.5650002751499414e-06,,,,,0.018584297000415972,0.0006176349997986108,0.0,0.00015729299957456533,
,,922.0,,0.16461456637923458,73,204908.99456,0.0,53811.0,0.0,,,2.9,56837.0,5232.283648,1680630456.0,0.0,0.07999999999998408,3338.809344,26741.32992,,,0.3480000000000132,201.0,651.198464,,46355.0,940.0,2.719744,5.566666666666666,0.0,0.11851801782311837,5.333333333333334,21,,,4403.306496,,0.0,83.48553491701882,0.017666515001110383,0.0005439420001494,,0.0001506730004621204,4.233333333333333
52.0,12.538476943969727,,1696.0,,74,,,,,0.06791146000068693,471.20176770866533,,,,1680630456.0,,,,,,0.04851521999989927,,,,0.0001,,,,,,,,21,0.001033754999298253,1.3549997674999759e-06,,,,,,,0.0,,
53.0,12.679095268249512,,1728.0,,75,,,,,0.0678775910018885,471.4368840684062,,,,1680630456.0,,,,,,0.04809481499978574,,,,0.0001,,,,,,,,21,0.000592041000345489,1.4750003174412996e-06,,,,,0.018495414000426535,0.0005446070008474635,0.0,0.00014923900016583502,
54.0,12.489243507385254,,1760.0,,76,,,,,0.0676583539989224,472.96450635659374,,,,1680630456.0,,,,,,0.04739751399938541,,,,0.0001,,,,,,,,21,0.0007216920002974803,1.2820000847568735e-06,,,,,0.0187165269999241,0.0006509710001409985,0.0,0.00017036799908964895,
55.0,12.629166603088379,,1792.0,,77,,,,,0.06733193200125243,475.2574157445055,,,,1680630456.0,,,,,,0.047269837001294945,,,,0.0001,,,,,,,,21,0.000648359000479104,1.4020006346981972e-06,,,,,0.01872978200117359,0.0005335579990060069,0.0,0.00014899399866408203,
