_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,02_timing/backward_time_s,02_timing/dataload_cuda_move_time_s,03_hivemind/num_peers,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
42,23,,,1681396910,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00045291699962035636,0.01917541800003164,0.008948988000156533,0.04832190500019351,0.003058678000343207,1.0,608.0,12.628279685974121,0.08078078300013658,0.0,0.0001,0.0008228769997913332,0.0,18.0
43,23,,,1681396910,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00046288699968499714,0.017848313000285998,0.00875506200009113,0.04910015799987377,0.0030354349996741803,1.0,640.0,12.593650817871094,0.07978799699958472,0.0,0.0001,0.0005861419999746431,0.0,19.0
44,23,,,1681396910,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004656280002564017,0.017951422999885835,0.008721523000076559,0.049008292999587866,0.0035616879999906814,1.0,672.0,12.7512845993042,0.08045640000000276,0.0,0.0001,0.000747845000205416,0.0,20.0
45,23,,,1681396910,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004597249999278574,0.017798425999899337,0.00879645699978937,0.049143941000238556,0.003723050000189687,1.0,704.0,12.6118745803833,0.08123680899961983,0.0,0.0001,0.0013152099995750177,0.0,21.0
46,23,,,1681396910,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005506380002771039,0.01936391299977913,0.008766478999859828,0.04712476399981824,0.0030217959997571597,1.0,736.0,12.75564193725586,0.0794609019994823,0.0,0.0001,0.0006333119999908376,0.0,22.0
47,23,,,1681396910,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00046982000003481517,0.01816015799977322,0.008867725000072824,0.04890386699980809,0.003513189999921451,1.0,768.0,12.706225395202637,0.0806921179996607,0.0,0.0001,0.0007773580000502989,0.0,23.0
48,23,,,1681396910,2.933333333333333,0.0,0.23199999999999932,11669.889024,0.03678557539383513,70710.0,1.8515166794963624,5136.412672,113.0,12471.365632,0.0,0.0,0.0,8.766666666666666,46565.0,54.66864977706622,193152.684032,2.719744,1488.0,0.08300000000002683,9950.027776,0.0,1114715.0,8.5,3.5666666666666664,40872.230912,304.0,0.00045864300000175717,0.018177725999976246,,,0.003487944999960746,,,,,,,,,
49,24,,,1681396911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008956732000115153,0.048831188999884034,,1.0,800.0,12.54377269744873,0.0806765729998915,0.0,0.0001,0.0007643379999535682,0.0,24.0
50,24,,,1681396911,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004818170000362443,0.01859701800003677,0.008771427000283438,0.047749397000188765,0.003128567000203475,1.0,832.0,12.678740501403809,0.0792745240005388,0.0,0.0001,0.000546297999790113,0.0,25.0
51,24,,,1681396911,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004641709997486032,0.01829440199981036,0.008799326000371366,0.04920834199992896,0.0029898950001552294,1.0,864.0,12.730642318725586,0.08030808000012257,0.0,0.0001,0.0005519440001080511,0.0,26.0
52,24,,,1681396911,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000451329000043188,0.017695055000331195,0.00904985699980898,0.04908741799999916,0.003749756000161142,1.0,896.0,12.539158821105957,0.08068450600057986,0.0,0.0001,0.0006510910002361925,0.0,27.0
