02_timing/step_time_s,02_timing/forward_time_s,01_general/step_based_sps,disk/time/disk_busy_time_sys_s,cpu/interrupts/interrupts_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,process/memory/data_resident_set_proc_MB,process/memory/resident_set_size_proc_MB,_timestamp,01_general/lr,01_general/minibatch_loss,cpu/load/avg_sys_load_fifteen_min_percent,process/memory/virtual_memory_size_proc_MB,02_timing/dataload_time_s,memory/total_memory_sys_MB,01_general/dataset_iteration_count,process/memory/shared_memory_proc_MB,cpu/load/avg_sys_load_five_min_percent,memory/used_memory_sys_MB,disk/time/disk_read_time_sys_s,01_general/locally_processed_samples,_step,02_timing/backward_time_s,disk/counter/disk_read_sys_count,cpu/interrupts/ctx_switches_count,process/voluntary_proc_ctx_switches,01_general/step,02_timing/opt_step_time_s,02_timing/loss_calc_time_s,disk/time/disk_write_time_sys_s,02_timing/dataload_cuda_move_time_s,process/memory/dirty_pages_proc_count,bandwidth/disk_write_sys_bandwidth_MBs,bandwidth/net_recv_sys_bandwidth_Mbits,_runtime,cpu/logical_core_count,memory/available_memory_sys_MB,memory/used_memory_sys_percent,process/involuntary_proc_ctx_switches,disk/counter/disk_write_sys_count,process/memory/lib_memory_proc_MB,cpu/interrupts/soft_interrupts_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/text_resident_set_proc_MB
0.1667635829999199,0.017141673999503837,191.888417269227,,,,,,,1680627109.0,0.0001,7.11328125,,,0.0030097970002316288,,0.0,,,,,448.0,25,0.14354478899986134,,,,13.0,1.624000105948653e-06,0.0005506979996425798,,0.002515001000574557,,,,11,,,,,,,,,
0.1661337409987027,0.01729224399969098,192.6158997421835,,,,,,,1680627109.0,0.0001,7.450927734375,,,0.0029940760005047196,,0.0,,,,,480.0,26,0.14288632099942333,,,,14.0,1.9139997675665654e-06,0.00044668499958788743,,0.0025125009997282177,,,,11,,,,,,,,,
,0.01696051500039175,,0.1279999999999859,36002.0,0.0,9.9,0.0,3833.987072,1680627109.0,,,4.566666666666666,27129.962496,,,,868.22912,5.0,4393.136128,0.0,,27,0.14203477299997758,0.0,21825.0,401.0,,2.0990000848541968e-06,0.0004273469994586776,0.09600000000000364,0.002461766000124044,0.0,0.10625927736703938,82.44365341369121,11,,204822.614016,3.0,105.0,106.0,5526.659072,30530.0,0.05439881124195651,2.719744
0.16470658000071126,,194.2848913495855,,,,,,,1680627109.0,0.0001,7.2388916015625,,,0.002820080000674352,,0.0,,,,,512.0,28,,,,,15.0,,,,,,,,11,,,,,,,,,
0.1646250929989037,0.017186903999572678,194.3810595157149,,,,,,,1680627110.0,0.0001,7.1322021484375,,,0.002883748000385822,,0.0,,,,,544.0,29,0.1415477419996023,,,,16.0,1.6670001059537753e-06,0.0004422049996719579,,0.0025628269995650044,,,,12,,,,,,,,,
0.1671467890000713,0.017203058999257337,191.44848783177252,,,,,,,1680627110.0,0.0001,7.00604248046875,,,0.0031769189999977243,,0.0,,,,,576.0,30,0.14379000900044048,,,,17.0,1.5440000424860045e-06,0.0004339320003055036,,0.002541326000027766,,,,12,,,,,,,,,
,0.01724263400046766,,0.14800000000002456,38503.0,0.0,9.9,0.0,3834.01984,1680627110.0,,,4.566666666666666,27130.22464,,,,868.225024,5.0,4390.89152,0.0,,31,0.14297203400019498,0.0,23347.0,423.0,,1.5870000424911268e-06,0.0004265259995008819,0.09699999999997999,0.002483108999513206,0.0,0.016348514525738513,83.76898216824338,12,,204824.41216,3.0,109.0,110.0,5526.921216,33616.0,0.1472803188270202,2.719744
0.1659189450001577,,192.86525718910272,,,,,,,1680627110.0,0.0001,7.29638671875,,,0.0027930550004384713,,0.0,,,,,608.0,32,,,,,18.0,,,,,,,,12,,,,,,,,,
0.16618444400046428,0.017096956000386854,192.55713248293324,,,,,,,1680627111.0,0.0001,7.40576171875,,,0.0029551550005635363,,0.0,,,,,640.0,33,0.1432162649998645,,,,19.0,1.497000084782485e-06,0.0004431389997989754,,0.0024714319997656276,,,,13,,,,,,,,,
0.16611358299996937,0.017079926999940653,192.6392738154706,,,,,,,1680627111.0,0.0001,7.2027587890625,,,0.0030178569995769067,,0.0,,,,,672.0,34,0.14309948400023131,,,,20.0,1.463999979023356e-06,0.0004272129999662866,,0.002487638000275183,,,,13,,,,,,,,,
,0.017616148000342946,,0.16399999999998727,41251.0,0.0,9.9,0.0,3834.023936,1680627111.0,,,4.566666666666666,27130.22464,,,,868.22912,5.0,4393.046016,0.0,,35,0.14145190300041577,0.0,24911.0,450.0,,1.6170006347238086e-06,0.0004706149993580766,0.09899999999998954,0.0026438369995958055,0.0,0.016348308385658365,86.67245678527617,13,,204823.134208,3.0,114.0,114.0,5526.921216,37161.0,0.06757247584312913,2.719744
0.16517066800042812,,193.73899971099624,,,,,,,1680627111.0,0.0001,7.096435546875,,,0.002986548000080802,,0.0,,,,,704.0,36,,,,,21.0,,,,,,,,13,,,,,,,,,
0.16628011699958734,0.017206581000209553,192.44634041290345,,,,,,,1680627112.0,0.0001,7.066650390625,,,0.003145560000120895,,0.0,,,,,736.0,37,0.14296349999949598,,,,22.0,1.607999365660362e-06,0.0004434649999893736,,0.002519403000405873,,,,14,,,,,,,,,
0.16551878300015233,0.017273690999900282,193.33153265131577,,,,,,,1680627112.0,0.0001,7.116943359375,,,0.0031023299998196308,,0.0,,,,,768.0,38,0.14223642500019196,,,,23.0,1.5380001059384085e-06,0.00043922700024268124,,0.0024655719998918357,,,,14,,,,,,,,,
,0.017326436000075773,,0.18000000000000682,44156.0,0.0,9.366666666666665,0.0,3834.253312,1680627112.0,,,4.566666666666666,27130.22464,,,,868.225024,4.966666666666667,4394.737664,0.0,,39,0.1427320940001664,0.0,26424.0,475.0,,1.7909997040987946e-06,0.0004391290003695758,0.0999999999999659,0.002509887000087474,0.0,0.016347441136299844,94.05226468746669,14,,204820.8896,3.0,118.0,118.0,5526.921216,41069.0,0.14944977556275912,2.719744
0.16595774500001426,,192.82016636221016,,,,,,,1680627112.0,0.0001,7.2431640625,,,0.002948407999610936,,0.0,,,,,800.0,40,,,,,24.0,,,,,,,,14,,,,,,,,,
0.16790543000024627,0.017297910000706906,190.58347308930428,,,,,,,1680627113.0,0.0001,7.0892333984375,,,0.0031292399999074405,,0.0,,,,,832.0,41,0.14442145399971196,,,,25.0,1.811000402085483e-06,0.00046404099975916324,,0.0025909739997587167,,,,15,,,,,,,,,
0.1662853689995245,0.017304066000178864,192.4402621381049,,,,,,,1680627113.0,0.0001,7.0948486328125,,,0.0029237789995022467,,0.0,,,,,864.0,42,0.142974661000153,,,,26.0,1.5339992387453094e-06,0.0004449380003279657,,0.0026363910001236945,,,,15,,,,,,,,,
,0.01714961199922982,,0.19600000000002638,46718.0,0.0,9.366666666666665,0.0,3834.261504,1680627113.0,,,4.566666666666666,27130.22464,,,,868.22912,4.966666666666667,4394.610688,0.0,,43,0.14230234899969219,0.0,27955.0,505.0,,1.7820002540247515e-06,0.0004427980002219556,0.10199999999997544,0.002518302999305888,0.0,0.049043548415837745,95.55625336827,15,,204821.139456,3.0,121.0,124.0,5526.921216,44256.0,0.06704374400193375,2.719744
0.16546592499889812,,193.39329230603278,,,,,,,1680627113.0,0.0001,7.3531494140625,,,0.0030510810001942446,,0.0,,,,,896.0,44,,,,,27.0,,,,,,,,15,,,,,,,,,
0.16724140099904616,0.017700877999232034,191.3401813716121,,,,,,,1680627114.0,0.0001,7.4713134765625,,,0.0030547120004484896,,0.0,,,,,928.0,45,0.14349216499977047,,,,28.0,1.8739992810878903e-06,0.00047379300031025195,,0.002517979000003834,,,,16,,,,,,,,,
0.16547493300004135,0.017013392000080785,193.38276450604155,,,,,,,1680627114.0,0.0001,7.1494140625,,,0.0028528650000225753,,0.0,,,,,960.0,46,0.14270852899971942,,,,29.0,1.6819994925754145e-06,0.00044093300039094174,,0.00245753200033505,,,,16,,,,,,,,,
,0.016995425000459363,,0.21600000000000819,49516.0,0.0,9.366666666666665,0.0,3834.257408,1680627114.0,,,4.566666666666666,27130.22464,,,,868.225024,4.966666666666667,4395.37664,0.0,,47,0.14339839999956894,0.0,30446.0,534.0,,1.907000296341721e-06,0.00043492999975569546,0.10499999999996135,0.002480750999893644,0.0,0.06947814538686126,100.73589523397118,16,,204819.922944,3.0,124.0,132.0,5526.921216,47842.0,0.1734399291120225,2.719744
0.16616233900003863,,192.5827488501625,,,,,,,1680627114.0,0.0001,7.177978515625,,,0.0028509260000646464,,0.0,,,,,992.0,48,,,,,30.0,,,,,,,,16,,,,,,,,,
0.167089410000699,0.017229375000169966,191.51423181077803,,,,,,,1680627115.0,0.0001,7.30322265625,,,0.003151674000037019,,0.0,,,,,1024.0,49,0.14366727900051046,,,,31.0,1.97000008483883e-06,0.0004738039997391752,,0.002565308000157529,,,,17,,,,,,,,,
0.16484239999954298,0.017093040999498044,194.1248125487661,,,,,,,1680627115.0,0.0001,7.3575439453125,,,0.0029384230001596734,,0.0,,,,,1056.0,50,0.14187384599972575,,,,32.0,1.7219999790540896e-06,0.00043315299990354106,,0.0025022150002769195,,,,17,,,,,,,,,
,0.017069783000806638,,0.23200000000002774,51944.0,0.0,9.366666666666665,0.0,3834.261504,1680627115.0,,,4.566666666666666,27130.22464,,,,868.22912,4.966666666666667,4396.048384,0.0,,51,0.14440166000076715,0.0,33468.0,561.0,,1.6789999790489674e-06,0.00044028299998899456,0.10599999999999454,0.002447840999593609,0.0,0.01634861176000509,93.66901982628114,17,,204820.176896,3.0,129.0,136.0,5526.921216,51037.0,0.056509679020006254,2.719744
0.16729595300057554,,191.27778900838032,,,,,,,1680627115.0,0.0001,7.06396484375,,,0.0029347069994400954,,0.0,,,,,1088.0,52,,,,,33.0,,,,,,,,17,,,,,,,,,
0.1672132480016444,0.017114464000769658,191.37239652019264,,,,,,,1680627116.0,0.0001,7.3204345703125,,,0.00272885899994435,,0.0,,,,,1120.0,53,0.14442526000038924,,,,34.0,1.5660007193218917e-06,0.0004549059995042626,,0.002488193000317551,,,,18,,,,,,,,,
0.16593642000043474,0.017109350000282575,192.84494627470065,,,,,,,1680627116.0,0.0001,7.063232421875,,,0.0029255939998620306,,0.0,,,,,1152.0,54,0.1429243630000201,,,,35.0,1.742000677040778e-06,0.0004411099998833379,,0.002534260999709659,,,,18,,,,,,,,,
,0.017618603999835614,,0.24799999999999045,54306.0,0.0,9.366666666666665,0.0,3834.261504,1680627116.0,,,4.566666666666666,27130.22464,,,,868.225024,4.966666666666667,4392.472576,0.0,,55,0.14244892300030187,0.0,36967.0,586.0,,2.1519999791053124e-06,0.0004557729998850846,0.1069999999999709,0.002586562999567832,0.0,0.01634828116821764,91.10862768761153,18,,204823.20384,3.0,134.0,140.0,5526.921216,54365.0,0.15645815959581416,2.719744
0.16614336899965565,,192.60473765923408,,,,,,,1680627116.0,0.0001,7.091552734375,,,0.0030313540000861394,,0.0,,,,,1184.0,56,,,,,36.0,,,,,,,,18,,,,,,,,,
0.16811408400008077,0.017113865000283113,190.3469313135277,,,,,,,1680627117.0,0.0001,7.349609375,,,0.0029892680004195427,,0.0,,,,,1216.0,57,0.1450316339996789,,,,37.0,1.4409997675102204e-06,0.0004534429999694112,,0.0025244329999623005,,,,19,,,,,,,,,
0.1660639749998154,0.01729832700038969,192.69682060805525,,,,,,,1680627117.0,0.0001,7.1668701171875,,,0.002879417999793077,,0.0,,,,,1248.0,58,0.1429069129999334,,,,38.0,1.4930001270840876e-06,0.0004614669996954035,,0.0025163569998767343,,,,19,,,,,,,,,
,0.017291911999564036,,0.26400000000001,56886.0,0.0,8.9,0.0,3834.269696,1680627117.0,,,4.566666666666666,27130.22464,,,,868.22912,4.933333333333334,4393.08288,0.0,,59,0.14326591000008193,0.0,40985.0,608.0,,1.70499970408855e-06,0.0004538279999906081,0.10800000000000409,0.002559165000093344,0.0,0.016348973474370764,105.92849568154499,19,,204822.69184,3.0,137.0,144.0,5526.921216,57976.0,0.08285449010846553,2.719744
0.16663718599920685,,192.0339677372631,,,,,,,1680627117.0,0.0001,7.2569580078125,,,0.003064665999772842,,0.0,,,,,1280.0,60,,,,,39.0,,,,,,,,19,,,,,,,,,
0.16651845400156162,0.017103936999774305,192.17089296120838,,,,,,,1680627118.0,0.0001,7.382568359375,,,0.002953306000563316,,0.0,,,,,1312.0,61,0.14354476100015745,,,,40.0,1.5750001693959348e-06,0.00043246600034763105,,0.0024824090005495236,,,,20,,,,,,,,,
0.16625131699947815,0.017151226999885694,192.4796782217397,,,,,,,1680627118.0,0.0001,7.0662841796875,,,0.0029560310003944323,,0.0,,,,,1344.0,62,0.14314225499947497,,,,41.0,1.731999873300083e-06,0.00045656099973712116,,0.0025435110001126304,,,,20,,,,,,,,,
,0.017100623000260384,,0.2839999999999918,59151.0,0.0,8.9,0.0,3834.2656,1680627118.0,,,4.566666666666666,27130.22464,,,,868.225024,4.933333333333334,4395.986944,0.0,,63,0.1436913369998365,0.0,44540.0,630.0,,1.897999936772976e-06,0.00043438299962872406,0.11099999999999,0.0024743009998928756,0.0,0.04904641868876409,90.55802542752048,20,,204819.771392,3.0,142.0,150.0,5526.929408,61100.0,0.14883161296233838,2.719744
0.16668374599976232,,191.98032662432263,,,,,,,1680627118.0,0.0001,7.3431396484375,,,0.0029812040002070717,,0.0,,,,,1376.0,64,,,,,42.0,,,,,,,,20,,,,,,,,,
0.16803659099969082,0.017095272000005934,190.43471311590034,,,,,,,1680627119.0,0.0001,7.4068603515625,,,0.0028207200002725585,,0.0,,,,,1408.0,65,0.1452261879994694,,,,43.0,1.686999894445762e-06,0.000436033000369207,,0.0024566909996792674,,,,21,,,,,,,,,
0.16502533400034736,0.016950341000665503,193.90962117327177,,,,,,,1680627119.0,0.0001,7.2760009765625,,,0.0027474739999888698,,0.0,,,,,1440.0,66,0.14246941700002935,,,,44.0,1.5300001905416138e-06,0.00041410099947825074,,0.002442470999994839,,,,21,,,,,,,,,
,0.017872796999654383,,0.30400000000003047,61441.0,0.0,8.9,0.0,3834.269696,1680627119.0,,,4.566666666666666,27130.22464,,,,868.22912,4.933333333333334,4403.662848,0.0,,67,0.14283295899986115,0.0,48257.0,651.0,,1.6269996194751002e-06,0.0004413010001371731,0.11599999999998545,0.0025217299998985254,0.0,0.12261601755439988,93.74834333841824,21,,204812.099584,3.0,148.0,163.0,5526.9376,64165.0,0.0654670546836184,2.719744
0.16658371599896782,,192.0956067530531,,,,,,,1680627119.0,0.0001,7.0556640625,,,0.0029133019997971132,,0.0,,,,,1472.0,68,,,,,45.0,,,,,,,,21,,,,,,,,,
