04_peers/peer_3_epoch_oos,04_peers/peer_5_samples_per_second,04_peers/peer_8_samples_accumulated,03_hivemind/estimated_current_samples,_runtime,04_peers/peer_2_samples_per_second,04_peers/peer_5_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,_timestamp,03_hivemind/epoch_s,04_peers/peer_1_epoch,03_hivemind/reached_TBS,04_peers/peer_4_samples_per_second,_step,03_hivemind/num_peers,04_peers/peer_2_epoch,03_hivemind/global_epoch,03_hivemind/undershot_TBS,04_peers/peer_1_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_6_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/next_fetch_time_s,03_hivemind/total_training_samples,04_peers/peer_7_samples_per_second,04_peers/peer_4_samples_accumulated,03_hivemind/global_samples_accumulated,03_hivemind/overshot_TBS,04_peers/peer_8_epoch_oos,04_peers/peer_1_samples_per_second,04_peers/peer_8_samples_per_second,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated,04_peers/peer_6_samples_accumulated,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_6_epoch,04_peers/peer_8_epoch,04_peers/peer_2_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_3_samples_per_second,04_peers/peer_6_samples_per_second,04_peers/peer_7_samples_accumulated,03_hivemind/num_clients,04_peers/peer_5_epoch,04_peers/peer_7_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_7_epoch_oos,04_peers/peer_3_samples_accumulated
0.0,430.75,4096.0,39414,124,441.68,4160.0,,3548.8405756449615,3548.8405756449615,1680699540.0,,1.0,,471.95,24,8,1.0,1,,0.0,0.0,0.0,0.0,0.5,,431.23,4192.0,32768,,0.0,436.79,450.32,3712.0,4160.0,4160.0,1.0,1.0,1.0,1.0,0.0,,448.91,437.21,4128.0,0,1.0,1.0,0.0,0.0,4160.0
0.0,430.75,4096.0,44414,125,441.68,4160.0,,3548.8405756449615,3548.8405756449615,1680699541.0,,1.0,,471.95,25,8,1.0,1,,0.0,0.0,0.0,0.0,0.5,,431.23,4192.0,32768,,0.0,436.79,450.32,3712.0,4160.0,4160.0,1.0,1.0,1.0,1.0,0.0,,448.91,437.21,4128.0,0,1.0,1.0,0.0,0.0,4160.0
0.0,430.75,4096.0,49386,126,441.68,4160.0,,3548.8405756449615,3548.8405756449615,1680699542.0,,1.0,,471.95,26,8,1.0,1,,0.0,0.0,0.0,0.0,0.5,,431.23,4192.0,32768,,0.0,436.79,450.32,3712.0,4160.0,4160.0,1.0,1.0,1.0,1.0,0.0,,448.91,437.21,4128.0,0,1.0,1.0,0.0,0.0,4160.0
0.0,430.75,4096.0,54383,128,441.68,4160.0,,3548.8405756449615,3548.8405756449615,1680699544.0,,1.0,,471.95,27,8,1.0,1,,0.0,0.0,0.0,0.0,0.5,,431.23,4192.0,32768,,0.0,436.79,450.32,3712.0,4160.0,4160.0,1.0,1.0,1.0,1.0,0.0,,448.91,437.21,4128.0,0,1.0,1.0,0.0,0.0,4160.0
0.0,430.75,4096.0,59316,129,441.68,4160.0,,3548.8405756449615,3548.8405756449615,1680699545.0,,1.0,,471.95,28,8,1.0,1,,0.0,0.0,0.0,0.0,0.5,,431.23,4192.0,32768,,0.0,436.79,450.32,3712.0,4160.0,4160.0,1.0,1.0,1.0,1.0,0.0,,448.91,437.21,4128.0,0,1.0,1.0,0.0,0.0,4160.0
0.0,430.75,4096.0,64268,131,441.68,4160.0,,3548.8405756449615,3548.8405756449615,1680699547.0,,1.0,,471.95,29,8,1.0,1,,0.0,0.0,0.0,0.0,0.5,,431.23,4192.0,32768,,0.0,436.79,450.32,3712.0,4160.0,4160.0,1.0,1.0,1.0,1.0,0.0,,448.91,437.21,4128.0,0,1.0,1.0,0.0,0.0,4160.0
0.0,430.75,4096.0,69256,132,441.68,4160.0,,3548.8405756449615,3548.8405756449615,1680699548.0,,1.0,,471.95,30,8,1.0,1,,0.0,0.0,0.0,0.0,0.5,,431.23,4192.0,32768,,0.0,436.79,450.32,3712.0,4160.0,4160.0,1.0,1.0,1.0,1.0,0.0,,448.91,437.21,4128.0,0,1.0,1.0,0.0,0.0,4160.0
0.0,430.75,4096.0,74213,133,441.68,4160.0,,3548.8405756449615,3548.8405756449615,1680699549.0,,1.0,,471.95,31,8,1.0,1,,0.0,0.0,0.0,0.0,0.5,,431.23,4192.0,32768,,0.0,436.79,450.32,3712.0,4160.0,4160.0,1.0,1.0,1.0,1.0,0.0,,448.91,437.21,4128.0,0,1.0,1.0,0.0,0.0,4160.0
0.0,430.75,4096.0,79159,135,441.68,4160.0,,3548.8405756449615,3548.8405756449615,1680699551.0,,1.0,,471.95,32,8,1.0,1,,0.0,0.0,0.0,0.0,0.5,,431.23,4192.0,32768,,0.0,436.79,450.32,3712.0,4160.0,4160.0,1.0,1.0,1.0,1.0,0.0,,448.91,437.21,4128.0,0,1.0,1.0,0.0,0.0,4160.0
0.0,430.75,4096.0,6266,136,441.68,4160.0,,3901.5805101480396,3901.5805101480396,1680699552.0,,1.0,,471.95,33,8,1.0,2,,0.0,0.0,0.0,6.79,4.94,,431.23,4192.0,5600,,0.0,436.79,450.32,3712.0,4160.0,4160.0,1.0,1.0,1.0,1.0,0.0,,448.91,437.21,4128.0,0,1.0,1.0,0.0,0.0,4160.0
0.0,488.45,768.0,11562,138,494.12,704.0,32768.0,3899.7595012214542,3899.7595012214542,1680699554.0,22.393210337031633,2.0,1.0,504.11,34,8,2.0,2,0.0,0.0,0.0,0.0,5.44,3.95,65632.0,500.74,704.0,10912,1.0,0.0,449.68,528.87,672.0,704.0,704.0,2.0,2.0,2.0,2.0,0.0,1463.3006838600354,446.4,489.2,704.0,0,2.0,2.0,0.0,0.0,640.0
0.0,509.39,1408.0,16347,139,506.06,1376.0,,3594.261172758005,3594.261172758005,1680699555.0,,2.0,,466.16,35,8,2.0,2,,0.0,0.0,0.0,4.57,3.32,,486.01,1376.0,15712,,0.0,462.62,493.54,1312.0,1376.0,1344.0,2.0,2.0,2.0,2.0,0.0,,471.89,504.1,1376.0,0,2.0,2.0,0.0,0.0,1344.0
0.0,433.88,2016.0,21669,140,421.33,1920.0,,3738.3808772736606,3738.3808772736606,1680699556.0,,2.0,,443.82,36,8,2.0,2,,0.0,0.0,0.0,2.97,2.16,,484.09,1984.0,21056,,0.0,492.92,448.3,1984.0,1952.0,1920.0,2.0,2.0,2.0,2.0,0.0,,441.08,428.85,2016.0,0,2.0,2.0,0.0,0.0,1920.0
