_runtime,03_hivemind/num_peers,02_timing/forward_time_s,disk/time/disk_read_time_sys_s,cpu/load/avg_sys_load_one_min_percent,cpu/load/avg_sys_load_fifteen_min_percent,03_hivemind/global_epoch,02_timing/dataload_time_s,memory/used_memory_sys_percent,cpu/interrupts/ctx_switches_count,01_general/locally_processed_samples,bandwidth/disk_read_sys_bandwidth_MBs,01_general/lr,process/memory/lib_memory_proc_MB,process/voluntary_proc_ctx_switches,cpu/load/avg_sys_load_five_min_percent,01_general/step,cpu/logical_core_count,process/memory/shared_memory_proc_MB,process/memory/dirty_pages_proc_count,bandwidth/net_recv_sys_bandwidth_Mbits,bandwidth/net_sent_sys_bandwidth_Mbits,_timestamp,02_timing/step_time_s,01_general/minibatch_loss,memory/used_memory_sys_MB,disk/time/disk_write_time_sys_s,process/memory/text_resident_set_proc_MB,02_timing/opt_step_time_s,memory/available_memory_sys_MB,disk/counter/disk_read_sys_count,disk/counter/disk_write_sys_count,process/involuntary_proc_ctx_switches,bandwidth/disk_write_sys_bandwidth_MBs,_step,02_timing/loss_calc_time_s,memory/total_memory_sys_MB,disk/time/disk_busy_time_sys_s,02_timing/dataload_cuda_move_time_s,cpu/interrupts/soft_interrupts_count,02_timing/backward_time_s,cpu/interrupts/interrupts_count,01_general/dataset_iteration_count,process/memory/data_resident_set_proc_MB,process/memory/resident_set_size_proc_MB,process/memory/virtual_memory_size_proc_MB
28,9.0,,,,,0.0,0.0031806277111172676,,,576.0,,0.0001,,,,17.0,,,,,,1681395448.0,0.20132426405325532,7.00604248046875,,,,0.04422211740165949,,,,,,46,,,,,,0.12213331507518888,,0.0,,,
29,9.0,0.026903875172138214,,,,0.0,0.0030932151712477207,,,608.0,,0.0001,,,,18.0,,,,,,1681395449.0,0.20138287311419845,7.2960205078125,,,,0.04439374106004834,,,,,,47,0.0007935189642012119,,,0.004329714924097061,,0.1218688078224659,,0.0,,,
29,9.0,0.026769411750137806,,,,0.0,0.0029647620394825935,,,640.0,,0.0001,,,,19.0,,,,,,1681395449.0,0.20171263115480542,7.40576171875,,,,0.043878227937966585,,,,,,48,0.000868520699441433,,,0.004502348601818085,,0.12272936012595892,,0.0,,,
29,,,0.0,9.34375,1.03125,,,7.2,87379.0,,0.0,,9077.854208,1297.0,2.40625,,,2394.169344,0.0,84.28341888959216,2.0000219276616287,1681395449.0,,,7606.378496,0.4220000000004802,2.854912,,236991.258624,0.0,211.0,365.0,0.016314809079820816,49,,,0.2680000000000291,,132192.0,,1327410.0,,0.0,6256.55808,36591.525888
29,9.0,0.02743316814303398,,,,0.0,0.0031821466982364655,,,672.0,,0.0001,,,,20.0,,,,,,1681395449.0,0.20167446043342352,7.2030029296875,,,,0.04402486188337207,,,,,,50,0.000780048780143261,,,0.004857807885855436,,0.1213964270427823,,0.0,,,
30,9.0,0.02702917903661728,,,,0.0,0.0029460806399583817,,,704.0,,0.0001,,,,21.0,,,,,,1681395450.0,0.2005039043724537,7.0963134765625,,,,0.04414978623390198,,,,,,51,0.0008399602957069874,,,0.003745481837540865,,0.1217934163287282,,0.0,,,
30,,0.026578277815133333,0.0,9.34375,1.03125,,,7.2,91506.0,,0.0,,9077.8624,1357.0,2.40625,,,2402.820096,0.0,78.82082197266904,2.210331941751229,1681395450.0,,,7606.90688,0.4260000000003856,2.854912,0.044105753768235445,236971.97056,0.0,218.0,367.0,0.07752838206052848,52,0.000847160816192627,,0.2880000000000109,0.003705149982124567,135652.0,0.12249129405245185,1332079.0,,0.0,6265.212928,36591.525888
30,9.0,,,,,0.0,0.0032487190328538418,,,736.0,,0.0001,,,,22.0,,,,,,1681395450.0,0.20097635546699166,7.066650390625,,,,,,,,,,53,,,,,,,,0.0,,,
30,9.0,0.026454254984855652,,,,0.0,0.002918852027505636,,,768.0,,0.0001,,,,23.0,,,,,,1681395450.0,0.20032228389754891,7.1168212890625,,,,0.04388882918283343,,,,,,54,0.0008772620931267738,,,0.0037054712884128094,,0.12247761432081461,,0.0,,,
31,9.0,0.026866314001381397,,,,0.0,0.0031991680152714252,,,800.0,,0.0001,,,,24.0,,,,,,1681395451.0,0.19980025617405772,7.2431640625,,,,0.043733454775065184,,,,,,55,0.0008467012085020542,,,0.003315160982310772,,0.12183945719152689,,0.0,,,
31,,0.02636654209345579,0.0,9.34375,1.03125,,,7.2,95910.0,,0.0,,9077.870592,1405.0,2.40625,,,2402.816,0.0,51.14998724598351,2.4832640940577417,1681395451.0,,,7604.06016,0.4279999999998836,2.854912,0.04391248011961579,236974.81728,0.0,223.0,367.0,0.020406567959084312,56,0.0008107898756861687,,0.31199999999989814,0.003690659999847412,138693.0,0.12235863134264946,1336471.0,,0.0,6265.212928,36591.525888
31,9.0,,,,,0.0,0.003148956224322319,,,832.0,,0.0001,,,,25.0,,,,,,1681395451.0,0.20028805965557694,7.089111328125,,,,,,,,,,57,,,,,,,,0.0,,,
31,9.0,0.031153748743236065,,,,0.0,0.00308933574706316,,,864.0,,0.0001,,,,26.0,,,,,,1681395451.0,0.20028833858668804,7.0948486328125,,,,0.04379565687850118,,,,,,58,0.0011119269765913486,,,0.0038280929438769817,,0.11730957729741931,,0.0,,,
32,9.0,0.026346232276409864,,,,0.0,0.0030634040012955666,,,896.0,,0.0001,,,,27.0,,,,,,1681395452.0,0.20013175485655665,7.3531494140625,,,,0.043935731053352356,,,,,,59,0.0007596178911626339,,,0.00347582483664155,,0.12255094479769468,,0.0,,,
32,,0.026587268337607384,0.0,8.859375,1.046875,,,7.2,101315.0,,0.0,,9077.874688,1450.0,2.421875,,,2402.816,0.0,115.37700951696462,2.338338487619209,1681395452.0,,,7623.92576,0.43100000000049477,2.854912,,236974.047232,0.0,227.0,368.0,0.016314193244096952,60,0.0008302400819957256,,0.33199999999987995,0.0037135002203285694,143035.0,,1342822.0,,0.0,6265.217024,36591.525888
32,9.0,,,,,0.0,0.0034632040187716484,,,928.0,,0.0001,,,,28.0,,,,,,1681395452.0,0.20129467407241464,7.4713134765625,,,,0.04409279441460967,,,,,,61,,,,,,0.12260766699910164,,0.0,,,
33,9.0,0.026095286011695862,,,,0.0,0.0031335772946476936,,,960.0,,0.0001,,,,29.0,,,,,,1681395453.0,0.20048730541020632,7.149169921875,,,,0.043816658202558756,,,,,,62,0.0008411700837314129,,,0.0035993079654872417,,0.12300130585208535,,0.0,,,
33,9.0,0.026211928110569715,,,,0.0,0.0033142208121716976,,,992.0,,0.0001,,,,30.0,,,,,,1681395453.0,0.20022657793015242,7.177978515625,,,,0.04397652205079794,,,,,,63,0.0008116299286484718,,,0.0034784642048180103,,0.12243381282314658,,0.0,,,
33,,0.02587207965552807,0.0,8.859375,1.046875,,,7.2,106574.0,,0.0,,9077.878784,1512.0,2.421875,,,2402.816,0.0,98.9215412669385,1.946894239432884,1681395453.0,,,7624.68352,0.4320000000006985,2.854912,,236973.289472,0.0,231.0,370.0,0.016308594758151957,64,0.0007440582849085331,,0.34799999999995634,0.003672440070658922,146438.0,,1347722.0,,0.0,6265.286656,36591.525888
33,9.0,,,,,0.0,0.0036678100004792213,,,1024.0,,0.0001,,,,31.0,,,,,,1681395453.0,0.20087696332484484,7.3028564453125,,,,0.04410002427175641,,,,,,65,,,,,,0.12282055104151368,,0.0,,,
34,9.0,0.026094566099345684,,,,0.0,0.003120856359601021,,,1056.0,,0.0001,,,,32.0,,,,,,1681395454.0,0.19999132212251425,7.357421875,,,,0.04388301866129041,,,,,,66,0.0006555658765137196,,,0.003524706233292818,,0.1227126088924706,,0.0,,,
34,,0.02624292904511094,0.0,8.859375,1.046875,,,7.3,111828.0,,0.0,,9077.886976,1545.0,2.421875,,,2402.824192,0.0,87.06340363681679,1.961331930608431,1681395454.0,,,7633.211392,0.43400000000019645,2.854912,0.044052022974938154,236945.149952,0.0,234.0,372.0,0.012234230427307608,67,0.0007156878709793091,,0.35999999999989996,0.00425497442483902,149535.0,0.12279943097382784,1351944.0,,0.0,6265.315328,36591.525888
34,9.0,,,,,0.0,0.0032376390881836414,,,1088.0,,0.0001,,,,33.0,,,,,,1681395454.0,0.2013026843778789,7.064208984375,,,,,,,,,,68,,,,,,,,0.0,,,
34,9.0,0.02543227979913354,,,,0.0,0.0029092803597450256,,,1120.0,,0.0001,,,,34.0,,,,,,1681395454.0,0.20028921775519848,7.3203125,,,,0.043997091706842184,,,,,,69,0.0006701359525322914,,,0.0034198230132460594,,0.12386060692369938,,0.0,,,
35,9.0,0.025460821110755205,,,,0.0,0.0031525669619441032,,,1152.0,,0.0001,,,,35.0,,,,,,1681395455.0,0.20119480323046446,7.0633544921875,,,,0.04412986524403095,,,,,,70,0.0006589158438146114,,,0.003520336002111435,,0.12427229806780815,,0.0,,,
35,,0.025529232807457447,0.0,8.859375,1.046875,,,7.3,117833.0,,0.0,,9077.891072,1592.0,2.421875,,,2402.824192,0.0,80.55526463366475,1.8518827942820668,1681395455.0,,,7634.501632,0.43699999999989814,2.854912,0.043956580106168985,236943.859712,0.0,240.0,373.0,0.04078352729265614,71,0.00067167729139328,,0.37199999999984357,0.0037619811482727528,152447.0,0.1238803081214428,1356010.0,,0.0,6265.32352,36591.525888
35,9.0,,,,,0.0,0.003214768134057522,,,1184.0,,0.0001,,,,36.0,,,,,,1681395455.0,0.20101454760879278,7.0919189453125,,,,,,,,,,72,,,,,,,,0.0,,,
35,9.0,0.025335798040032387,,,,0.0,0.003116966225206852,,,1216.0,,0.0001,,,,37.0,,,,,,1681395455.0,0.20045366510748863,7.3497314453125,,,,0.043955781031399965,,,,,,73,0.0006135948933660984,,,0.003430963959544897,,0.12400056095793843,,0.0,,,
36,9.0,0.02610027603805065,,,,0.0,0.003254610113799572,,,1248.0,,0.0001,,,,38.0,,,,,,1681395456.0,0.20122098177671432,7.1671142578125,,,,0.044076093938201666,,,,,,74,0.001009264960885048,,,0.0035707857459783554,,0.12320995097979903,,0.0,,,
