04_peers/peer_2_epoch_oos,03_hivemind/total_training_samples,_step,04_peers/peer_1_epoch,03_hivemind/epoch_s,04_peers/peer_2_epoch,03_hivemind/overshot_TBS,_runtime,03_hivemind/num_peers,03_hivemind/global_epoch,03_hivemind/eta_next_epoch_s,04_peers/peer_1_samples_per_second,04_peers/peer_2_samples_accumulated,03_hivemind/estimated_current_samples,04_peers/peer_1_epoch_oos,03_hivemind/epoch_based_sps,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_per_second,03_hivemind/reached_TBS,03_hivemind/undershot_TBS,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,03_hivemind/global_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/optimistic_total_samples_per_second
0.0,,54,2.0,,2.0,,113,2,2,8.3,356.69,576.0,2130,0.0,,3.32,359.9,,,730.4521820018726,1680688301.0,0,576.0,2048,,730.4521820018726
0.0,,55,2.0,,2.0,,114,2,2,7.12,363.5,1024.0,2996,0.0,,2.85,366.95,,,729.7981724325512,1680688302.0,0,1024.0,2880,,729.7981724325512
0.0,,56,2.0,,2.0,,115,2,2,5.89,364.66,1440.0,3871,0.0,,2.35,365.14,,,734.04414450163,1680688303.0,0,1440.0,3776,,734.04414450163
0.0,,57,2.0,,2.0,,116,2,2,4.69,365.61,1888.0,4745,0.0,,1.88,368.43,,,735.2832840687195,1680688304.0,0,1888.0,4672,,735.2832840687195
0.0,,58,2.0,,2.0,,118,2,2,3.51,366.41,2336.0,5618,0.0,,1.4,368.87,,,734.2376817603376,1680688306.0,0,2336.0,5504,,734.2376817603376
0.0,,59,2.0,,2.0,,119,2,2,2.32,365.73,2752.0,6490,0.0,,0.93,368.51,,,733.5243061704995,1680688307.0,0,2752.0,6400,,733.5243061704995
0.0,,60,2.0,,2.0,,120,2,2,1.13,365.23,3200.0,7361,0.0,,0.5,368.29,,,733.0424901686908,1680688308.0,0,3200.0,7264,,733.0424901686908
0.0,,61,2.0,,2.0,,121,2,2,0.0,365.18,3648.0,8234,0.0,,0.5,367.86,,,731.7587940496494,1680688309.0,0,3616.0,8128,,731.7587940496494
0.0,,62,2.0,,2.0,,122,2,2,0.0,365.43,4064.0,9108,0.0,,0.5,366.33,,,732.2527223882114,1680688310.0,0,4064.0,8224,,732.2527223882114
0.0,,63,2.0,,2.0,,124,2,2,0.0,365.53,4128.0,9981,0.0,,0.5,366.72,,,732.2527223882114,1680688312.0,0,4096.0,8224,,732.2527223882114
0.0,,64,2.0,,2.0,,125,2,2,0.0,365.53,4128.0,10852,0.0,,0.5,366.72,,,732.2527223882114,1680688313.0,0,4096.0,8224,,732.2527223882114
0.0,,65,2.0,,2.0,,126,2,2,0.0,365.53,4128.0,11723,0.0,,0.5,366.72,,,732.2527223882114,1680688314.0,0,4096.0,8224,,732.2527223882114
0.0,,66,2.0,,2.0,,127,2,2,0.0,365.53,4128.0,12594,0.0,,0.5,366.72,,,732.2527223882114,1680688315.0,0,4096.0,8224,,732.2527223882114
0.0,,67,2.0,,2.0,,128,2,2,0.0,365.53,4128.0,13462,0.0,,0.5,366.72,,,732.2527223882114,1680688316.0,0,4096.0,8224,,732.2527223882114
0.0,,68,2.0,,2.0,,130,2,2,0.0,365.53,4128.0,14338,0.0,,0.5,366.72,,,732.2527223882114,1680688318.0,0,4096.0,8224,,732.2527223882114
0.0,,69,2.0,,2.0,,131,2,2,0.0,365.53,4128.0,15211,0.0,,0.5,366.72,,,732.2527223882114,1680688319.0,0,4096.0,8224,,732.2527223882114
0.0,,70,2.0,,2.0,,132,2,2,0.0,365.53,4128.0,16078,0.0,,0.5,366.72,,,732.2527223882114,1680688320.0,0,4096.0,8224,,732.2527223882114
0.0,,71,2.0,,2.0,,133,2,2,0.0,365.53,4128.0,16948,0.0,,0.5,366.72,,,732.2527223882114,1680688321.0,0,4096.0,8224,,732.2527223882114
0.0,,72,2.0,,2.0,,134,2,2,0.0,365.53,4128.0,17818,0.0,,0.5,366.72,,,732.2527223882114,1680688322.0,0,4096.0,8224,,732.2527223882114
0.0,,73,2.0,,2.0,,135,2,2,0.0,365.53,4128.0,18691,0.0,,0.5,366.72,,,732.2527223882114,1680688323.0,0,4096.0,8224,,732.2527223882114
0.0,,74,2.0,,2.0,,137,2,2,0.0,365.53,4128.0,19563,0.0,,0.5,366.72,,,732.2527223882114,1680688325.0,0,4096.0,8224,,732.2527223882114
0.0,,75,2.0,,2.0,,138,2,3,9.95,365.53,4128.0,907,0.0,,3.98,366.72,,,732.2527223882114,1680688326.0,0,4096.0,0,,732.2527223882114
0.0,24672.0,76,3.0,27.35254984907806,3.0,3.0,139,2,3,8.76,365.53,0.0,1780,0.0,300.66666710698627,3.5,366.72,0.0,0.0,732.2527223882114,1680688327.0,0,0.0,0,8224.0,732.2527223882114
0.0,,77,3.0,,3.0,,140,2,3,7.57,365.53,0.0,2652,0.0,,3.03,366.72,,,732.2527223882114,1680688328.0,0,0.0,0,,732.2527223882114
0.0,,78,3.0,,3.0,,141,2,3,6.38,365.53,0.0,3520,0.0,,2.55,366.72,,,732.2527223882114,1680688329.0,0,0.0,0,,732.2527223882114
0.0,,79,3.0,,3.0,,145,2,3,2.35,365.53,0.0,6468,0.0,,0.94,366.72,,,732.2527223882114,1680688333.0,0,0.0,0,,732.2527223882114
0.0,,80,3.0,,3.0,,146,2,3,1.32,365.53,0.0,7222,0.0,,0.53,366.72,,,732.2527223882114,1680688334.0,0,0.0,0,,732.2527223882114
0.0,,81,3.0,,3.0,,148,2,3,0.31,365.53,0.0,7968,0.0,,0.5,366.72,,,732.2527223882114,1680688336.0,0,0.0,0,,732.2527223882114
0.0,,82,3.0,,3.0,,149,2,3,0.0,365.53,0.0,8713,0.0,,0.5,366.72,,,732.2527223882114,1680688337.0,0,0.0,0,,732.2527223882114
0.0,,83,3.0,,3.0,,150,2,3,0.0,365.53,0.0,9460,0.0,,0.5,366.72,,,732.2527223882114,1680688338.0,0,0.0,0,,732.2527223882114
0.0,,84,3.0,,3.0,,151,2,3,0.0,365.53,0.0,10207,0.0,,0.5,366.72,,,732.2527223882114,1680688339.0,0,0.0,0,,732.2527223882114
0.0,,85,3.0,,3.0,,152,2,3,0.0,365.53,0.0,10953,0.0,,0.5,366.72,,,732.2527223882114,1680688340.0,0,0.0,0,,732.2527223882114
0.0,,86,3.0,,3.0,,153,2,3,0.0,365.53,0.0,11701,0.0,,0.5,366.72,,,732.2527223882114,1680688341.0,0,0.0,0,,732.2527223882114
0.0,,87,3.0,,3.0,,154,2,3,0.0,365.53,0.0,12450,0.0,,0.5,366.72,,,732.2527223882114,1680688342.0,0,0.0,0,,732.2527223882114
0.0,,88,3.0,,3.0,,155,2,3,0.0,365.53,0.0,13197,0.0,,0.5,366.72,,,732.2527223882114,1680688343.0,0,0.0,0,,732.2527223882114
0.0,,89,3.0,,3.0,,156,2,3,0.0,365.53,0.0,13950,0.0,,0.5,366.72,,,732.2527223882114,1680688344.0,0,0.0,0,,732.2527223882114
0.0,,90,3.0,,3.0,,157,2,3,0.0,365.53,0.0,14703,0.0,,0.5,366.72,,,732.2527223882114,1680688345.0,0,0.0,0,,732.2527223882114
0.0,,91,3.0,,3.0,,158,2,3,0.0,365.53,0.0,15450,0.0,,0.5,366.72,,,732.2527223882114,1680688346.0,0,0.0,0,,732.2527223882114
