_runtime,03_hivemind/num_peers,04_peers/peer_1_epoch,03_hivemind/reached_TBS,03_hivemind/overshot_TBS,04_peers/peer_4_samples_per_second,03_hivemind/epoch_s,04_peers/peer_4_epoch,04_peers/peer_1_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/per_epoch_training_samples,_timestamp,04_peers/peer_2_samples_accumulated,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_4_samples_accumulated,04_peers/peer_2_epoch,03_hivemind/global_epoch,04_peers/peer_1_samples_per_second,03_hivemind/estimated_current_samples,_step,03_hivemind/undershot_TBS,04_peers/peer_3_epoch_oos,03_hivemind/actual_total_samples_per_second,04_peers/peer_3_epoch,03_hivemind/next_fetch_time_s,04_peers/peer_3_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_clients,03_hivemind/eta_next_epoch_s,03_hivemind/total_training_samples,03_hivemind/global_samples_accumulated
57,4,0.0,,,994.69,,0.0,0.0,0.0,1059.94,,1682815860.0,10368.0,10560.0,0.0,,2176.0,0.0,0,1159.14,51183,10,,0.0,4414.657603332005,0.0,0.5,1200.89,10528.0,4414.657603332005,0,0.0,,33632
58,4,0.0,,,994.69,,0.0,0.0,0.0,1059.94,,1682815861.0,10368.0,10560.0,0.0,,2176.0,0.0,0,1159.14,56489,11,,0.0,4414.657603332005,0.0,0.5,1200.89,10528.0,4414.657603332005,0,0.0,,33632
59,4,0.0,,,994.69,,0.0,0.0,0.0,1059.94,,1682815862.0,10368.0,10560.0,0.0,,2176.0,0.0,0,1159.14,61801,12,,0.0,4414.657603332005,0.0,0.5,1200.89,10528.0,4414.657603332005,0,0.0,,33632
61,4,0.0,,,994.69,,0.0,0.0,0.0,1059.94,,1682815864.0,10368.0,10560.0,0.0,,2176.0,0.0,0,1159.14,67119,13,,0.0,4414.657603332005,0.0,0.5,1200.89,10528.0,4414.657603332005,0,0.0,,33632
62,4,0.0,,,994.69,,0.0,0.0,0.0,1059.94,,1682815865.0,10368.0,10560.0,0.0,,2176.0,0.0,0,1159.14,72453,14,,0.0,4414.657603332005,0.0,0.5,1200.89,10528.0,4414.657603332005,0,0.0,,33632
63,4,0.0,,,994.69,,0.0,0.0,0.0,1059.94,,1682815866.0,10368.0,10560.0,0.0,,2176.0,0.0,0,1159.14,77731,15,,0.0,4414.657603332005,0.0,0.5,1200.89,10528.0,4414.657603332005,0,0.0,,33632
64,4,0.0,,,994.69,,0.0,0.0,0.0,1059.94,,1682815867.0,10368.0,10560.0,0.0,,2176.0,0.0,0,1159.14,83059,16,,0.0,4414.657603332005,0.0,0.5,1200.89,10528.0,4414.657603332005,0,0.0,,33632
65,4,0.0,,,994.69,,0.0,0.0,0.0,1059.94,,1682815868.0,10368.0,10560.0,0.0,,2176.0,0.0,0,1159.14,88347,17,,0.0,4414.657603332005,0.0,0.5,1200.89,10528.0,4414.657603332005,0,0.0,,33632
67,4,0.0,,,994.69,,0.0,0.0,0.0,1059.94,,1682815870.0,10368.0,10560.0,0.0,,2176.0,0.0,0,1159.14,93661,18,,0.0,4414.657603332005,0.0,0.5,1200.89,10528.0,4414.657603332005,0,0.0,,33632
68,4,0.0,,,994.69,,0.0,0.0,0.0,1059.94,,1682815871.0,10368.0,10560.0,0.0,,2176.0,0.0,0,1159.14,99002,19,,0.0,4414.657603332005,0.0,0.5,1200.89,10528.0,4414.657603332005,0,0.0,,33632
69,4,0.0,,,994.69,,0.0,0.0,0.0,1059.94,,1682815872.0,10368.0,10560.0,0.0,,2176.0,0.0,0,1159.14,104331,20,,0.0,4414.657603332005,0.0,0.5,1200.89,10528.0,4414.657603332005,0,0.0,,33632
70,4,0.0,,,994.69,,0.0,0.0,0.0,1059.94,,1682815873.0,10368.0,10560.0,0.0,,2176.0,0.0,0,1159.14,109619,21,,0.0,4414.657603332005,0.0,0.5,1200.89,10528.0,4414.657603332005,0,0.0,,33632
