03_hivemind/global_epoch,03_hivemind/overshot_TBS,03_hivemind/optimistic_total_samples_per_second,_timestamp,04_peers/peer_1_epoch,04_peers/peer_2_epoch,03_hivemind/undershot_TBS,04_peers/peer_2_epoch_oos,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,04_peers/peer_1_samples_accumulated,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_accumulated,03_hivemind/next_fetch_time_s,03_hivemind/num_peers,03_hivemind/num_clients,03_hivemind/reached_TBS,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,_step,04_peers/peer_1_epoch_oos,03_hivemind/estimated_current_samples,_runtime,03_hivemind/global_samples_accumulated,04_peers/peer_2_samples_per_second,03_hivemind/epoch_s,04_peers/peer_1_samples_per_second
0,,730.9082651496395,1680693133.0,0.0,0.0,,0.0,,,16960.0,2.53,12992.0,1.01,2,0,,,730.9082651496395,38,0.0,30916,91,30816,365.62,,364.45
0,,730.4799430762655,1680693135.0,0.0,0.0,,0.0,,,17376.0,1.34,13440.0,0.54,2,0,,,730.4799430762655,39,0.0,31788,93,31712,366.04,,364.87
0,,729.5153588119032,1680693136.0,0.0,0.0,,0.0,,,17824.0,0.15,13888.0,0.5,2,0,,,729.5153588119032,40,0.0,32659,94,32288,365.86,,364.62
0,,561.5199863153659,1680693137.0,0.0,0.0,,0.0,,,17984.0,0.0,14304.0,0.5,2,0,,,561.5199863153659,41,0.0,33045,95,32480,365.33,,364.19
0,,561.5199863153659,1680693138.0,0.0,0.0,,0.0,,,18048.0,0.0,14432.0,0.5,2,0,,,561.5199863153659,42,0.0,33713,96,32480,365.92,,195.6
0,,561.5199863153659,1680693139.0,0.0,0.0,,0.0,,,18048.0,0.0,14432.0,0.5,2,0,,,561.5199863153659,43,0.0,34380,97,32480,365.92,,195.6
0,,561.5199863153659,1680693140.0,0.0,0.0,,0.0,,,18048.0,0.0,14432.0,0.5,2,0,,,561.5199863153659,44,0.0,35048,98,32480,365.92,,195.6
0,,561.5199863153659,1680693142.0,0.0,0.0,,0.0,,,18048.0,0.0,14432.0,0.5,2,0,,,561.5199863153659,45,0.0,35722,100,32480,365.92,,195.6
1,,569.8212084109258,1680693143.0,0.0,0.0,,0.0,,,18048.0,57.31,14432.0,10.0,2,0,,,569.8212084109258,46,0.0,113,101,32,365.92,,195.6
1,0.0,569.3606957992293,1680693144.0,1.0,1.0,1.0,0.0,592.5317241118,32480.0,32.0,56.11,0.0,10.0,2,0,0.0,32480.0,569.3606957992293,47,0.0,819,102,736,365.92,54.815630418248475,203.9
