03_hivemind/epoch_based_sps,04_peers/peer_1_samples_accumulated,03_hivemind/num_peers,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/global_epoch,03_hivemind/undershot_TBS,04_peers/peer_1_epoch_oos,03_hivemind/next_fetch_time_s,03_hivemind/epoch_s,03_hivemind/num_clients,03_hivemind/global_samples_accumulated,04_peers/peer_1_epoch,03_hivemind/eta_next_epoch_s,03_hivemind/total_training_samples,03_hivemind/estimated_current_samples,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,_step,_timestamp,03_hivemind/overshot_TBS,04_peers/peer_2_samples_accumulated,04_peers/peer_1_samples_per_second,_runtime,03_hivemind/reached_TBS
,2496.0,2,1.0,0.0,239.49,1,,0.0,9.04,,0,5600,1.0,22.6,,5655,,474.680092904926,474.680092904926,43,1680689119.0,,2528.0,235.81,92,
,2784.0,2,1.0,0.0,239.16,1,,0.0,8.56,,0,6144,1.0,21.41,,6228,,474.40173823865734,474.40173823865734,44,1680689120.0,,2816.0,235.52,93,
,3040.0,2,1.0,0.0,239.12,1,,0.0,8.08,,0,6720,1.0,20.21,,6792,,474.6990195748782,474.6990195748782,45,1680689121.0,,3104.0,235.28,94,
,3328.0,2,1.0,0.0,239.41,1,,0.0,7.63,,0,7296,1.0,19.07,,7355,,473.4222619321579,473.4222619321579,46,1680689123.0,,3392.0,235.29,96,
,3616.0,2,1.0,0.0,238.61,1,,0.0,7.16,,0,7872,1.0,17.89,,7917,,473.15798029924633,473.15798029924633,47,1680689124.0,,3680.0,234.82,97,
,3904.0,2,1.0,0.0,238.75,1,,0.0,6.71,,0,8384,1.0,16.77,,8473,,471.6422494939999,471.6422494939999,48,1680689125.0,,3968.0,234.41,98,
,4160.0,2,1.0,0.0,238.78,1,,0.0,6.21,,0,8960,1.0,15.52,,9038,,473.2987256175901,473.2987256175901,49,1680689126.0,,4224.0,232.87,99,
,4448.0,2,1.0,0.0,239.07,1,,0.0,5.74,,0,9504,1.0,14.35,,9598,,473.04100118615986,473.04100118615986,50,1680689127.0,,4512.0,234.23,100,
,4704.0,2,1.0,0.0,239.12,1,,0.0,5.29,,0,10080,1.0,13.23,,10155,,470.794760831202,470.794760831202,51,1680689128.0,,4800.0,233.92,101,
,4992.0,2,1.0,0.0,236.8,1,,0.0,4.84,,0,10656,1.0,12.09,,10711,,469.2576887935893,469.2576887935893,52,1680689130.0,,5088.0,234.0,103,
,5280.0,2,1.0,0.0,235.01,1,,0.0,4.37,,0,11200,1.0,10.91,,11267,,468.8772641304231,468.8772641304231,53,1680689131.0,,5376.0,234.25,104,
,5568.0,2,1.0,0.0,235.09,1,,0.0,3.88,,0,11744,1.0,9.69,,11826,,470.2468965733284,470.2468965733284,54,1680689132.0,,5632.0,233.79,105,
,5824.0,2,1.0,0.0,236.1,1,,0.0,3.38,,0,12320,1.0,8.46,,12389,,472.2482328712041,472.2482328712041,55,1680689133.0,,5920.0,234.15,106,
,6112.0,2,1.0,0.0,237.55,1,,0.0,2.9,,0,12896,1.0,7.25,,12953,,473.5626717525747,473.5626717525747,56,1680689134.0,,6208.0,234.69,107,
,6400.0,2,1.0,0.0,238.46,1,,0.0,2.43,,0,13440,1.0,6.06,,13514,,473.33909353968806,473.33909353968806,57,1680689136.0,,6496.0,235.1,109,
,6656.0,2,1.0,0.0,238.53,1,,0.0,1.95,,0,13984,1.0,4.88,,14075,,472.70056975832654,472.70056975832654,58,1680689137.0,,6784.0,234.81,110,
,6944.0,2,1.0,0.0,237.42,1,,0.0,1.48,,0,14560,1.0,3.7,,14637,,472.3507136191033,472.3507136191033,59,1680689138.0,,7040.0,235.28,111,
,7232.0,2,1.0,0.0,237.02,1,,0.0,1.01,,0,15136,1.0,2.52,,15195,,472.02404402743144,472.02404402743144,60,1680689139.0,,7328.0,235.33,112,
