memory/used_memory_sys_MB,memory/total_memory_sys_MB,cpu/interrupts/ctx_switches_count,01_general/dataset_iteration_count,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/resident_set_size_proc_MB,01_general/lr,03_hivemind/global_epoch,process/memory/virtual_memory_size_proc_MB,memory/used_memory_sys_percent,disk/counter/disk_read_sys_count,bandwidth/disk_read_sys_bandwidth_MBs,01_general/minibatch_loss,memory/available_memory_sys_MB,disk/time/disk_busy_time_sys_s,process/memory/shared_memory_proc_MB,process/involuntary_proc_ctx_switches,process/memory/data_resident_set_proc_MB,process/memory/text_resident_set_proc_MB,01_general/step,02_timing/forward_time_s,disk/time/disk_read_time_sys_s,disk/time/disk_write_time_sys_s,process/memory/dirty_pages_proc_count,bandwidth/disk_write_sys_bandwidth_MBs,_runtime,02_timing/backward_time_s,cpu/logical_core_count,cpu/interrupts/interrupts_count,disk/counter/disk_write_sys_count,process/memory/lib_memory_proc_MB,cpu/interrupts/soft_interrupts_count,bandwidth/net_sent_sys_bandwidth_Mbits,_timestamp,02_timing/step_time_s,02_timing/opt_step_time_s,process/voluntary_proc_ctx_switches,_step,02_timing/dataload_time_s,cpu/load/avg_sys_load_five_min_percent,02_timing/loss_calc_time_s,02_timing/dataload_cuda_move_time_s,cpu/load/avg_sys_load_one_min_percent,cpu/load/avg_sys_load_fifteen_min_percent,03_hivemind/num_peers,01_general/locally_processed_samples
,,,0.0,,,0.0001,2.0,,,,,7.2625732421875,,,,,,,270.0,,,,,,267,,,,,,,,1681395604.0,0.20960783200007427,,,537,0.0031771889998708502,,,,,,9.0,8649.0
,,,0.0,,,0.0001,2.0,,,,,7.211181640625,,,,,,,271.0,0.018527503999848705,,,,,267,0.14242373700017197,,,,,,,1681395604.0,0.20795506200011005,0.040042300000095565,,538,0.0029813139999532723,,0.0005745500002376502,0.0034056569998028863,,,9.0,8681.0
,,,0.0,,,0.0001,2.0,,,,,7.3409423828125,,,,,,,272.0,0.01879864800002906,,,,,267,0.14296129199965435,,,,,,,1681395604.0,0.2135272000000441,0.04468160199985505,,539,0.003320278000046528,,0.0005307750002430112,0.0032346050002161064,,,9.0,8713.0
10093.326336,,3128220.0,,88.45971096300208,6782.083072,,,34595.344384,6.4,2.0,0.0,,197537.0752,2.687999999999988,2453.577728,4164.0,0.0,2.719744,,0.01842772000009063,0.0009999999999998899,0.8559999999999945,0.0,0.01634440063152026,268,0.1449976640001296,,3966595.0,1382.0,7220.600832,1231461.0,3.3004356727558415,1681395605.0,,0.04033088599999246,5978.0,540,,2.0,0.0005048899997746048,0.003176426000209176,3.6000000000000005,1.6,,
,,,0.0,,,0.0001,2.0,,,,,7.24755859375,,,,,,,273.0,,,,,,268,,,,,,,,1681395605.0,0.21095095000055153,,,541,0.003513364000355068,,,,,,9.0,8745.0
,,,0.0,,,0.0001,2.0,,,,,7.20458984375,,,,,,,274.0,0.018513009999878705,,,,,268,0.14366563300018242,,,,,,,1681395605.0,0.20879043500008265,0.040020986999934394,,542,0.0028581530000337807,,0.0005702910002582939,0.0031623609997950552,,,9.0,8777.0
,,,0.0,,,0.0001,2.0,,,,,7.2650146484375,,,,,,,275.0,0.018544865999956528,,,,,268,0.14181116200006727,,,,,,,1681395605.0,0.2069740510005431,0.03994244500017885,,543,0.0030631960003120184,,0.00048339599970859126,0.0031289860003198555,,,9.0,8809.0
10093.539328,,3133644.0,,101.06167053204251,6782.083072,,,34595.34848,6.4,2.0,0.0,,197536.866304,2.7039999999999935,2453.577728,4168.0,0.0,2.719744,,0.018408314999760478,0.0009999999999998899,0.8569999999999709,0.0,0.016342915783306666,269,0.14438076099986574,,3971398.0,1386.0,7220.600832,1237190.0,2.4045552234972845,1681395606.0,,,6041.0,544,,2.0,0.0005082729999230651,0.003258408999954554,3.6000000000000005,1.6,,
,,,0.0,,,0.0001,2.0,,,,,7.09228515625,,,,,,,276.0,,,,,,269,,,,,,,,1681395606.0,0.2094623709995176,0.04009025200002725,,545,0.0028163609999865002,,,,,,9.0,8841.0
,,,0.0,,,0.0001,2.0,,,,,7.088623046875,,,,,,,277.0,0.018357687999923655,,,,,269,0.14427898200028721,,,,,,,1681395606.0,0.20948490800083164,0.04014803400013989,,546,0.003016247000232397,,0.0004869980002695229,0.0031969589999789605,,,9.0,8873.0
