disk/time/disk_write_time_sys_s,01_general/dataset_iteration_count,bandwidth/disk_read_sys_bandwidth_MBs,bandwidth/disk_write_sys_bandwidth_MBs,cpu/logical_core_count,02_timing/backward_time_s,02_timing/opt_step_time_s,memory/available_memory_sys_MB,bandwidth/net_sent_sys_bandwidth_Mbits,cpu/load/avg_sys_load_five_min_percent,_timestamp,02_timing/forward_time_s,02_timing/dataload_cuda_move_time_s,cpu/load/avg_sys_load_fifteen_min_percent,cpu/interrupts/interrupts_count,cpu/interrupts/ctx_switches_count,disk/counter/disk_write_sys_count,01_general/locally_processed_samples,cpu/load/avg_sys_load_one_min_percent,process/memory/resident_set_size_proc_MB,process/memory/text_resident_set_proc_MB,03_hivemind/global_epoch,memory/used_memory_sys_MB,disk/counter/disk_read_sys_count,process/memory/lib_memory_proc_MB,01_general/minibatch_loss,memory/total_memory_sys_MB,memory/used_memory_sys_percent,bandwidth/net_recv_sys_bandwidth_Mbits,02_timing/dataload_time_s,disk/time/disk_busy_time_sys_s,disk/time/disk_read_time_sys_s,process/memory/dirty_pages_proc_count,process/involuntary_proc_ctx_switches,process/memory/data_resident_set_proc_MB,01_general/step,02_timing/loss_calc_time_s,process/voluntary_proc_ctx_switches,cpu/interrupts/soft_interrupts_count,03_hivemind/num_peers,process/memory/shared_memory_proc_MB,process/memory/virtual_memory_size_proc_MB,_step,_runtime,01_general/lr,02_timing/step_time_s
,0.0,,,,,,,,,1681398912.0,,,,,,,17214.0,,,,2.0,,,,7.12939453125,,,,0.0030535750001945416,,,,,,537.0,,,,3.0,,,863,325,0.0001,0.20925636499941902
,0.0,,,,0.14309271199999785,0.040225042999736615,,,,1681398912.0,0.01674715099943569,0.0032086620003610733,,,,,17246.0,,,,2.0,,,,7.0968017578125,,,,0.002872502999707649,,,,,,538.0,0.0003954640005758847,,,3.0,,,864,325,0.0001,0.20654153499981476
,0.0,,,,0.14342683499944542,0.04011146499942697,,,,1681398913.0,0.01672346700070193,0.003175621000082174,,,,,17278.0,,,,2.0,,,,7.25,,,,0.0027036320007027825,,,,,,539.0,0.0004021140002805623,,,3.0,,,865,326,0.0001,0.20654313400063984
0.8360000000000127,,0.0,0.016344416181096527,,0.14442547699945862,,198270.898176,0.328037540367085,3.4666666666666663,1681398913.0,0.01683021799999551,0.0032712629999878118,2.666666666666667,3737962.0,2815183.0,1638.0,,4.133333333333333,6285.815808,2.719744,,9378.373632,421.0,6731.743232,,,6.1,93.55200651858723,,4.307999999999993,0.04899999999999949,0.0,4038.0,0.0,,0.0004035840001961333,10438.0,1331354.0,,2454.28224,34173.812736,866,326,,
,0.0,,,,,0.040219922999312985,,,,1681398913.0,,,,,,,17310.0,,,,2.0,,,,7.3302001953125,,,,0.0027368630007913453,,,,,,540.0,,,,3.0,,,867,326,0.0001,0.2078873279997424
,0.0,,,,0.14537986300001648,0.040055618999758735,,,,1681398914.0,0.016638093999972625,0.0031989010003599105,,,,,17342.0,,,,2.0,,,,7.21728515625,,,,0.0026503159997446346,,,,,,541.0,0.0003829550005320925,,,3.0,,,868,327,0.0001,0.20830574800038448
,0.0,,,,0.14371387700066407,0.04021130399996764,,,,1681398914.0,0.01694366700030514,0.003167296999890823,,,,,17374.0,,,,2.0,,,,7.2755126953125,,,,0.0036905919996570447,,,,,,542.0,0.00041667000004963484,,,3.0,,,869,327,0.0001,0.20814340700053435
0.8380000000000791,,0.0,0.057213498839308236,,,,198276.1984,0.35723316883210887,3.4666666666666663,1681398914.0,0.016349146999345976,0.003167631999531295,2.666666666666667,3740802.0,2818377.0,1644.0,,4.133333333333333,6285.754368,2.719744,,9372.577792,421.0,6731.743232,,,6.1,72.70367052300715,,4.3279999999999745,0.04899999999999949,0.0,4095.0,0.0,,0.00037369199981185375,10501.0,1334287.0,,2454.2208,34173.812736,870,327,,
,0.0,,,,0.14404702600040764,0.04038749000028474,,,,1681398914.0,,,,,,,17406.0,,,,2.0,,,,7.05908203125,,,,0.002980681999360968,,,,,,543.0,,,,3.0,,,871,327,0.0001,0.20730566899874248
,0.0,,,,0.1434912089998761,0.03982978300064133,,,,1681398915.0,0.0181161680002333,0.0032773709999673883,,,,,17438.0,,,,2.0,,,,7.27783203125,,,,0.0031072199999471195,,,,,,544.0,0.0004050759998790454,,,3.0,,,872,328,0.0001,0.2082268270005443
