cpu/load/avg_sys_load_one_min_percent,03_hivemind/num_peers,02_timing/backward_time_s,02_timing/dataload_time_s,disk/time/disk_write_time_sys_s,cpu/interrupts/ctx_switches_count,02_timing/dataload_cuda_move_time_s,01_general/locally_processed_samples,01_general/step,02_timing/step_time_s,memory/used_memory_sys_MB,01_general/dataset_iteration_count,process/memory/shared_memory_proc_MB,process/involuntary_proc_ctx_switches,process/memory/data_resident_set_proc_MB,02_timing/loss_calc_time_s,memory/used_memory_sys_percent,cpu/interrupts/interrupts_count,cpu/load/avg_sys_load_fifteen_min_percent,_step,memory/available_memory_sys_MB,disk/counter/disk_read_sys_count,process/voluntary_proc_ctx_switches,_timestamp,disk/time/disk_read_time_sys_s,process/memory/lib_memory_proc_MB,bandwidth/net_recv_sys_bandwidth_Mbits,cpu/load/avg_sys_load_five_min_percent,01_general/lr,02_timing/opt_step_time_s,disk/time/disk_busy_time_sys_s,disk/counter/disk_write_sys_count,cpu/interrupts/soft_interrupts_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/text_resident_set_proc_MB,03_hivemind/global_epoch,01_general/minibatch_loss,memory/total_memory_sys_MB,process/memory/virtual_memory_size_proc_MB,_runtime,cpu/logical_core_count,02_timing/forward_time_s,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/dirty_pages_proc_count,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/resident_set_size_proc_MB
15.0,,,,0.4579999999996289,229147.0,0.007970558000124583,,,,10686.1568,,5078.843392,149.0,0.0,,49.6,283836.0,7.625,185,15902.593024,0.0,3804.0,1681080421.0,0.0,7812.542464,38.43175857849012,10.875,,,0.9799999999999898,422.0,109219.0,1.6017914125276214,2.654208,,,,36859.43296,59,,,0.0,0.0,0.024513429243485606,11971.03104
,6.0,0.1124076400001286,0.0011525609997988795,,,,4096.0,127.0,0.17379577699921356,,0.0,,,,0.0009816649999265792,,,,186,,,,1681080421.0,,,,,0.0001,0.01727152599960391,,,,,,0.0,12.67673110961914,,,59,,0.03401182699963101,,,,
,6.0,0.11776443899998412,0.0010630370006765588,,,0.00812892300018575,4128.0,128.0,0.17497933100003138,,0.0,,,,0.0010478839994902955,,,,187,,,,1681080421.0,,,,,0.0001,0.01730578200022137,,,,,,0.0,12.649796485900879,,,59,,0.029669265999473282,,,,
,6.0,0.118224991999341,0.001173636999737937,,,0.008059015000071668,4160.0,129.0,0.1761019320001651,,0.0,,,,0.0010163760007344536,,,,188,,,,1681080422.0,,,,,0.0001,0.017479115999776695,,,,,,0.0,12.64821720123291,,,60,,0.030148796000503353,,,,
15.0,,0.11701934299981076,,0.46199999999953434,235876.0,0.007937523000691726,,,,10691.039232,,5078.843392,149.0,0.0,0.0009914410002238583,49.6,289361.0,7.625,189,15897.411584,0.0,3877.0,1681080422.0,0.0,7812.571136,31.456662534849148,10.875,,0.017266636999920593,1.0039999999999907,428.0,111933.0,1.7599851132705941,2.654208,,,,36859.437056,60,,0.030424591000155488,0.0,0.0,0.057201810479888496,11971.039232
,6.0,,0.0011957130000155303,,,,4192.0,130.0,0.17483524800081796,,0.0,,,,,,,,190,,,,1681080422.0,,,,,0.0001,,,,,,,0.0,12.748476028442383,,,60,,,,,,
,6.0,0.11573016500005906,0.0010091969998029526,,,0.008015295999939553,4224.0,131.0,0.1745766640005968,,0.0,,,,0.0009814490003918763,,,,191,,,,1681080422.0,,,,,0.0001,0.01725812299991958,,,,,,0.0,12.592689514160156,,,60,,0.03158243400048377,,,,
,6.0,0.10925186799977382,0.0011403660000723903,,,0.008114512000247487,4256.0,132.0,0.1747576809993916,,0.0,,,,0.0015569239994874806,,,,192,,,,1681080422.0,,,,,0.0001,0.01708423699983541,,,,,,0.0,12.69921875,,,60,,0.037609773999975005,,,,
,6.0,0.11815559000024223,0.0013010899992877967,,,0.007344304999605811,4288.0,133.0,0.17568956000013713,,0.0,,,,0.0011704730004566954,,,,193,,,,1681080423.0,,,,,0.0001,0.017223881000063557,,,,,,0.0,12.624893188476562,,,61,,0.030494221000481048,,,,
15.0,,0.11632552199989732,,0.4650000000001455,242208.0,0.008033692000026349,,,,10690.154496,,5078.843392,153.0,0.0,0.0009852279999904567,49.6,294796.0,7.625,194,15898.427392,0.0,3967.0,1681080423.0,0.0,7812.571136,31.799480325695512,10.875,,0.017071113999918452,1.0279999999999916,433.0,114615.0,1.5044142533894367,2.654208,,,,36859.43296,61,,0.03123515100014629,0.0,0.0,0.020440953496121385,11971.047424
,6.0,,0.0015369270004157443,,,,4320.0,134.0,0.1751876340003946,,0.0,,,,,,,,195,,,,1681080423.0,,,,,0.0001,,,,,,,0.0,12.682677268981934,,,61,,,,,,
,6.0,0.11495938200005185,0.0012652010000238079,,,0.008192278000024089,4352.0,135.0,0.174510499000462,,0.0,,,,0.0010186059998886776,,,,196,,,,1681080423.0,,,,,0.0001,0.01717707599982532,,,,,,0.0,12.643988609313965,,,61,,0.031897956000648264,,,,
,6.0,0.11508248799964349,0.001395758999933605,,,0.008034706999751506,4384.0,136.0,0.17416315599894006,,0.0,,,,0.0010569619998932467,,,,197,,,,1681080424.0,,,,,0.0001,0.01716311600011977,,,,,,0.0,12.625929832458496,,,62,,0.031430123999598436,,,,
,6.0,0.11740033200021571,0.0012547380001706188,,,0.008084332999715116,4416.0,137.0,0.17607662699992943,,0.0,,,,0.0011065389999203035,,,,198,,,,1681080424.0,,,,,0.0001,0.01763012800074648,,,,,,0.0,12.606009483337402,,,62,,0.0306005569991612,,,,
15.0,,,,0.4709999999995489,248294.0,0.006784597000660142,,,,10688.745472,,5078.843392,157.0,0.0,0.001007054000183416,49.6,300370.0,7.625,199,15900.102656,0.0,4043.0,1681080424.0,0.0,7812.571136,32.08463172150313,10.875,,,1.0519999999999925,441.0,117419.0,1.7374371490446616,2.654208,,,,36859.43296,62,,0.030488389999845822,0.0,0.0,0.1021453856449321,11971.05152
,6.0,0.11833695600034844,0.0012650730004679644,,,,4448.0,138.0,0.17487593600162654,,0.0,,,,,,,,200,,,,1681080424.0,,,,,0.0001,0.01699386600012076,,,,,,0.0,12.555338859558105,,,62,,,,,,
,6.0,0.11511692499971105,0.001363669999591366,,,0.00818202500067855,4480.0,139.0,0.1745132209998701,,0.0,,,,0.0011981039997408516,,,,201,,,,1681080424.0,,,,,0.0001,0.01698951100024715,,,,,,0.0,12.782470703125,,,62,,0.03166298599990114,,,,
,6.0,0.11763567800062447,0.001505711999925552,,,0.008191570000235515,4512.0,140.0,0.17548264500055666,,0.0,,,,0.001134666999860201,,,,202,,,,1681080425.0,,,,,0.0001,0.017206880999765417,,,,,,0.0,12.565229415893555,,,63,,0.029808137000145507,,,,
,6.0,0.11414464700010285,0.001423378999788838,,,0.008122303999698488,4544.0,141.0,0.17417048000061186,,0.0,,,,0.001395072000377695,,,,203,,,,1681080425.0,,,,,0.0001,0.017215193000083673,,,,,,0.0,12.597301483154297,,,63,,0.031869885000560316,,,,
15.0,,,,0.4750000000003638,254307.0,0.008187547000488848,,,,10689.552384,,5078.843392,160.0,0.0,0.0010733800008893013,49.6,305979.0,7.625,204,15899.295744,0.0,4124.0,1681080425.0,0.0,7812.571136,36.26658716403877,10.875,,,1.079999999999984,446.0,120448.0,1.5172208399737381,2.654208,,,,36859.43296,63,,0.030829682999865327,0.0,0.0,0.020432230820969968,11971.313664
,6.0,0.11667464199945243,0.0011767289997806074,,,,4576.0,142.0,0.1749061199998323,,0.0,,,,,,,,205,,,,1681080425.0,,,,,0.0001,0.016964138999355782,,,,,,0.0,12.719196319580078,,,63,,,,,,
,6.0,0.11644984499980637,0.0011234530002184329,,,0.007767090000015742,4608.0,143.0,0.17456885300089198,,0.0,,,,0.0009614139999030158,,,,206,,,,1681080425.0,,,,,0.0001,0.017151235000710585,,,,,,0.0,12.694170951843262,,,63,,0.031115816000237828,,,,
,6.0,0.1112299679998614,0.0011048819997085957,,,0.007757241999570397,4640.0,144.0,0.1736032359985984,,0.0,,,,0.001020797999444767,,,,207,,,,1681080426.0,,,,,0.0001,0.017238663000171073,,,,,,0.0,12.73587703704834,,,64,,0.03525168299984216,,,,
,6.0,0.11624150300031033,0.001115568000386702,,,0.007991538999704062,4672.0,145.0,0.17439413200099807,,0.0,,,,0.0010407770005258499,,,,208,,,,1681080426.0,,,,,0.0001,0.017645987999458157,,,,,,0.0,12.7109375,,,64,,0.030358757000612968,,,,
15.75,,,,0.4790000000002692,259975.0,0.008133096000165096,,,,10691.436544,,5078.843392,161.0,0.0,,49.6,311247.0,7.75,209,15897.096192,0.0,4202.0,1681080426.0,0.0,7812.571136,32.90183749806464,11.125,,,1.0999999999999943,451.0,123272.0,1.5782981841166086,2.654208,,,,36859.43296,64,,,0.0,0.0,0.020414012131754332,11971.31776
,6.0,0.10990022699934343,0.001159705000645772,,,,4704.0,146.0,0.1772038249991965,,0.0,,,,0.000961414999437693,,,,210,,,,1681080426.0,,,,,0.0001,0.017178076999698533,,,,,,0.0,12.616138458251953,,,64,,0.03987130499990599,,,,
,6.0,0.1185486119993584,0.0012288349998925696,,,0.008055656000578892,4736.0,147.0,0.1755508460000783,,0.0,,,,0.0010612289997879998,,,,211,,,,1681080426.0,,,,,0.0001,0.017267012000047544,,,,,,0.0,12.76156997680664,,,64,,0.029389502000412904,,,,
