03_hivemind/overshot_TBS,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_accumulated,03_hivemind/num_clients,03_hivemind/undershot_TBS,_step,04_peers/peer_2_samples_accumulated,03_hivemind/actual_total_samples_per_second,_timestamp,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,03_hivemind/total_training_samples,04_peers/peer_2_samples_per_second,04_peers/peer_1_epoch,03_hivemind/global_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/per_epoch_training_samples,_runtime,03_hivemind/eta_next_epoch_s,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_1_epoch_oos,03_hivemind/num_peers,03_hivemind/reached_TBS,03_hivemind/epoch_s,03_hivemind/global_epoch,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second
,6.52,4288.0,0,,61,3488.0,1421.4558638634826,1680692932.0,2.0,0.0,,727.77,2.0,9440,9602,,115,16.3,1421.4558638634826,0.0,2,,,2,,660.48
,6.0,5120.0,0,,62,4320.0,1432.32749355542,1680692934.0,2.0,0.0,,733.75,2.0,11136,11282,,117,15.0,1432.32749355542,0.0,2,,,2,,687.71
,5.82,5888.0,0,,63,5248.0,1365.3170079575962,1680692935.0,2.0,0.0,,792.1,2.0,12704,12902,,118,14.55,1365.3170079575962,0.0,2,,,2,,640.22
,5.12,6592.0,0,,64,6112.0,1424.3543316794035,1680692936.0,2.0,0.0,,751.66,2.0,14368,14530,,119,12.8,1424.3543316794035,0.0,2,,,2,,613.66
,4.9,7424.0,0,,65,6944.0,1358.5186763311433,1680692937.0,2.0,0.0,,699.92,2.0,15968,16120,,120,12.25,1358.5186763311433,0.0,2,,,2,,724.43
,4.28,8160.0,0,,66,7808.0,1398.2703957025856,1680692938.0,2.0,0.0,,735.59,2.0,17632,17802,,121,10.7,1398.2703957025856,0.0,2,,,2,,622.93
,5.27,8960.0,0,,67,8672.0,1051.2787936063446,1680692939.0,2.0,0.0,,723.82,2.0,18816,18928,,122,13.16,1051.2787936063446,0.0,2,,,2,,674.45
,3.73,9344.0,0,,68,9472.0,1307.7014620203108,1680692941.0,2.0,0.0,,661.02,2.0,20416,20558,,124,9.34,1307.7014620203108,0.0,2,,,2,,390.26
,3.39,10144.0,0,,69,10272.0,1260.2375504402435,1680692942.0,2.0,0.0,,685.25,2.0,21984,22103,,125,8.46,1260.2375504402435,0.0,2,,,2,,622.45
,2.77,10944.0,0,,70,11040.0,1311.4422225898197,1680692943.0,2.0,0.0,,615.7,2.0,23552,23684,,126,6.93,1311.4422225898197,0.0,2,,,2,,644.54
,2.21,11744.0,0,,71,11808.0,1333.6004806106512,1680692944.0,2.0,0.0,,671.75,2.0,25248,25385,,127,5.54,1333.6004806106512,0.0,2,,,2,,639.69
,1.61,12608.0,0,,72,12640.0,1415.7072474967213,1680692945.0,2.0,0.0,,650.63,2.0,26912,27063,,128,4.03,1415.7072474967213,0.0,2,,,2,,682.97
,1.6,13440.0,0,,73,13472.0,1097.6392500301272,1680692947.0,2.0,0.0,,718.62,2.0,28256,28391,,130,3.99,1097.6392500301272,0.0,2,,,2,,697.09
,0.8,14336.0,0,,74,13920.0,1347.0848001124896,1680692948.0,2.0,0.0,,356.33,2.0,29920,30070,,131,2.0,1347.0848001124896,0.0,2,,,2,,741.31
,0.62,15200.0,0,,75,14720.0,993.6318908756896,1680692949.0,2.0,0.0,,627.98,2.0,31136,31239,,132,1.54,993.6318908756896,0.0,2,,,2,,719.1
,0.5,15584.0,0,,76,15552.0,1251.380755545635,1680692950.0,2.0,0.0,,670.33,2.0,32800,32942,,133,0.0,1251.380755545635,0.0,2,,,2,,323.3
,0.5,16448.0,0,,77,16352.0,1251.380755545635,1680692951.0,2.0,0.0,,665.01,2.0,32800,34436,,134,0.0,1251.380755545635,0.0,2,,,2,,586.37
,0.5,16448.0,0,,78,16352.0,1251.380755545635,1680692953.0,2.0,0.0,,665.01,2.0,32800,35918,,136,0.0,1251.380755545635,0.0,2,,,2,,586.37
,10.0,16448.0,0,,79,16352.0,1251.380755545635,1680692954.0,2.0,0.0,,665.01,2.0,0,560,,137,25.74,1251.380755545635,0.0,2,,,3,,586.37
3.0,9.82,0.0,0,0.0,80,0.0,1251.380755545635,1680692955.0,3.0,0.0,98400.0,665.01,3.0,0,2046,32800.0,138,24.55,1251.380755545635,0.0,2,0.0,28.503323380369693,3,1150.7430050275975,586.37
,9.35,0.0,0,,81,0.0,1251.380755545635,1680692956.0,3.0,0.0,,665.01,3.0,0,3529,,139,23.37,1251.380755545635,0.0,2,,,3,,586.37
,8.87,0.0,0,,82,0.0,1251.380755545635,1680692957.0,3.0,0.0,,665.01,3.0,0,5010,,140,22.18,1251.380755545635,0.0,2,,,3,,586.37
