03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,04_peers/peer_1_epoch,04_peers/peer_2_epoch_oos,03_hivemind/global_samples_accumulated,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,04_peers/peer_1_samples_accumulated,03_hivemind/num_clients,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,04_peers/peer_2_samples_per_second,03_hivemind/estimated_current_samples,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,_timestamp,03_hivemind/num_peers,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/optimistic_total_samples_per_second,_step,_runtime,03_hivemind/actual_total_samples_per_second,03_hivemind/epoch_s,04_peers/peer_2_epoch,03_hivemind/eta_next_epoch_s,04_peers/peer_2_samples_accumulated
,,1.0,0.0,13120,,0.0,5984.0,0,,541.74,535.33,13245,,,1683037529.0,2,1,7.24,1078.0468021412676,37,84,1078.0468021412676,,1.0,18.11,5856.0
,,1.0,0.0,14400,,0.0,6624.0,0,,543.73,534.31,14528,,,1683037530.0,2,1,6.76,1079.3167773661705,38,85,1079.3167773661705,,1.0,16.9,6496.0
,,1.0,0.0,15648,,0.0,7264.0,0,,543.03,536.29,15799,,,1683037532.0,2,1,6.35,1069.5257977895246,39,87,1069.5257977895246,,1.0,15.87,7136.0
,,1.0,0.0,16928,,0.0,7904.0,0,,543.02,526.51,17082,,,1683037533.0,2,1,5.82,1077.2988544197237,40,88,1077.2988544197237,,1.0,14.56,7744.0
,,1.0,0.0,18240,,0.0,8544.0,0,,543.15,534.15,18359,,,1683037534.0,2,1,5.36,1074.3174529476623,41,89,1074.3174529476623,,1.0,13.41,8384.0
,,1.0,0.0,19520,,0.0,9216.0,0,,541.93,532.39,19636,,,1683037535.0,2,1,4.86,1080.1008738748794,42,90,1080.1008738748794,,1.0,12.16,9024.0
,,1.0,0.0,20800,,0.0,9856.0,0,,543.93,536.17,20913,,,1683037536.0,2,1,4.4,1077.5864064956472,43,91,1077.5864064956472,,1.0,11.0,9664.0
,,1.0,0.0,22048,,0.0,10496.0,0,,542.49,535.1,22173,,,1683037538.0,2,1,3.98,1065.5472859866584,44,93,1065.5472859866584,,1.0,9.94,10304.0
,,1.0,0.0,23296,,0.0,11136.0,0,,544.7,520.85,23431,,,1683037539.0,2,1,3.5,1067.7075702929392,45,94,1067.7075702929392,,1.0,8.74,10912.0
,,1.0,0.0,24544,,0.0,11776.0,0,,544.68,523.02,24688,,,1683037540.0,2,1,3.06,1054.9342897488423,46,95,1054.9342897488423,,1.0,7.66,11520.0
