bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,process/memory/data_resident_set_proc_MB,process/memory/virtual_memory_size_proc_MB,memory/available_memory_sys_MB,cpu/interrupts/soft_interrupts_count,process/memory/dirty_pages_proc_count,cpu/load/avg_sys_load_fifteen_min_percent,02_timing/opt_step_time_s,02_timing/step_time_s,disk/time/disk_busy_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/resident_set_size_proc_MB,_step,01_general/lr,01_general/minibatch_loss,02_timing/dataload_time_s,memory/used_memory_sys_MB,memory/used_memory_sys_percent,process/memory/shared_memory_proc_MB,bandwidth/disk_write_sys_bandwidth_MBs,_timestamp,process/memory/text_resident_set_proc_MB,02_timing/backward_time_s,memory/total_memory_sys_MB,disk/time/disk_read_time_sys_s,cpu/interrupts/ctx_switches_count,process/voluntary_proc_ctx_switches,bandwidth/net_sent_sys_bandwidth_Mbits,01_general/step_based_sps,02_timing/loss_calc_time_s,disk/counter/disk_read_sys_count,01_general/dataset_iteration_count,02_timing/dataload_cuda_move_time_s,01_general/locally_processed_samples,cpu/load/avg_sys_load_five_min_percent,_runtime,disk/time/disk_write_time_sys_s,cpu/logical_core_count,02_timing/forward_time_s,cpu/interrupts/interrupts_count,disk/counter/disk_write_sys_count,process/involuntary_proc_ctx_switches,bandwidth/net_recv_sys_bandwidth_Mbits,01_general/step
0.0,4.466666666666667,0.0,27129.995264,204779.536384,235603.0,0.0,4.933333333333334,1.4800007193116471e-06,,1.2439999999999714,5527.666688,3831.3984,268,,,,4455.641088,3.0,864.980992,0.057217663716179375,1680626362.0,2.719744,0.14361658899997565,,0.0,236379.0,1711.0,0.06674861941808398,,0.0004362290001154179,0.0,,0.0025517430003674235,,4.2,72,0.271000000000015,,0.01710501599973213,180282.0,558.0,903.0,111.86083589400084,
,,,,,,,,,0.16652622600122413,,,,269,0.0001,7.145263671875,0.0028151690003141994,,,,,1680626362.0,,,,,,,,192.1619240909523,,,0.0,,6304.0,,72,,,,,,,,196.0
,,,,,,,,1.4600000213249587e-06,0.16717700100070942,,,,270,0.0001,7.09326171875,0.003237483000702923,,,,,1680626362.0,,0.14330708499983302,,,,,,191.41388952098865,0.0005486390000442043,,0.0,0.002516624999771011,6336.0,,72,,,0.017565709000336938,,,,,197.0
,,,,,,,,1.4269999155658297e-06,0.16585172299983242,,,,271,0.0001,7.148193359375,0.002715839000302367,,,,,1680626363.0,,0.1432137949996104,,,,,,192.94342814896373,0.00041832799979601987,,0.0,0.002494260999810649,6368.0,,73,,,0.017008073000397417,,,,,198.0
0.0,4.466666666666667,0.0,27129.995264,204805.636096,238854.0,0.0,4.933333333333334,,,1.2639999999999532,5527.666688,3831.33696,272,,,,4410.318848,3.0,864.919552,0.016347721130087145,1680626363.0,2.719744,,,0.0,240071.0,1728.0,0.07210398682266583,,0.00044962700030737324,0.0,,0.0024758350000411156,,4.2,73,0.27199999999999136,,0.017113350000727223,182644.0,562.0,912.0,104.07427036506975,
,,,,,,,,1.6209996829275042e-06,0.1670505280008001,,,,273,0.0001,7.0291748046875,0.0029502099996534525,,,,,1680626363.0,,0.14405988500038802,,,,,,191.55880788264693,,,0.0,,6400.0,,73,,,,,,,,199.0
,,,,,,,,1.6260000847978517e-06,0.16756513099971926,,,,274,0.0001,7.2974853515625,0.002760807999948156,,,,,1680626363.0,,0.144475414000226,,,,,,190.97051880115566,0.0004474219995245221,,0.0,0.002768878999631852,6432.0,,73,,,0.01711098200030392,,,,,200.0
,,,,,,,,1.624000105948653e-06,0.1663877800001501,,,,275,0.0001,7.0230712890625,0.0029073039995637373,,,,,1680626364.0,,0.14355827899998985,,,,,,192.321815940877,0.0004308720008339151,,0.0,0.0025804799997786176,6464.0,,74,,,0.016909220999878016,,,,,201.0
0.0,4.466666666666667,0.0,27129.995264,204801.159168,242154.0,0.0,4.933333333333334,,,1.2839999999999918,5527.666688,3831.3984,276,,,,4414.849024,3.0,864.980992,0.01634730502814424,1680626364.0,2.719744,,,0.0,243690.0,1745.0,0.07254116605240803,,0.00042597599986038404,0.0,,0.002427512999929604,,4.2,74,0.2740000000000009,,0.01693312700081151,184950.0,566.0,933.0,93.3294144441654,
,,,,,,,,1.1530000847415067e-06,0.16681926600176666,,,,277,0.0001,7.124267578125,0.0026700780008468428,,,,,1680626364.0,,0.14436141900023358,,,,,,191.82436637541082,,,0.0,,6496.0,,74,,,,,,,,202.0
,,,,,,,,1.4540000847773626e-06,0.16680358499888825,,,,278,0.0001,7.188720703125,0.002758050999545958,,,,,1680626364.0,,0.14385973599928548,,,,,,191.84239955162403,0.00045332500030781375,,0.0,0.0025533349999022903,6528.0,,74,,,0.01717768399976194,,,,,203.0
,,,,,,,,1.4420002116821706e-06,0.1664581820004969,,,,279,0.0001,7.3223876953125,0.0027346960005161236,,,,,1680626365.0,,0.14386180200017407,,,,,,192.24047514771294,0.00041772799977479735,,0.0,0.002536828999836871,6560.0,,75,,,0.01690568499998335,,,,,204.0
0.0,4.466666666666667,0.0,27129.995264,204788.912128,244995.0,0.0,4.933333333333334,,,1.311999999999955,5527.666688,3831.33696,280,,,,4430.06976,3.0,864.919552,0.12668242253187623,1680626365.0,2.719744,,,0.0,247514.0,1761.0,0.07595996819799436,,0.00044642200009548105,0.0,,0.002723012999922503,,4.2,75,0.27899999999999636,,0.017018280000229424,187027.0,577.0,962.0,92.35810269243862,
,,,,,,,,1.3090002539684065e-06,0.16760404000069684,,,,281,0.0001,7.2591552734375,0.0027921979999518953,,,,,1680626365.0,,0.14462281800024357,,,,,,190.92618531072972,,,0.0,,6592.0,,75,,,,,,,,205.0
,,,,,,,,1.5109999367268756e-06,0.16665768599978037,,,,282,0.0001,7.131591796875,0.003023297000254388,,,,,1680626365.0,,0.14363011499972345,,,,,,192.0103462857523,0.00043400799950177316,,0.0,0.0025590740006009582,6624.0,,75,,,0.017009680999763077,,,,,206.0
,,,,,,,,1.4920005924068391e-06,0.16652467699987028,,,,283,0.0001,7.339599609375,0.0030483049995382316,,,,,1680626366.0,,0.1430318040002021,,,,,,192.1637115682556,0.00047220600026776083,,0.0,0.002513024999643676,6656.0,,76,,,0.017457844999626104,,,,,207.0
0.0,4.466666666666667,0.0,27129.995264,204781.75232,248342.0,0.0,4.933333333333334,,,1.3279999999999745,5527.666688,3831.3984,284,,,,4433.760256,3.0,864.980992,0.01634704059592112,1680626366.0,2.719744,,,0.0,250918.0,1778.0,0.0667450944551135,,0.0004537579998213914,0.0,,0.0024580380004408653,,4.2,76,0.2799999999999727,,0.017104303000451182,189297.0,581.0,978.0,93.64753410000094,
,,,,,,,,1.436999809811823e-06,0.16676946000006865,,,,285,0.0001,7.0758056640625,0.0026817329999175854,,,,,1680626366.0,,0.1440701909996278,,,,,,191.88165507033978,,,0.0,,6688.0,,76,,,,,,,,208.0
,,,,,,,,1.5050000001792796e-06,0.16649319300086063,,,,286,0.0001,7.1064453125,0.0026929720006592106,,,,,1680626366.0,,0.14326476299993374,,,,,,192.20004988332818,0.0004282340005374863,,0.0,0.002519513999686751,6720.0,,76,,,0.017586205000043265,,,,,209.0
,,,,,,,,1.332000465481542e-06,0.16873878899968986,,,,287,0.0001,7.2999267578125,0.0027865980000569834,,,,,1680626367.0,,0.14558322899938503,,,,,,189.64222861679312,0.0004353459999038023,,0.0,0.0026787100005094544,6752.0,,77,,,0.01725357399936911,,,,,210.0
0.0,4.366666666666666,0.0,27129.995264,204784.652288,251350.0,0.0,4.933333333333334,,,1.343999999999994,5527.666688,3831.33696,288,,,,4431.355904,3.0,864.919552,0.016345695227788438,1680626367.0,2.719744,,,0.0,254573.0,1803.0,0.07583827934651975,,0.0004448949994184659,0.0,,0.00264058999982808,,4.2,77,0.2810000000000059,,0.01714693600024475,191518.0,585.0,991.0,90.71864046702116,
,,,,,,,,1.3389999367063865e-06,0.16792200799955026,,,,289,0.0001,7.523681640625,0.003174017000674212,,,,,1680626367.0,,0.14451423099944805,,,,,,190.56465785048084,,,0.0,,6784.0,,77,,,,,,,,211.0
,,,,,,,,1.3059998309472576e-06,0.16566390699972544,,,,290,0.0001,7.3011474609375,0.002886418999878515,,,,,1680626367.0,,0.14285760000075243,,,,,,193.16217140800038,0.00042276099975424586,,0.0,0.0024635869995108806,6816.0,,77,,,0.017032233999998425,,,,,212.0
,,,,,,,,1.4890001693856902e-06,0.16653683300046396,,,,291,0.0001,7.12451171875,0.0026499169998714933,,,,,1680626368.0,,0.14389006500005053,,,,,,192.1496849883704,0.00045993599997018464,,0.0,0.002469297999596165,6848.0,,78,,,0.017066128000806202,,,,,213.0
