04_peers/peer_7_samples_per_second,04_peers/peer_6_samples_per_second,03_hivemind/epoch_s,03_hivemind/undershot_TBS,04_peers/peer_4_samples_accumulated,03_hivemind/num_clients,04_peers/peer_5_epoch_oos,04_peers/peer_6_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_1_epoch,04_peers/peer_4_samples_per_second,04_peers/peer_7_samples_accumulated,03_hivemind/global_samples_accumulated,04_peers/peer_6_epoch_oos,04_peers/peer_3_samples_accumulated,04_peers/peer_1_samples_accumulated,03_hivemind/overshot_TBS,03_hivemind/next_fetch_time_s,04_peers/peer_5_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_4_epoch_oos,03_hivemind/reached_TBS,04_peers/peer_2_samples_per_second,04_peers/peer_3_epoch,04_peers/peer_2_epoch,03_hivemind/actual_total_samples_per_second,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,04_peers/peer_8_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_2_samples_accumulated,04_peers/peer_8_samples_accumulated,04_peers/peer_5_samples_per_second,_runtime,04_peers/peer_8_epoch,04_peers/peer_7_epoch,04_peers/peer_3_epoch_oos,_step,03_hivemind/eta_next_epoch_s,03_hivemind/estimated_current_samples,04_peers/peer_4_epoch,04_peers/peer_6_epoch,_timestamp,04_peers/peer_8_epoch_oos,04_peers/peer_7_epoch_oos,03_hivemind/num_peers,04_peers/peer_3_samples_per_second,04_peers/peer_5_epoch,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/global_epoch
71.71,71.25,,,60.0,0,1.0,20.0,0.0,2.0,45.49,20.0,420,1.0,80.0,160.0,,0.5,20.0,381.6458133267423,0.0,,21.25,2.0,2.0,242.12239213452756,,12.01,70.14,0.0,80.0,20.0,68.28,112,2.0,2.0,0.0,35,0.0,3945,2.0,1.0,1696169624.0,0.0,0.0,8,21.53,1.0,,,2
71.71,71.25,,,60.0,0,1.0,20.0,0.0,2.0,45.49,20.0,420,1.0,80.0,160.0,,0.5,20.0,381.6458133267423,0.0,,21.25,2.0,2.0,242.12239213452756,,12.01,70.14,0.0,80.0,20.0,68.28,113,2.0,2.0,0.0,36,0.0,4264,2.0,1.0,1696169625.0,0.0,0.0,8,21.53,1.0,,,2
71.71,71.25,,,60.0,0,1.0,20.0,0.0,2.0,45.49,20.0,420,1.0,80.0,160.0,,0.5,20.0,381.6458133267423,0.0,,21.25,2.0,2.0,242.12239213452756,,12.01,70.14,0.0,80.0,20.0,68.28,115,2.0,2.0,0.0,37,0.0,4585,2.0,1.0,1696169627.0,0.0,0.0,8,21.53,1.0,,,2
71.71,71.25,,,60.0,0,1.0,20.0,0.0,2.0,45.49,20.0,420,1.0,80.0,160.0,,0.5,20.0,381.6458133267423,0.0,,21.25,2.0,2.0,242.12239213452756,,12.01,70.14,0.0,80.0,20.0,68.28,116,2.0,2.0,0.0,38,0.0,4909,2.0,1.0,1696169628.0,0.0,0.0,8,21.53,1.0,,,2
71.71,71.25,,,60.0,0,1.0,20.0,0.0,2.0,45.49,20.0,240,1.0,80.0,160.0,,0.5,20.0,332.99879430004614,0.0,,21.25,2.0,2.0,221.5455159815765,,12.01,70.14,0.0,80.0,20.0,68.28,117,2.0,2.0,0.0,39,0.0,318,2.0,1.0,1696169629.0,0.0,0.0,8,21.53,1.0,,,3
53.31,43.18,30.15833776301588,1.0,40.0,0,1.0,20.0,0.0,3.0,47.27,40.0,360,1.0,40.0,40.0,2.0,0.5,0.0,324.8224795036318,0.0,0.0,26.75,3.0,3.0,213.3692011851622,13.926496987345876,14.02,53.26,0.0,40.0,40.0,68.28,119,3.0,3.0,0.0,40,0.0,607,3.0,2.0,1696169631.0,0.0,0.0,8,26.94,2.0,920.0,420.0,3
47.76,43.18,,,60.0,0,1.0,20.0,0.0,3.0,45.41,60.0,360,1.0,60.0,60.0,,0.5,0.0,324.8224795036318,0.0,,28.28,3.0,3.0,213.3692011851622,,14.98,48.42,0.0,60.0,60.0,68.28,120,3.0,3.0,0.0,41,0.0,890,3.0,2.0,1696169632.0,0.0,0.0,8,28.52,2.0,,,3
47.76,43.18,,,60.0,0,1.0,20.0,0.0,3.0,45.41,60.0,380,1.0,60.0,60.0,,0.5,0.0,326.3213447147554,0.0,,28.28,3.0,3.0,283.14592133809913,,14.98,48.42,0.0,60.0,60.0,68.28,121,3.0,3.0,0.0,42,0.0,1240,3.0,2.0,1696169633.0,0.0,0.0,8,28.52,2.0,,,3
47.76,43.18,,,60.0,0,0.0,20.0,0.0,3.0,45.41,60.0,380,1.0,60.0,60.0,,0.5,20.0,326.3213447147554,0.0,,28.28,3.0,3.0,283.14592133809913,,14.98,48.42,0.0,60.0,60.0,69.78,123,3.0,3.0,0.0,43,0.0,1616,3.0,2.0,1696169635.0,0.0,0.0,8,28.52,3.0,,,3
47.76,43.18,,,60.0,0,0.0,20.0,0.0,3.0,45.41,60.0,380,1.0,60.0,60.0,,0.5,20.0,326.3213447147554,0.0,,28.28,3.0,3.0,283.14592133809913,,14.98,48.42,0.0,60.0,60.0,69.78,124,3.0,3.0,0.0,44,0.0,1992,3.0,2.0,1696169636.0,0.0,0.0,8,28.52,3.0,,,3
47.76,43.18,,,60.0,0,0.0,20.0,0.0,3.0,45.41,60.0,380,1.0,60.0,60.0,,0.5,20.0,326.3213447147554,0.0,,28.28,3.0,3.0,283.14592133809913,,14.98,48.42,0.0,60.0,60.0,69.78,125,3.0,3.0,0.0,45,0.0,2365,3.0,2.0,1696169637.0,0.0,0.0,8,28.52,3.0,,,3
47.76,43.18,,,60.0,0,0.0,20.0,0.0,3.0,45.41,60.0,380,1.0,60.0,60.0,,0.5,20.0,326.3213447147554,0.0,,28.28,3.0,3.0,283.14592133809913,,14.98,48.42,0.0,60.0,60.0,69.78,127,3.0,3.0,0.0,46,0.0,2743,3.0,2.0,1696169639.0,0.0,0.0,8,28.52,3.0,,,3
47.76,43.18,,,60.0,0,0.0,20.0,0.0,3.0,45.41,60.0,380,1.0,60.0,60.0,,0.5,20.0,326.3213447147554,0.0,,28.28,3.0,3.0,283.14592133809913,,14.98,48.42,0.0,60.0,60.0,69.78,128,3.0,3.0,0.0,47,0.0,3119,3.0,2.0,1696169640.0,0.0,0.0,8,28.52,3.0,,,3
47.76,43.18,,,60.0,0,0.0,20.0,0.0,3.0,45.41,60.0,380,1.0,60.0,60.0,,0.5,20.0,326.3213447147554,0.0,,28.28,3.0,3.0,283.14592133809913,,14.98,48.42,0.0,60.0,60.0,69.78,129,3.0,3.0,0.0,48,0.0,3494,3.0,2.0,1696169641.0,0.0,0.0,8,28.52,3.0,,,3
47.76,43.18,,,60.0,0,0.0,20.0,0.0,3.0,45.41,60.0,380,1.0,60.0,60.0,,0.5,20.0,326.3213447147554,0.0,,28.28,3.0,3.0,283.14592133809913,,14.98,48.42,0.0,60.0,60.0,69.78,131,3.0,3.0,0.0,49,0.0,3870,3.0,2.0,1696169643.0,0.0,0.0,8,28.52,3.0,,,3
47.76,43.18,,,60.0,0,0.0,20.0,0.0,3.0,45.41,60.0,380,1.0,60.0,60.0,,0.5,20.0,326.3213447147554,0.0,,28.28,3.0,3.0,283.14592133809913,,14.98,48.42,0.0,60.0,60.0,69.78,132,3.0,3.0,0.0,50,0.0,4245,3.0,2.0,1696169644.0,0.0,0.0,8,28.52,3.0,,,3
47.76,43.18,,,60.0,0,0.0,20.0,0.0,3.0,45.41,60.0,380,1.0,60.0,60.0,,0.5,20.0,326.3213447147554,0.0,,28.28,3.0,3.0,283.14592133809913,,14.98,48.42,0.0,60.0,60.0,69.78,133,3.0,3.0,0.0,51,0.0,4620,3.0,2.0,1696169645.0,0.0,0.0,8,28.52,3.0,,,3
47.76,43.18,,,60.0,0,0.0,20.0,0.0,3.0,45.41,60.0,380,1.0,60.0,60.0,,0.5,20.0,326.3213447147554,0.0,,28.28,3.0,3.0,283.14592133809913,,14.98,48.42,0.0,60.0,60.0,69.78,135,3.0,3.0,0.0,52,0.0,4993,3.0,2.0,1696169647.0,0.0,0.0,8,28.52,3.0,,,3
47.76,43.18,,,60.0,0,0.0,20.0,0.0,3.0,45.41,60.0,380,1.0,60.0,60.0,,0.5,20.0,326.3213447147554,0.0,,28.28,3.0,3.0,283.14592133809913,,14.98,48.42,0.0,60.0,60.0,69.78,136,3.0,3.0,0.0,53,0.0,5386,3.0,2.0,1696169648.0,0.0,0.0,8,28.52,3.0,,,3
