04_peers/peer_2_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_1_epoch,04_peers/peer_2_epoch,03_hivemind/global_epoch,_step,03_hivemind/epoch_s,03_hivemind/num_clients,03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,_runtime,03_hivemind/undershot_TBS,04_peers/peer_2_samples_per_second,03_hivemind/per_epoch_training_samples,03_hivemind/overshot_TBS,03_hivemind/epoch_based_sps,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_per_second,_timestamp,03_hivemind/num_peers,03_hivemind/reached_TBS,04_peers/peer_1_epoch_oos,04_peers/peer_1_samples_accumulated,03_hivemind/global_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/total_training_samples,04_peers/peer_2_samples_accumulated
0.0,16.22,3.0,3.0,3,69,,0,1147,434.43191378476297,125,,217.72,,,,6.49,216.71,1680687665.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,15.03,3.0,3.0,3,70,,0,1662,434.43191378476297,126,,217.72,,,,6.01,216.71,1680687666.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,13.84,3.0,3.0,3,71,,0,2179,434.43191378476297,127,,217.72,,,,5.54,216.71,1680687667.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,9.82,3.0,3.0,3,72,,0,3927,434.43191378476297,131,,217.72,,,,3.93,216.71,1680687671.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,8.8,3.0,3.0,3,73,,0,4370,434.43191378476297,132,,217.72,,,,3.52,216.71,1680687672.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,7.78,3.0,3.0,3,74,,0,4812,434.43191378476297,133,,217.72,,,,3.11,216.71,1680687673.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,6.76,3.0,3.0,3,75,,0,5255,434.43191378476297,134,,217.72,,,,2.7,216.71,1680687674.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,5.74,3.0,3.0,3,76,,0,5697,434.43191378476297,135,,217.72,,,,2.3,216.71,1680687675.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,4.73,3.0,3.0,3,77,,0,6139,434.43191378476297,136,,217.72,,,,1.89,216.71,1680687676.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,3.7,3.0,3.0,3,78,,0,6584,434.43191378476297,137,,217.72,,,,1.48,216.71,1680687677.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,2.68,3.0,3.0,3,79,,0,7027,434.43191378476297,138,,217.72,,,,1.07,216.71,1680687678.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,1.66,3.0,3.0,3,80,,0,7469,434.43191378476297,139,,217.72,,,,0.67,216.71,1680687679.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.64,3.0,3.0,3,81,,0,7913,434.43191378476297,140,,217.72,,,,0.5,216.71,1680687680.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,82,,0,8355,434.43191378476297,141,,217.72,,,,0.5,216.71,1680687681.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,83,,0,8800,434.43191378476297,142,,217.72,,,,0.5,216.71,1680687682.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,84,,0,9242,434.43191378476297,143,,217.72,,,,0.5,216.71,1680687683.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,85,,0,9686,434.43191378476297,144,,217.72,,,,0.5,216.71,1680687684.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,86,,0,10129,434.43191378476297,145,,217.72,,,,0.5,216.71,1680687685.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,87,,0,10572,434.43191378476297,146,,217.72,,,,0.5,216.71,1680687686.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,88,,0,11015,434.43191378476297,147,,217.72,,,,0.5,216.71,1680687687.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,89,,0,11457,434.43191378476297,148,,217.72,,,,0.5,216.71,1680687688.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,90,,0,11899,434.43191378476297,149,,217.72,,,,0.5,216.71,1680687689.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,91,,0,12346,434.43191378476297,150,,217.72,,,,0.5,216.71,1680687690.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,92,,0,12790,434.43191378476297,151,,217.72,,,,0.5,216.71,1680687691.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,93,,0,13234,434.43191378476297,152,,217.72,,,,0.5,216.71,1680687692.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,94,,0,13677,434.43191378476297,154,,217.72,,,,0.5,216.71,1680687694.0,2,,0.0,0.0,0,434.43191378476297,,0.0
0.0,0.0,3.0,3.0,3,95,,0,14120,434.43191378476297,155,,217.72,,,,0.5,216.71,1680687695.0,2,,0.0,0.0,0,434.43191378476297,,0.0
