04_peers/peer_2_epoch_oos,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,04_peers/peer_3_samples_per_second,04_peers/peer_2_epoch,04_peers/peer_3_epoch,03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,03_hivemind/per_epoch_training_samples,03_hivemind/next_fetch_time_s,03_hivemind/optimistic_total_samples_per_second,03_hivemind/epoch_s,03_hivemind/global_epoch,04_peers/peer_1_epoch_oos,03_hivemind/global_samples_accumulated,03_hivemind/num_clients,03_hivemind/reached_TBS,04_peers/peer_3_epoch_oos,04_peers/peer_2_samples_per_second,_runtime,03_hivemind/num_peers,03_hivemind/eta_next_epoch_s,04_peers/peer_1_epoch,03_hivemind/actual_total_samples_per_second,_timestamp,04_peers/peer_2_samples_accumulated,04_peers/peer_3_samples_accumulated,03_hivemind/estimated_current_samples,_step,04_peers/peer_1_samples_per_second,04_peers/peer_1_samples_accumulated
0.0,,,364.64,1.0,1.0,,,,8.77,1092.1007144768646,,1,0.0,13408,0,,0.0,366.74,103,3,17.55,1.0,1092.1007144768646,1680695775.0,4032.0,4064.0,13604,47,362.87,4032.0
0.0,,,363.89,1.0,1.0,,,,8.63,1042.7736203640766,,1,0.0,14624,0,,0.0,365.51,104,3,17.27,1.0,1042.7736203640766,1680695776.0,4480.0,4512.0,14763,48,362.7,4416.0
0.0,,,365.04,1.0,1.0,,,,7.74,1079.1849578193903,,1,0.0,15936,0,,0.0,366.46,105,3,15.47,1.0,1079.1849578193903,1680695777.0,4928.0,4928.0,16072,49,311.27,4768.0
0.0,,,364.71,1.0,1.0,,,,7.05,1091.5808486204942,,1,0.0,17248,0,,0.0,365.69,106,3,14.1,1.0,1091.5808486204942,1680695778.0,5376.0,5376.0,17379,50,348.79,5184.0
0.0,,,365.19,1.0,1.0,,,,6.44,1093.6372032708248,,1,0.0,18400,0,,0.0,367.28,107,3,12.88,1.0,1093.6372032708248,1680695779.0,5792.0,5824.0,18679,51,359.11,5632.0
0.0,,,364.78,1.0,1.0,,,,6.22,1042.333441809723,,1,0.0,19648,0,,0.0,367.18,109,3,12.44,1.0,1042.333441809723,1680695781.0,6240.0,6240.0,19805,52,361.68,5920.0
0.0,,,363.09,1.0,1.0,,,,5.39,1081.2769020701103,,1,0.0,20960,0,,0.0,367.61,110,3,10.77,1.0,1081.2769020701103,1680695782.0,6656.0,6688.0,21119,53,311.63,6304.0
0.0,,,363.95,1.0,1.0,,,,4.75,1089.4310755261165,,1,0.0,22304,0,,0.0,367.15,111,3,9.5,1.0,1089.4310755261165,1680695783.0,7104.0,7104.0,22422,54,350.18,6752.0
0.0,,,363.28,1.0,1.0,,,,4.69,982.0580422348868,,1,0.0,23424,0,,0.0,366.28,112,3,9.37,1.0,982.0580422348868,1680695784.0,7552.0,7552.0,23562,55,359.87,7200.0
0.0,,,363.7,1.0,1.0,,,,3.73,1057.2228391124004,,1,0.0,24736,0,,0.0,256.12,113,3,7.46,1.0,1057.2228391124004,1680695785.0,7840.0,7968.0,24878,56,362.24,7616.0
0.0,,,362.9,1.0,1.0,,,,3.03,1084.1683959854859,,1,0.0,26016,0,,0.0,330.69,115,3,6.07,1.0,1084.1683959854859,1680695787.0,8256.0,8416.0,26190,57,363.63,8064.0
0.0,,,362.61,1.0,1.0,,,,2.72,1000.4278392541464,,1,0.0,27200,0,,0.0,357.12,116,3,5.43,1.0,1000.4278392541464,1680695788.0,8704.0,8832.0,27333,58,364.44,8480.0
0.0,,,273.24,1.0,1.0,,,,2.16,987.8210128103574,,1,0.0,28352,0,,0.0,363.05,117,3,4.32,1.0,987.8210128103574,1680695789.0,9152.0,9120.0,28505,59,364.14,8928.0
0.0,,,338.85,1.0,1.0,,,,1.39,1064.340547047945,,1,0.0,29696,0,,0.0,284.42,118,3,2.77,1.0,1064.340547047945,1680695790.0,9440.0,9568.0,29819,60,364.55,9344.0
0.0,,,358.45,1.0,1.0,,,,0.77,1076.5780489733575,,1,0.0,30944,0,,0.0,342.98,119,3,1.54,1.0,1076.5780489733575,1680695791.0,9888.0,10016.0,31107,61,362.91,9792.0
0.0,,,362.49,1.0,1.0,,,,0.5,1014.8495415151665,,1,0.0,32128,0,,0.0,358.74,121,3,0.51,1.0,1014.8495415151665,1680695793.0,10304.0,10432.0,32254,62,355.35,10208.0
0.0,,,290.59,1.0,1.0,,,,0.5,1053.5465417796163,,1,0.0,32832,0,,0.0,362.59,122,3,0.0,1.0,1053.5465417796163,1680695794.0,10752.0,10720.0,33548,63,361.67,10656.0
0.0,,,328.27,1.0,1.0,,,,0.5,1053.5465417796163,,1,0.0,32832,0,,0.0,362.89,123,3,0.0,1.0,1053.5465417796163,1680695795.0,10976.0,10976.0,34807,64,362.38,10880.0
0.0,,,328.27,1.0,1.0,,,,0.5,1053.5465417796163,,1,0.0,32832,0,,0.0,362.89,124,3,0.0,1.0,1053.5465417796163,1680695796.0,10976.0,10976.0,36065,65,362.38,10880.0
0.0,,,328.27,1.0,1.0,,,,0.5,1053.5465417796163,,1,0.0,32832,0,,0.0,362.89,125,3,0.0,1.0,1053.5465417796163,1680695797.0,10976.0,10976.0,37325,66,362.38,10880.0
0.0,,,328.27,1.0,1.0,,,,0.5,1053.5465417796163,,1,0.0,32832,0,,0.0,362.89,127,3,0.0,1.0,1053.5465417796163,1680695799.0,10976.0,10976.0,38581,67,362.38,10880.0
0.0,,,328.27,1.0,1.0,,,,0.5,1053.5465417796163,,1,0.0,32832,0,,0.0,362.89,128,3,0.0,1.0,1053.5465417796163,1680695800.0,10976.0,10976.0,39845,68,362.38,10880.0
0.0,,,328.27,1.0,1.0,,,,10.0,1053.5465417796163,,2,0.0,0,0,,0.0,362.89,129,3,31.02,1.0,362.38110280841175,1680695801.0,10976.0,10976.0,90,69,362.38,10880.0
1.0,858.3191880005046,65600.0,328.27,1.0,1.0,1.0,0.0,32832.0,10.0,1040.7506717525418,38.25150417117402,2,0.0,1280,0,1.0,1.0,362.89,130,3,30.1,2.0,1040.7506717525418,1680695802.0,10976.0,10976.0,1439,70,362.38,0.0
0.0,,,341.46,2.0,2.0,,,,10.0,1081.831714573313,,2,0.0,2592,0,,0.0,352.29,131,3,27.74,2.0,1081.831714573313,1680695803.0,448.0,416.0,2759,71,347.0,416.0
0.0,,,358.91,2.0,2.0,,,,10.0,1058.3389784133396,,2,0.0,3904,0,,0.0,362.77,133,3,27.16,2.0,1058.3389784133396,1680695805.0,864.0,864.0,4020,72,360.15,864.0
0.0,,,354.09,2.0,2.0,,,,10.0,1085.3124308074769,,2,0.0,5184,0,,0.0,342.4,134,3,25.28,2.0,1085.3124308074769,1680695806.0,1312.0,1280.0,5328,73,361.84,1312.0
0.0,,,362.72,2.0,2.0,,,,10.0,1089.7763765845393,,2,0.0,6464,0,,0.0,361.44,135,3,23.98,2.0,1089.7763765845393,1680695807.0,1728.0,1728.0,6633,74,361.16,1728.0
0.0,,,364.3,2.0,2.0,,,,10.0,1090.6065947662787,,2,0.0,7808,0,,0.0,364.24,136,3,22.77,2.0,1090.6065947662787,1680695808.0,2176.0,2144.0,7940,75,361.23,2144.0
0.0,,,364.33,2.0,2.0,,,,10.0,1092.3957977143507,,2,0.0,9088,0,,0.0,364.75,137,3,21.53,2.0,1092.3957977143507,1680695809.0,2624.0,2592.0,9246,76,361.52,2592.0
0.0,,,364.45,2.0,2.0,,,,10.0,1091.5860991689533,,2,0.0,10400,0,,0.0,365.8,138,3,20.35,2.0,1091.5860991689533,1680695810.0,3040.0,3008.0,10554,77,362.15,3040.0
0.0,,,364.7,2.0,2.0,,,,9.65,1083.2299281444248,,2,0.0,11712,0,,0.0,364.67,140,3,19.31,2.0,1083.2299281444248,1680695812.0,3488.0,3456.0,11851,78,362.21,3456.0
0.0,,,364.54,2.0,2.0,,,,9.01,1088.2308934891396,,2,0.0,12992,0,,0.0,363.89,141,3,18.01,2.0,1088.2308934891396,1680695813.0,3936.0,3904.0,13165,79,354.8,3872.0
0.0,,,364.18,2.0,2.0,,,,8.39,1089.9902385769926,,2,0.0,14336,0,,0.0,362.76,142,3,16.78,2.0,1089.9902385769926,1680695814.0,4352.0,4320.0,14475,80,361.29,4320.0
0.0,,,364.11,2.0,2.0,,,,7.77,1091.8277601449722,,2,0.0,15648,0,,0.0,363.33,143,3,15.55,2.0,1091.8277601449722,1680695815.0,4800.0,4768.0,15791,81,362.55,4768.0
0.0,,,364.75,2.0,2.0,,,,7.18,1090.6197006855546,,2,0.0,16928,0,,0.0,363.97,145,3,14.37,2.0,1090.6197006855546,1680695817.0,5248.0,5216.0,17096,82,363.11,5184.0
0.0,,,364.55,2.0,2.0,,,,6.59,1090.6016446937992,,2,0.0,18272,0,,0.0,363.94,146,3,13.17,2.0,1090.6016446937992,1680695818.0,5664.0,5632.0,18405,83,362.13,5632.0
0.0,,,364.09,2.0,2.0,,,,6.49,1012.9765507939676,,2,0.0,19488,0,,0.0,363.68,147,3,12.98,2.0,1012.9765507939676,1680695819.0,6112.0,6080.0,19619,84,362.83,6080.0
0.0,,,364.2,2.0,2.0,,,,5.61,1057.043482115223,,2,0.0,20736,0,,0.0,362.95,148,3,11.23,2.0,1057.043482115223,1680695820.0,6528.0,6528.0,20901,85,285.83,6432.0
0.0,,,364.32,2.0,2.0,,,,4.89,1079.2875687442756,,2,0.0,22016,0,,0.0,363.73,149,3,9.78,2.0,1079.2875687442756,1680695821.0,6976.0,6944.0,22208,86,328.99,6816.0
0.0,,,363.9,2.0,2.0,,,,4.53,1037.674400820731,,2,0.0,23232,0,,0.0,363.61,150,3,9.06,2.0,1037.674400820731,1680695822.0,7424.0,7392.0,23369,87,351.78,7200.0
0.0,,,363.44,2.0,2.0,,,,3.76,1076.1959911392407,,2,0.0,24544,0,,0.0,363.16,152,3,7.51,2.0,1076.1959911392407,1680695824.0,7840.0,7840.0,24685,88,311.08,7552.0
0.0,,,363.83,2.0,2.0,,,,3.12,1085.4798076541776,,2,0.0,25824,0,,0.0,363.27,153,3,6.24,2.0,1085.4798076541776,1680695825.0,8288.0,8256.0,25992,89,349.09,8000.0
0.0,,,363.62,2.0,2.0,,,,2.52,1087.1686090310961,,2,0.0,27168,0,,0.0,363.03,154,3,5.03,2.0,1087.1686090310961,1680695826.0,8704.0,8704.0,27299,90,358.83,8416.0
