02_timing/forward_time_s,01_general/minibatch_loss,02_timing/dataload_time_s,cpu/interrupts/soft_interrupts_count,process/memory/shared_memory_proc_MB,cpu/load/avg_sys_load_one_min_percent,bandwidth/net_sent_sys_bandwidth_Mbits,cpu/load/avg_sys_load_fifteen_min_percent,process/memory/virtual_memory_size_proc_MB,01_general/lr,02_timing/step_time_s,02_timing/backward_time_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_percent,01_general/dataset_iteration_count,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/data_resident_set_proc_MB,_step,02_timing/opt_step_time_s,disk/counter/disk_read_sys_count,process/memory/lib_memory_proc_MB,process/memory/dirty_pages_proc_count,process/memory/resident_set_size_proc_MB,process/memory/text_resident_set_proc_MB,_timestamp,cpu/logical_core_count,memory/used_memory_sys_MB,disk/time/disk_read_time_sys_s,disk/counter/disk_write_sys_count,bandwidth/disk_read_sys_bandwidth_MBs,01_general/step,03_hivemind/num_peers,memory/total_memory_sys_MB,process/involuntary_proc_ctx_switches,cpu/load/avg_sys_load_five_min_percent,02_timing/loss_calc_time_s,disk/time/disk_write_time_sys_s,_runtime,03_hivemind/global_epoch,cpu/interrupts/interrupts_count,02_timing/dataload_cuda_move_time_s,process/voluntary_proc_ctx_switches,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,cpu/interrupts/ctx_switches_count,01_general/locally_processed_samples
,7.3497314453125,0.0030920759995751723,,,,,,,0.0001,0.2049660849997963,0.14043491199981872,,,0.0,,,25,0.03957295100008196,,,,,,1681395430.0,,,,,,11.0,0.0,,,,,,13,0.0,,,,,,,384.0
0.01686222499984069,7.1239013671875,0.00277404899998146,,,,,,,0.0001,0.20482404699987455,0.1421427609998318,,,0.0,,,26,0.03957196800001839,,,,,,1681395431.0,,,,,,12.0,5.0,,,,0.0003772949999074626,,14,0.0,,0.003095749000294745,,,,,416.0
0.01776711599995906,7.11328125,0.0029652119997081172,,,,,,,0.0001,0.2050361339997835,0.1414532059998237,,,0.0,,,27,0.03955040299979373,,,,,,1681395431.0,,,,,,13.0,5.0,,,,0.0003876300002048083,,14,0.0,,0.002912567000294075,,,,,448.0
0.01701580000008107,,,47622.0,2451.484672,7.9,1.5083647187581875,1.633333333333333,31919.12448,,,,0.13599999999999568,5.3,,0.14712560523585794,0.0,28,,2.0,6552.973312,0.0,6367.076352,2.719744,1681395431.0,,7681.916928,0.0009999999999994458,36.0,0.0,,,,694.0,2.333333333333333,0.00037503699968510773,0.012999999999976808,14,,1015237.0,0.0030755819998375955,835.0,86.60384481178481,199948.353536,50123.0,
,7.450927734375,0.002670085999852745,,,,,,,0.0001,0.2053264099995431,0.1423514210000576,,,0.0,,,29,0.039838484000028984,,,,,,1681395431.0,,,,,,14.0,5.0,,,,,,14,0.0,,,,,,,480.0
0.01780830400002742,7.2388916015625,0.0028711420000036014,,,,,,,0.0001,0.20679016299982322,0.14285779800002274,,,0.0,,,30,0.03960893900011797,,,,,,1681395432.0,,,,,,15.0,5.0,,,,0.0004313419999562029,,15,0.0,,0.003212637999695289,,,,,512.0
0.01696992000006503,7.1322021484375,0.0028418709998732083,,,,,,,0.0001,0.20696762799980206,0.1438861189999443,,,0.0,,,31,0.039832935000049474,,,,,,1681395432.0,,,,,,16.0,5.0,,,,0.0003822489998128731,,15,0.0,,0.003054534000057174,,,,,544.0
0.017573566000010032,,,53377.0,2451.501056,7.9,1.1711445009776997,1.633333333333333,31919.12448,,,,0.1560000000000059,5.3,,0.01634459500335016,0.0,32,,2.0,6552.981504,0.0,6367.096832,2.719744,1681395432.0,,7681.826816,0.0009999999999994458,40.0,0.0,,,,728.0,2.333333333333333,0.0004109970000172325,0.014999999999986358,15,,1020179.0,0.00308948399970177,875.0,80.65933931256754,199958.401024,54094.0,
,7.00604248046875,0.0026814220000233036,,,,,,,0.0001,0.2062330259996088,0.14277207799977987,,,0.0,,,33,0.03970547900007659,,,,,,1681395432.0,,,,,,17.0,5.0,,,,,,15,0.0,,,,,,,576.0
0.01682785100001638,7.29638671875,0.002864969999791356,,,,,,,0.0001,0.20526128099936614,0.14238614599980792,,,0.0,,,34,0.03972506699983569,,,,,,1681395433.0,,,,,,18.0,5.0,,,,0.00037902900021435926,,16,0.0,,0.0030782179997004278,,,,,608.0
