02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/step,disk/counter/disk_write_sys_count,process/memory/data_resident_set_proc_MB,memory/used_memory_sys_MB,01_general/dataset_iteration_count,02_timing/step_time_s,disk/time/disk_busy_time_sys_s,process/involuntary_proc_ctx_switches,memory/used_memory_sys_percent,process/memory/resident_set_size_proc_MB,process/memory/virtual_memory_size_proc_MB,disk/time/disk_write_time_sys_s,disk/counter/disk_read_sys_count,cpu/load/avg_sys_load_one_min_percent,_timestamp,memory/available_memory_sys_MB,03_hivemind/num_peers,bandwidth/net_recv_sys_bandwidth_Mbits,bandwidth/net_sent_sys_bandwidth_Mbits,_runtime,cpu/logical_core_count,process/memory/text_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,02_timing/dataload_cuda_move_time_s,_step,02_timing/backward_time_s,cpu/interrupts/interrupts_count,memory/total_memory_sys_MB,process/memory/dirty_pages_proc_count,03_hivemind/global_epoch,02_timing/dataload_time_s,process/voluntary_proc_ctx_switches,cpu/interrupts/soft_interrupts_count,process/memory/lib_memory_proc_MB,process/memory/shared_memory_proc_MB,cpu/interrupts/ctx_switches_count,cpu/load/avg_sys_load_five_min_percent,disk/time/disk_read_time_sys_s,02_timing/forward_time_s,01_general/minibatch_loss,01_general/lr,02_timing/loss_calc_time_s,bandwidth/disk_write_sys_bandwidth_MBs,bandwidth/disk_read_sys_bandwidth_MBs
,,,257.0,0.0,3061.231616,,,0.16800000000000637,45.0,12.2,2610.864128,13869.391872,0.3989999999998872,5.0,3.125,1696169513.0,27718.90176,,0.08213009343844051,0.10124032114711923,24,,2.654208,4.5,,24,,72203.0,,0.0,,,4157.0,13615.0,2695.114752,833.51552,23398.0,5.0,0.0019999999999988916,,,,,0.004085359744204444,0.0
,,,258.0,0.0,3061.231616,,,0.17600000000000193,45.0,12.2,2610.864128,13869.391872,0.3989999999998872,5.0,3.125,1696169514.0,27718.90176,,0.0,0.0016436302349703252,25,,2.654208,4.5,,25,,72477.0,,0.0,,,4157.0,13753.0,2695.114752,833.51552,23831.0,5.0,0.0019999999999988916,,,,,0.00408513922664762,0.0
,,,261.0,0.0,3061.219328,,,0.1839999999999975,45.0,12.2,2610.864128,13869.391872,0.40099999999983993,5.0,3.125,1696169515.0,27718.909952,,0.03307396189047293,0.07707150732837212,26,,2.654208,4.5,,26,,72941.0,,0.0,,,4157.0,14019.0,2695.114752,833.51552,24497.0,5.0,0.0019999999999988916,,,,,0.044939096103266414,0.0
,,,262.0,0.0,3061.317632,,,0.1880000000000024,45.0,12.2,2610.864128,13869.391872,0.4019999999995889,5.0,3.125,1696169516.0,27718.815744,,0.018369191299226442,0.06014274319250642,27,,2.654208,4.5,,27,,73391.0,,0.0,,,4157.0,14232.0,2695.114752,833.51552,25161.0,5.0,0.0019999999999988916,,,,,0.004085589029991345,0.0
,,,263.0,0.0,3061.280768,,,0.19200000000000728,45.0,12.2,2610.864128,13869.391872,0.4019999999995889,5.0,3.125,1696169517.0,27718.848512,,0.013913999687771409,0.0700646475045011,28,,2.654208,4.5,,28,,73743.0,,0.0,,,4157.0,14410.0,2695.114752,833.51552,25694.0,5.0,0.0019999999999988916,,,,,0.0040848439434527685,0.0
,,,271.0,0.0,3061.248,,,0.20000000000000284,45.0,12.2,2610.864128,13869.391872,0.42099999999982174,5.0,2.875,1696169518.0,27718.88128,,0.003263300051421812,0.026848422199248857,29,,2.654208,4.5,,29,,74080.0,,0.0,,,4157.0,14550.0,2695.114752,833.51552,26241.0,4.875,0.0019999999999988916,,,,,0.5514897302817676,0.0
,,,303.0,0.0,3061.272576,,,0.2079999999999984,45.0,12.2,2610.864128,13869.391872,0.45899999999983265,5.0,2.875,1696169519.0,27718.852608,,0.010868325868316417,0.04321795367376844,30,,2.654208,4.5,,30,,74364.0,,0.0,,,4157.0,14697.0,2695.114752,833.51552,26684.0,4.875,0.0019999999999988916,,,,,0.1634238720900894,0.0
,,,314.0,0.0,3061.305344,,,0.21999999999999886,45.0,12.2,2610.864128,13869.391872,0.4659999999998945,5.0,2.875,1696169520.0,27718.828032,,0.004556530196048711,0.007780414958047247,31,,2.654208,4.5,,31,,74699.0,,0.0,,,4157.0,14883.0,2695.114752,833.51552,27211.0,4.875,0.0019999999999988916,,,,,0.10214288354924095,0.0
,,,316.0,0.0,3061.563392,,,0.22400000000000375,45.0,12.2,2610.864128,13869.391872,0.4679999999998472,5.0,2.875,1696169521.0,27718.569984,,0.13077741721183145,0.12009421407079589,32,,2.654208,4.5,,32,,75194.0,,0.0,,,4157.0,15189.0,2695.114752,833.51552,27877.0,4.875,0.0019999999999988916,,,,,0.008176083717731967,0.0
,,,317.0,0.0,3076.538368,,,0.22800000000000864,45.0,12.2,2610.864128,13869.391872,0.4679999999998472,5.0,2.875,1696169522.0,27703.595008,,0.005608904926116265,0.005608904928837426,33,,2.654208,4.5,,33,,75669.0,,0.0,,,4157.0,15536.0,2695.114752,833.51552,28460.0,4.875,0.0019999999999988916,,,,,0.00408500615047807,0.0
