03_hivemind/num_peers,03_hivemind/num_clients,03_hivemind/undershot_TBS,03_hivemind/epoch_based_sps,04_peers/peer_3_samples_per_second,04_peers/peer_3_samples_accumulated,03_hivemind/actual_total_samples_per_second,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,03_hivemind/global_samples_accumulated,_runtime,04_peers/peer_4_epoch,03_hivemind/per_epoch_training_samples,04_peers/peer_1_epoch_oos,03_hivemind/global_epoch,03_hivemind/epoch_s,04_peers/peer_3_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,_step,_timestamp,04_peers/peer_2_epoch,03_hivemind/reached_TBS,03_hivemind/total_training_samples,04_peers/peer_1_samples_per_second,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,03_hivemind/overshot_TBS,04_peers/peer_3_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/next_fetch_time_s,03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second
4,0,,,365.23,3264.0,1454.3188733674262,367.08,3264.0,15008,99,1.0,,0.0,1,,1.0,0.0,0.0,329.47,3264.0,44,1680698065.0,1.0,,,365.88,3488.0,1.0,,0.0,12.04,6.88,15252,1454.3188733674262
4,0,,,366.2,3680.0,1460.6992918116262,367.49,3712.0,16800,100,1.0,,0.0,1,,1.0,0.0,0.0,355.19,3680.0,45,1680698066.0,1.0,,,365.45,3936.0,1.0,,0.0,10.79,6.16,17014,1460.6992918116262
4,0,,,366.04,4128.0,1462.9034281379697,366.92,4160.0,18592,101,1.0,,0.0,1,,1.0,0.0,0.0,362.29,4128.0,46,1680698067.0,1.0,,,365.45,4384.0,1.0,,0.0,9.57,5.47,18773,1462.9034281379697
4,0,,,365.21,4576.0,1461.926255742887,367.09,4608.0,20320,102,1.0,,0.0,1,,1.0,0.0,0.0,364.65,4576.0,47,1680698068.0,1.0,,,365.96,4832.0,1.0,,0.0,8.37,4.79,20526,1461.926255742887
4,0,,,364.49,5024.0,1461.5247792357407,366.84,5056.0,22048,104,1.0,,0.0,1,,1.0,0.0,0.0,364.26,4992.0,48,1680698070.0,1.0,,,366.34,5248.0,1.0,,0.0,7.18,4.1,22281,1461.5247792357407
4,0,,,364.74,5440.0,1461.2518778802114,366.66,5472.0,23840,105,1.0,,0.0,1,,1.0,0.0,0.0,364.48,5440.0,49,1680698071.0,1.0,,,365.65,5696.0,1.0,,0.0,5.98,3.42,24033,1461.2518778802114
4,0,,,364.82,5888.0,1461.3220633404853,366.35,5920.0,25600,106,1.0,,0.0,1,,1.0,0.0,0.0,364.99,5888.0,50,1680698072.0,1.0,,,365.09,6144.0,1.0,,0.0,4.77,2.73,25795,1461.3220633404853
4,0,,,365.21,6336.0,1394.6938037274454,366.45,6368.0,27168,107,1.0,,0.0,1,,1.0,0.0,0.0,364.64,6336.0,51,1680698073.0,1.0,,,365.02,6560.0,1.0,,0.0,3.86,2.21,27379,1394.6938037274454
4,0,,,364.65,6752.0,1439.9177093901837,366.17,6816.0,28928,108,1.0,,0.0,1,,1.0,0.0,0.0,363.91,6752.0,52,1680698074.0,1.0,,,299.97,6848.0,1.0,,0.0,2.52,1.44,29133,1439.9177093901837
4,0,,,362.82,7200.0,1454.3654892858497,366.17,7232.0,30720,110,1.0,,0.0,1,,1.0,0.0,0.0,363.97,7200.0,53,1680698076.0,1.0,,,346.96,7296.0,1.0,,0.0,1.29,0.74,30892,1454.3654892858497
4,0,,,363.75,7648.0,1455.6622531422859,366.31,7680.0,32320,111,1.0,,0.0,1,,1.0,0.0,0.0,364.95,7648.0,54,1680698077.0,1.0,,,359.36,7744.0,1.0,,0.0,0.08,0.5,32647,1455.6622531422859
4,0,,,363.34,8064.0,1331.7800354927135,366.1,8128.0,32640,112,1.0,,0.0,1,,1.0,0.0,0.0,364.63,8064.0,55,1680698078.0,1.0,,,361.6,8064.0,1.0,,0.0,0.0,0.5,34101,1331.7800354927135
4,0,,,363.87,8160.0,1331.7800354927135,366.56,8224.0,32640,113,1.0,,0.0,1,,1.0,0.0,0.0,364.48,8160.0,56,1680698079.0,1.0,,,236.86,8096.0,1.0,,0.0,0.0,0.5,35864,1331.7800354927135
4,0,,,363.87,8160.0,1331.7800354927135,366.56,8224.0,32640,115,1.0,,0.0,1,,1.0,0.0,0.0,364.48,8160.0,57,1680698081.0,1.0,,,236.86,8096.0,1.0,,0.0,0.0,0.5,37478,1331.7800354927135
4,0,,,363.87,8160.0,1331.7800354927135,366.56,8224.0,32640,116,1.0,,0.0,1,,1.0,0.0,0.0,364.48,8160.0,58,1680698082.0,1.0,,,236.86,8096.0,1.0,,0.0,0.0,0.5,39090,1331.7800354927135
4,0,,,363.87,8160.0,1331.7800354927135,366.56,8224.0,32640,117,1.0,,0.0,1,,1.0,0.0,0.0,364.48,8160.0,59,1680698083.0,1.0,,,236.86,8096.0,1.0,,0.0,0.0,0.5,40691,1331.7800354927135
4,0,,,363.87,8160.0,1331.7800354927135,366.56,8224.0,32640,118,1.0,,0.0,1,,1.0,0.0,0.0,364.48,8160.0,60,1680698084.0,1.0,,,236.86,8096.0,1.0,,0.0,0.0,0.5,42304,1331.7800354927135
4,0,,,363.87,8160.0,1331.7800354927135,366.56,8224.0,32640,119,1.0,,0.0,1,,1.0,0.0,0.0,364.48,8160.0,61,1680698085.0,1.0,,,236.86,8096.0,1.0,,0.0,0.0,0.5,43909,1331.7800354927135
4,0,,,363.87,8160.0,1345.584067047089,366.56,8224.0,1504,121,1.0,,0.0,2,,1.0,0.0,0.0,364.48,8160.0,62,1680698087.0,1.0,,,236.86,8096.0,1.0,,0.0,23.06,10.0,1743,1345.584067047089
4,0,1.0,1000.9457562953097,343.69,352.0,1426.408363340845,347.69,352.0,3296,122,2.0,32640.0,0.0,2,32.60915968194604,2.0,0.0,0.0,346.12,384.0,63,1680698088.0,2.0,0.0,65440.0,308.08,416.0,2.0,1.0,0.0,20.51,10.0,3515,1426.408363340845
4,0,,,360.45,800.0,1453.2588403089226,361.98,800.0,5088,123,2.0,,0.0,2,,2.0,0.0,0.0,359.57,832.0,64,1680698089.0,2.0,,,344.41,864.0,2.0,,0.0,18.91,10.0,5280,1453.2588403089226
4,0,,,365.19,1248.0,1447.5127544952618,365.54,1248.0,6816,124,2.0,,0.0,2,,2.0,0.0,0.0,362.34,1280.0,65,1680698090.0,2.0,,,360.19,1312.0,2.0,,0.0,17.73,10.0,7097,1447.5127544952618
4,0,,,366.2,1696.0,1450.3246906339607,366.23,1696.0,8608,125,2.0,,0.0,2,,2.0,0.0,0.0,350.97,1696.0,66,1680698091.0,2.0,,,364.12,1728.0,2.0,,0.0,16.51,9.43,8827,1450.3246906339607
4,0,,,365.55,2144.0,1295.0664003100405,366.09,2144.0,10080,127,2.0,,0.0,2,,2.0,0.0,0.0,358.39,2144.0,67,1680698093.0,2.0,,,360.3,2176.0,2.0,,0.0,17.39,9.94,10251,1295.0664003100405
4,0,,,272.31,2432.0,1413.1042617206572,295.39,2432.0,11808,128,2.0,,0.0,2,,2.0,0.0,0.0,363.55,2592.0,68,1680698094.0,2.0,,,363.82,2624.0,2.0,,0.0,14.68,8.39,12025,1413.1042617206572
4,0,,,338.81,2880.0,1446.5819538850776,345.35,2848.0,13600,129,2.0,,0.0,2,,2.0,0.0,0.0,364.22,3008.0,69,1680698095.0,2.0,,,364.72,3072.0,2.0,,0.0,13.12,7.5,13785,1446.5819538850776
4,0,,,358.47,3328.0,1375.3822550194027,360.42,3296.0,15104,130,2.0,,0.0,2,,2.0,0.0,0.0,362.47,3456.0,70,1680698096.0,2.0,,,365.22,3520.0,2.0,,0.0,12.64,7.22,15379,1375.3822550194027
4,0,,,362.88,3744.0,1270.7510286938023,363.62,3680.0,16576,131,2.0,,0.0,2,,2.0,0.0,0.0,284.72,3744.0,71,1680698097.0,2.0,,,364.16,3936.0,2.0,,0.0,12.62,7.21,16729,1270.7510286938023
4,0,,,299.88,4064.0,1402.2363889315889,265.33,3936.0,18304,133,2.0,,0.0,2,,2.0,0.0,0.0,341.21,4192.0,72,1680698099.0,2.0,,,364.33,4384.0,2.0,,0.0,10.18,5.82,18497,1402.2363889315889
4,0,,,345.91,4480.0,1443.4095265787241,336.85,4384.0,20032,134,2.0,,0.0,2,,2.0,0.0,0.0,354.59,4608.0,73,1680698100.0,2.0,,,364.89,4832.0,2.0,,0.0,8.67,4.95,20253,1443.4095265787241
4,0,,,360.19,4928.0,1353.6981555258942,357.91,4800.0,21600,135,2.0,,0.0,2,,2.0,0.0,0.0,360.84,5056.0,74,1680698101.0,2.0,,,364.47,5248.0,2.0,,0.0,8.1,4.63,21802,1353.6981555258942
4,0,,,363.86,5376.0,1429.7795329703347,338.47,5216.0,23392,136,2.0,,0.0,2,,2.0,0.0,0.0,286.6,5312.0,75,1680698102.0,2.0,,,364.77,5696.0,2.0,,0.0,6.44,3.68,23563,1429.7795329703347
4,0,,,364.43,5824.0,1435.4065949039323,359.1,5664.0,25088,137,2.0,,0.0,2,,2.0,0.0,0.0,341.82,5760.0,76,1680698103.0,2.0,,,364.43,6144.0,2.0,,0.0,5.21,2.98,25294,1435.4065949039323
4,0,,,352.8,6240.0,1453.1810639587804,364.01,6112.0,26848,139,2.0,,0.0,2,,2.0,0.0,0.0,357.03,6176.0,77,1680698105.0,2.0,,,361.57,6560.0,2.0,,0.0,3.93,2.25,27057,1453.1810639587804
4,0,,,362.09,6656.0,1446.9105962752194,365.86,6560.0,28608,140,2.0,,0.0,2,,2.0,0.0,0.0,361.62,6624.0,78,1680698106.0,2.0,,,363.61,7008.0,2.0,,0.0,2.75,1.57,28790,1446.9105962752194
4,0,,,364.39,7104.0,1454.9827808535788,365.74,7008.0,30336,141,2.0,,0.0,2,,2.0,0.0,0.0,352.65,7040.0,79,1680698107.0,2.0,,,364.13,7456.0,2.0,,0.0,1.52,0.87,30552,1454.9827808535788
4,0,,,364.86,7552.0,1454.7124083468875,365.63,7424.0,32096,142,2.0,,0.0,2,,2.0,0.0,0.0,361.05,7488.0,80,1680698108.0,2.0,,,363.44,7872.0,2.0,,0.0,0.32,0.5,32299,1454.7124083468875
4,0,,,363.91,8000.0,1453.7716584899931,365.06,7872.0,32832,143,2.0,,0.0,2,,2.0,0.0,0.0,362.76,7904.0,81,1680698109.0,2.0,,,362.98,8320.0,2.0,,0.0,0.0,0.5,34048,1453.7716584899931
4,0,,,363.92,8160.0,1453.7716584899931,364.8,8064.0,32832,145,2.0,,0.0,2,,2.0,0.0,0.0,362.89,8096.0,82,1680698111.0,2.0,,,362.16,8512.0,2.0,,0.0,0.0,0.5,35788,1453.7716584899931
4,0,,,363.92,8160.0,1453.7716584899931,364.8,8064.0,32832,146,2.0,,0.0,2,,2.0,0.0,0.0,362.89,8096.0,83,1680698112.0,2.0,,,362.16,8512.0,2.0,,0.0,0.0,0.5,37530,1453.7716584899931
4,0,,,363.92,8160.0,1453.7716584899931,364.8,8064.0,32832,147,2.0,,0.0,2,,2.0,0.0,0.0,362.89,8096.0,84,1680698113.0,2.0,,,362.16,8512.0,2.0,,0.0,0.0,0.5,39286,1453.7716584899931
4,0,,,363.92,8160.0,1453.7716584899931,364.8,8064.0,32832,148,2.0,,0.0,2,,2.0,0.0,0.0,362.89,8096.0,85,1680698114.0,2.0,,,362.16,8512.0,2.0,,0.0,0.0,0.5,41031,1453.7716584899931
4,0,,,363.92,8160.0,1453.7716584899931,364.8,8064.0,32832,149,2.0,,0.0,2,,2.0,0.0,0.0,362.89,8096.0,86,1680698115.0,2.0,,,362.16,8512.0,2.0,,0.0,0.0,0.5,42775,1453.7716584899931
4,0,,,363.92,8160.0,1453.7716584899931,364.8,8064.0,32832,151,2.0,,0.0,2,,2.0,0.0,0.0,362.89,8096.0,87,1680698117.0,2.0,,,362.16,8512.0,2.0,,0.0,0.0,0.5,44532,1453.7716584899931
4,0,,,363.92,8160.0,1453.7716584899931,364.8,8064.0,0,152,2.0,,0.0,3,,2.0,0.0,0.0,362.89,8096.0,88,1680698118.0,2.0,,,362.16,8512.0,2.0,,0.0,22.0,10.0,784,1453.7716584899931
4,0,1.0,1047.5060084529327,363.92,0.0,1453.7716584899931,364.8,0.0,0,153,3.0,32832.0,0.0,3,31.343018307350576,3.0,0.0,0.0,362.89,0.0,89,1680698119.0,3.0,0.0,98272.0,362.16,0.0,3.0,2.0,0.0,20.8,10.0,2535,1453.7716584899931
4,0,,,363.92,0.0,1453.7716584899931,364.8,0.0,0,154,3.0,,0.0,3,,3.0,0.0,0.0,362.89,0.0,90,1680698120.0,3.0,,,362.16,0.0,3.0,,0.0,19.6,10.0,4281,1453.7716584899931
4,0,,,363.92,0.0,1453.7716584899931,364.8,0.0,0,156,3.0,,0.0,3,,3.0,0.0,0.0,362.89,0.0,91,1680698122.0,3.0,,,362.16,0.0,3.0,,0.0,18.39,10.0,6039,1453.7716584899931
