04_peers/peer_3_epoch,03_hivemind/overshot_TBS,04_peers/peer_2_samples_per_second,03_hivemind/epoch_s,04_peers/peer_7_epoch,04_peers/peer_2_samples_accumulated,03_hivemind/num_clients,04_peers/peer_2_epoch_oos,_timestamp,04_peers/peer_8_epoch,04_peers/peer_1_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_4_epoch,03_hivemind/epoch_based_sps,03_hivemind/actual_total_samples_per_second,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_4_epoch_oos,04_peers/peer_7_epoch_oos,04_peers/peer_8_epoch_oos,04_peers/peer_8_samples_per_second,_runtime,03_hivemind/num_peers,04_peers/peer_6_samples_per_second,03_hivemind/estimated_current_samples,04_peers/peer_8_samples_accumulated,_step,04_peers/peer_4_samples_per_second,04_peers/peer_1_samples_accumulated,04_peers/peer_4_samples_accumulated,04_peers/peer_9_samples_accumulated,04_peers/peer_5_epoch_oos,03_hivemind/total_training_samples,04_peers/peer_6_epoch,04_peers/peer_5_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_7_samples_per_second,04_peers/peer_3_samples_accumulated,03_hivemind/per_epoch_training_samples,04_peers/peer_9_epoch,04_peers/peer_6_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_2_epoch,04_peers/peer_9_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_7_samples_accumulated,04_peers/peer_5_samples_accumulated,04_peers/peer_6_samples_accumulated,03_hivemind/global_samples_accumulated,03_hivemind/reached_TBS,03_hivemind/global_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_9_samples_per_second,04_peers/peer_1_epoch,04_peers/peer_5_epoch,03_hivemind/undershot_TBS
0.0,,117.86,,0.0,2624.0,0,0.0,1681405799.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,80,9,117.9,60591,1600.0,25,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1430.46,0.0,0.0,
0.0,,117.86,,0.0,2624.0,0,0.0,1681405803.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,84,9,117.9,70390,1600.0,26,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1430.46,0.0,0.0,
0.0,,117.86,,0.0,2624.0,0,0.0,1681405804.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,85,9,117.9,73044,1600.0,27,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1430.46,0.0,0.0,
0.0,,117.86,,0.0,2624.0,0,0.0,1681405805.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,86,9,117.9,75756,1600.0,28,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1430.46,0.0,0.0,
0.0,,117.86,,0.0,2624.0,0,0.0,1681405806.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,87,9,117.9,78413,1600.0,29,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1430.46,0.0,0.0,
0.0,,117.86,,0.0,2624.0,0,0.0,1681405808.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,89,9,117.9,81077,1600.0,30,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1430.46,0.0,0.0,
0.0,,117.86,,0.0,2624.0,0,0.0,1681405809.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,90,9,117.9,83730,1600.0,31,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1430.46,0.0,0.0,
0.0,,117.86,,0.0,2624.0,0,0.0,1681405810.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,91,9,117.9,86362,1600.0,32,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1430.46,0.0,0.0,
0.0,,117.86,,0.0,2624.0,0,0.0,1681405811.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,92,9,117.9,89009,1600.0,33,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1430.46,0.0,0.0,
0.0,,117.86,,0.0,2624.0,0,0.0,1681405812.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,93,9,117.9,91672,1600.0,34,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1430.46,0.0,0.0,
0.0,,117.86,,0.0,2624.0,0,0.0,1681405813.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,94,9,117.9,94343,1600.0,35,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1430.46,0.0,0.0,
0.0,,117.86,,0.0,2624.0,0,0.0,1681405814.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,95,9,117.9,97006,1600.0,36,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1430.46,0.0,0.0,
0.0,,117.86,,0.0,2624.0,0,0.0,1681405815.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,96,9,117.9,99680,1600.0,37,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1430.46,0.0,0.0,
0.0,,117.86,,0.0,2624.0,0,0.0,1681405816.0,0.0,0.0,0.5,0.0,,2371.3834169527963,2371.3834169527963,0.0,0.0,0.0,108.63,97,9,117.9,102329,1600.0,38,119.88,2656.0,2432.0,18432.0,0.0,,0.0,116.19,122.06,120.48,2496.0,,0.0,0.0,117.94,0.0,0.0,0.0,2272.0,2240.0,2240.0,36992,,0,0.0,1430.46,0.0,0.0,
