_runtime,04_peers/peer_2_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/num_peers,03_hivemind/global_epoch,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,04_peers/peer_1_epoch_oos,03_hivemind/optimistic_total_samples_per_second,_timestamp,03_hivemind/epoch_s,03_hivemind/num_clients,03_hivemind/total_training_samples,04_peers/peer_1_samples_per_second,03_hivemind/estimated_current_samples,04_peers/peer_1_epoch,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,03_hivemind/epoch_based_sps,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_accumulated,_step,03_hivemind/reached_TBS,03_hivemind/global_samples_accumulated
89,0.0,3.06,2,2,2400.0,2.0,,,0.0,901.3514020000279,1680687037.0,,0,,474.28,5434,2.0,,901.3514020000279,,1.22,501.41,1920.0,42,,5248
90,0.0,1.98,2,2,2912.0,2.0,,,0.0,885.9624435859006,1680687038.0,,0,,436.42,6436,2.0,,885.9624435859006,,0.79,464.93,2336.0,43,,6208
91,0.0,0.91,2,2,3456.0,2.0,,,0.0,883.5252680012318,1680687039.0,,0,,423.37,7388,2.0,,883.5252680012318,,0.5,462.59,2752.0,44,,7264
92,0.0,0.0,2,2,4000.0,2.0,,,0.0,801.814713459614,1680687040.0,,0,,409.2,8387,2.0,,801.814713459614,,0.5,474.32,3264.0,45,,8192
93,0.0,0.0,2,2,4480.0,2.0,,,0.0,801.814713459614,1680687041.0,,0,,389.45,9335,2.0,,801.814713459614,,0.5,412.36,3712.0,46,,8192
95,0.0,0.0,2,2,4480.0,2.0,,,0.0,801.814713459614,1680687043.0,,0,,389.45,10288,2.0,,801.814713459614,,0.5,412.36,3712.0,47,,8192
96,0.0,0.0,2,2,4480.0,2.0,,,0.0,801.814713459614,1680687044.0,,0,,389.45,11242,2.0,,801.814713459614,,0.5,412.36,3712.0,48,,8192
97,0.0,0.0,2,2,4480.0,2.0,,,0.0,801.814713459614,1680687045.0,,0,,389.45,12196,2.0,,801.814713459614,,0.5,412.36,3712.0,49,,8192
98,0.0,0.0,2,2,4480.0,2.0,,,0.0,801.814713459614,1680687046.0,,0,,389.45,13152,2.0,,801.814713459614,,0.5,412.36,3712.0,50,,8192
99,0.0,0.0,2,2,4480.0,2.0,,,0.0,801.814713459614,1680687047.0,,0,,389.45,14103,2.0,,801.814713459614,,0.5,412.36,3712.0,51,,8192
101,0.0,0.0,2,2,4480.0,2.0,,,0.0,801.814713459614,1680687049.0,,0,,389.45,15065,2.0,,801.814713459614,,0.5,412.36,3712.0,52,,8192
102,0.0,0.0,2,2,4480.0,2.0,,,0.0,801.814713459614,1680687050.0,,0,,389.45,16016,2.0,,801.814713459614,,0.5,412.36,3712.0,53,,8192
103,0.0,0.0,2,2,4480.0,2.0,,,0.0,801.814713459614,1680687051.0,,0,,389.45,16967,2.0,,801.814713459614,,0.5,412.36,3712.0,54,,8192
104,0.0,9.04,2,3,4480.0,2.0,,,0.0,801.814713459614,1680687052.0,,0,,389.45,945,2.0,,801.814713459614,,3.62,412.36,3712.0,55,,0
105,0.0,7.85,2,3,0.0,3.0,2.0,0.0,0.0,801.814713459614,1680687053.0,21.39084933605045,0,24704.0,389.45,1901,3.0,8192.0,801.814713459614,382.9674956474893,3.14,412.36,0.0,56,1.0,0
106,0.0,6.65,2,3,0.0,3.0,,,0.0,801.814713459614,1680687054.0,,0,,389.45,2856,3.0,,801.814713459614,,2.66,412.36,0.0,57,,0
108,0.0,5.46,2,3,0.0,3.0,,,0.0,801.814713459614,1680687056.0,,0,,389.45,3811,3.0,,801.814713459614,,2.19,412.36,0.0,58,,0
112,0.0,1.43,2,3,0.0,3.0,,,0.0,801.814713459614,1680687060.0,,0,,389.45,7043,3.0,,801.814713459614,,0.57,412.36,0.0,59,,0
113,0.0,0.4,2,3,0.0,3.0,,,0.0,801.814713459614,1680687061.0,,0,,389.45,7867,3.0,,801.814713459614,,0.5,412.36,0.0,60,,0
114,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687062.0,,0,,389.45,8684,3.0,,801.814713459614,,0.5,412.36,0.0,61,,0
115,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687063.0,,0,,389.45,9508,3.0,,801.814713459614,,0.5,412.36,0.0,62,,0
116,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687064.0,,0,,389.45,10328,3.0,,801.814713459614,,0.5,412.36,0.0,63,,0
117,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687065.0,,0,,389.45,11151,3.0,,801.814713459614,,0.5,412.36,0.0,64,,0
118,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687066.0,,0,,389.45,11974,3.0,,801.814713459614,,0.5,412.36,0.0,65,,0
119,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687067.0,,0,,389.45,12791,3.0,,801.814713459614,,0.5,412.36,0.0,66,,0
120,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687068.0,,0,,389.45,13606,3.0,,801.814713459614,,0.5,412.36,0.0,67,,0
121,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687069.0,,0,,389.45,14423,3.0,,801.814713459614,,0.5,412.36,0.0,68,,0
122,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687070.0,,0,,389.45,15245,3.0,,801.814713459614,,0.5,412.36,0.0,69,,0
123,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687071.0,,0,,389.45,16065,3.0,,801.814713459614,,0.5,412.36,0.0,70,,0
124,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687072.0,,0,,389.45,16887,3.0,,801.814713459614,,0.5,412.36,0.0,71,,0
125,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687073.0,,0,,389.45,17707,3.0,,801.814713459614,,0.5,412.36,0.0,72,,0
126,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687074.0,,0,,389.45,18529,3.0,,801.814713459614,,0.5,412.36,0.0,73,,0
127,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687075.0,,0,,389.45,19351,3.0,,801.814713459614,,0.5,412.36,0.0,74,,0
128,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687076.0,,0,,389.45,20174,3.0,,801.814713459614,,0.5,412.36,0.0,75,,0
129,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687077.0,,0,,389.45,20992,3.0,,801.814713459614,,0.5,412.36,0.0,76,,0
130,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687078.0,,0,,389.45,21815,3.0,,801.814713459614,,0.5,412.36,0.0,77,,0
131,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687079.0,,0,,389.45,22633,3.0,,801.814713459614,,0.5,412.36,0.0,78,,0
132,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687080.0,,0,,389.45,23451,3.0,,801.814713459614,,0.5,412.36,0.0,79,,0
133,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687081.0,,0,,389.45,24272,3.0,,801.814713459614,,0.5,412.36,0.0,80,,0
134,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687082.0,,0,,389.45,25096,3.0,,801.814713459614,,0.5,412.36,0.0,81,,0
135,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687083.0,,0,,389.45,25917,3.0,,801.814713459614,,0.5,412.36,0.0,82,,0
136,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687084.0,,0,,389.45,26736,3.0,,801.814713459614,,0.5,412.36,0.0,83,,0
137,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687085.0,,0,,389.45,27552,3.0,,801.814713459614,,0.5,412.36,0.0,84,,0
138,0.0,0.0,2,3,0.0,3.0,,,0.0,801.814713459614,1680687086.0,,0,,389.45,28371,3.0,,801.814713459614,,0.5,412.36,0.0,85,,0
