01_general/locally_processed_samples,bandwidth/disk_read_sys_bandwidth_MBs,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/virtual_memory_size_proc_MB,02_timing/dataload_time_s,cpu/interrupts/interrupts_count,02_timing/dataload_cuda_move_time_s,02_timing/backward_time_s,memory/total_memory_sys_MB,disk/time/disk_write_time_sys_s,process/memory/data_resident_set_proc_MB,process/memory/text_resident_set_proc_MB,01_general/lr,01_general/step,01_general/minibatch_loss,process/memory/shared_memory_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,03_hivemind/num_peers,03_hivemind/global_epoch,02_timing/loss_calc_time_s,cpu/load/avg_sys_load_five_min_percent,02_timing/step_time_s,disk/counter/disk_read_sys_count,disk/counter/disk_write_sys_count,disk/time/disk_busy_time_sys_s,process/memory/lib_memory_proc_MB,process/voluntary_proc_ctx_switches,bandwidth/net_recv_sys_bandwidth_Mbits,_runtime,_timestamp,02_timing/forward_time_s,memory/available_memory_sys_MB,cpu/interrupts/soft_interrupts_count,cpu/logical_core_count,memory/used_memory_sys_MB,disk/time/disk_read_time_sys_s,02_timing/opt_step_time_s,01_general/dataset_iteration_count,cpu/load/avg_sys_load_one_min_percent,process/involuntary_proc_ctx_switches,process/memory/dirty_pages_proc_count,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/resident_set_size_proc_MB,_step,memory/used_memory_sys_percent,cpu/interrupts/ctx_switches_count
1408.0,,,,0.002625018999879103,,0.0031102339999051765,0.14338117299985242,,,,,0.0001,43.0,7.4068603515625,,,8.0,0.0,0.00039106099984564935,,0.20396120899931702,,,,,,,24,1681395441.0,0.01683211099998516,,,,,,0.03762161099984951,0.0,,,,,,67,,
1440.0,,,,0.0025944300000446674,,0.003124002999811637,0.14208346099985647,,,,,0.0001,44.0,7.2760009765625,,,8.0,0.0,0.00039506700022684527,,0.20475391999980275,,,,,,,24,1681395441.0,0.016854920999776368,,,,,,0.03970203800008676,0.0,,,,,,68,,
,0.0,2.7416990289028003,31851.728896,,1082844.0,0.0031265699999494245,,,0.09499999999997044,0.0,2.719744,,,,2452.516864,1.4000000000000001,,,,1.1333333333333333,,2.0,211.0,0.3399999999999892,6486.007808,1699.0,92.2730620877367,24,1681395441.0,,199919.480832,101444.0,,7730.860032,0.0010000000000012221,,,1.633333333333333,441.0,0.0,0.016342911889365798,6300.954624,69,5.3,101450.0
1472.0,,,,0.0027793310000561178,,,0.140441256000031,,,,,0.0001,45.0,7.0556640625,,,8.0,0.0,0.00041880900016622036,,0.20435413699988203,,,,,,,24,1681395441.0,0.01789537400009067,,,,,,0.03969279699958861,0.0,,,,,,70,,
1504.0,,,,0.0027863760001309856,,0.003116741999747319,0.14123596800027372,,,,,0.0001,46.0,7.2882080078125,,,8.0,0.0,0.0003978959998676146,,0.20416205500032447,,,,,,,25,1681395442.0,0.01691535700001623,,,,,,0.03970971600028861,0.0,,,,,,71,,
,0.0,2.521531992302695,31851.728896,,1087683.0,0.0030948080002417555,0.14137127799995142,,0.09699999999997999,0.0,2.719744,,,,2452.516864,1.4000000000000001,,,0.0003932879999410943,1.1333333333333333,,2.0,214.0,0.35199999999998965,6486.016,1764.0,86.10379511580359,25,1681395442.0,0.01685999500023172,199890.65728,106697.0,,7740.780544,0.0010000000000012221,0.03964617999963593,,1.633333333333333,442.0,0.0,0.012261721363336529,6300.95872,72,5.3,108076.0
1536.0,,,,0.00275407399976757,,,,,,,,0.0001,47.0,7.2786865234375,,,8.0,0.0,,,0.2041196229997695,,,,,,,25,1681395442.0,,,,,,,,0.0,,,,,,73,,
1568.0,,,,0.002874094999697263,,0.0031002059999991616,0.1417470190003769,,,,,0.0001,48.0,7.6488037109375,,,8.0,0.0,0.0003968660003010882,,0.20476847800000542,,,,,,,25,1681395442.0,0.01703823999969245,,,,,,0.03961205199993856,0.0,,,,,,74,,
1600.0,,,,0.0025841960000434483,,0.003093457999966631,0.14221856099993602,,,,,0.0001,49.0,7.4776611328125,,,8.0,0.0,0.00039143100002547726,,0.20472591199995804,,,,,,,26,1681395443.0,0.01678969100021277,,,,,,0.0396485749997737,0.0,,,,,,75,,
,0.0,2.7645230626924358,31851.728896,,1093322.0,0.0030668709996461985,0.14070699900003092,,0.09799999999995634,0.0,2.719744,,,,2452.492288,1.4000000000000001,,,0.0003862590001517674,1.1333333333333333,,2.0,218.0,0.367999999999995,6486.020096,1799.0,95.75539468501889,26,1681395443.0,0.016669388000082108,199895.814144,113270.0,,7735.574528,0.0010000000000012221,0.03964789900010146,,1.633333333333333,449.0,0.0,0.01634801669715399,6300.934144,76,5.3,115355.0
1632.0,,,,0.0026407120003568707,,,,,,,,0.0001,50.0,7.15478515625,,,8.0,0.0,,,0.20311812800036932,,,,,,,26,1681395443.0,,,,,,,,0.0,,,,,,77,,
1664.0,,,,0.0023597700001118938,,0.0029806080001435475,0.14083256699996127,,,,,0.0001,51.0,7.2713623046875,,,8.0,0.0,0.00039855300019553397,,0.20255897900005948,,,,,,,26,1681395443.0,0.01676985699987199,,,,,,0.03921762399977524,0.0,,,,,,78,,
1696.0,,,,0.0027838010000778013,,0.003073439999752736,0.1421311619997141,,,,,0.0001,52.0,7.1058349609375,,,8.0,0.0,0.000381827000182966,,0.2047399269995367,,,,,,,27,1681395444.0,0.016812083999866445,,,,,,0.03955761299994265,0.0,,,,,,79,,
,0.0,2.590167156866504,31851.732992,,1098158.0,0.003019374000359676,0.1420117970001229,,0.10199999999997544,0.0,2.719744,,,,2452.516864,1.4000000000000001,,,0.00042272499968021293,1.1333333333333333,,2.0,229.0,0.387999999999991,6486.028288,1858.0,91.3348352604849,27,1681395444.0,0.017108489999827725,199887.27808,118572.0,,7743.152128,0.0010000000000012221,0.03925880099995993,,1.633333333333333,463.0,0.0,0.07765847390630894,6300.95872,80,5.3,122262.0
1728.0,,,,0.0026728130001174577,,,,,,,,0.0001,53.0,7.5184326171875,,,8.0,0.0,,,0.2044940000000679,,,,,,,27,1681395444.0,,,,,,,,0.0,,,,,,81,,
1760.0,,,,0.002677248000054533,,0.0030765550000069197,0.14226580900003682,,,,,0.0001,54.0,7.1527099609375,,,8.0,0.0,0.00040204700007961947,,0.2047921690000294,,,,,,,27,1681395444.0,0.016702938999969774,,,,,,0.03966757099988172,0.0,,,,,,82,,
1792.0,,,,0.0025732270000844437,,0.0030040850001569197,0.14208890499958216,,,,,0.0001,55.0,7.295654296875,,,8.0,0.0,0.00040203700018537347,,0.20486019999952987,,,,,,,28,1681395445.0,0.016984301999855234,,,,,,0.03980764399966574,0.0,,,,,,83,,
,0.0,2.6047869143794418,31851.728896,,1103012.0,0.0030132849997244193,0.14306409499977235,,0.103999999999985,0.0,2.719744,,,,2452.488192,1.4333333333333333,,,0.00038482400032080477,1.2333333333333334,,2.0,235.0,0.41199999999999193,6486.03648,1904.0,102.97553203117884,28,1681395445.0,0.016734832000111055,199890.153472,123935.0,,7740.686336,0.0010000000000012221,0.039526414000192744,,2.0666666666666664,523.0,0.0,0.08174309768672165,6300.954624,84,5.3,129534.0
1824.0,,,,0.002818812999976217,,,,,,,,0.0001,56.0,7.0618896484375,,,8.0,0.0,,,0.2055422630000976,,,,,,,28,1681395445.0,,,,,,,,0.0,,,,,,85,,
1856.0,,,,0.0024717579999560257,,0.0030440700002145604,0.1438378590000866,,,,,0.0001,57.0,6.9259033203125,,,8.0,0.0,0.00039664099995206925,,0.20590043800075364,,,,,,,29,1681395446.0,0.016700187000424194,,,,,,0.03944992300012018,0.0,,,,,,86,,
1888.0,,,,0.002720936000059737,,0.003042306000224926,0.1426287469998897,,,,,0.0001,58.0,7.2799072265625,,,8.0,0.0,0.0003780419997383433,,0.2049707519995536,,,,,,,29,1681395446.0,0.016594765999798256,,,,,,0.03960595499984265,0.0,,,,,,87,,
