03_hivemind/total_training_samples,04_peers/peer_3_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_8_samples_accumulated,04_peers/peer_7_samples_per_second,03_hivemind/global_samples_accumulated,04_peers/peer_3_epoch,04_peers/peer_8_epoch,03_hivemind/epoch_based_sps,03_hivemind/eta_next_epoch_s,04_peers/peer_1_samples_per_second,04_peers/peer_5_samples_per_second,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_7_epoch_oos,04_peers/peer_7_samples_accumulated,_step,03_hivemind/epoch_s,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_7_epoch,04_peers/peer_6_epoch_oos,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/reached_TBS,04_peers/peer_2_epoch_oos,04_peers/peer_3_epoch_oos,04_peers/peer_4_samples_per_second,04_peers/peer_8_epoch_oos,04_peers/peer_6_samples_per_second,04_peers/peer_3_samples_accumulated,04_peers/peer_4_samples_accumulated,04_peers/peer_6_samples_accumulated,03_hivemind/estimated_current_samples,_runtime,04_peers/peer_1_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/num_clients,03_hivemind/undershot_TBS,04_peers/peer_4_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_8_samples_per_second,04_peers/peer_1_samples_accumulated,04_peers/peer_5_epoch_oos,03_hivemind/num_peers,04_peers/peer_4_epoch,04_peers/peer_5_epoch,04_peers/peer_6_epoch,03_hivemind/global_epoch,03_hivemind/overshot_TBS
,236.84,4608.0,2976.0,234.84,32928,0.0,0.0,,0.0,235.16,237.74,1889.851410308789,0.0,2976.0,23,,0.0,0.0,0.0,0.0,1889.851410308789,1680700039.0,,0.0,0.0,234.09,0.0,235.29,4576.0,4576.0,3904.0,67949,117,0.0,237.86,4672.0,,0,,0.0,0.5,238.02,4640.0,0.0,8,0.0,0.0,0.0,0,
,236.84,4608.0,2976.0,234.84,1120,0.0,0.0,,17.34,235.16,237.74,1802.7402914141746,0.0,2976.0,24,,0.0,0.0,0.0,0.0,1802.7402914141746,1680700041.0,,0.0,0.0,234.09,0.0,235.29,4576.0,4576.0,3904.0,1517,119,0.0,237.86,4672.0,,0,,0.0,10.0,238.02,4640.0,0.0,8,0.0,0.0,0.0,1,
32928.0,225.81,128.0,128.0,223.63,3680,1.0,1.0,965.5436572255496,15.66,220.88,227.17,1832.1046133151765,0.0,128.0,25,34.10306696500629,1.0,1.0,1.0,0.0,1832.1046133151765,1680700042.0,0.0,0.0,0.0,225.43,0.0,226.36,128.0,160.0,192.0,4079,120,0.0,226.27,128.0,32928.0,0,0.0,0.0,10.0,227.21,128.0,0.0,8,1.0,1.0,1.0,1,1.0
,224.02,448.0,448.0,231.58,6368,1.0,1.0,,13.96,230.16,225.85,1864.7692137973115,0.0,448.0,26,,1.0,1.0,1.0,0.0,1864.7692137973115,1680700044.0,,0.0,0.0,222.41,0.0,232.47,448.0,480.0,512.0,6727,122,0.0,232.73,448.0,,0,,0.0,10.0,232.88,448.0,0.0,8,1.0,1.0,1.0,1,
,231.04,800.0,768.0,234.02,8992,1.0,1.0,,12.44,235.18,233.29,1880.5302312230726,0.0,800.0,27,,1.0,1.0,1.0,0.0,1880.5302312230726,1680700045.0,,0.0,0.0,227.53,0.0,235.33,768.0,800.0,832.0,9376,123,0.0,236.4,800.0,,0,,0.0,9.05,231.99,800.0,0.0,8,1.0,1.0,1.0,1,
,234.96,1120.0,1088.0,235.41,11680,1.0,1.0,,11.06,237.25,236.78,1876.1178498680015,0.0,1120.0,28,,1.0,1.0,1.0,0.0,1876.1178498680015,1680700046.0,,0.0,0.0,232.79,0.0,234.25,1088.0,1152.0,1184.0,12010,124,0.0,238.14,1120.0,,0,,0.0,8.05,230.96,1120.0,0.0,8,1.0,1.0,1.0,1,
,235.71,1440.0,1440.0,236.41,14240,1.0,1.0,,9.69,237.79,225.64,1870.213214580366,0.0,1440.0,29,,1.0,1.0,1.0,0.0,1870.213214580366,1680700048.0,,0.0,0.0,234.32,0.0,236.02,1440.0,1472.0,1504.0,14648,126,0.0,237.8,1472.0,,0,,0.0,7.05,232.45,1472.0,0.0,8,1.0,1.0,1.0,1,
,237.28,1728.0,1760.0,236.18,16992,1.0,1.0,,8.18,238.0,215.95,1887.6358860689602,0.0,1792.0,30,,1.0,1.0,1.0,0.0,1887.6358860689602,1680700049.0,,0.0,0.0,234.84,0.0,236.43,1760.0,1792.0,1824.0,17328,127,0.0,238.2,1792.0,,0,,0.0,5.95,233.33,1792.0,0.0,8,1.0,1.0,1.0,1,
,237.58,2080.0,2080.0,236.03,19648,1.0,1.0,,6.75,238.23,231.42,1891.5041396601732,0.0,2112.0,31,,1.0,1.0,1.0,0.0,1891.5041396601732,1680700051.0,,0.0,0.0,235.38,0.0,236.4,2112.0,2144.0,2176.0,20007,129,0.0,238.31,2144.0,,0,,0.0,4.91,234.28,2144.0,0.0,8,1.0,1.0,1.0,1,
,238.11,2432.0,2432.0,235.73,22272,1.0,1.0,,5.32,237.16,236.73,1895.1363157369597,0.0,2464.0,32,,1.0,1.0,1.0,0.0,1895.1363157369597,1680700052.0,,0.0,0.0,234.95,0.0,235.77,2432.0,2464.0,2496.0,22680,130,0.0,237.95,2464.0,,0,,0.0,3.87,235.1,2464.0,0.0,8,1.0,1.0,1.0,1,
,237.51,2752.0,2752.0,235.54,24960,1.0,1.0,,3.92,238.07,238.77,1895.7921321010276,0.0,2784.0,33,,1.0,1.0,1.0,0.0,1895.7921321010276,1680700053.0,,0.0,0.0,235.99,0.0,236.13,2784.0,2784.0,2848.0,25342,131,0.0,237.7,2784.0,,0,,0.0,2.85,235.43,2784.0,0.0,8,1.0,1.0,1.0,1,
