process/memory/shared_memory_proc_MB,memory/available_memory_sys_MB,memory/used_memory_sys_percent,disk/time/disk_write_time_sys_s,_timestamp,01_general/minibatch_loss,01_general/locally_processed_samples,disk/counter/disk_read_sys_count,disk/counter/disk_write_sys_count,process/voluntary_proc_ctx_switches,bandwidth/disk_read_sys_bandwidth_MBs,bandwidth/net_recv_sys_bandwidth_Mbits,02_timing/forward_time_s,memory/used_memory_sys_MB,cpu/interrupts/interrupts_count,cpu/load/avg_sys_load_five_min_percent,02_timing/loss_calc_time_s,disk/time/disk_read_time_sys_s,cpu/load/avg_sys_load_one_min_percent,process/memory/data_resident_set_proc_MB,01_general/lr,03_hivemind/num_peers,03_hivemind/global_epoch,memory/total_memory_sys_MB,disk/time/disk_busy_time_sys_s,01_general/dataset_iteration_count,02_timing/dataload_cuda_move_time_s,process/memory/resident_set_size_proc_MB,02_timing/step_time_s,02_timing/backward_time_s,02_timing/dataload_time_s,process/memory/virtual_memory_size_proc_MB,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/text_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,_runtime,process/involuntary_proc_ctx_switches,process/memory/dirty_pages_proc_count,bandwidth/net_sent_sys_bandwidth_Mbits,_step,cpu/logical_core_count,process/memory/lib_memory_proc_MB,cpu/interrupts/soft_interrupts_count,01_general/step,02_timing/opt_step_time_s,cpu/interrupts/ctx_switches_count
2451.06688,200066.629632,5.2,0.27499999999997726,1681394183.0,,,61.0,355.0,984.0,0.0,83.92167043476651,0.016565641999932268,7564.242944,1036579.0,0.8333333333333334,0.0004221080000661459,0.007999999999999119,1.1,0.0,,,,,0.22799999999999443,,0.00306333799994718,6242.562048,,0.1428913869999633,,31794.87232,0.016348370621146576,2.719744,0.7000000000000001,17,690.0,0.0,1.573003820277888,36,,6428.704768,56950.0,,0.03979332299991256,58596.0
,,,,1681394183.0,7.29638671875,608.0,,,,,,,,,,,,,,0.0001,6.0,0.0,,,0.0,,,0.20543296299979374,,0.0026971649999723013,,,,,17,,,,37,,,,18.0,,
,,,,1681394184.0,7.40576171875,640.0,,,,,,0.016663213999891013,,,,0.0003813890000401443,,,,0.0001,6.0,0.0,,,0.0,0.003024195000079999,,0.2055621520000841,0.14338509699996393,0.002708499000164011,,,,,18,,,,38,,,,19.0,0.039399757999944995,
,,,,1681394184.0,7.2027587890625,672.0,,,,,,0.016543392999892603,,,,0.000381060000108846,,,,0.0001,6.0,0.0,,,0.0,0.002985778000038408,,0.20422152000014648,0.14211312399993403,0.0025273860001107096,,,,,18,,,,39,,,,20.0,0.039670779000061884,
2451.095552,200065.089536,5.2,0.2799999999999727,1681394184.0,,,61.0,368.0,1041.0,0.0,88.58585865342391,0.01663736099999369,7565.377536,1041252.0,0.8333333333333334,0.00037598500011881697,0.007999999999999119,1.1,0.0,,,,,0.25199999999999534,,0.003043881999928999,6242.59072,,0.14194404499994562,,31794.87232,0.07356756277751472,2.719744,0.7000000000000001,18,728.0,0.0,1.464366487973816,40,,6428.741632,61896.0,,0.03962625100007244,62988.0
,,,,1681394184.0,7.096435546875,704.0,,,,,,,,,,,,,,0.0001,6.0,0.0,,,0.0,,,0.2043546250001782,,0.002727101000118637,,,,,18,,,,41,,,,21.0,,
,,,,1681394185.0,7.066650390625,736.0,,,,,,0.017325252000091496,,,,0.00037909499997113016,,,,0.0001,6.0,0.0,,,0.0,0.0030302620000384195,,0.2042152740000347,0.1411914790000992,0.0025195629998506774,,,,,19,,,,42,,,,22.0,0.03976962299998377,
,,,,1681394185.0,7.116943359375,768.0,,,,,,0.017219795999835696,,,,0.0003787430000556924,,,,0.0001,6.0,0.0,,,0.0,0.0030779419998907542,,0.2050858929997048,0.142205383999908,0.002602173000013863,,,,,19,,,,43,,,,23.0,0.039601855000000796,
2451.12832,200061.775872,5.2,0.2810000000000059,1681394185.0,,,61.0,372.0,1078.0,0.0,88.83750252928496,0.017012883000006696,7568.617472,1045906.0,0.8333333333333334,0.00039220999997269246,0.007999999999999119,1.1,0.0,,,,,0.2680000000000007,,0.003028105999874242,6242.643968,,0.1430949769999188,,31794.87232,0.016348533965239092,2.719744,0.7000000000000001,19,762.0,0.0,1.729791441214649,44,,6428.745728,67144.0,,,66995.0
,,,,1681394185.0,7.2431640625,800.0,,,,,,,,,,,,,,0.0001,6.0,0.0,,,0.0,,,0.20613243099978718,,0.002701706999914677,,,,,19,,,,45,,,,24.0,0.03990254800010007,
,,,,1681394186.0,7.0892333984375,832.0,,,,,,0.017003535999947417,,,,0.00040394000006926944,,,,0.0001,6.0,0.0,,,0.0,0.003076607999901171,,0.20493304899991927,0.14215535399989676,0.002583667000180867,,,,,20,,,,46,,,,25.0,0.03970994399992378,
,,,,1681394186.0,7.0948486328125,864.0,,,,,,0.016658742000117854,,,,0.00040919499997471576,,,,0.0001,6.0,0.0,,,0.0,0.002981107000096017,,0.2044966530002057,0.14260582700012492,0.00242165899999236,,,,,20,,,,47,,,,26.0,0.03942012299989983,
2451.091456,200049.750016,5.2,0.2839999999999918,1681394186.0,,,61.0,378.0,1129.0,0.0,96.73108779880103,0.01670440099996995,7580.246016,1050737.0,0.8333333333333334,0.00040875100012272014,0.007999999999999119,1.1,0.0,,,,,0.2879999999999967,,0.0031372280000141473,6242.619392,,0.14485350800009655,,31794.87232,0.053125329159509925,2.719744,0.7000000000000001,20,801.0,0.0,1.95884486278913,48,,6428.75392,72048.0,,,71674.0
,,,,1681394186.0,7.3531494140625,896.0,,,,,,,,,,,,,,0.0001,6.0,0.0,,,0.0,,,0.20746877600026892,,0.0024590680000073917,,,,,20,,,,49,,,,27.0,0.039905820000058156,
,,,,1681394187.0,7.4713134765625,928.0,,,,,,0.016659978999996383,,,,0.00044974999991609366,,,,0.0001,6.0,0.0,,,0.0,0.0030573420001474005,,0.20683999300013056,0.14433674299993982,0.0025906949999807694,,,,,21,,,,50,,,,28.0,0.0397454840001501,
,,,,1681394187.0,7.1494140625,960.0,,,,,,0.016727943999967465,,,,0.0003801789998760796,,,,0.0001,6.0,0.0,,,0.0,0.0030759419998958037,,0.206051763999767,0.14344129799997063,0.0026083410000410368,,,,,21,,,,51,,,,29.0,0.039818060000015976,
2451.12832,200067.764224,5.2,0.28499999999996817,1681394187.0,,,61.0,382.0,1169.0,0.0,91.09154012727232,0.016449299000214523,7581.990912,1055723.0,0.8666666666666666,0.00037521000012930017,0.007999999999999119,1.2666666666666666,0.0,,,,,0.30400000000000205,,0.0031078360000265093,6242.664448,,,,31794.87232,0.016347935026237992,2.719744,0.7000000000000001,21,820.0,0.0,2.0978200262758446,52,,6428.762112,77524.0,,,76213.0
,,,,1681394187.0,7.177978515625,992.0,,,,,,,,,,,,,,0.0001,6.0,0.0,,,0.0,,,0.2072175490002337,0.14489565400003812,0.002529812999910064,,,,,21,,,,53,,,,30.0,0.039859736999915185,
,,,,1681394188.0,7.30322265625,1024.0,,,,,,0.016732059000105437,,,,0.0004061869999532064,,,,0.0001,6.0,0.0,,,0.0,0.0030289679998531938,,0.2070519350002087,0.14421547300003112,0.002649955000151749,,,,,22,,,,54,,,,31.0,0.040019293000113976,
,,,,1681394188.0,7.3575439453125,1056.0,,,,,,0.01643705499986936,,,,0.0003767990001506405,,,,0.0001,6.0,0.0,,,0.0,0.00305388599986145,,0.2056794140000875,0.14363405600010992,0.002627645000075063,,,,,22,,,,55,,,,32.0,0.039549973000021055,
2451.091456,200063.664128,5.2,0.28600000000000136,1681394188.0,,,61.0,386.0,1196.0,0.0,95.94122724214621,0.01646982800002661,7586.025472,1060692.0,0.8666666666666666,0.00037987800010341743,0.007999999999999119,1.2666666666666666,0.0,,,,,0.3199999999999932,,0.003035169999975551,6242.635776,,,,31794.87232,0.016347596691252988,2.719744,0.7000000000000001,22,835.0,0.0,1.9046546587636808,56,,6428.766208,82908.0,,,80756.0
,,,,1681394188.0,7.06396484375,1088.0,,,,,,,,,,,,,,0.0001,6.0,0.0,,,0.0,,,0.20644250700024713,0.14373359100000016,0.0027335070001299755,,,,,22,,,,57,,,,33.0,0.04009053300001142,
,,,,1681394189.0,7.3204345703125,1120.0,,,,,,0.01664086400000997,,,,0.00038077299996075453,,,,0.0001,6.0,0.0,,,0.0,0.0030857310000556026,,0.2048527629997352,0.1426187709998885,0.002467049999950177,,,,,23,,,,58,,,,34.0,0.03965957399987019,
,,,,1681394189.0,7.063232421875,1152.0,,,,,,0.016667503000007855,,,,0.00038529900007233664,,,,0.0001,6.0,0.0,,,0.0,0.0030816180001238536,,0.20715410600018913,0.14463876600007097,0.002427027999829079,,,,,23,,,,59,,,,35.0,0.039953892000085034,
2451.12832,200059.772928,5.2,0.2909999999999968,1681394189.0,,,61.0,399.0,1223.0,0.0,90.20282996412134,0.016671460999987175,7589.961728,1065135.0,0.8666666666666666,0.000378623999949923,0.007999999999999119,1.2666666666666666,0.0,,,,,0.3400000000000034,,0.003088575999981913,6242.676736,,,,31794.87232,0.1348692127109625,2.719744,0.7000000000000001,23,851.0,0.0,2.149318431247913,60,,6428.7744,87591.0,,,85024.0
,,,,1681394189.0,7.091552734375,1184.0,,,,,,,,,,,,,,0.0001,6.0,0.0,,,0.0,,,0.20806038499995338,0.14515587100004268,0.0026488309999876947,,,,,23,,,,61,,,,36.0,0.040117022000004,
,,,,1681394190.0,7.349609375,1216.0,,,,,,0.016691740999931426,,,,0.0004033699999581586,,,,0.0001,6.0,0.0,,,0.0,0.003104693000068437,,0.2071598540001105,0.14457360799997332,0.0025836780000645376,,,,,24,,,,62,,,,37.0,0.03980276400011462,
,,,,1681394190.0,7.1668701171875,1248.0,,,,,,0.016746798999975,,,,0.000398652000058064,,,,0.0001,6.0,0.0,,,0.0,0.0030502019999403274,,0.2073012440000639,0.14437938500009295,0.0027774659999977303,,,,,24,,,,63,,,,38.0,0.039948739999999816,
