01_general/lr,disk/time/disk_read_time_sys_s,memory/used_memory_sys_percent,process/memory/dirty_pages_proc_count,bandwidth/net_sent_sys_bandwidth_Mbits,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_fifteen_min_percent,_timestamp,01_general/minibatch_loss,01_general/step_based_sps,memory/used_memory_sys_MB,disk/counter/disk_write_sys_count,cpu/interrupts/soft_interrupts_count,_runtime,02_timing/forward_time_s,02_timing/opt_step_time_s,cpu/interrupts/interrupts_count,process/memory/lib_memory_proc_MB,01_general/locally_processed_samples,process/memory/virtual_memory_size_proc_MB,02_timing/dataload_time_s,02_timing/loss_calc_time_s,disk/time/disk_write_time_sys_s,01_general/dataset_iteration_count,02_timing/dataload_cuda_move_time_s,bandwidth/disk_write_sys_bandwidth_MBs,cpu/logical_core_count,memory/total_memory_sys_MB,disk/time/disk_busy_time_sys_s,cpu/load/avg_sys_load_one_min_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/text_resident_set_proc_MB,02_timing/backward_time_s,disk/counter/disk_read_sys_count,process/involuntary_proc_ctx_switches,_step,01_general/step,02_timing/step_time_s,cpu/interrupts/ctx_switches_count,process/memory/resident_set_size_proc_MB,memory/available_memory_sys_MB,process/voluntary_proc_ctx_switches,process/memory/shared_memory_proc_MB,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/data_resident_set_proc_MB
,0.0,3.3,0.0,0.1629916178436714,0.0,3.5000000000000004,1682873667.0,,,4952.322048,122.0,40702.0,11,,,46521.0,5584.826368,,27589.14048,,,0.07400000000006912,,0.0025151410000034957,0.049029155447887655,,,0.12399999999999523,0.8666666666666666,2.566666666666667,2.719744,,0.0,100.0,25,,,28005.0,3837.853696,204114.292736,420.0,865.509376,88.66314686386224,0.0
0.0001,,,,,,,1682873668.0,7.259521484375,196.02192733083402,,,,12,0.018578226000045106,1.7160000425064936e-06,,,448.0,,0.002215119000084087,0.0004368640002212487,,0.0,,,,,,,,,0.13949997700001404,,,26,13.0,0.16324704300041049,,,,,,,
0.0001,,,,,,,1682873668.0,7.39404296875,196.84729253200308,,,,12,0.01714588899994851,1.7150000530818943e-06,,,480.0,,0.0028164810000816942,0.0004292400003578223,,0.0,0.0025195989996973367,,,,,,,,0.1396496370002751,,,27,14.0,0.16256256100041355,,,,,,,
0.0001,,,,,,,1682873668.0,7.2816162109375,196.85962512939716,,,,12,0.017178284999772586,1.897999936772976e-06,,,512.0,,0.0025963630000660487,0.0004323669995756063,,0.0,0.0025489320000815496,,,,,,,,0.13979453199999625,,,28,15.0,0.16255237699942882,,,,,,,
,0.0,3.3,0.0,0.0668771965378501,0.0,3.5000000000000004,1682873668.0,,,4954.247168,126.0,44134.0,12,0.018720002000009117,,49270.0,5584.826368,,27589.14048,,0.00043444199991427013,0.07500000000004547,,0.002578823000021657,0.01634811393275894,,,0.13999999999998636,1.0666666666666667,2.566666666666667,2.719744,,0.0,103.0,29,,,29691.0,3837.853696,204111.93344,469.0,865.509376,89.67819361636928,0.0
0.0001,,,,,,,1682873669.0,7.1248779296875,196.53413888573436,,,,13,,1.4990000636316836e-06,,,544.0,,0.0028248949997760064,,,0.0,,,,,,,,,0.13826192400028958,,,30,16.0,0.16282158500007426,,,,,,,
0.0001,,,,,,,1682873669.0,7.373046875,195.21086977030922,,,,13,0.017188918000101694,1.5609998627041932e-06,,,576.0,,0.0030151549999573035,0.00043070800029454404,,0.0,0.002557453000008536,,,,,,,,0.1407315030000973,,,31,17.0,0.16392529800032207,,,,,,,
0.0001,,,,,,,1682873669.0,7.3070068359375,196.3810712096915,,,,13,0.0171743589999096,1.4530000953527633e-06,,,608.0,,0.0029598309997709293,0.00042564699970171205,,0.0,0.0026059729998451076,,,,,,,,0.13978123200013215,,,32,18.0,0.16294849499945485,,,,,,,
,0.0,3.3,0.0,0.16195593966856345,0.0,3.5000000000000004,1682873669.0,,,4955.303936,168.0,47115.0,13,0.01735273199983567,,51728.0,5584.826368,,27589.14048,,0.00042567600030452013,0.10700000000008458,,0.0025191569998241903,0.2615818331558782,,,0.16399999999998727,1.0666666666666667,2.566666666666667,2.719744,,0.0,107.0,33,,,31237.0,3837.853696,204111.327232,498.0,865.509376,90.79893554708293,0.0
0.0001,,,,,,,1682873670.0,7.115478515625,195.99356927916648,,,,14,,2.032999873335939e-06,,,640.0,,0.0027811400000246067,,,0.0,,,,,,,,,0.1401899250004135,,,34,19.0,0.16327066300027582,,,,,,,
