_runtime,02_timing/dataload_time_s,memory/total_memory_sys_MB,process/voluntary_proc_ctx_switches,cpu/interrupts/soft_interrupts_count,process/involuntary_proc_ctx_switches,01_general/lr,01_general/step,01_general/step_based_sps,02_timing/opt_step_time_s,memory/used_memory_sys_MB,bandwidth/disk_read_sys_bandwidth_MBs,bandwidth/disk_write_sys_bandwidth_MBs,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/data_resident_set_proc_MB,process/memory/lib_memory_proc_MB,01_general/dataset_iteration_count,process/memory/dirty_pages_proc_count,process/memory/virtual_memory_size_proc_MB,_step,02_timing/forward_time_s,disk/counter/disk_read_sys_count,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,memory/used_memory_sys_percent,disk/time/disk_write_time_sys_s,02_timing/dataload_cuda_move_time_s,cpu/load/avg_sys_load_one_min_percent,cpu/load/avg_sys_load_five_min_percent,_timestamp,02_timing/backward_time_s,02_timing/loss_calc_time_s,disk/time/disk_busy_time_sys_s,disk/time/disk_read_time_sys_s,process/memory/text_resident_set_proc_MB,02_timing/step_time_s,01_general/minibatch_loss,memory/available_memory_sys_MB,cpu/interrupts/ctx_switches_count,process/memory/shared_memory_proc_MB,bandwidth/net_sent_sys_bandwidth_Mbits,cpu/load/avg_sys_load_fifteen_min_percent,cpu/logical_core_count,cpu/interrupts/interrupts_count,01_general/locally_processed_samples
11,0.002648777999638696,,,,,0.0001,13.0,196.25712155900482,1.6489993868162856e-06,,,,,,,0.0,,,25,0.017284352000388026,,,,,,0.0025158170001304825,,,1680626760.0,0.14016151199939486,0.00043929999992542434,,,,0.1630514079988643,7.11328125,,,,,,,,448.0
11,0.003039840999917942,,,,,0.0001,14.0,196.70453273879278,1.7720003597787581e-06,,,,,,,0.0,,,26,0.016995330000099784,,,,,,0.002467711999997846,,,1680626760.0,0.13974528400012787,0.0004306030004954664,,,,0.16268054200099868,7.450927734375,,,,,,,,480.0
11,,,360.0,29960.0,400.0,,,,1.764999979059212e-06,4373.635072,0.0,0.01634804003911129,84.04065997827459,0.0,5527.588864,,0.0,27129.966592,27,0.016898097000193957,0.0,135.0,3835.559936,3.0,0.033999999999991815,0.002584750999631069,1.0666666666666667,2.733333333333333,1680626760.0,0.14052093000009336,0.0004349529999672086,0.12800000000004275,0.0,2.719744,,,204842.14784,22174.0,869.888,0.056771123409186164,4.133333333333333,,36305.0,
11,0.0027624509993984248,,,,,0.0001,15.0,196.07489073187196,,,,,,,,0.0,,,28,,,,,,,,,,1680626760.0,,,,,,0.16320294699926308,7.2388916015625,,,,,,,,512.0
12,0.0030773569997109007,,,,,0.0001,16.0,195.9045888590821,1.4959996406105347e-06,,,,,,,0.0,,,29,0.017079479999665637,,,,,,0.002504506000150286,,,1680626761.0,0.1402101429994218,0.0004718390000562067,,,,0.16334482099864545,7.1322021484375,,,,,,,,544.0
12,0.0028888110000480083,,,,,0.0001,17.0,195.65811888991323,1.5850000636419281e-06,,,,,,,0.0,,,30,0.01705130000027566,,,,,,0.002517625999644224,,,1680626761.0,0.1405785189999733,0.0005127449994688504,,,,0.1635505859994737,7.00604248046875,,,,,,,,576.0
12,,,385.0,32979.0,475.0,,,,1.6230005712714046e-06,4371.591168,0.0,0.069478988339366,84.16252319672829,0.0,5527.851008,,0.0,27130.228736,31,0.017181644000629603,0.0,143.0,3835.817984,3.0,0.03799999999995407,0.0024430710000160616,1.2666666666666666,2.733333333333333,1680626761.0,0.1378401500005566,0.00045357599992712494,0.14400000000000546,0.0,2.719744,,,204844.19584,23715.0,869.904384,0.1513786230341082,4.1000000000000005,,38799.0,
12,0.0028906390007250593,,,,,0.0001,18.0,198.9917300437229,,,,,,,,0.0,,,32,,,,,,,,,,1680626761.0,,,,,,0.16081070300242573,7.29638671875,,,,,,,,608.0
13,0.002634691999446659,,,,,0.0001,19.0,196.43000256212315,1.6459998732898384e-06,,,,,,,0.0,,,33,0.01722274700023263,,,,,,0.002444660999572079,,,1680626762.0,0.14013949499985756,0.00046466300045722164,,,,0.16290790399943944,7.40576171875,,,,,,,,640.0
13,0.0027872180007761926,,,,,0.0001,20.0,197.09701959022183,1.4560000636265613e-06,,,,,,,0.0,,,34,0.017116779999923892,,,,,,0.0026094980003108503,,,1680626762.0,0.13940203899983317,0.000439598999946611,,,,0.16235659000085434,7.2027587890625,,,,,,,,672.0
