04_peers/peer_2_epoch,03_hivemind/epoch_based_sps,03_hivemind/eta_next_epoch_s,_runtime,_timestamp,03_hivemind/num_clients,04_peers/peer_7_epoch_oos,03_hivemind/total_training_samples,04_peers/peer_9_samples_per_second,_step,03_hivemind/reached_TBS,03_hivemind/undershot_TBS,04_peers/peer_6_samples_accumulated,04_peers/peer_4_samples_per_second,04_peers/peer_8_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_2_epoch_oos,04_peers/peer_8_epoch_oos,03_hivemind/next_fetch_time_s,03_hivemind/num_peers,04_peers/peer_1_epoch,04_peers/peer_4_epoch_oos,03_hivemind/per_epoch_training_samples,04_peers/peer_2_samples_per_second,04_peers/peer_3_samples_per_second,04_peers/peer_6_samples_per_second,03_hivemind/estimated_current_samples,04_peers/peer_7_epoch,03_hivemind/actual_total_samples_per_second,04_peers/peer_8_samples_per_second,03_hivemind/global_samples_accumulated,04_peers/peer_3_samples_accumulated,04_peers/peer_4_samples_accumulated,04_peers/peer_9_epoch_oos,04_peers/peer_5_samples_per_second,04_peers/peer_3_epoch,03_hivemind/overshot_TBS,04_peers/peer_6_epoch_oos,04_peers/peer_9_samples_accumulated,04_peers/peer_4_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_1_samples_accumulated,04_peers/peer_5_samples_accumulated,04_peers/peer_8_epoch,04_peers/peer_9_epoch,04_peers/peer_7_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_3_epoch_oos,04_peers/peer_1_samples_per_second,04_peers/peer_7_samples_accumulated,03_hivemind/epoch_s,04_peers/peer_5_epoch,04_peers/peer_6_epoch,03_hivemind/global_epoch
0.0,,17.14,105,1681382719.0,0,0.0,,31.62,43,,,800.0,36.71,544.0,523.4852744155371,0.0,0.0,0.0,10.0,9,0.0,0.0,,221.58,36.63,35.88,23796,0.0,523.4852744155371,31.62,23360,832.0,832.0,0.0,35.66,0.0,,0.0,544.0,0.0,0.0,2464.0,800.0,0.0,0.0,35.8,14848.0,0.0,36.52,768.0,,0.0,0.0,0
0.0,,15.15,106,1681382720.0,0,0.0,,32.22,44,,,832.0,37.15,576.0,535.4415284130351,0.0,0.0,0.0,10.0,9,0.0,0.0,,239.72,37.06,36.15,24659,0.0,535.4415284130351,32.19,24032,896.0,896.0,0.0,36.1,0.0,,0.0,576.0,0.0,0.0,2528.0,864.0,0.0,0.0,36.42,15360.0,0.0,36.49,832.0,,0.0,0.0,0
0.0,,13.04,108,1681382722.0,0,0.0,,33.22,45,,,896.0,37.49,640.0,550.4668604255265,0.0,0.0,0.0,9.78,9,0.0,0.0,,248.11,37.4,36.63,25588,0.0,550.4668604255265,33.16,24960,960.0,960.0,0.0,36.29,0.0,,0.0,640.0,0.0,0.0,2560.0,896.0,0.0,0.0,36.68,15616.0,0.0,36.46,864.0,,0.0,0.0,0
0.0,,10.93,109,1681382723.0,0,0.0,,34.05,46,,,960.0,37.63,672.0,568.5722793264409,0.0,0.0,0.0,8.19,9,0.0,0.0,,260.53,37.55,37.01,26556,0.0,568.5722793264409,33.53,25888,992.0,992.0,0.0,36.63,0.0,,0.0,704.0,0.0,0.0,2624.0,960.0,0.0,0.0,37.13,16128.0,0.0,36.42,928.0,,0.0,0.0,0
0.0,,9.16,110,1681382724.0,0,0.0,,34.38,47,,,992.0,37.88,736.0,579.4981107744942,0.0,0.0,0.0,6.87,9,0.0,0.0,,276.37,37.77,37.17,27457,0.0,579.4981107744942,34.22,26880,1056.0,1056.0,0.0,36.89,0.0,,0.0,736.0,0.0,0.0,2656.0,1024.0,0.0,0.0,37.49,16640.0,0.0,36.41,992.0,,0.0,0.0,0
0.0,,7.31,112,1681382726.0,0,0.0,,34.96,48,,,1056.0,38.06,800.0,594.9858453026496,0.0,0.0,0.0,5.48,9,0.0,0.0,,285.19,37.96,37.43,28418,0.0,594.9858453026496,34.76,27840,1120.0,1120.0,0.0,36.99,0.0,,0.0,800.0,0.0,0.0,2720.0,1056.0,0.0,0.0,37.77,17152.0,0.0,36.37,1056.0,,0.0,0.0,0
0.0,,5.71,113,1681382727.0,0,0.0,,35.42,49,,,1120.0,38.13,864.0,602.9786449984831,0.0,0.0,0.0,4.29,9,0.0,0.0,,299.1,38.1,37.62,29323,0.0,602.9786449984831,35.2,28704,1184.0,1152.0,0.0,37.17,0.0,,0.0,864.0,0.0,0.0,2784.0,1120.0,0.0,0.0,37.89,17664.0,0.0,36.35,1088.0,,0.0,0.0,0
0.0,,4.16,115,1681382729.0,0,0.0,,35.61,50,,,1152.0,38.28,896.0,610.044314365663,0.0,0.0,0.0,3.12,9,0.0,0.0,,306.17,38.16,37.7,30231,0.0,610.044314365663,35.38,29696,1216.0,1216.0,0.0,37.3,0.0,,0.0,896.0,0.0,0.0,2816.0,1184.0,0.0,0.0,38.03,18176.0,0.0,36.33,1152.0,,0.0,0.0,0
0.0,,2.56,116,1681382730.0,0,0.0,,35.94,51,,,1216.0,38.33,960.0,620.6005803150208,0.0,0.0,0.0,1.92,9,0.0,0.0,,312.21,38.26,37.85,31180,0.0,620.6005803150208,35.68,30592,1280.0,1280.0,0.0,37.34,0.0,,0.0,960.0,0.0,0.0,2880.0,1216.0,0.0,0.0,38.17,18688.0,0.0,36.26,1216.0,,0.0,0.0,0
0.0,,1.1,117,1681382731.0,0,0.0,,36.2,52,,,1280.0,38.38,992.0,624.4315762455403,0.0,0.0,0.0,0.83,9,0.0,0.0,,322.03,38.31,37.94,32079,0.0,624.4315762455403,35.81,31552,1344.0,1312.0,0.0,37.43,0.0,,0.0,1024.0,0.0,0.0,2912.0,1280.0,0.0,0.0,38.25,19200.0,0.0,36.25,1248.0,,0.0,0.0,0
0.0,,0.0,119,1681382733.0,0,0.0,,36.31,53,,,1344.0,38.45,1056.0,631.4572066390381,0.0,0.0,0.0,0.5,9,0.0,0.0,,325.29,38.32,38.03,33009,0.0,631.4572066390381,36.01,32512,1376.0,1376.0,0.0,37.47,0.0,,0.0,1056.0,0.0,0.0,2976.0,1344.0,0.0,0.0,38.34,19712.0,0.0,36.21,1312.0,,0.0,0.0,0
0.0,,0.0,120,1681382734.0,0,0.0,,36.47,54,,,1376.0,38.48,1120.0,634.691525966143,0.0,0.0,0.0,0.5,9,0.0,0.0,,331.9,38.36,38.05,33920,0.0,634.691525966143,36.14,32992,1440.0,1440.0,0.0,37.48,0.0,,0.0,1120.0,0.0,0.0,3040.0,1376.0,0.0,0.0,38.43,20224.0,0.0,36.14,1376.0,,0.0,0.0,0
0.0,,0.0,121,1681382735.0,0,0.0,,36.53,55,,,1408.0,38.49,1152.0,634.691525966143,0.0,0.0,0.0,0.5,9,0.0,0.0,,334.87,38.38,38.1,34798,0.0,634.691525966143,36.21,32992,1472.0,1472.0,0.0,37.51,0.0,,0.0,1152.0,0.0,0.0,3040.0,1408.0,0.0,0.0,38.45,20480.0,0.0,36.14,1408.0,,0.0,0.0,0
0.0,,0.0,123,1681382737.0,0,0.0,,36.53,56,,,1408.0,38.49,1152.0,634.691525966143,0.0,0.0,0.0,0.5,9,0.0,0.0,,334.87,38.38,38.1,35686,0.0,634.691525966143,36.21,32992,1472.0,1472.0,0.0,37.51,0.0,,0.0,1152.0,0.0,0.0,3040.0,1408.0,0.0,0.0,38.45,20480.0,0.0,36.14,1408.0,,0.0,0.0,0
0.0,,0.0,124,1681382738.0,0,0.0,,36.53,57,,,1408.0,38.49,1152.0,634.691525966143,0.0,0.0,0.0,0.5,9,0.0,0.0,,334.87,38.38,38.1,36571,0.0,634.691525966143,36.21,32992,1472.0,1472.0,0.0,37.51,0.0,,0.0,1152.0,0.0,0.0,3040.0,1408.0,0.0,0.0,38.45,20480.0,0.0,36.14,1408.0,,0.0,0.0,0
0.0,,0.0,126,1681382740.0,0,0.0,,36.53,58,,,1408.0,38.49,1152.0,634.691525966143,0.0,0.0,0.0,0.5,9,0.0,0.0,,334.87,38.38,38.1,37456,0.0,634.691525966143,36.21,32992,1472.0,1472.0,0.0,37.51,0.0,,0.0,1152.0,0.0,0.0,3040.0,1408.0,0.0,0.0,38.45,20480.0,0.0,36.14,1408.0,,0.0,0.0,0
0.0,,0.0,127,1681382741.0,0,0.0,,36.53,59,,,1408.0,38.49,1152.0,634.691525966143,0.0,0.0,0.0,0.5,9,0.0,0.0,,334.87,38.38,38.1,38337,0.0,634.691525966143,36.21,32992,1472.0,1472.0,0.0,37.51,0.0,,0.0,1152.0,0.0,0.0,3040.0,1408.0,0.0,0.0,38.45,20480.0,0.0,36.14,1408.0,,0.0,0.0,0
0.0,,0.0,128,1681382742.0,0,0.0,,36.53,60,,,1408.0,38.49,1152.0,634.691525966143,0.0,0.0,0.0,0.5,9,0.0,0.0,,334.87,38.38,38.1,39219,0.0,634.691525966143,36.21,32992,1472.0,1472.0,0.0,37.51,0.0,,0.0,1152.0,0.0,0.0,3040.0,1408.0,0.0,0.0,38.45,20480.0,0.0,36.14,1408.0,,0.0,0.0,0
0.0,,0.0,130,1681382744.0,0,0.0,,36.53,61,,,1408.0,38.49,1152.0,634.691525966143,0.0,0.0,0.0,0.5,9,0.0,0.0,,334.87,38.38,38.1,40097,0.0,634.691525966143,36.21,32992,1472.0,1472.0,0.0,37.51,0.0,,0.0,1152.0,0.0,0.0,3040.0,1408.0,0.0,0.0,38.45,20480.0,0.0,36.14,1408.0,,0.0,0.0,0
0.0,,0.0,131,1681382745.0,0,0.0,,36.53,62,,,1408.0,38.49,1152.0,634.691525966143,0.0,0.0,0.0,0.5,9,0.0,0.0,,334.87,38.38,38.1,40980,0.0,634.691525966143,36.21,32992,1472.0,1472.0,0.0,37.51,0.0,,0.0,1152.0,0.0,0.0,3040.0,1408.0,0.0,0.0,38.45,20480.0,0.0,36.14,1408.0,,0.0,0.0,0
0.0,,0.0,133,1681382747.0,0,0.0,,36.53,63,,,1408.0,38.49,1152.0,634.691525966143,0.0,0.0,0.0,0.5,9,0.0,0.0,,334.87,38.38,38.1,41869,0.0,634.691525966143,36.21,32992,1472.0,1472.0,0.0,37.51,0.0,,0.0,1152.0,0.0,0.0,3040.0,1408.0,0.0,0.0,38.45,20480.0,0.0,36.14,1408.0,,0.0,0.0,0
0.0,,0.0,134,1681382748.0,0,0.0,,36.53,64,,,1408.0,38.49,1152.0,634.691525966143,0.0,0.0,0.0,0.5,9,0.0,0.0,,334.87,38.38,38.1,42752,0.0,634.691525966143,36.21,32992,1472.0,1472.0,0.0,37.51,0.0,,0.0,1152.0,0.0,0.0,3040.0,1408.0,0.0,0.0,38.45,20480.0,0.0,36.14,1408.0,,0.0,0.0,0
0.0,,0.0,135,1681382749.0,0,0.0,,36.53,65,,,1408.0,38.49,1152.0,634.691525966143,0.0,0.0,0.0,0.5,9,0.0,0.0,,334.87,38.38,38.1,43633,0.0,634.691525966143,36.21,32992,1472.0,1472.0,0.0,37.51,0.0,,0.0,1152.0,0.0,0.0,3040.0,1408.0,0.0,0.0,38.45,20480.0,0.0,36.14,1408.0,,0.0,0.0,0
0.0,,0.0,137,1681382751.0,0,0.0,,36.53,66,,,1408.0,38.49,1152.0,634.691525966143,0.0,0.0,0.0,0.5,9,0.0,0.0,,334.87,38.38,38.1,44523,0.0,634.691525966143,36.21,32992,1472.0,1472.0,0.0,37.51,0.0,,0.0,1152.0,0.0,0.0,3040.0,1408.0,0.0,0.0,38.45,20480.0,0.0,36.14,1408.0,,0.0,0.0,0
0.0,,0.0,138,1681382752.0,0,0.0,,36.53,67,,,1408.0,38.49,1152.0,634.691525966143,0.0,0.0,0.0,0.5,9,0.0,0.0,,334.87,38.38,38.1,45442,0.0,634.691525966143,36.21,32992,1472.0,1472.0,0.0,37.51,0.0,,0.0,1152.0,0.0,0.0,3040.0,1408.0,0.0,0.0,38.45,20480.0,0.0,36.14,1408.0,,0.0,0.0,0
0.0,,0.0,140,1681382754.0,0,0.0,,36.53,68,,,1408.0,38.49,1152.0,634.691525966143,0.0,0.0,0.0,0.5,9,0.0,0.0,,334.87,38.38,38.1,46403,0.0,634.691525966143,36.21,32992,1472.0,1472.0,0.0,37.51,0.0,,0.0,1152.0,0.0,0.0,3040.0,1408.0,0.0,0.0,38.45,20480.0,0.0,36.14,1408.0,,0.0,0.0,0
