_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,02_timing/backward_time_s,03_hivemind/num_peers,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
25,25,,,1681306061,7.875,0.0,0.1560000000000059,8778.878976,0.004080620464824063,24237.0,0.2851492948634188,2708.185088,105.0,10723.815424,0.0,0.0,0.0,3.375,17101.0,0.18000158825720614,21659.418624,2.711552,1820.0,0.09300000000007458,8905.261056,0.0,30621.0,34.7,9.75,22594.1504,67.0,,,,,,,,,,,,,,
26,26,,,1681306062,7.875,0.0,0.16399999999998727,9409.900544,0.004076582721896961,26210.0,0.4128176971393915,2708.652032,106.0,10582.249472,2.0,0.0,0.016306330885324884,3.375,18149.0,0.23879857222087483,21028.376576,2.711552,1831.0,0.09400000000005093,8766.910464,0.0,33238.0,36.6,9.75,27656.62208,69.0,,,,,,,,,,,,,,
27,27,,,1681306063,7.875,0.0,0.16800000000000637,9892.274176,0.0040834002031596385,27662.0,0.22486615002783447,4020.322304,107.0,11894.439936,2.0,0.0,0.0,3.375,18960.0,0.14590180345805764,19234.4064,2.711552,1934.0,0.09500000000002728,8766.910464,0.0,83779.0,42.0,9.75,28968.665088,70.0,,,,,,,,,,,,,,
28,28,,,1681306064,8.125,0.0,0.1799999999999784,10125.492224,0.13470997432021395,31168.0,0.43492920271684066,4950.626304,110.0,11952.078848,2.0,0.0,0.0,7.124999999999999,20775.0,0.2826629213781802,18070.528,2.711552,2246.0,0.09699999999997999,7919.730688,0.0,89911.0,45.5,10.5,29252.62848,72.0,,,,,,,,,,,,,,
29,29,,,1681306065,8.125,0.0,0.21199999999998909,10232.037376,9.114281406377902,37784.0,0.9732351270733302,4976.955392,246.0,11978.46528,2.0,0.0,0.0,7.124999999999999,25363.0,62.873096337800334,17963.384832,2.711552,2257.0,0.2980000000000018,7919.730688,0.0,96935.0,45.9,10.5,29253.439488,72.0,0.0071857899999940855,,,,,,,,,,,,,
30,30,,,1681306066,8.125,0.0,0.21599999999997976,10740.338688,0.004085175168414024,40622.0,0.46124978765201524,5095.968768,247.0,12097.875968,2.0,0.0,0.0,7.124999999999999,27172.0,46.844041404461954,17453.654016,2.711552,2277.0,0.2980000000000018,7928.541184,0.0,100373.0,47.4,10.5,36979.613696,73.0,,4.988000000594184e-06,0.9094519239999954,0.015475212000069405,0.15500595200001044,,,,,,,,,
31,30,,,1681306066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,32.0,12.651077270507812,2.3232878860001165,0.0,0.0001,1.2361640200000465,0.0,0.0
32,30,,,1681306066,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008194836000029682,0.0007813610000084736,0.03170335200002228,0.017000649000010526,0.111344258000031,1.0,64.0,12.765460968017578,0.1694302210001979,0.0,0.0001,0.00040576500009592564,0.0,1.0
33,31,,,1681306067,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008171860999937053,0.0007825010000033217,0.030310999999983324,0.01676543300004596,0.11299867700006416,1.0,96.0,12.569791793823242,0.17014498500009267,0.0,0.0001,0.0011155130000588542,0.0,2.0
34,31,,,1681306067,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008129046000021845,0.0009653259999140573,0.030625259999965238,0.01661380600000939,0.11289179800007787,1.0,128.0,12.714421272277832,0.16968379599995842,0.0,0.0001,0.0004585599999700207,0.0,3.0
35,31,,,1681306067,8.125,0.0,0.23999999999998067,10741.137408,0.020416292543396965,46534.0,0.8839377409055307,5095.890944,252.0,12097.92512,2.0,0.0,0.0,7.124999999999999,29898.0,30.698400026042986,17453.3632,2.711552,2327.0,0.3020000000001346,7928.541184,0.0,105437.0,47.4,10.5,36979.208192,75.0,0.008116123999911906,0.0011931010000125752,0.03116171499993925,,0.1108000169999741,,,,,,,,,
36,31,,,1681306067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01692513400007556,,1.0,160.0,12.830228805541992,0.1691210809998438,0.0,0.0001,0.0009249899999304034,0.0,4.0
37,31,,,1681306067,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007496432000039022,0.0014975589999721706,0.03918111100006172,0.016721189000008962,0.10204934299997603,1.0,192.0,12.742456436157227,0.16782060600007753,0.0,0.0001,0.0008749720000196248,0.0,5.0
38,32,,,1681306068,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008113968999964527,0.0009762350000528386,0.03194264900002963,0.016681876999996348,0.11133753199999319,1.0,224.0,12.713682174682617,0.17000376800001504,0.0,0.0001,0.000951505999978508,0.0,6.0
39,32,,,1681306068,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008141521999959878,0.00103114099999857,0.03962559199999305,0.01691391700001077,0.10562801799994759,1.0,256.0,12.523848533630371,0.1722286599998597,0.0,0.0001,0.000888469999949848,0.0,7.0
40,32,,,1681306068,8.125,0.0,0.2599999999999909,10744.5248,0.024498281709366937,52534.0,1.023911744824268,5095.890944,258.0,12097.929216,2.0,0.0,0.0,7.124999999999999,33915.0,48.73318296665573,17449.869312,2.711552,2436.0,0.30500000000006366,7928.541184,0.0,111885.0,47.4,10.5,36979.208192,78.0,0.007370606999984375,0.0010505349999903046,0.03295051800000692,,,,,,,,,,,
41,32,,,1681306068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016937375999987125,0.11071355900003255,1.0,288.0,12.602690696716309,0.1700535680000712,0.0,0.0001,0.0010309730000699346,0.0,8.0
42,33,,,1681306069,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007502547000058257,0.0011339220000081696,0.036516753999990215,0.016890972000055626,0.10640378300001885,1.0,320.0,12.528165817260742,0.16939583600003516,0.0,0.0001,0.0009478579999040448,0.0,9.0
43,33,,,1681306069,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008040512999968996,0.0010714200000165874,0.031681750999950964,0.016835568000033163,0.11098039599994536,4.0,352.0,12.824609756469727,0.16954068699988056,0.0,0.0001,0.0009310389999654944,0.0,10.0
44,33,,,1681306069,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008003975999940849,0.0010560210000676307,0.03066663000004155,0.016720213999974476,0.11313216500002454,4.0,384.0,12.635123252868652,0.1705123370001047,0.0,0.0001,0.0009333310000556594,0.0,11.0
45,33,,,1681306069,8.125,0.0,0.2879999999999825,10746.9824,0.1102891606589538,58856.0,0.857325897302807,5095.899136,265.0,12098.162688,2.0,0.0,0.0,8.625,37629.0,33.032457273055925,17447.399424,2.711552,2514.0,0.3089999999999691,7937.355776,0.0,118194.0,47.4,10.75,37054.976,81.0,0.007363197000017863,0.0011109280000027866,0.042535241999985374,,,,,,,,,,,
46,33,,,1681306069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016647992000002887,0.10352488400008042,4.0,416.0,12.539152145385742,0.17210847600006218,0.0,0.0001,0.0009262329999728536,0.0,12.0
