03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_3_samples_per_second,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_5_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_5_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_7_epoch,04_peers/peer_6_samples_accumulated,04_peers/peer_7_samples_per_second,04_peers/peer_6_samples_per_second,04_peers/peer_7_samples_accumulated,04_peers/peer_6_epoch,04_peers/peer_8_samples_per_second,04_peers/peer_7_epoch_oos,04_peers/peer_8_samples_accumulated,04_peers/peer_8_epoch,04_peers/peer_6_epoch_oos,04_peers/peer_8_epoch_oos
122,228.30370452547567,8,112,41,0.59,107,3,0.5,34.21116312207912,1696169881,0,48.0,3.0,13.02,0.0,,,,,,,,24.0,3.0,0.0,24.18,32.97,30.22,8.0,1.0,2.0,2.0,8.0,33.84,8.0,2.0,1.0,1.0,,,,,,,,,,,,
161,226.44481943269875,8,152,42,0.42,108,3,0.5,32.35227802930217,1696169882,0,64.0,3.0,12.92,0.0,,,,,,,,48.0,3.0,0.0,21.29,32.97,30.22,8.0,1.0,2.0,2.0,8.0,33.84,8.0,2.0,1.0,1.0,2.0,8.0,33.77,32.68,8.0,2.0,30.61,1.0,8.0,2.0,1.0,1.0
200,225.8534717942378,8,168,43,0.25,110,3,0.5,31.760930390841253,1696169884,0,80.0,3.0,12.92,0.0,,,,,,,,72.0,3.0,0.0,19.44,32.97,30.22,8.0,1.0,2.0,2.0,8.0,33.84,8.0,2.0,1.0,1.0,2.0,8.0,33.77,32.68,8.0,2.0,30.61,1.0,8.0,2.0,1.0,1.0
242,225.8534717942378,8,168,44,0.06,111,3,0.5,31.760930390841253,1696169885,0,88.0,3.0,12.61,0.0,,,,,,,,80.0,3.0,0.0,19.15,32.97,30.22,8.0,1.0,2.0,2.0,8.0,33.84,8.0,2.0,1.0,1.0,2.0,8.0,33.77,32.68,8.0,2.0,30.61,1.0,8.0,2.0,1.0,1.0
284,225.8534717942378,8,168,45,0.0,112,3,0.5,31.760930390841253,1696169886,0,88.0,3.0,12.61,0.0,,,,,,,,80.0,3.0,0.0,19.15,32.97,30.22,8.0,1.0,2.0,2.0,8.0,33.84,8.0,2.0,1.0,1.0,2.0,8.0,33.77,32.68,8.0,2.0,30.61,1.0,8.0,2.0,1.0,1.0
326,225.8534717942378,8,168,46,0.0,114,3,0.5,31.760930390841253,1696169888,0,88.0,3.0,12.61,0.0,,,,,,,,80.0,3.0,0.0,19.15,32.97,30.22,8.0,1.0,2.0,2.0,8.0,33.84,8.0,2.0,1.0,1.0,2.0,8.0,33.77,32.68,8.0,2.0,30.61,1.0,8.0,2.0,1.0,1.0
368,225.8534717942378,8,168,47,0.0,115,3,0.5,31.760930390841253,1696169889,0,88.0,3.0,12.61,0.0,,,,,,,,80.0,3.0,0.0,19.15,32.97,30.22,8.0,1.0,2.0,2.0,8.0,33.84,8.0,2.0,1.0,1.0,2.0,8.0,33.77,32.68,8.0,2.0,30.61,1.0,8.0,2.0,1.0,1.0
409,225.8534717942378,8,168,48,0.0,116,3,0.5,31.760930390841253,1696169890,0,88.0,3.0,12.61,0.0,,,,,,,,80.0,3.0,0.0,19.15,32.97,30.22,8.0,1.0,2.0,2.0,8.0,33.84,8.0,2.0,1.0,1.0,2.0,8.0,33.77,32.68,8.0,2.0,30.61,1.0,8.0,2.0,1.0,1.0
451,225.8534717942378,8,168,49,0.0,118,3,0.5,31.760930390841253,1696169892,0,88.0,3.0,12.61,0.0,,,,,,,,80.0,3.0,0.0,19.15,32.97,30.22,8.0,1.0,2.0,2.0,8.0,33.84,8.0,2.0,1.0,1.0,2.0,8.0,33.77,32.68,8.0,2.0,30.61,1.0,8.0,2.0,1.0,1.0
494,225.8534717942378,8,168,50,0.0,119,3,0.5,31.760930390841253,1696169893,0,88.0,3.0,12.61,0.0,,,,,,,,80.0,3.0,0.0,19.15,32.97,30.22,8.0,1.0,2.0,2.0,8.0,33.84,8.0,2.0,1.0,1.0,2.0,8.0,33.77,32.68,8.0,2.0,30.61,1.0,8.0,2.0,1.0,1.0
536,225.8534717942378,8,168,51,0.0,120,3,0.5,31.760930390841253,1696169894,0,88.0,3.0,12.61,0.0,,,,,,,,80.0,3.0,0.0,19.15,32.97,30.22,8.0,1.0,2.0,2.0,8.0,33.84,8.0,2.0,1.0,1.0,2.0,8.0,33.77,32.68,8.0,2.0,30.61,1.0,8.0,2.0,1.0,1.0
578,225.8534717942378,8,168,52,0.0,122,3,0.5,31.760930390841253,1696169896,0,88.0,3.0,12.61,0.0,,,,,,,,80.0,3.0,0.0,19.15,32.97,30.22,8.0,1.0,2.0,2.0,8.0,33.84,8.0,2.0,1.0,1.0,2.0,8.0,33.77,32.68,8.0,2.0,30.61,1.0,8.0,2.0,1.0,1.0
620,225.8534717942378,8,168,53,0.0,123,3,0.5,31.760930390841253,1696169897,0,88.0,3.0,12.61,0.0,,,,,,,,80.0,3.0,0.0,19.15,32.97,30.22,8.0,1.0,2.0,2.0,8.0,33.84,8.0,2.0,1.0,1.0,2.0,8.0,33.77,32.68,8.0,2.0,30.61,1.0,8.0,2.0,1.0,1.0
662,225.8534717942378,8,168,54,0.0,124,3,0.5,31.760930390841253,1696169898,0,88.0,3.0,12.61,0.0,,,,,,,,80.0,3.0,0.0,19.15,32.97,30.22,8.0,1.0,2.0,2.0,8.0,33.84,8.0,2.0,1.0,1.0,2.0,8.0,33.77,32.68,8.0,2.0,30.61,1.0,8.0,2.0,1.0,1.0
704,225.8534717942378,8,168,55,0.0,126,3,0.5,31.760930390841253,1696169900,0,88.0,3.0,12.61,0.0,,,,,,,,80.0,3.0,0.0,19.15,32.97,30.22,8.0,1.0,2.0,2.0,8.0,33.84,8.0,2.0,1.0,1.0,2.0,8.0,33.77,32.68,8.0,2.0,30.61,1.0,8.0,2.0,1.0,1.0
746,225.8534717942378,8,168,56,0.0,127,3,0.5,31.760930390841253,1696169901,0,88.0,3.0,12.61,0.0,,,,,,,,80.0,3.0,0.0,19.15,32.97,30.22,8.0,1.0,2.0,2.0,8.0,33.84,8.0,2.0,1.0,1.0,2.0,8.0,33.77,32.68,8.0,2.0,30.61,1.0,8.0,2.0,1.0,1.0
789,225.8534717942378,8,168,57,0.0,128,3,0.5,31.760930390841253,1696169902,0,88.0,3.0,12.61,0.0,,,,,,,,80.0,3.0,0.0,19.15,32.97,30.22,8.0,1.0,2.0,2.0,8.0,33.84,8.0,2.0,1.0,1.0,2.0,8.0,33.77,32.68,8.0,2.0,30.61,1.0,8.0,2.0,1.0,1.0
25,185.9800088679598,8,8,58,1.24,130,4,0.9,30.910784634798837,1696169904,0,88.0,3.0,12.61,0.0,,,,,,,,80.0,3.0,0.0,19.15,32.97,30.22,8.0,1.0,2.0,2.0,8.0,33.84,8.0,2.0,1.0,1.0,2.0,8.0,33.77,32.68,8.0,2.0,30.61,1.0,8.0,2.0,1.0,1.0
83,188.966086238571,8,64,59,0.91,131,4,0.67,33.896862005410014,1696169905,0,0.0,4.0,12.61,0.0,26.43890463298885,2.0,928.0,168.0,2.0,6.354272324519067,0.0,8.0,4.0,0.0,18.3,19.0,30.22,0.0,1.0,3.0,3.0,8.0,19.75,8.0,3.0,1.0,1.0,3.0,0.0,33.77,32.68,0.0,3.0,19.66,1.0,8.0,3.0,1.0,1.0
106,184.6390261335544,8,96,60,0.81,132,4,0.59,29.56980190039343,1696169906,0,32.0,4.0,14.37,0.0,,,,,,,,32.0,4.0,0.0,19.53,19.0,30.22,0.0,1.0,3.0,3.0,8.0,19.75,8.0,3.0,1.0,1.0,3.0,0.0,33.77,32.68,0.0,3.0,19.66,1.0,8.0,3.0,1.0,1.0
146,184.60204295992352,8,136,61,0.59,134,4,0.5,29.53281872676255,1696169908,0,48.0,4.0,13.25,0.0,,,,,,,,48.0,4.0,0.0,16.32,19.0,30.22,0.0,1.0,3.0,3.0,8.0,19.75,8.0,3.0,1.0,1.0,3.0,0.0,33.77,32.68,0.0,3.0,19.66,1.0,8.0,3.0,1.0,1.0
191,185.56260573141424,8,176,62,0.35,135,4,0.5,30.49338149825325,1696169909,0,72.0,4.0,14.11,0.0,,,,,,,,64.0,4.0,0.0,15.42,19.0,30.22,0.0,1.0,3.0,3.0,8.0,19.75,8.0,3.0,1.0,1.0,3.0,0.0,33.77,32.68,0.0,3.0,19.66,1.0,8.0,3.0,1.0,1.0
235,186.28471297421854,8,208,63,0.11,136,4,0.5,31.215488741057563,1696169910,0,88.0,4.0,14.45,0.0,,,,,,,,88.0,4.0,0.0,16.05,19.0,30.22,0.0,1.0,3.0,3.0,8.0,19.75,8.0,3.0,1.0,1.0,3.0,0.0,33.77,32.68,0.0,3.0,19.66,1.0,8.0,3.0,1.0,1.0
