_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/opt_step_time_s,02_timing/backward_time_s,03_hivemind/num_peers,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
25,22,,,1681082356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10360555900024337,0.33964781099984975,6.0,128.0,7.15283203125,0.48382887600109825,0.0,0.0001,0.005068786999800068,0.0,3.0
26,22,,,1681082356,2.125,2.6110000000000007,3.140000000000015,6728.810496,0.008172711539571885,39069.0,1.097960696893494,2370.82624,82.0,6159.38048,2187.0,0.0,0.0,7.000000000000001,25455.0,36.558661700915636,22617.870336,2.654208,2524.0,0.09599999999954889,4725.420032,0.0,264718.0,28.3,1.625,28144.852992,79.0,0.00667867100037256,0.0007876270001361263,0.027512253999702807,,0.33603226600007474,,,,,,,,,
27,23,,,1681082357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10393067299992254,,6.0,160.0,7.0352783203125,0.47907043599934696,0.0,0.0001,0.004128944999138184,0.0,4.0
28,23,,,1681082357,2.125,2.6110000000000007,3.147999999999996,6732.034048,0.008171461778339262,40818.0,0.8991799932042881,2368.761856,84.0,6157.316096,2187.0,0.0,0.0,7.000000000000001,27005.0,34.607010440247,22614.50752,2.654208,2535.0,0.09799999999995634,4725.424128,0.0,267088.0,28.3,1.625,28144.852992,80.0,0.006914380999660352,0.0006862709997221828,0.025589017000129388,0.103165122000064,0.34201355100049113,,,,,,,,,
29,24,,,1681082358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,192.0,7.1495361328125,0.48251705700022285,0.0,0.0001,0.004148715000155789,0.0,5.0
30,24,,,1681082358,2.125,2.6110000000000007,3.1599999999999966,6729.629696,0.21652803115558594,42525.0,0.6888824629203639,2368.733184,127.0,6157.287424,2187.0,0.0,0.0,7.000000000000001,28146.0,10.793454762449327,22616.911872,2.654208,2548.0,0.17999999999938154,4725.424128,0.0,269037.0,28.3,1.625,28144.852992,80.0,0.006543350999891118,0.0006587130001207697,0.02646689500033972,0.10359645700009423,0.34102376000009826,,,,,,,,,
31,24,,,1681082358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,224.0,7.28173828125,0.4823975720000817,0.0,0.0001,0.004108395999537606,0.0,6.0
32,25,,,1681082359,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006779708999602008,0.0007409449999613571,0.025957646999813733,0.10376586900019902,0.34024592700006906,6.0,256.0,7.125,0.4818245839996962,0.0,0.0001,0.004334487000051013,0.0,7.0
33,25,,,1681082359,2.125,2.6110000000000007,3.176000000000016,6728.634368,0.012257950618492308,44676.0,0.8220408327842801,2368.733184,130.0,6157.295616,2187.0,0.0,0.0,7.375,30026.0,46.25676524840391,22637.182976,2.654208,2576.0,0.18299999999999272,4725.43232,0.0,271939.0,28.3,1.7500000000000002,28144.857088,84.0,0.0066680030004135915,0.0006239889999051229,0.025218773999768018,,,,,,,,,,,
34,26,,,1681082360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10470754299967666,0.34452043199962645,6.0,288.0,7.3597412109375,0.4862123189996055,0.0,0.0001,0.004473578000215639,0.0,8.0
