03_hivemind/num_peers,03_hivemind/next_fetch_time_s,04_peers/peer_2_samples_accumulated,04_peers/peer_4_samples_accumulated,03_hivemind/actual_total_samples_per_second,03_hivemind/overshot_TBS,03_hivemind/eta_next_epoch_s,04_peers/peer_3_samples_accumulated,03_hivemind/global_samples_accumulated,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,_step,_runtime,04_peers/peer_1_epoch,04_peers/peer_4_epoch,03_hivemind/global_epoch,04_peers/peer_4_epoch_oos,04_peers/peer_1_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,03_hivemind/epoch_s,04_peers/peer_3_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_3_epoch_oos,03_hivemind/total_training_samples,04_peers/peer_2_epoch,03_hivemind/undershot_TBS,04_peers/peer_1_epoch_oos,03_hivemind/estimated_current_samples,04_peers/peer_4_samples_per_second,03_hivemind/per_epoch_training_samples,_timestamp,03_hivemind/num_clients,03_hivemind/reached_TBS,04_peers/peer_2_samples_per_second,04_peers/peer_3_samples_per_second
4,4.63,2848.0,4064.0,1964.6711607940838,,8.1,3168.0,16576,,657.94,34,85,1.0,1.0,1,0.0,4224.0,1964.6711607940838,,1.0,0.0,0.0,,1.0,,0.0,16863,673.49,,1680697853.0,0,,632.48,636.04
4,2.81,3680.0,4288.0,2572.4499811702344,,4.92,3968.0,19808,,314.06,35,86,1.0,1.0,1,0.0,4640.0,2572.4499811702344,,1.0,0.0,0.0,,1.0,,0.0,20119,312.32,,1680697854.0,0,,670.08,668.2
4,2.02,4480.0,5088.0,2663.8673158425813,,3.54,4768.0,22816,,633.92,36,87,1.0,1.0,1,0.0,5472.0,2663.8673158425813,,1.0,0.0,0.0,,1.0,,0.0,23334,605.45,,1680697855.0,0,,674.95,658.13
4,1.44,5280.0,5888.0,2625.8789434337527,,2.51,5568.0,25824,,627.65,37,88,1.0,1.0,1,0.0,6080.0,2625.8789434337527,,1.0,0.0,0.0,,1.0,,0.0,26173,676.08,,1680697856.0,0,,682.81,677.32
4,0.7,6080.0,6688.0,2698.8408009491004,,1.23,6400.0,29088,,567.76,38,89,1.0,1.0,1,0.0,6656.0,2698.8408009491004,,1.0,0.0,0.0,,1.0,,0.0,29451,676.0,,1680697857.0,0,,681.21,700.91
4,0.5,6880.0,7488.0,2782.0310161526763,,0.01,7168.0,32416,,698.65,39,91,1.0,1.0,1,0.0,7552.0,2782.0310161526763,,1.0,0.0,0.0,,1.0,,0.0,32732,649.19,,1680697859.0,0,,677.22,673.78
4,0.5,7712.0,8288.0,2714.969221516253,,0.0,8000.0,32832,,754.24,40,92,1.0,1.0,1,0.0,8416.0,2714.969221516253,,1.0,0.0,0.0,,1.0,,0.0,35953,662.81,,1680697860.0,0,,683.62,681.35
4,0.5,7808.0,8384.0,2714.969221516253,,0.0,8096.0,32832,,738.63,41,93,1.0,1.0,1,0.0,8544.0,2714.969221516253,,1.0,0.0,0.0,,1.0,,0.0,39226,644.63,,1680697861.0,0,,668.12,663.58
4,0.5,7808.0,8384.0,2714.969221516253,,0.0,8096.0,32832,,738.63,42,94,1.0,1.0,1,0.0,8544.0,2714.969221516253,,1.0,0.0,0.0,,1.0,,0.0,42503,644.63,,1680697862.0,0,,668.12,663.58
4,0.5,7808.0,8384.0,2714.969221516253,,0.0,8096.0,32832,,738.63,43,95,1.0,1.0,1,0.0,8544.0,2714.969221516253,,1.0,0.0,0.0,,1.0,,0.0,45768,644.63,,1680697863.0,0,,668.12,663.58
4,0.5,7808.0,8384.0,2714.969221516253,,0.0,8096.0,32832,,738.63,44,97,1.0,1.0,1,0.0,8544.0,2714.969221516253,,1.0,0.0,0.0,,1.0,,0.0,49043,644.63,,1680697865.0,0,,668.12,663.58
4,0.5,7808.0,8384.0,2714.969221516253,,0.0,8096.0,32832,,738.63,45,98,1.0,1.0,1,0.0,8544.0,2714.969221516253,,1.0,0.0,0.0,,1.0,,0.0,52302,644.63,,1680697866.0,0,,668.12,663.58
4,0.5,7808.0,8384.0,2714.969221516253,,0.0,8096.0,32832,,738.63,46,99,1.0,1.0,1,0.0,8544.0,2714.969221516253,,1.0,0.0,0.0,,1.0,,0.0,55560,644.63,,1680697867.0,0,,668.12,663.58
4,0.5,7808.0,8384.0,2714.969221516253,,0.0,8096.0,32832,,738.63,47,100,1.0,1.0,1,0.0,8544.0,2714.969221516253,,1.0,0.0,0.0,,1.0,,0.0,58850,644.63,,1680697868.0,0,,668.12,663.58
4,6.03,7808.0,8384.0,2910.6143161231785,,10.55,8096.0,1696,,738.63,48,101,1.0,1.0,2,0.0,8544.0,2910.6143161231785,,1.0,0.0,0.0,,1.0,,0.0,2066,644.63,,1680697869.0,0,,668.12,663.58
4,5.68,384.0,384.0,2757.1267225512297,2.0,9.93,448.0,5024,1435.109929639586,797.82,49,103,2.0,2.0,2,0.0,480.0,2757.1267225512297,22.877689939923584,2.0,0.0,0.0,65664.0,2.0,0.0,0.0,5381,737.78,32832.0,1680697871.0,0,0.0,686.16,688.85
4,5.1,1248.0,1184.0,2711.9510865127536,,8.92,1280.0,8224,,698.67,50,104,2.0,2.0,2,0.0,1312.0,2711.9510865127536,,2.0,0.0,0.0,,2.0,,0.0,8573,666.31,,1680697872.0,0,,709.96,682.19
4,4.24,2080.0,1856.0,2808.0972955119064,,7.43,2144.0,11040,,739.49,51,105,2.0,2.0,2,0.0,2144.0,2808.0972955119064,,2.0,0.0,0.0,,2.0,,0.0,11916,577.54,,1680697873.0,0,,695.27,699.66
