process/memory/resident_set_size_proc_MB,02_timing/step_time_s,02_timing/opt_step_time_s,disk/time/disk_write_time_sys_s,disk/counter/disk_write_sys_count,process/memory/lib_memory_proc_MB,cpu/load/avg_sys_load_five_min_percent,process/involuntary_proc_ctx_switches,03_hivemind/num_peers,03_hivemind/global_epoch,01_general/minibatch_loss,cpu/interrupts/ctx_switches_count,01_general/locally_processed_samples,cpu/load/avg_sys_load_one_min_percent,_runtime,disk/time/disk_busy_time_sys_s,disk/counter/disk_read_sys_count,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/dirty_pages_proc_count,process/memory/virtual_memory_size_proc_MB,02_timing/backward_time_s,memory/total_memory_sys_MB,memory/available_memory_sys_MB,memory/used_memory_sys_percent,cpu/interrupts/interrupts_count,process/memory/shared_memory_proc_MB,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/data_resident_set_proc_MB,_step,01_general/lr,01_general/step,cpu/logical_core_count,disk/time/disk_read_time_sys_s,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,cpu/load/avg_sys_load_fifteen_min_percent,02_timing/dataload_time_s,memory/used_memory_sys_MB,01_general/dataset_iteration_count,process/voluntary_proc_ctx_switches,_timestamp,02_timing/forward_time_s,cpu/interrupts/soft_interrupts_count,bandwidth/disk_write_sys_bandwidth_MBs,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/text_resident_set_proc_MB
,0.20289873399974567,0.03919825799994214,,,,,,6.0,0.0,7.096435546875,,704.0,,19,,,,,,0.1390981729998657,,,,,,,,41,0.0001,21.0,,,0.0030835699999443023,0.00039077600013115443,,0.0028329469998880086,,0.0,,1681394185.0,0.018295009999974354,,,,
,0.2022831589999896,0.038909333999981754,,,,,,6.0,0.0,7.066650390625,,736.0,,19,,,,,,0.14010484599998563,,,,,,,,42,0.0001,22.0,,,0.0030732570000964188,0.00043974599998364283,,0.0025626859999192675,,0.0,,1681394185.0,0.0171932900000229,,,,
6728.122368,,0.03889105500002188,0.3580000000000041,336.0,6915.469312,0.8,124.0,,,,71602.0,,0.9000000000000001,19,0.27599999999999625,61.0,0.0,0.0,32283.779072,0.1395662850000008,,199553.769472,5.5,1062318.0,2449.891328,1.7711695704926393,0.0,43,,,,0.0129999999999999,0.0030789180000283523,0.00042047400006595126,0.5666666666666667,,8082.870272,,1395.0,1681394185.0,0.01699221000012585,66087.0,0.016348864567250893,92.50517266423975,2.719744
,0.20143214800032183,,,,,,,6.0,0.0,7.116943359375,,768.0,,19,,,,,,,,,,,,,,44,0.0001,23.0,,,,,,0.002483206000079008,,0.0,,1681394185.0,,,,,
,0.20114534100025594,0.03936759900011566,,,,,,6.0,0.0,7.2431640625,,800.0,,20,,,,,,0.13845474200002172,,,,,,,,45,0.0001,24.0,,,0.003056408000020383,0.00040455799990013475,,0.0027183010001863295,,0.0,,1681394186.0,0.017143733000011707,,,,
,0.20351036399938494,0.03907248699988486,,,,,,6.0,0.0,7.0892333984375,,832.0,,20,,,,,,0.14139157799991153,,,,,,,,46,0.0001,25.0,,,0.0031016179998459847,0.0003822459998445993,,0.0028057519998583302,,0.0,,1681394186.0,0.01675668300003963,,,,
6728.138752,,0.039270742000098835,0.36100000000004684,342.0,6915.477504,0.8,128.0,,,,76086.0,,0.9000000000000001,20,0.29599999999999227,61.0,0.0,0.0,32283.774976,0.14081888100008655,,199524.368384,5.5,1067175.0,2449.891328,1.963861956374647,0.0,47,,,,0.0129999999999999,0.0030501559999720484,0.00037251599997034646,0.5666666666666667,,8112.218112,,1434.0,1681394186.0,0.01679305699985889,71241.0,0.053133013497458116,92.69589046503019,2.719744
,0.20303391500010548,,,,,,,6.0,0.0,7.0948486328125,,864.0,,20,,,,,,,,,,,,,,48,0.0001,26.0,,,,,,0.002728563000118811,,0.0,,1681394186.0,,,,,
,0.20244137299982867,0.03891254099994512,,,,,,6.0,0.0,7.3531494140625,,896.0,,21,,,,,,0.1400430910000523,,,,,,,,49,0.0001,27.0,,,0.0030978080001204944,0.0004130879999593162,,0.002492492999863316,,0.0,,1681394187.0,0.017482351999888124,,,,
,0.20163671499994962,0.038779740000109086,,,,,,6.0,0.0,7.4713134765625,,928.0,,21,,,,,,0.1395613689999209,,,,,,,,50,0.0001,28.0,,,0.003122410999822023,0.0004541850000805425,,0.002818185000023732,,0.0,,1681394187.0,0.016900824999993347,,,,
