03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,04_peers/peer_2_epoch_oos,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,04_peers/peer_2_samples_per_second,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
518,31.54642441887968,2,0,105,0.0,172,5,0.5,31.54642441887968,1696171500,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
550,31.54642441887968,2,0,106,0.0,173,5,0.5,31.54642441887968,1696171501,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
583,31.54642441887968,2,0,107,0.0,174,5,0.5,31.54642441887968,1696171502,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
615,31.54642441887968,2,0,108,0.0,175,5,0.5,31.54642441887968,1696171503,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
647,31.54642441887968,2,0,109,0.0,176,5,0.5,31.54642441887968,1696171504,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
679,31.54642441887968,2,0,110,0.0,177,5,0.5,31.54642441887968,1696171505,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
711,31.54642441887968,2,0,111,0.0,178,5,0.5,31.54642441887968,1696171506,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
743,31.54642441887968,2,0,112,0.0,179,5,0.5,31.54642441887968,1696171507,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
776,31.54642441887968,2,0,113,0.0,180,5,0.5,31.54642441887968,1696171508,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
808,31.54642441887968,2,0,114,0.0,181,5,0.5,31.54642441887968,1696171509,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
840,31.54642441887968,2,0,115,0.0,182,5,0.5,31.54642441887968,1696171510,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
872,31.54642441887968,2,0,116,0.0,183,5,0.5,31.54642441887968,1696171511,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
905,31.54642441887968,2,0,117,0.0,184,5,0.5,31.54642441887968,1696171512,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
937,31.54642441887968,2,0,118,0.0,185,5,0.5,31.54642441887968,1696171513,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
969,31.54642441887968,2,0,119,0.0,186,5,0.5,31.54642441887968,1696171514,0,0.0,5.0,15.16,0.0,0.0,5.0,,,,0.0,,,16.39,,
