03_hivemind/epoch_s,04_peers/peer_5_epoch_oos,04_peers/peer_3_samples_accumulated,04_peers/peer_4_samples_accumulated,04_peers/peer_6_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,_step,04_peers/peer_6_epoch_oos,04_peers/peer_3_samples_per_second,_timestamp,04_peers/peer_5_epoch,03_hivemind/num_clients,04_peers/peer_4_samples_per_second,04_peers/peer_6_samples_per_second,03_hivemind/actual_total_samples_per_second,03_hivemind/num_peers,04_peers/peer_3_epoch,04_peers/peer_1_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_5_samples_per_second,04_peers/peer_5_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/reached_TBS,04_peers/peer_2_epoch_oos,03_hivemind/total_training_samples,04_peers/peer_1_samples_per_second,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_6_epoch,03_hivemind/undershot_TBS,03_hivemind/global_samples_accumulated,03_hivemind/per_epoch_training_samples,03_hivemind/epoch_based_sps,_runtime,04_peers/peer_1_epoch,04_peers/peer_4_epoch,03_hivemind/global_epoch,03_hivemind/overshot_TBS,04_peers/peer_3_epoch_oos,04_peers/peer_4_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_1_samples_accumulated
,0.0,2688.0,2656.0,2560.0,723.2026926760134,30,0.0,120.14,1681315407.0,0.0,0,120.93,122.68,723.2026926760134,6,0.0,0.0,10.0,119.53,2560.0,19451,,0.0,,118.13,121.9,2752.0,0.0,0.0,,19264,,,94,0.0,0.0,0,,0.0,0.0,18.41,5056.0
,0.0,2848.0,2816.0,2752.0,722.7311154792906,31,0.0,120.08,1681315409.0,0.0,0,120.87,122.8,722.7311154792906,6,0.0,0.0,10.0,119.35,2720.0,20442,,0.0,,118.14,121.96,2912.0,0.0,0.0,,20288,,,96,0.0,0.0,0,,0.0,0.0,17.05,5216.0
,0.0,3008.0,2976.0,2912.0,722.1925999932092,32,0.0,120.13,1681315410.0,0.0,0,120.84,122.76,722.1925999932092,6,0.0,0.0,10.0,119.25,2912.0,21434,,0.0,,117.95,121.81,3104.0,0.0,0.0,,21248,,,97,0.0,0.0,0,,0.0,0.0,15.69,5376.0
,0.0,3168.0,3136.0,3072.0,722.3371793647552,33,0.0,119.87,1681315412.0,0.0,0,120.75,122.66,722.3371793647552,6,0.0,0.0,9.54,119.11,3072.0,22426,,0.0,,117.91,121.9,3264.0,0.0,0.0,,22272,,,99,0.0,0.0,0,,0.0,0.0,14.32,5536.0
,0.0,3328.0,3328.0,3264.0,722.2207355735773,34,0.0,119.82,1681315413.0,0.0,0,120.75,122.61,722.2207355735773,6,0.0,0.0,8.63,119.23,3232.0,23414,,0.0,,117.97,121.96,3424.0,0.0,0.0,,23232,,,100,0.0,0.0,0,,0.0,0.0,12.95,5696.0
,0.0,3488.0,3488.0,3424.0,721.8210976060351,35,0.0,119.92,1681315414.0,0.0,0,120.75,122.5,721.8210976060351,6,0.0,0.0,7.72,119.27,3392.0,24404,,0.0,,117.92,121.88,3584.0,0.0,0.0,,24192,,,101,0.0,0.0,0,,0.0,0.0,11.59,5856.0
,0.0,3648.0,3648.0,3584.0,721.6326103693821,36,0.0,119.79,1681315416.0,0.0,0,120.76,122.45,721.6326103693821,6,0.0,0.0,6.75,119.18,3552.0,25466,,0.0,,117.89,121.75,3744.0,0.0,0.0,,25312,,,103,0.0,0.0,0,,0.0,0.0,10.12,6016.0
,0.0,3840.0,3808.0,3776.0,720.6623544413035,37,0.0,119.77,1681315417.0,0.0,0,120.73,122.61,720.6623544413035,6,0.0,0.0,5.84,119.05,3744.0,26457,,0.0,,117.79,121.67,3936.0,0.0,0.0,,26304,,,104,0.0,0.0,0,,0.0,0.0,8.76,6208.0
,0.0,4000.0,4000.0,3936.0,720.2805731973759,38,0.0,119.69,1681315419.0,0.0,0,120.44,122.54,720.2805731973759,6,0.0,0.0,4.93,118.75,3904.0,27445,,0.0,,117.62,121.62,4096.0,0.0,0.0,,27264,,,106,0.0,0.0,0,,0.0,0.0,7.39,6368.0
,0.0,4160.0,4160.0,4096.0,719.7859718790589,39,0.0,119.49,1681315420.0,0.0,0,120.29,122.39,719.7859718790589,6,0.0,0.0,4.02,118.71,4064.0,28429,,0.0,,117.69,121.7,4256.0,0.0,0.0,,28256,,,107,0.0,0.0,0,,0.0,0.0,6.03,6528.0
,0.0,4320.0,4320.0,4256.0,719.6457845050455,40,0.0,119.51,1681315421.0,0.0,0,120.31,122.26,719.6457845050455,6,0.0,0.0,3.1,118.61,4224.0,29418,,0.0,,117.64,121.45,4448.0,0.0,0.0,,29248,,,108,0.0,0.0,0,,0.0,0.0,4.65,6688.0
,0.0,4480.0,4480.0,4448.0,719.416314518119,41,0.0,119.64,1681315423.0,0.0,0,120.2,122.29,719.416314518119,6,0.0,0.0,2.19,118.51,4384.0,30406,,0.0,,117.65,121.36,4608.0,0.0,0.0,,30240,,,110,0.0,0.0,0,,0.0,0.0,3.28,6848.0
,0.0,4672.0,4640.0,4608.0,718.701096996059,42,0.0,119.65,1681315424.0,0.0,0,120.29,122.05,718.701096996059,6,0.0,0.0,1.28,118.47,4544.0,31391,,0.0,,117.61,121.34,4768.0,0.0,0.0,,31200,,,111,0.0,0.0,0,,0.0,0.0,1.92,7008.0
,0.0,4832.0,4800.0,4768.0,718.2854577189535,43,0.0,119.52,1681315425.0,0.0,0,120.08,122.09,718.2854577189535,6,0.0,0.0,0.5,118.31,4704.0,32375,,0.0,,117.51,121.2,4928.0,0.0,0.0,,32160,,,112,0.0,0.0,0,,0.0,0.0,0.55,7168.0
,0.0,4992.0,4960.0,4928.0,717.7962256055179,44,0.0,119.37,1681315427.0,0.0,0,120.02,121.95,717.7962256055179,6,0.0,0.0,0.5,118.18,4864.0,33357,,0.0,,117.61,121.15,5088.0,0.0,0.0,,32832,,,114,0.0,0.0,0,,0.0,0.0,0.0,7328.0
,0.0,5088.0,5088.0,5056.0,717.7962256055179,45,0.0,119.23,1681315428.0,0.0,0,119.86,121.9,717.7962256055179,6,0.0,0.0,0.5,118.11,4960.0,34340,,0.0,,117.62,121.07,5216.0,0.0,0.0,,32832,,,115,0.0,0.0,0,,0.0,0.0,0.0,7424.0
,0.0,5088.0,5088.0,5056.0,717.7962256055179,46,0.0,119.23,1681315430.0,0.0,0,119.86,121.9,717.7962256055179,6,0.0,0.0,0.5,118.11,4960.0,35319,,0.0,,117.62,121.07,5216.0,0.0,0.0,,32832,,,117,0.0,0.0,0,,0.0,0.0,0.0,7424.0
,0.0,5088.0,5088.0,5056.0,717.7962256055179,47,0.0,119.23,1681315431.0,0.0,0,119.86,121.9,717.7962256055179,6,0.0,0.0,0.5,118.11,4960.0,36303,,0.0,,117.62,121.07,5216.0,0.0,0.0,,32832,,,118,0.0,0.0,0,,0.0,0.0,0.0,7424.0
,0.0,5088.0,5088.0,5056.0,717.7962256055179,48,0.0,119.23,1681315432.0,0.0,0,119.86,121.9,717.7962256055179,6,0.0,0.0,0.5,118.11,4960.0,37286,,0.0,,117.62,121.07,5216.0,0.0,0.0,,32832,,,119,0.0,0.0,0,,0.0,0.0,0.0,7424.0
,0.0,5088.0,5088.0,5056.0,717.7962256055179,49,0.0,119.23,1681315434.0,0.0,0,119.86,121.9,717.7962256055179,6,0.0,0.0,0.5,118.11,4960.0,38271,,0.0,,117.62,121.07,5216.0,0.0,0.0,,32832,,,121,0.0,0.0,0,,0.0,0.0,0.0,7424.0
,0.0,5088.0,5088.0,5056.0,717.7962256055179,50,0.0,119.23,1681315435.0,0.0,0,119.86,121.9,717.7962256055179,6,0.0,0.0,0.5,118.11,4960.0,39253,,0.0,,117.62,121.07,5216.0,0.0,0.0,,32832,,,122,0.0,0.0,0,,0.0,0.0,0.0,7424.0
,0.0,5088.0,5088.0,5056.0,717.7962256055179,51,0.0,119.23,1681315436.0,0.0,0,119.86,121.9,717.7962256055179,6,0.0,0.0,0.5,118.11,4960.0,40238,,0.0,,117.62,121.07,5216.0,0.0,0.0,,32832,,,123,0.0,0.0,0,,0.0,0.0,0.0,7424.0
,0.0,5088.0,5088.0,5056.0,717.7962256055179,52,0.0,119.23,1681315438.0,0.0,0,119.86,121.9,717.7962256055179,6,0.0,0.0,0.5,118.11,4960.0,41217,,0.0,,117.62,121.07,5216.0,0.0,0.0,,32832,,,125,0.0,0.0,0,,0.0,0.0,0.0,7424.0
,0.0,5088.0,5088.0,5056.0,717.7962256055179,53,0.0,119.23,1681315439.0,0.0,0,119.86,121.9,717.7962256055179,6,0.0,0.0,0.5,118.11,4960.0,42200,,0.0,,117.62,121.07,5216.0,0.0,0.0,,32832,,,126,0.0,0.0,0,,0.0,0.0,0.0,7424.0
,0.0,5088.0,5088.0,5056.0,717.7962256055179,54,0.0,119.23,1681315440.0,0.0,0,119.86,121.9,717.7962256055179,6,0.0,0.0,0.5,118.11,4960.0,43184,,0.0,,117.62,121.07,5216.0,0.0,0.0,,32832,,,127,0.0,0.0,0,,0.0,0.0,0.0,7424.0
,0.0,5088.0,5088.0,5056.0,717.7962256055179,55,0.0,119.23,1681315442.0,0.0,0,119.86,121.9,717.7962256055179,6,0.0,0.0,0.5,118.11,4960.0,44168,,0.0,,117.62,121.07,5216.0,0.0,0.0,,32832,,,129,0.0,0.0,0,,0.0,0.0,0.0,7424.0
,0.0,5088.0,5088.0,5056.0,717.7962256055179,56,0.0,119.23,1681315443.0,0.0,0,119.86,121.9,717.7962256055179,6,0.0,0.0,0.5,118.11,4960.0,45145,,0.0,,117.62,121.07,5216.0,0.0,0.0,,32832,,,130,0.0,0.0,0,,0.0,0.0,0.0,7424.0
,0.0,5088.0,5088.0,5056.0,717.7962256055179,57,0.0,119.23,1681315445.0,0.0,0,119.86,121.9,717.7962256055179,6,0.0,0.0,0.5,118.11,4960.0,46129,,0.0,,117.62,121.07,5216.0,0.0,0.0,,32832,,,132,0.0,0.0,0,,0.0,0.0,0.0,7424.0
,0.0,5088.0,5088.0,5056.0,696.6024863368314,58,0.0,119.23,1681315446.0,0.0,0,119.86,121.9,457.08296729490775,6,0.0,0.0,10.0,118.11,4960.0,447,,0.0,,117.62,121.07,5216.0,0.0,0.0,,288,,,133,0.0,0.0,1,,0.0,0.0,46.4,7424.0
