03_hivemind/global_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,03_hivemind/epoch_s,04_peers/peer_3_epoch,03_hivemind/actual_total_samples_per_second,_runtime,03_hivemind/epoch_based_sps,03_hivemind/next_fetch_time_s,04_peers/peer_2_epoch_oos,04_peers/peer_1_samples_per_second,04_peers/peer_3_samples_per_second,_step,03_hivemind/reached_TBS,03_hivemind/overshot_TBS,03_hivemind/num_peers,03_hivemind/total_training_samples,04_peers/peer_2_samples_per_second,03_hivemind/num_clients,04_peers/peer_1_epoch_oos,04_peers/peer_3_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_1_samples_accumulated,_timestamp,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_3_samples_accumulated,03_hivemind/undershot_TBS,03_hivemind/per_epoch_training_samples,03_hivemind/global_epoch,04_peers/peer_2_samples_accumulated,03_hivemind/estimated_current_samples
31040,2149.8114782288526,,2.0,2149.8114782288526,115,,0.5,0.0,771.76,712.17,60,,,3,,673.94,0,0.0,0.0,0.58,8992.0,1680695582.0,2.0,2.0,9632.0,,,2,10080.0,31526
32928,1962.190134139056,,2.0,1962.190134139056,116,,0.5,0.0,717.94,725.82,61,,,3,,706.06,0,0.0,0.0,0.0,9856.0,1680695583.0,2.0,2.0,10496.0,,,2,10688.0,33565
32928,1962.190134139056,,2.0,1962.190134139056,117,,0.5,0.0,680.74,727.74,62,,,3,,553.71,0,0.0,0.0,0.0,10528.0,1680695584.0,2.0,2.0,11200.0,,,2,11200.0,35902
32928,1962.190134139056,,2.0,1962.190134139056,118,,0.5,0.0,680.74,727.74,63,,,3,,553.71,0,0.0,0.0,0.0,10528.0,1680695585.0,2.0,2.0,11200.0,,,2,11200.0,38263
32928,1962.190134139056,,2.0,1962.190134139056,120,,0.5,0.0,680.74,727.74,64,,,3,,553.71,0,0.0,0.0,0.0,10528.0,1680695587.0,2.0,2.0,11200.0,,,2,11200.0,40624
32928,1962.190134139056,,2.0,1962.190134139056,121,,0.5,0.0,680.74,727.74,65,,,3,,553.71,0,0.0,0.0,0.0,10528.0,1680695588.0,2.0,2.0,11200.0,,,2,11200.0,42986
32928,1962.190134139056,,2.0,1962.190134139056,122,,0.5,0.0,680.74,727.74,66,,,3,,553.71,0,0.0,0.0,0.0,10528.0,1680695589.0,2.0,2.0,11200.0,,,2,11200.0,45343
0,1962.190134139056,,2.0,1962.190134139056,123,,8.12,0.0,680.74,727.74,67,,,3,,553.71,0,0.0,0.0,16.24,10528.0,1680695590.0,2.0,2.0,11200.0,,,3,11200.0,903
0,1962.190134139056,22.785374886821955,3.0,1962.190134139056,124,1445.1375131441916,7.52,0.0,680.74,727.74,68,0.0,2.0,3,98208.0,553.71,0,0.0,0.0,15.04,0.0,1680695591.0,3.0,3.0,0.0,1.0,32928.0,3,0.0,3254
0,1962.190134139056,,3.0,1962.190134139056,126,,6.92,0.0,680.74,727.74,69,,,3,,553.71,0,0.0,0.0,13.84,0.0,1680695593.0,3.0,3.0,0.0,,,3,0.0,5620
0,1962.190134139056,,3.0,1962.190134139056,127,,6.32,0.0,680.74,727.74,70,,,3,,553.71,0,0.0,0.0,12.63,0.0,1680695594.0,3.0,3.0,0.0,,,3,0.0,7977
0,1962.190134139056,,3.0,1962.190134139056,128,,5.72,0.0,680.74,727.74,71,,,3,,553.71,0,0.0,0.0,11.45,0.0,1680695595.0,3.0,3.0,0.0,,,3,0.0,10304
0,1962.190134139056,,3.0,1962.190134139056,129,,5.21,0.0,680.74,727.74,72,,,3,,553.71,0,0.0,0.0,10.42,0.0,1680695596.0,3.0,3.0,0.0,,,3,0.0,12319
0,1962.190134139056,,3.0,1962.190134139056,130,,4.7,0.0,680.74,727.74,73,,,3,,553.71,0,0.0,0.0,9.4,0.0,1680695597.0,3.0,3.0,0.0,,,3,0.0,14330
0,1962.190134139056,,3.0,1962.190134139056,131,,4.19,0.0,680.74,727.74,74,,,3,,553.71,0,0.0,0.0,8.37,0.0,1680695598.0,3.0,3.0,0.0,,,3,0.0,16343
0,1962.190134139056,,3.0,1962.190134139056,132,,3.67,0.0,680.74,727.74,75,,,3,,553.71,0,0.0,0.0,7.34,0.0,1680695599.0,3.0,3.0,0.0,,,3,0.0,18360
0,1962.190134139056,,3.0,1962.190134139056,133,,3.16,0.0,680.74,727.74,76,,,3,,553.71,0,0.0,0.0,6.32,0.0,1680695600.0,3.0,3.0,0.0,,,3,0.0,20370
0,1962.190134139056,,3.0,1962.190134139056,134,,2.65,0.0,680.74,727.74,77,,,3,,553.71,0,0.0,0.0,5.29,0.0,1680695601.0,3.0,3.0,0.0,,,3,0.0,22383
0,1962.190134139056,,3.0,1962.190134139056,135,,2.13,0.0,680.74,727.74,78,,,3,,553.71,0,0.0,0.0,4.26,0.0,1680695602.0,3.0,3.0,0.0,,,3,0.0,24401
0,1962.190134139056,,3.0,1962.190134139056,136,,1.62,0.0,680.74,727.74,79,,,3,,553.71,0,0.0,0.0,3.24,0.0,1680695603.0,3.0,3.0,0.0,,,3,0.0,26415
0,1962.190134139056,,3.0,1962.190134139056,137,,1.11,0.0,680.74,727.74,80,,,3,,553.71,0,0.0,0.0,2.21,0.0,1680695604.0,3.0,3.0,0.0,,,3,0.0,28424
0,1962.190134139056,,3.0,1962.190134139056,138,,0.59,0.0,680.74,727.74,81,,,3,,553.71,0,0.0,0.0,1.18,0.0,1680695605.0,3.0,3.0,0.0,,,3,0.0,30445
0,1962.190134139056,,3.0,1962.190134139056,139,,0.5,0.0,680.74,727.74,82,,,3,,553.71,0,0.0,0.0,0.15,0.0,1680695606.0,3.0,3.0,0.0,,,3,0.0,32477
0,1962.190134139056,,3.0,1962.190134139056,140,,0.5,0.0,680.74,727.74,83,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695607.0,3.0,3.0,0.0,,,3,0.0,34502
0,1962.190134139056,,3.0,1962.190134139056,141,,0.5,0.0,680.74,727.74,84,,,3,,553.71,0,0.0,0.0,0.0,0.0,1680695608.0,3.0,3.0,0.0,,,3,0.0,36524
