03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
98098,2494.0214374011653,3,0,92,0.0,149,4,0.5,2494.0214374011653,1683045736,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
100669,2494.0214374011653,3,0,93,0.0,150,4,0.5,2494.0214374011653,1683045737,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
103224,2494.0214374011653,3,0,94,0.0,151,4,0.5,2494.0214374011653,1683045738,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
105786,2494.0214374011653,3,0,95,0.0,152,4,0.5,2494.0214374011653,1683045739,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
108351,2494.0214374011653,3,0,96,0.0,153,4,0.5,2494.0214374011653,1683045740,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
110908,2494.0214374011653,3,0,97,0.0,154,4,0.5,2494.0214374011653,1683045741,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
113457,2494.0214374011653,3,0,98,0.0,155,4,0.5,2494.0214374011653,1683045742,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
116011,2494.0214374011653,3,0,99,0.0,156,4,0.5,2494.0214374011653,1683045743,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
118568,2494.0214374011653,3,0,100,0.0,157,4,0.5,2494.0214374011653,1683045744,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
121123,2494.0214374011653,3,0,101,0.0,158,4,0.5,2494.0214374011653,1683045745,0,0.0,4.0,828.82,0.0,842.23,0.0,4.0,0.0,4.0,0.0,0.0,822.97,,,,,,,
