03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_4_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
21711,3461.545856685824,4,21312,31,3.19,77,3,1.83,3461.545856685824,1683047139,0,4928.0,1140.44,1408.0,1103.42,5632.0,3.0,3.0,0.0,3.0,3.0,4960.0,0.0,286.99,1110.61,0.0,0.0,,,,,,,
25420,3486.0072071447375,4,24992,32,2.11,78,3,1.2,3486.0072071447375,1683047140,0,6272.0,1117.03,1696.0,1088.51,7040.0,3.0,3.0,0.0,3.0,3.0,6304.0,0.0,245.79,1010.21,0.0,0.0,,,,,,,
28944,3214.792043495228,4,28576,33,1.19,79,3,0.68,3214.792043495228,1683047141,0,7456.0,1082.93,1984.0,1120.68,8128.0,3.0,3.0,0.0,3.0,3.0,7424.0,0.0,249.58,1032.82,0.0,0.0,,,,,,,
33162,3566.053816930069,4,32768,34,0.0,80,3,0.5,3566.053816930069,1683047142,0,8608.0,1047.98,2304.0,878.54,9120.0,3.0,3.0,0.0,3.0,3.0,8544.0,0.0,255.05,1033.22,0.0,0.0,,,,,,,
662,3592.4829408061464,4,0,35,8.94,82,4,5.11,3592.4829408061464,1683047144,0,9984.0,1109.72,2624.0,1016.54,10272.0,3.0,3.0,0.0,3.0,3.0,9888.0,0.0,258.07,1181.72,0.0,0.0,,,,,,,
4963,3592.4829408061464,4,0,36,7.74,83,4,4.42,3592.4829408061464,1683047145,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,9.634325463324785,2.0,132576.0,32768.0,1.0,3401.17220709833,1.0
9307,3592.4829408061464,4,0,37,6.53,84,4,3.73,3592.4829408061464,1683047146,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
13650,3592.4829408061464,4,0,38,5.32,85,4,3.04,3592.4829408061464,1683047147,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
17979,3592.4829408061464,4,0,39,4.12,86,4,2.35,3592.4829408061464,1683047148,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
32473,3592.4829408061464,4,0,40,0.08,90,4,0.5,3592.4829408061464,1683047152,0,0.0,1115.21,0.0,1035.45,0.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,260.1,1181.72,0.0,0.0,,,,,,,
