process/memory/resident_set_size_proc_MB,process/memory/text_resident_set_proc_MB,cpu/interrupts/soft_interrupts_count,cpu/load/avg_sys_load_one_min_percent,bandwidth/disk_write_sys_bandwidth_MBs,process/memory/virtual_memory_size_proc_MB,memory/used_memory_sys_MB,bandwidth/disk_read_sys_bandwidth_MBs,01_general/minibatch_loss,02_timing/dataload_time_s,02_timing/opt_step_time_s,disk/time/disk_read_time_sys_s,disk/counter/disk_write_sys_count,02_timing/dataload_cuda_move_time_s,_runtime,02_timing/step_time_s,disk/time/disk_busy_time_sys_s,memory/available_memory_sys_MB,01_general/dataset_iteration_count,process/memory/dirty_pages_proc_count,process/memory/data_resident_set_proc_MB,02_timing/forward_time_s,memory/total_memory_sys_MB,03_hivemind/global_epoch,disk/counter/disk_read_sys_count,01_general/locally_processed_samples,cpu/load/avg_sys_load_fifteen_min_percent,_step,01_general/lr,cpu/interrupts/interrupts_count,disk/time/disk_write_time_sys_s,process/voluntary_proc_ctx_switches,_timestamp,01_general/step,02_timing/loss_calc_time_s,process/memory/lib_memory_proc_MB,process/memory/shared_memory_proc_MB,process/involuntary_proc_ctx_switches,cpu/logical_core_count,02_timing/backward_time_s,cpu/interrupts/ctx_switches_count,bandwidth/net_recv_sys_bandwidth_Mbits,bandwidth/net_sent_sys_bandwidth_Mbits,cpu/load/avg_sys_load_five_min_percent,03_hivemind/num_peers,memory/used_memory_sys_percent
6601.547776,2.654208,400389.0,15.875,0.08580108325195486,28888.010752,9268.158464,0.0,,,,0.0,803.0,0.006836155998826143,212,,2.2920000000000016,20124.491776,,0.0,0.0,0.024502360000042245,,,0.0,,4.75,409,,1335940.0,0.7039999999997235,4070.0,1681082537.0,,0.0007789430001139408,5197.770752,2364.98944,380.0,,0.3582234850000532,923048.0,34.102938087826615,1.0001268566720316,8.75,,36.2
,,,,,,,,7.36669921875,0.003956266000386677,0.11001332900013949,,,,213,0.5043105389995617,,,0.0,,,,,1.0,,6336.0,,410,0.0001,,,,1681082538.0,197.0,,,,,,,,,,,8.0,
6601.50272,2.654208,401714.0,15.625,0.008172713479881306,28888.010752,9268.28544,0.0,,,0.10910469199916406,0.0,805.0,0.006889915999636287,213,,2.304000000000002,20124.360704,,0.0,0.0,0.02639225799975975,,,0.0,,4.75,411,,1338145.0,0.7049999999999272,4085.0,1681082538.0,,0.0005978209992463235,5197.770752,2364.944384,380.0,,0.3604645970008278,924895.0,31.949523371061634,0.8500659572976594,8.875,,36.2
,,,,,,,,7.2542724609375,0.004363071000625496,,,,,214,0.5078123549992597,,,0.0,,,,,1.0,,6368.0,,412,0.0001,,,,1681082539.0,198.0,,,,,,,,,,,8.0,
6601.547776,2.654208,403040.0,15.625,0.008172507431140329,28888.010752,9268.277248,0.0,,,0.10771519199988688,0.0,807.0,0.006769212001017877,214,,2.3160000000000025,20124.3648,,0.0,0.0,0.025676724000732065,,,0.0,,4.75,413,,1340571.0,0.7069999999994252,4099.0,1681082539.0,,0.0008519410002918448,5197.770752,2364.98944,381.0,,0.35841181300020253,927128.0,26.7746746667765,1.2696916084440204,8.875,,36.2
,,,,,,,,7.3311767578125,0.004361580000477261,,,,,214,0.5037864620026085,,,0.0,,,,,1.0,,6400.0,,414,0.0001,,,,1681082539.0,199.0,,,,,,,,,,,8.0,
6601.50272,2.654208,404774.0,15.625,0.008172631838875843,28888.010752,9272.696832,0.0,,,0.10920667100072023,0.0,809.0,0.006844900000942289,215,,2.323999999999984,20119.945216,,0.0,0.0,0.026607791000060388,,,0.0,,4.75,415,,1343533.0,0.7079999999996289,4113.0,1681082540.0,,0.0008176669998647412,5197.770752,2364.944384,382.0,,0.35757047299921396,929613.0,56.28277653550421,1.2013688990738343,8.875,,36.2
,,,,,,,,7.1494140625,0.005236584000158473,,,,,215,0.5062840860009601,,,0.0,,,,,1.0,,6432.0,,416,0.0001,,,,1681082540.0,200.0,,,,,,,,,,,8.0,
,,,,,,,,7.0867919921875,0.004341210998973111,0.10834622800030047,,,0.006653321999692707,216,0.5071341319999192,,,0.0,,,0.02565975500147033,,1.0,,6464.0,,417,0.0001,,,,1681082541.0,201.0,0.0007645360001333756,,,,,0.3613690799993492,,,,,8.0,
6588.526592,2.654208,406095.0,15.625,0.03677770054776754,28888.010752,9274.937344,0.0,,,,0.0,815.0,,216,,2.3400000000000034,20136.845312,,0.0,0.0,,,,0.0,,4.75,418,,1345888.0,0.7119999999995343,4128.0,1681082541.0,,,5197.770752,2351.968256,385.0,,,931715.0,31.553798517758942,0.9207514423057769,8.875,,36.2
,,,,,,,,7.3922119140625,0.004508971000177553,0.10950579600103083,,,0.0069583369986503385,217,0.5063652119988546,,,0.0,,,0.02502732900029514,,1.0,,6496.0,,419,0.0001,,,,1681082542.0,202.0,0.0008125559998006793,,,,,0.3595522229989001,,,,,8.0,
6601.547776,2.654208,407466.0,15.625,0.053115752123183674,28888.010752,9272.36096,0.0,,,,0.0,819.0,0.0068897759992978536,217,,2.3519999999999754,20139.413504,,0.0,0.0,0.025495465999483713,,,0.0,,4.75,420,,1348292.0,0.7150000000001455,4145.0,1681082542.0,,0.0006583750000572763,5197.770752,2364.98944,386.0,,,933737.0,43.23425911593287,0.958732941737348,8.875,,36.2
,,,,,,,,7.42578125,0.003855254000882269,0.10824481900090177,,,,218,0.5011269149999862,,,0.0,,,,,1.0,,6528.0,,421,0.0001,,,,1681082543.0,203.0,,,,,,0.3559832249993633,,,,,8.0,
6601.50272,2.654208,408941.0,15.375,0.008172695988094492,28888.010752,9273.872384,0.0,,,,0.0,821.0,0.006797775999075384,218,,2.359999999999985,20118.77376,,0.0,0.0,0.024393621999479365,,,0.0,,4.875,422,,1350553.0,0.7169999999996435,4158.0,1681082543.0,,0.0006134320010460215,5197.770752,2364.944384,390.0,,,935470.0,43.35604047472247,1.009096501070779,8.875,,36.2
,,,,,,,,7.0179443359375,0.004374139998617466,0.10852483500093513,,,,219,0.5037803049999638,,,0.0,,,,,1.0,,6560.0,,423,0.0001,,,,1681082544.0,204.0,,,,,,0.3590765000008105,,,,,8.0,
6601.547776,2.654208,410216.0,15.375,0.008172353870564896,28888.010752,9274.42944,0.0,,,,0.0,823.0,0.00676483799907146,219,,2.3719999999999857,20118.2208,,0.0,0.0,0.02638840400140907,,,0.0,,4.875,424,,1352701.0,0.7179999999998472,4169.0,1681082544.0,,0.0008010760011529783,5197.770752,2364.98944,390.0,,,937256.0,32.90555189130053,1.1364120942524496,8.875,,36.2
,,,,,,,,7.31201171875,0.004510135000600712,0.1090906499994162,,,,220,0.5069833560028201,,,0.0,,,,,1.0,,6592.0,,425,0.0001,,,,1681082545.0,205.0,,,,,,0.35942825300116965,,,,,8.0,
6601.50272,2.654208,411491.0,15.375,0.00817314894548543,28888.010752,9276.526592,0.0,,,,0.0,825.0,0.006731416000548052,220,,2.3799999999999955,20116.123648,,0.0,0.0,0.024180790000173147,,,0.0,,4.875,426,,1354779.0,0.7199999999993452,4186.0,1681082545.0,,0.000619247000940959,5197.770752,2364.944384,391.0,,0.3578099160004058,938938.0,29.230197679199062,1.007739687377971,8.875,,36.3
,,,,,,,,7.17822265625,0.00438985399887315,0.10904950199983432,,,,221,0.5027807250007754,,,0.0,,,,,1.0,,6624.0,,427,0.0001,,,,1681082546.0,206.0,,,,,,,,,,,8.0,
6601.547776,2.654208,412790.0,15.375,0.008172013725282855,28888.010752,9277.427712,0.0,,,0.10907240500091575,0.0,827.0,0.006835926000348991,221,,2.391999999999996,20115.218432,,0.0,0.0,0.024870188000932103,,,0.0,,4.875,428,,1356970.0,0.7209999999995489,4199.0,1681082546.0,,0.0007826780001778388,5197.770752,2364.98944,391.0,,0.36181712100005825,940817.0,30.893180616621937,0.891515622231662,8.875,,36.3
,,,,,,,,7.0689697265625,0.004446782999366405,,,,,222,0.5078251010017993,,,0.0,,,,,1.0,,6656.0,,429,0.0001,,,,1681082547.0,207.0,,,,,,,,,,,8.0,
6601.50272,2.654208,414155.0,15.375,0.05311781127281562,28888.010752,9277.448192,0.0,,,0.10967814099967654,0.0,833.0,0.007058318000417785,222,,2.4119999999999777,20115.193856,,0.0,0.0,0.025114583000686252,,,0.0,,4.875,430,,1359194.0,0.725999999999658,4209.0,1681082547.0,,0.0007774940004310338,5197.770752,2364.944384,394.0,,0.35779268800069985,942554.0,33.4631676836826,1.0836959230545589,8.875,,36.3
,,,,,,,,6.8990478515625,0.004674978999901214,,,,,222,0.5050962030018127,,,0.0,,,,,1.0,,6688.0,,431,0.0001,,,,1681082547.0,208.0,,,,,,,,,,,8.0,
6601.547776,2.654208,415439.0,16.125,0.008172287782979567,28888.014848,9276.792832,0.0,,,0.1089588470003946,0.0,835.0,0.006730170998707763,223,,2.423999999999978,20115.853312,,0.0,0.0,0.023781428000802407,,,0.0,,4.875,432,,1361391.0,0.7269999999998618,4219.0,1681082548.0,,0.000800820000222302,5197.770752,2364.98944,396.0,,0.36031050300152856,944425.0,29.489109885296187,0.9042109701161047,9.125,,36.3
,,,,,,,,7.2955322265625,0.004308831999878748,,,,,223,0.5048906010015344,,,0.0,,,,,1.0,,6720.0,,433,0.0001,,,,1681082548.0,209.0,,,,,,,,,,,8.0,
,,,,,,,,7.23876953125,0.004181771999355988,0.10909455900036846,,,0.006833616000221809,224,0.507951908000905,,,0.0,,,0.024377219000598416,,1.0,,6752.0,,434,0.0001,,,,1681082549.0,210.0,0.0006319210006040521,,,,,0.3628328209997562,,,,,8.0,
6601.54368,2.654208,417049.0,16.125,0.01226278621569185,28888.010752,9279.361024,0.0,,,,0.0,838.0,0.006784082001104252,224,,2.4359999999999786,20132.560896,,0.0,0.0,0.02493269099977624,,,0.0,,4.875,435,,1364042.0,0.7299999999995634,4238.0,1681082549.0,,0.0006690379996143747,5197.770752,2364.985344,399.0,,,946706.0,38.05174497662887,1.221959502398118,9.125,,36.2
,,,,,,,,7.4130859375,0.00426631099981023,0.10890689799998654,,,,225,0.5035124530004396,,,0.0,,,,,1.0,,6784.0,,436,0.0001,,,,1681082550.0,211.0,,,,,,0.3579534330001479,,,,,8.0,
6601.498624,2.654208,419915.0,16.125,0.07764334513917837,28888.010752,9299.881984,0.0,,,,0.0,843.0,0.006684720001430833,225,,2.451999999999998,20111.900672,,0.0,0.0,0.024383043999478105,,,0.0,,4.875,437,,1369465.0,0.7339999999994689,4256.0,1681082550.0,,0.0008137410004565027,5197.770752,2364.940288,401.0,,,951711.0,126.07209665957095,1.5609281464705338,9.125,,36.3
,,,,,,,,6.8846435546875,0.0045419699999911245,0.10894914100026654,,,,226,0.5030854830019962,,,0.0,,,,,1.0,,6816.0,,438,0.0001,,,,1681082551.0,212.0,,,,,,0.3577128670003731,,,,,8.0,
6601.54368,2.654208,421406.0,16.125,0.008178929093144272,28888.010752,9287.86432,0.0,,,,0.0,845.0,0.006758792000255198,226,,2.4599999999999795,20104.925184,,0.0,0.0,0.02576823900017189,,,0.0,,4.875,439,,1372283.0,0.7359999999998763,4268.0,1681082551.0,,0.0007936029996926663,5197.770752,2364.985344,402.0,,,953978.0,55.24343437726936,0.8289632175192795,9.125,,36.3
,,,,,,,,7.14501953125,0.00489845999982208,0.10859209000045666,,,,227,0.5047246239992091,,,0.0,,,,,1.0,,6848.0,,440,0.0001,,,,1681082552.0,213.0,,,,,,0.35791343999881065,,,,,8.0,
6601.498624,2.654208,422677.0,16.125,0.00817244911631813,28888.010752,9288.11008,0.0,,,,0.0,847.0,0.006664156999249826,227,,2.47199999999998,20104.531968,,0.0,0.0,0.02413794099993538,,,0.0,,4.875,441,,1374367.0,0.73700000000008,4279.0,1681082552.0,,0.0006436370003939373,5197.770752,2364.940288,404.0,,,955651.0,40.14707646922692,0.8128314697728665,9.125,,36.3
,,,,,,,,7.241943359375,0.004490014000111842,0.10941166500015242,,,,228,0.5078478300001734,,,0.0,,,,,1.0,,6880.0,,442,0.0001,,,,1681082553.0,214.0,,,,,,0.36250041600033,,,,,8.0,
6601.54368,2.654208,424238.0,15.875,0.008171955413877005,28888.010752,9288.077312,0.0,,,0.10827396499917086,0.0,849.0,0.006779106999601936,228,,2.4799999999999898,20104.56064,,0.0,0.0,0.02392870899893751,,,0.0,,5.0,443,,1376910.0,0.738999999999578,4298.0,1681082553.0,,0.0006741959987266455,5197.770752,2364.985344,409.0,,0.35995122299937066,957725.0,45.07336178911095,0.9709464137499288,9.25,,36.3
,,,,,,,,7.2978515625,0.004476432999581448,,,,,229,0.504083632995389,,,0.0,,,,,1.0,,6912.0,,444,0.0001,,,,1681082554.0,215.0,,,,,,,,,,,8.0,
6601.498624,2.654208,425421.0,15.875,0.008173110066370805,28888.010752,9288.011776,0.0,,,0.10981329499918502,0.0,851.0,0.006815542999902391,229,,2.4879999999999995,20104.626176,,0.0,0.0,0.031066895000549266,,,0.0,,5.0,445,,1378948.0,0.7399999999997817,4311.0,1681082554.0,,0.0007676050008740276,5197.770752,2364.940288,409.0,,0.35375591900083236,959417.0,27.08323641952516,1.0541476227054802,9.25,,36.3
,,,,,,,,7.2255859375,0.005159309999726247,,,,,230,0.5073785670010693,,,0.0,,,,,1.0,,6944.0,,446,0.0001,,,,1681082555.0,216.0,,,,,,,,,,,8.0,
6601.54368,2.654208,426678.0,15.875,0.04086397564162546,28888.010752,9286.463488,0.0,,,0.1089600369996333,0.0,855.0,0.006771381998987636,230,,2.5039999999999907,20106.166272,,0.0,0.0,0.02494834899880516,,,0.0,,5.0,447,,1381053.0,0.7429999999994834,4321.0,1681082555.0,,0.000583230001211632,5197.770752,2364.985344,413.0,,0.35795856100048695,961163.0,33.013590897379956,1.0157890445548372,9.25,,36.3
