04_peers/peer_4_epoch,03_hivemind/next_fetch_time_s,03_hivemind/estimated_current_samples,03_hivemind/epoch_s,03_hivemind/overshot_TBS,04_peers/peer_3_epoch_oos,04_peers/peer_6_epoch_oos,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,04_peers/peer_2_epoch,04_peers/peer_2_samples_per_second,04_peers/peer_3_epoch,04_peers/peer_9_epoch_oos,04_peers/peer_4_samples_per_second,04_peers/peer_3_samples_accumulated,04_peers/peer_5_samples_accumulated,_runtime,03_hivemind/global_samples_accumulated,03_hivemind/eta_next_epoch_s,04_peers/peer_8_epoch,04_peers/peer_8_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_7_samples_accumulated,_timestamp,03_hivemind/num_clients,04_peers/peer_2_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_5_epoch_oos,04_peers/peer_7_epoch,04_peers/peer_8_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_6_samples_accumulated,_step,04_peers/peer_9_epoch,03_hivemind/undershot_TBS,04_peers/peer_9_samples_accumulated,04_peers/peer_1_samples_per_second,04_peers/peer_7_samples_per_second,03_hivemind/global_epoch,03_hivemind/reached_TBS,04_peers/peer_6_epoch,04_peers/peer_7_epoch_oos,04_peers/peer_8_samples_accumulated,04_peers/peer_5_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_6_samples_per_second,03_hivemind/actual_total_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_4_epoch_oos,03_hivemind/num_peers,04_peers/peer_5_samples_per_second,04_peers/peer_9_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/per_epoch_training_samples,04_peers/peer_1_epoch
1.0,0.5,41464,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,238,32960,0.0,1.0,117.83,3488.0,5696.0,1681382091.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,130,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,43152,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,239,32960,0.0,1.0,117.83,3488.0,5696.0,1681382092.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,131,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,44842,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,241,32960,0.0,1.0,117.83,3488.0,5696.0,1681382094.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,132,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,46533,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,242,32960,0.0,1.0,117.83,3488.0,5696.0,1681382095.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,133,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,48216,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,244,32960,0.0,1.0,117.83,3488.0,5696.0,1681382097.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,134,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,49894,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,245,32960,0.0,1.0,117.83,3488.0,5696.0,1681382098.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,135,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,51582,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,246,32960,0.0,1.0,117.83,3488.0,5696.0,1681382099.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,136,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,53270,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,248,32960,0.0,1.0,117.83,3488.0,5696.0,1681382101.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,137,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,54952,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,249,32960,0.0,1.0,117.83,3488.0,5696.0,1681382102.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,138,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,56637,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,251,32960,0.0,1.0,117.83,3488.0,5696.0,1681382104.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,139,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,58325,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,252,32960,0.0,1.0,117.83,3488.0,5696.0,1681382105.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,140,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,60024,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,253,32960,0.0,1.0,117.83,3488.0,5696.0,1681382106.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,141,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,61716,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,255,32960,0.0,1.0,117.83,3488.0,5696.0,1681382108.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,142,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
1.0,0.5,63401,,,0.0,0.0,,,1.0,123.2,1.0,0.0,122.25,3424.0,3328.0,256,32960,0.0,1.0,117.83,3488.0,5696.0,1681382109.0,0,3488.0,1214.7167395145202,0.0,1.0,0.0,120.4,3488.0,143,1.0,,3392.0,116.9,252.93,1,,1.0,0.0,3328.0,1.0,0.0,122.57,1214.7167395145202,0.0,0.0,9,119.42,119.22,3328.0,,1.0
