04_peers/peer_3_samples_accumulated,04_peers/peer_3_samples_per_second,04_peers/peer_9_samples_per_second,04_peers/peer_7_samples_accumulated,03_hivemind/actual_total_samples_per_second,04_peers/peer_4_epoch,04_peers/peer_1_epoch_oos,04_peers/peer_8_epoch_oos,03_hivemind/global_samples_accumulated,04_peers/peer_9_samples_accumulated,04_peers/peer_5_epoch,04_peers/peer_6_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/num_peers,03_hivemind/num_clients,03_hivemind/total_training_samples,04_peers/peer_8_samples_per_second,04_peers/peer_8_samples_accumulated,04_peers/peer_9_epoch,04_peers/peer_6_samples_per_second,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_1_samples_per_second,04_peers/peer_6_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_6_epoch,04_peers/peer_7_epoch,03_hivemind/global_epoch,04_peers/peer_4_samples_per_second,04_peers/peer_5_samples_per_second,03_hivemind/epoch_s,03_hivemind/estimated_current_samples,04_peers/peer_4_samples_accumulated,04_peers/peer_3_epoch,04_peers/peer_5_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_2_epoch,04_peers/peer_8_epoch,04_peers/peer_4_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_1_samples_accumulated,04_peers/peer_5_samples_accumulated,04_peers/peer_3_epoch_oos,03_hivemind/reached_TBS,03_hivemind/overshot_TBS,04_peers/peer_9_epoch_oos,_step,04_peers/peer_2_epoch_oos,03_hivemind/epoch_based_sps,03_hivemind/per_epoch_training_samples,_runtime,03_hivemind/undershot_TBS,04_peers/peer_7_epoch_oos,04_peers/peer_7_samples_per_second,04_peers/peer_2_samples_accumulated,_timestamp
544.0,137.76,6.21,96.0,2012.0277544501894,0.0,0.0,0.0,33568,32.0,0.0,0.0,0.0,9,0,,6.26,32.0,0.0,31.64,2012.0277544501894,241.2,160.0,0.0,0.0,0.0,0,70.53,46.99,,86076,320.0,0.0,0.0,1453.23,0.0,0.0,0.0,0.5,9632.0,224.0,0.0,,,0.0,34,0.0,,,115,,0.0,18.21,22528.0,1681394567.0
544.0,137.76,6.21,96.0,2012.0277544501894,0.0,0.0,0.0,33568,32.0,0.0,0.0,0.0,9,0,,6.26,32.0,0.0,31.64,2012.0277544501894,241.2,160.0,0.0,0.0,0.0,0,70.53,46.99,,88947,320.0,0.0,0.0,1453.23,0.0,0.0,0.0,0.5,9632.0,224.0,0.0,,,0.0,35,0.0,,,117,,0.0,18.21,22528.0,1681394569.0
544.0,137.76,6.21,96.0,2012.0277544501894,0.0,0.0,0.0,33568,32.0,0.0,0.0,0.0,9,0,,6.26,32.0,0.0,31.64,2012.0277544501894,241.2,160.0,0.0,0.0,0.0,0,70.53,46.99,,91788,320.0,0.0,0.0,1453.23,0.0,0.0,0.0,0.5,9632.0,224.0,0.0,,,0.0,36,0.0,,,118,,0.0,18.21,22528.0,1681394570.0
544.0,137.76,6.21,96.0,2012.0277544501894,0.0,0.0,0.0,33568,32.0,0.0,0.0,0.0,9,0,,6.26,32.0,0.0,31.64,2012.0277544501894,241.2,160.0,0.0,0.0,0.0,0,70.53,46.99,,94616,320.0,0.0,0.0,1453.23,0.0,0.0,0.0,0.5,9632.0,224.0,0.0,,,0.0,37,0.0,,,120,,0.0,18.21,22528.0,1681394572.0
544.0,137.76,6.21,96.0,2012.0277544501894,0.0,0.0,0.0,33568,32.0,0.0,0.0,0.0,9,0,,6.26,32.0,0.0,31.64,2012.0277544501894,241.2,160.0,0.0,0.0,0.0,0,70.53,46.99,,97444,320.0,0.0,0.0,1453.23,0.0,0.0,0.0,0.5,9632.0,224.0,0.0,,,0.0,38,0.0,,,121,,0.0,18.21,22528.0,1681394573.0
544.0,137.76,6.21,96.0,2012.0277544501894,0.0,0.0,0.0,33568,32.0,0.0,0.0,0.0,9,0,,6.26,32.0,0.0,31.64,2012.0277544501894,241.2,160.0,0.0,0.0,0.0,0,70.53,46.99,,100269,320.0,0.0,0.0,1453.23,0.0,0.0,0.0,0.5,9632.0,224.0,0.0,,,0.0,39,0.0,,,122,,0.0,18.21,22528.0,1681394574.0
544.0,137.76,6.21,96.0,2012.0277544501894,0.0,0.0,0.0,33568,32.0,0.0,0.0,0.0,9,0,,6.26,32.0,0.0,31.64,2012.0277544501894,241.2,160.0,0.0,0.0,0.0,0,70.53,46.99,,103102,320.0,0.0,0.0,1453.23,0.0,0.0,0.0,0.5,9632.0,224.0,0.0,,,0.0,40,0.0,,,124,,0.0,18.21,22528.0,1681394576.0
544.0,137.76,6.21,96.0,2012.0277544501894,0.0,0.0,0.0,33568,32.0,0.0,0.0,0.0,9,0,,6.26,32.0,0.0,31.64,2012.0277544501894,241.2,160.0,0.0,0.0,0.0,0,70.53,46.99,,105939,320.0,0.0,0.0,1453.23,0.0,0.0,0.0,0.5,9632.0,224.0,0.0,,,0.0,41,0.0,,,125,,0.0,18.21,22528.0,1681394577.0
544.0,137.76,6.21,96.0,2012.0277544501894,0.0,0.0,0.0,33568,32.0,0.0,0.0,0.0,9,0,,6.26,32.0,0.0,31.64,2012.0277544501894,241.2,160.0,0.0,0.0,0.0,0,70.53,46.99,,108776,320.0,0.0,0.0,1453.23,0.0,0.0,0.0,0.5,9632.0,224.0,0.0,,,0.0,42,0.0,,,127,,0.0,18.21,22528.0,1681394579.0
544.0,137.76,6.21,96.0,2012.0277544501894,0.0,0.0,0.0,33568,32.0,0.0,0.0,0.0,9,0,,6.26,32.0,0.0,31.64,2012.0277544501894,241.2,160.0,0.0,0.0,0.0,0,70.53,46.99,,111610,320.0,0.0,0.0,1453.23,0.0,0.0,0.0,0.5,9632.0,224.0,0.0,,,0.0,43,0.0,,,128,,0.0,18.21,22528.0,1681394580.0
