disk/counter/disk_write_sys_count,02_timing/dataload_cuda_move_time_s,_timestamp,03_hivemind/global_epoch,02_timing/opt_step_time_s,disk/time/disk_busy_time_sys_s,disk/time/disk_read_time_sys_s,memory/available_memory_sys_MB,process/memory/dirty_pages_proc_count,bandwidth/disk_write_sys_bandwidth_MBs,cpu/load/avg_sys_load_five_min_percent,02_timing/dataload_time_s,01_general/locally_processed_samples,01_general/step,cpu/logical_core_count,memory/total_memory_sys_MB,cpu/interrupts/interrupts_count,process/memory/virtual_memory_size_proc_MB,02_timing/step_time_s,memory/used_memory_sys_MB,process/memory/shared_memory_proc_MB,cpu/load/avg_sys_load_one_min_percent,bandwidth/net_recv_sys_bandwidth_Mbits,process/memory/text_resident_set_proc_MB,02_timing/forward_time_s,disk/counter/disk_read_sys_count,cpu/interrupts/ctx_switches_count,process/memory/resident_set_size_proc_MB,bandwidth/net_sent_sys_bandwidth_Mbits,_runtime,01_general/minibatch_loss,memory/used_memory_sys_percent,disk/time/disk_write_time_sys_s,01_general/dataset_iteration_count,bandwidth/disk_read_sys_bandwidth_MBs,03_hivemind/num_peers,02_timing/backward_time_s,process/memory/lib_memory_proc_MB,process/voluntary_proc_ctx_switches,process/involuntary_proc_ctx_switches,_step,01_general/lr,02_timing/loss_calc_time_s,cpu/interrupts/soft_interrupts_count,process/memory/data_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent
391.0,0.0030741100003979227,1681395461.0,,0.03992515700019794,0.715999999999994,0.0009999999999998899,199807.758336,0.0,0.07765581347614106,1.1333333333333333,,,,,,1177493.0,31890.702336,,7822.80704,2453.446656,2.6,93.89902601786247,2.719744,0.016904646000057255,2.0,230960.0,6340.960256,2.5556809206458873,44,,5.3,0.20900000000000318,,0.0,,0.1435751449998861,6525.591552,2465.0,4926.0,147,,0.00039436499992007157,212779.0,0.0,1.2333333333333334
,,1681395461.0,0.0,,,,,,,,0.002504432000023371,3328.0,103.0,,,,,0.20637785500048267,,,,,,,,,,,44,7.24365234375,,,0.0,,9.0,,,,,148,0.0001,,,,
,0.003072299999985262,1681395461.0,0.0,0.039656058000218763,,,,,,,0.002733760999944934,3360.0,104.0,,,,,0.20527815500054203,,,,,,0.016828225000153907,,,,,44,7.2076416015625,,,0.0,,9.0,0.14259394800001246,,,,149,0.0001,0.00039386300022670184,,,
,0.003082035000261385,1681395462.0,0.0,0.03976068600013605,,,,,,,0.002690148999590747,3392.0,105.0,,,,,0.20523910000019896,,,,,,0.01697625299993888,,,,,45,6.8919677734375,,,0.0,,9.0,0.14230650600029549,,,,150,0.0001,0.00042347099997641635,,,
402.0,0.00306387899991023,1681395462.0,,0.039785659999779455,0.7399999999999949,0.0009999999999998899,199806.902272,0.0,0.07356968053761885,1.1666666666666665,,,,,,1181885.0,31890.702336,,7823.29856,2453.446656,2.666666666666667,85.45940625524254,2.719744,0.016956342999947083,2.0,237619.0,6340.960256,2.490017566626955,45,,5.3,0.21300000000002228,,0.0,,0.1441393289996995,6525.591552,2512.0,4945.0,151,,0.00040401299975201255,217198.0,0.0,1.2666666666666666
,,1681395462.0,0.0,,,,,,,,0.0027489279996188998,3424.0,106.0,,,,,0.20709815199870718,,,,,,,,,,,45,6.9700927734375,,,0.0,,9.0,,,,,152,0.0001,,,,
,0.003083394999976008,1681395463.0,0.0,0.03980170899967561,,,,,,,0.0027866600003108033,3456.0,107.0,,,,,0.2071695880003972,,,,,,0.01682786900028077,,,,,46,7.372802734375,,,0.0,,9.0,0.14427783200017075,,,,153,0.0001,0.0003921229999832576,,,
,0.0030914730000404234,1681395463.0,0.0,0.04008231399984652,,,,,,,0.0025782239999898593,3488.0,108.0,,,,,0.20696100399982242,,,,,,0.016817801999877702,,,,,46,7.2449951171875,,,0.0,,9.0,0.14400342299995827,,,,154,0.0001,0.00038776800010964507,,,
406.0,0.0030565809997824545,1681395463.0,,0.040020517999892036,0.7560000000000002,0.0009999999999998899,199790.83776,0.0,0.016348565087412788,1.1666666666666665,,,,,,1187008.0,31890.702336,,7840.19456,2453.446656,2.666666666666667,96.14779518230728,2.719744,0.01716138499978115,2.0,244561.0,6340.960256,2.406951021983955,46,,5.3,0.21399999999999864,,0.0,,0.14452294000011534,6525.591552,2555.0,4964.0,155,,0.00042061399972226354,222696.0,0.0,1.2666666666666666
,,1681395463.0,0.0,,,,,,,,0.0027380149999771675,3520.0,109.0,,,,,0.2079200529992704,,,,,,,,,,,46,6.9290771484375,,,0.0,,9.0,,,,,156,0.0001,,,,
,0.0031018090003271936,1681395464.0,0.0,0.03992748600012419,,,,,,,0.002469927999754873,3552.0,110.0,,,,,0.20649489800052834,,,,,,0.017102346000228863,,,,,47,7.1475830078125,,,0.0,,9.0,0.14346061100013685,,,,157,0.0001,0.00043271799995636684,,,
