03_hivemind/actual_total_samples_per_second,03_hivemind/num_clients,03_hivemind/overshot_TBS,03_hivemind/eta_next_epoch_s,04_peers/peer_4_samples_per_second,03_hivemind/epoch_s,03_hivemind/num_peers,03_hivemind/epoch_based_sps,04_peers/peer_4_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/undershot_TBS,04_peers/peer_1_samples_per_second,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_3_samples_accumulated,03_hivemind/per_epoch_training_samples,04_peers/peer_2_epoch,04_peers/peer_4_epoch,04_peers/peer_1_epoch_oos,03_hivemind/reached_TBS,04_peers/peer_2_samples_per_second,04_peers/peer_1_samples_accumulated,_step,_runtime,_timestamp,04_peers/peer_3_epoch,03_hivemind/global_epoch,04_peers/peer_3_epoch_oos,03_hivemind/global_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_1_epoch,04_peers/peer_4_epoch_oos,03_hivemind/next_fetch_time_s,03_hivemind/total_training_samples
1645.71579450586,0,,18.73,440.01,,4,,8384.0,1948,,472.86,376.04,8320.0,0.0,8224.0,,1.0,1.0,0.0,,503.4,7776.0,48,97,1680696581.0,1.0,2,0.0,1632,1645.71579450586,1.0,0.0,10.0,
1733.3736921297639,0,1.0,16.6,354.28,21.698658445850015,4,1507.1899528541967,352.0,3986,1.0,404.22,462.26,384.0,0.0,448.0,32704.0,2.0,2.0,0.0,0.0,424.95,448.0,49,99,1680696583.0,2.0,2,0.0,3648,1733.3736921297639,2.0,0.0,9.49,65568.0
1825.2813761857778,0,,14.6,399.19,,4,,832.0,6117,,351.19,479.43,992.0,0.0,960.0,,2.0,2.0,0.0,,503.57,864.0,50,100,1680696584.0,2.0,2,0.0,5664,1825.2813761857778,2.0,0.0,8.34,
1328.3977340584777,0,,19.28,487.17,,4,,1280.0,7159,,390.29,436.81,1504.0,0.0,1504.0,,2.0,2.0,0.0,,511.01,1376.0,51,101,1680696585.0,2.0,2,0.0,6976,1328.3977340584777,2.0,0.0,10.0,
1884.0042441689436,0,,12.28,324.14,,4,,1600.0,9624,,418.39,326.2,1696.0,0.0,1792.0,,2.0,2.0,0.0,,259.67,1888.0,52,102,1680696586.0,2.0,2,0.0,9216,1884.0042441689436,2.0,0.0,7.02,
1592.3310293151908,0,,13.66,452.09,,4,,2080.0,11021,,500.0,463.01,2336.0,0.0,2336.0,,2.0,2.0,0.0,,468.91,2464.0,53,103,1680696587.0,2.0,2,0.0,10816,1592.3310293151908,2.0,0.0,7.8,
1964.4135125709954,0,,9.82,379.24,,4,,2496.0,13485,,513.09,357.34,2624.0,0.0,2656.0,,2.0,2.0,0.0,,342.67,3040.0,54,105,1680696589.0,2.0,2,0.0,13216,1964.4135125709954,2.0,0.0,5.61,
1861.2368719752267,0,,9.15,514.38,,4,,3104.0,15734,,501.39,475.75,3232.0,0.0,3232.0,,2.0,2.0,0.0,,472.89,3648.0,55,106,1680696590.0,2.0,2,0.0,15392,1861.2368719752267,2.0,0.0,5.23,
1846.366234982234,0,,8.06,431.79,,4,,3616.0,17880,,508.05,450.86,3776.0,0.0,3744.0,,2.0,2.0,0.0,,470.54,4256.0,56,107,1680696591.0,2.0,2,0.0,17632,1846.366234982234,2.0,0.0,4.61,
1692.8100357922933,0,,7.55,490.75,,4,,4224.0,19988,,477.5,428.91,4320.0,0.0,4320.0,,2.0,2.0,0.0,,449.2,4768.0,57,108,1680696592.0,2.0,2,0.0,19680,1692.8100357922933,2.0,0.0,4.31,
1704.236488874004,0,,6.41,339.7,,4,,4640.0,21837,,444.1,447.11,4864.0,0.0,4832.0,,2.0,2.0,0.0,,461.89,5344.0,58,109,1680696593.0,2.0,2,0.0,21600,1704.236488874004,2.0,0.0,3.67,
1804.1457119794422,0,,4.84,471.21,,4,,5216.0,24034,,403.06,413.8,5312.0,0.0,5280.0,,2.0,2.0,0.0,,416.17,5792.0,59,111,1680696595.0,2.0,2,0.0,23744,1804.1457119794422,2.0,0.0,2.77,
1898.4428168767367,0,,3.44,461.24,,4,,5664.0,26228,,474.39,424.2,5856.0,0.0,5824.0,,2.0,2.0,0.0,,444.31,6400.0,60,112,1680696596.0,2.0,2,0.0,25920,1898.4428168767367,2.0,0.0,1.97,
1817.5645801034889,0,,2.4,463.89,,4,,6272.0,28405,,529.44,449.88,6336.0,0.0,6304.0,,2.0,2.0,0.0,,455.23,7008.0,61,113,1680696597.0,2.0,2,0.0,28128,1817.5645801034889,2.0,0.0,1.37,
2064.223109497649,0,,0.9,520.18,,4,,6880.0,30903,,434.31,383.0,6912.0,0.0,6816.0,,2.0,2.0,0.0,,480.08,7520.0,62,114,1680696598.0,2.0,2,0.0,30496,2064.223109497649,2.0,0.0,0.52,
1946.748157257942,0,,0.0,537.38,,4,,7520.0,33097,,512.76,512.75,7360.0,0.0,7456.0,,2.0,2.0,0.0,,501.32,8160.0,63,115,1680696599.0,2.0,2,0.0,32800,1946.748157257942,2.0,0.0,0.5,
1864.213391431461,0,,0.0,466.35,,4,,8000.0,35288,,506.8,462.57,8000.0,0.0,8032.0,,2.0,2.0,0.0,,511.04,8768.0,64,117,1680696601.0,2.0,2,0.0,32864,1864.213391431461,2.0,0.0,0.5,
1864.213391431461,0,,17.09,431.19,,4,,8032.0,901,,506.8,462.57,8032.0,0.0,8032.0,,2.0,2.0,0.0,,463.65,8768.0,65,118,1680696602.0,2.0,3,0.0,0,1864.213391431461,2.0,0.0,9.77,
1864.213391431461,0,2.0,15.89,431.19,20.46440893318504,4,1605.9100513139088,0.0,3147,1.0,506.8,462.57,0.0,0.0,0.0,32864.0,3.0,3.0,0.0,0.0,463.65,0.0,66,119,1680696603.0,3.0,3,0.0,0,1864.213391431461,3.0,0.0,9.08,98432.0
