_step,_runtime,cpu/logical_core_count,memory/total_memory_sys_MB,_timestamp,cpu/load/avg_sys_load_fifteen_min_percent,disk/time/disk_read_time_sys_s,disk/time/disk_busy_time_sys_s,memory/used_memory_sys_MB,bandwidth/disk_write_sys_bandwidth_MBs,cpu/interrupts/ctx_switches_count,bandwidth/net_sent_sys_bandwidth_Mbits,process/memory/shared_memory_proc_MB,disk/counter/disk_write_sys_count,process/memory/resident_set_size_proc_MB,disk/counter/disk_read_sys_count,process/memory/dirty_pages_proc_count,bandwidth/disk_read_sys_bandwidth_MBs,cpu/load/avg_sys_load_one_min_percent,cpu/interrupts/soft_interrupts_count,bandwidth/net_recv_sys_bandwidth_Mbits,memory/available_memory_sys_MB,process/memory/text_resident_set_proc_MB,process/voluntary_proc_ctx_switches,disk/time/disk_write_time_sys_s,process/memory/lib_memory_proc_MB,process/memory/data_resident_set_proc_MB,cpu/interrupts/interrupts_count,memory/used_memory_sys_percent,cpu/load/avg_sys_load_five_min_percent,process/memory/virtual_memory_size_proc_MB,process/involuntary_proc_ctx_switches,02_timing/dataload_cuda_move_time_s,02_timing/loss_calc_time_s,02_timing/forward_time_s,02_timing/backward_time_s,03_hivemind/num_peers,02_timing/opt_step_time_s,01_general/locally_processed_samples,01_general/minibatch_loss,02_timing/step_time_s,03_hivemind/global_epoch,01_general/lr,02_timing/dataload_time_s,01_general/dataset_iteration_count,01_general/step
24,23,,,1682817088,1.0,0.0,0.1280000000000001,5308.997632,0.0040876527918572185,73041.0,0.14241318442602943,1099.264,174.0,4238.934016,0.0,0.0,0.0,1.5000000000000002,56452.0,0.08269513197785251,203536.6912,2.719744,443.0,0.08299999999996999,5828.173824,0.0,347068.0,3.6,1.5333333333333334,21000.708096,284.0,,,,,,,,,,,,,,
25,24,,,1682817089,1.0,0.0,0.132000000000005,5308.993536,0.00408766056530125,73532.0,0.0660492497698692,1099.264,175.0,4238.934016,0.0,0.0,0.0,1.3666666666666665,56616.0,0.008806034392568204,203536.6912,2.719744,443.0,0.08399999999994634,5828.173824,0.0,347364.0,3.6,1.5333333333333334,21000.708096,284.0,,,,,,,,,,,,,,
26,25,,,1682817090,1.0,0.0,0.14400000000000546,5309.247488,0.11444172528880747,75372.0,0.3915972958968812,1099.264,190.0,4238.934016,0.0,0.0,0.0,1.3666666666666665,57748.0,0.3486577004444755,203536.437248,2.719744,443.0,0.08799999999996544,5828.173824,0.0,348832.0,3.6,1.5333333333333334,21000.708096,284.0,,,,,,,,,,,,,,
27,26,,,1682817091,1.0,0.0,0.15200000000000102,5589.405696,0.057223000000024164,204490.0,724.256039705531,1099.264,193.0,4238.934016,0.0,0.0,0.0,1.3666666666666665,88446.0,659.0565622420661,203256.291328,2.719744,443.0,0.09000000000003183,5828.173824,0.0,425569.0,3.7,1.5333333333333334,21000.708096,284.0,,,,,,,,,,,,,,
28,27,,,1682817092,1.0,0.0,0.1560000000000059,5592.354816,0.004086667792088974,237241.0,27.218324963906614,1099.264,194.0,4238.934016,0.0,0.0,0.0,1.3666666666666665,106013.0,80.65244823466702,203253.342208,2.719744,443.0,0.09000000000003183,5828.173824,0.0,449843.0,3.7,1.5333333333333334,21000.708096,284.0,,,,,,,,,,,,,,
29,28,,,1682817093,1.0,0.0,0.1600000000000108,5594.927104,0.004086970150298438,263449.0,34.665608937925036,1099.264,195.0,4238.934016,0.0,0.0,0.0,1.3666666666666665,121046.0,32.130817369713405,203250.76992,2.719744,443.0,0.09100000000000819,5828.173824,0.0,468935.0,3.7,1.5333333333333334,21000.708096,284.0,,,,,,,,,,,,,,
30,28,,,1682817093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,23.518135476000225,32.0,7.15869140625,25.94953172500027,1.0,0.0001,1.0186529140000857,0.0,0.0
31,28,,,1682817093,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002905816999827948,0.0002429339997433999,0.022858055000142485,0.02064834700013307,6.0,0.0024708340001780016,64.0,7.20263671875,0.05167858000004344,1.0,0.0001,0.0025525930000185326,0.0,1.0
32,28,,,1682817093,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0029976830001032795,0.0003057809999518213,0.02511182699981873,0.02390172600007645,6.0,0.002783491000172944,96.0,7.357177734375,0.058877015999769355,1.0,0.0001,0.003776507999646128,0.0,2.0
33,29,,,1682817094,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002512236000256962,0.00018391499997960636,0.018306437999854097,0.016666549000092346,6.0,0.027059320000262232,128.0,7.1307373046875,0.06714874300041629,1.0,0.0001,0.002420284999971045,0.0,3.0
34,29,,,1682817094,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002467783000156487,0.00019428099994911463,0.018329415999687626,0.0168462480000926,6.0,0.0015717659998699673,160.0,7.0794677734375,0.04182309499947223,1.0,0.0001,0.0024136009997164365,0.0,4.0
35,29,,,1682817094,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024397370002589014,0.00018434799994793138,0.018391932000213274,0.016534462999970856,6.0,0.0015382189999399998,192.0,7.1463623046875,0.042377165000289096,1.0,0.0001,0.0032884659999581345,0.0,5.0
36,29,,,1682817094,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024682779999238846,0.00021964899997328757,0.018485736999991786,0.016653009000037855,6.0,0.0015747649999866553,224.0,7.2679443359375,0.042480113999772584,1.0,0.0001,0.003078675999859115,0.0,6.0
37,29,,,1682817094,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024498089996995986,0.00019397200003368198,0.01828551999960837,0.016551113000332407,6.0,0.001557715999751963,256.0,7.1953125,0.041726813999503065,1.0,0.0001,0.0026886840000770462,0.0,7.0
38,29,,,1682817094,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024527990003662126,0.00018934799982162076,0.01897638900027232,0.01680023800008712,8.0,0.005848735999734345,288.0,7.083740234375,0.04689836500028832,1.0,0.0001,0.0026308550000067044,0.0,8.0
39,29,,,1682817094,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002512622999802261,0.00020598900027835043,0.0186332940002103,0.016798324000319553,8.0,0.001607388999673276,320.0,7.0640869140625,0.04215657800023109,1.0,0.0001,0.0023989589999473537,0.0,9.0
40,29,,,1682817094,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024296810001942504,0.00019394199989619665,0.018192902999999205,0.017450062000079924,8.0,0.0015869979997660266,352.0,7.076416015625,0.04279371299980994,1.0,0.0001,0.0029401269998743373,0.0,10.0
41,29,,,1682817094,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024454809999951976,0.0001828340000429307,0.018786340999668028,0.01702657800024099,8.0,0.0019019610003851994,384.0,7.1744384765625,0.04344465800068065,1.0,0.0001,0.0031014630003483035,0.0,11.0
42,29,,,1682817094,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024548129999857338,0.000506290999965131,0.01866245400015032,0.017884328999571153,8.0,0.0018324119996577792,416.0,7.18017578125,0.04437623399962831,1.0,0.0001,0.0030359350002981955,0.0,12.0
43,29,,,1682817094,1.0,0.0,0.21600000000000819,5722.74688,0.057199905961207255,331499.0,21.790738282069647,1097.670656,209.0,4239.192064,0.0,0.0,0.0,1.2666666666666666,158805.0,191.62622848361343,203181.932544,2.719744,737.0,0.09399999999993724,6084.542464,0.0,683098.0,3.7,1.5000000000000002,23189.180416,296.0,0.0024567760001446004,0.005940843999724166,0.01829472999997961,0.015673410999625048,,,,,,,,,,
44,29,,,1682817094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0037165290000302775,448.0,7.225341796875,0.04976937499986889,1.0,0.0001,0.0036870850003651867,0.0,13.0
45,29,,,1682817094,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025939910001397948,0.00017656499994700425,0.019129648000216548,0.015862282999933086,8.0,0.0016820579999148322,480.0,7.19970703125,0.04266782900003818,1.0,0.0001,0.0032232839998869167,0.0,14.0
46,29,,,1682817094,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00256323900021016,0.00022192599999470985,0.01814210800012006,0.01599680499975875,8.0,0.001581865999924048,512.0,7.074951171875,0.04298062799989566,1.0,0.0001,0.0044746839998879295,0.0,15.0
47,29,,,1682817094,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002406962999884854,0.00018834499996955856,0.01795462400014003,0.015740725999876304,8.0,0.0014897259998178924,544.0,7.1317138671875,0.04039614099974642,1.0,0.0001,0.0026157570000577834,0.0,16.0
48,29,,,1682817094,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0023159359998317086,0.00013669399959326256,0.01775380099979884,0.015335915999912686,8.0,0.0014889180001773639,576.0,7.019287109375,0.03998943399938071,1.0,0.0001,0.002958169000066846,0.0,17.0
49,29,,,1682817094,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002363396999953693,0.0001332399997409084,0.017795704000036494,0.015248731000156113,8.0,0.0014620100000684033,608.0,7.33740234375,0.03989936800007854,1.0,0.0001,0.0028962860001229274,0.0,18.0
50,29,,,1682817094,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024523810002392565,0.00018250299990540952,0.01804631499999232,0.015098652999768092,8.0,0.0014729569998053194,640.0,7.290771484375,0.03964889899998525,1.0,0.0001,0.002396090000274853,0.0,19.0
51,30,,,1682817095,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024927899999056535,0.00013144599961378844,0.017891678000069078,0.014919938000275579,8.0,0.0016304239998135017,672.0,7.0596923828125,0.03806423999958497,1.0,0.0001,0.0009979639999073697,0.0,20.0
52,30,,,1682817095,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002273042000069836,0.00012626999978238018,0.018246744999942166,0.01540793100002702,8.0,0.0015446729998984665,704.0,6.9404296875,0.03878413999973418,1.0,0.0001,0.0011854790000143112,0.0,21.0
53,30,,,1682817095,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002254670000183978,0.00018093800008500693,0.022271345000262954,0.015238910000334727,8.0,0.0015500849999625643,736.0,7.0419921875,0.04253173500046614,1.0,0.0001,0.0010357869996369118,0.0,22.0
54,30,,,1682817095,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002264197999920725,0.0001965000001291628,0.017887458999666705,0.015018460000192135,8.0,0.0015074969996931031,768.0,6.977294921875,0.037858355999560445,1.0,0.0001,0.0009842419999586127,0.0,23.0
55,30,,,1682817095,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00039853299995229463,0.000208670000120037,0.019282008000118367,0.015782173999923543,8.0,0.0015396059998238343,773.0,7.236718654632568,0.30832537900005264,1.0,0.0001,0.27111438800011456,0.0,24.0
56,30,,,1682817095,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007643150001968024,0.00018251100027555367,0.016836964000049193,0.016019979999782663,8.0,0.0016075090002232173,784.0,7.009232997894287,0.07490420400063158,1.0,0.0001,0.03949292500010415,0.0,25.0
57,30,,,1682817095,1.0,0.0,0.2680000000000007,5491.388416,0.15119102784091001,345295.0,7.730599012021106,1094.69696,230.0,4236.611584,0.0,0.0,0.0,1.2666666666666666,166484.0,7.538808915407076,203577.217024,2.719744,1047.0,0.10099999999999909,6084.902912,0.0,693429.0,3.6,1.5000000000000002,23212.163072,539.0,0.008566226999846549,,,,,,,,,,,,,
58,30,,,1682817095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00015417299982800614,0.018904403000306047,0.017192619000070408,8.0,0.001526658999864594,798.0,7.0594305992126465,0.047406830999989324,1.0,0.0001,0.00106275000007372,0.0,26.0
59,30,,,1682817095,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000814338000054704,0.00023775399995429325,0.018207071999768232,0.015931329000068217,8.0,0.00158395800008293,810.0,7.193685054779053,0.1032478189995345,1.0,0.0001,0.06647336799960613,0.0,27.0
60,30,,,1682817095,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0014046479996068229,0.00018292699996891315,0.018679182000141736,0.016011498999887408,8.0,0.0014987019999352924,829.0,7.197162628173828,0.06332538299966473,1.0,0.0001,0.025548425000124553,0.0,28.0
61,31,,,1682817096,1.0,0.0,0.2920000000000016,5196.189696,0.02859671577310185,357078.0,5.068225299101231,1098.48576,237.0,4240.781312,0.0,0.0,0.0,1.2666666666666666,174601.0,8.34973832898918,203908.214784,2.719744,1150.0,0.1029999999999518,6084.902912,0.0,709355.0,3.4,1.5000000000000002,23215.173632,675.0,,,,,,,,,,,,,,
62,32,,,1682817097,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024284109999825887,0.0002981930001624278,0.020608044999789854,0.01748328700023194,8.0,0.0019911839999622316,861.0,7.0634765625,1.1584297800000058,1.0,0.0001,1.1156206599998768,1.0,0.0
63,32,,,1682817097,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025888280001709063,0.0002594360003058682,0.019196572000055312,0.01667314999986047,8.0,0.0016274009999506234,893.0,7.158447265625,0.041682376000153454,1.0,0.0001,0.0013369889998102735,1.0,1.0
64,32,,,1682817097,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024375219995818043,0.0002624400003696792,0.018362812000304984,0.01698414700013018,8.0,0.0016392729999097355,925.0,7.3414306640625,0.04162642400024197,1.0,0.0001,0.0019402299999455863,1.0,2.0
65,32,,,1682817097,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024864029996933823,0.00022328500017465558,0.01940791300012279,0.01692412400007015,8.0,0.0016624790000605572,957.0,7.130615234375,0.04224924500022098,1.0,0.0001,0.0015450410000994452,1.0,3.0
66,32,,,1682817097,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025091140000768064,0.00020104099985474022,0.018329467000057775,0.01687641899980008,8.0,0.0016842280001583276,989.0,7.126220703125,0.042177882000032696,1.0,0.0001,0.002577613000084966,1.0,4.0
67,32,,,1682817097,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024533559999326826,0.0002629189998515358,0.018417388999750983,0.017125608999776887,8.0,0.0016607210000074701,1021.0,7.16748046875,0.04284640999912881,1.0,0.0001,0.002926415999809251,1.0,5.0
68,32,,,1682817097,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002532830999825819,0.00019923999980164808,0.01856768200013903,0.017003097999804595,8.0,0.0017038559999491554,1053.0,7.2608642578125,0.043018543999551184,1.0,0.0001,0.003011837000030937,1.0,6.0
69,32,,,1682817097,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025277119998463604,0.0003611930001170549,0.01848984400021436,0.01673283399986758,8.0,0.001660538000123779,1085.0,7.225830078125,0.042648321999877226,1.0,0.0001,0.0028762009997080895,1.0,7.0
70,32,,,1682817097,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025149779999082966,0.0002605839999887394,0.01825152000037633,0.016862107000179094,8.0,0.0016614520000075572,1117.0,7.0877685546875,0.042899206000583945,1.0,0.0001,0.0033485650001239264,1.0,8.0
71,32,,,1682817097,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024763999999777297,0.00021343699972931063,0.018450678999670345,0.016323668000040925,8.0,0.0016127539997796703,1149.0,7.093994140625,0.04176489999917976,1.0,0.0001,0.0026879619999817805,1.0,9.0
72,32,,,1682817097,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024176519996217394,0.00026098399985130527,0.018648911000127555,0.016506622999713727,8.0,0.0016068429999904765,1181.0,7.120849609375,0.04230953199930809,1.0,0.0001,0.002868519000003289,1.0,10.0
73,32,,,1682817097,1.0,0.0,0.3440000000000083,5551.702016,0.049021251075391396,380924.0,8.873987401571995,1106.06336,249.0,4248.469504,0.0,0.0,0.0,1.2666666666666666,206087.0,872.3944075427576,203320.79104,2.719744,1342.0,0.1069999999999709,6093.426688,0.0,737887.0,3.7,1.5000000000000002,23298.502656,723.0,0.0024682590001248172,,,,,,,,,,,,,
74,32,,,1682817097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00019161899990649545,0.01908765799998946,0.016362041999855137,8.0,0.001644341999963217,1213.0,7.150634765625,0.04230111799961378,1.0,0.0001,0.002547197999774653,1.0,11.0
75,32,,,1682817097,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024766659998931573,0.000190082000244729,0.018366265000167914,0.01632581100011521,8.0,0.001692915000148787,1245.0,7.204345703125,0.043013453000639856,1.0,0.0001,0.00396171400007006,1.0,12.0
