03_hivemind/num_clients,03_hivemind/undershot_TBS,04_peers/peer_5_samples_per_second,04_peers/peer_9_samples_per_second,04_peers/peer_1_samples_accumulated,_timestamp,04_peers/peer_2_samples_accumulated,04_peers/peer_3_epoch,04_peers/peer_9_epoch_oos,04_peers/peer_4_samples_accumulated,04_peers/peer_9_samples_accumulated,04_peers/peer_1_epoch,03_hivemind/epoch_based_sps,04_peers/peer_2_samples_per_second,04_peers/peer_6_samples_accumulated,04_peers/peer_4_epoch,04_peers/peer_4_epoch_oos,04_peers/peer_7_epoch_oos,03_hivemind/next_fetch_time_s,04_peers/peer_5_samples_accumulated,03_hivemind/reached_TBS,04_peers/peer_4_samples_per_second,04_peers/peer_6_samples_per_second,04_peers/peer_7_epoch,04_peers/peer_8_samples_per_second,04_peers/peer_3_samples_accumulated,_runtime,03_hivemind/global_epoch,04_peers/peer_8_epoch_oos,03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_8_epoch,03_hivemind/overshot_TBS,04_peers/peer_2_epoch_oos,04_peers/peer_5_epoch_oos,03_hivemind/global_samples_accumulated,03_hivemind/epoch_s,03_hivemind/total_training_samples,04_peers/peer_3_epoch_oos,03_hivemind/num_peers,04_peers/peer_5_epoch,04_peers/peer_1_epoch_oos,04_peers/peer_1_samples_per_second,04_peers/peer_3_samples_per_second,_step,04_peers/peer_7_samples_accumulated,04_peers/peer_7_samples_per_second,04_peers/peer_6_epoch_oos,03_hivemind/eta_next_epoch_s,04_peers/peer_2_epoch,04_peers/peer_9_epoch,03_hivemind/per_epoch_training_samples,03_hivemind/actual_total_samples_per_second,04_peers/peer_6_epoch,04_peers/peer_8_samples_accumulated
0,,95.39,,4768.0,1681394200.0,1984.0,0.0,,1984.0,,0.0,,93.32,1984.0,0.0,0.0,0.0,10.0,1984.0,,93.83,94.68,0.0,91.36,1984.0,92,0,0.0,18721,749.7654873527647,0.0,,0.0,0.0,18400,,,0.0,8,0.0,0.0,93.02,93.95,31,1344.0,92.71,0.0,18.74,0.0,,,749.7654873527647,0.0,1248.0
0,,95.62,,4896.0,1681394201.0,2144.0,0.0,,2112.0,,0.0,,93.44,2112.0,0.0,0.0,0.0,10.0,2144.0,,93.87,94.82,0.0,91.95,2144.0,93,0,0.0,19777,751.0444389691781,0.0,,0.0,0.0,19456,,,0.0,8,0.0,0.0,92.92,94.0,32,1472.0,93.15,0.0,17.3,0.0,,,751.0444389691781,0.0,1376.0
0,,95.65,,5024.0,1681394203.0,2272.0,0.0,,2240.0,,0.0,,93.46,2240.0,0.0,0.0,0.0,10.0,2272.0,,93.94,94.89,0.0,92.6,2272.0,95,0,0.0,20834,751.7130323296293,0.0,,0.0,0.0,20480,,,0.0,8,0.0,0.0,92.86,94.06,33,1600.0,93.58,0.0,15.88,0.0,,,751.7130323296293,0.0,1536.0
0,,95.62,,5152.0,1681394204.0,2400.0,0.0,,2368.0,,0.0,,93.42,2368.0,0.0,0.0,0.0,10.0,2400.0,,93.99,94.93,0.0,92.96,2400.0,96,0,0.0,21890,751.9483887118029,0.0,,0.0,0.0,21600,,,0.0,8,0.0,0.0,92.85,94.09,34,1728.0,93.84,0.0,14.47,0.0,,,751.9483887118029,0.0,1664.0
0,,95.59,,5280.0,1681394206.0,2528.0,0.0,,2528.0,,0.0,,93.34,2528.0,0.0,0.0,0.0,9.06,2528.0,,94.07,94.97,0.0,93.27,2528.0,98,0,0.0,23474,769.8010260249248,0.0,,0.0,0.0,23168,,,0.0,9,0.0,0.0,92.7,94.1,35,1888.0,93.92,0.0,12.07,0.0,,,769.8010260249248,0.0,1792.0
0,,95.43,17.99,5408.0,1681394207.0,2656.0,0.0,0.0,2656.0,512.0,0.0,,93.34,2656.0,0.0,0.0,0.0,7.33,2688.0,,93.92,94.9,0.0,93.45,2656.0,99,0,0.0,25050,789.5648740144152,0.0,,0.0,0.0,24704,,,0.0,9,0.0,0.0,92.72,94.02,36,2016.0,94.02,0.0,9.78,0.0,0.0,,789.5648740144152,0.0,1920.0
0,,95.39,37.9,5536.0,1681394208.0,2784.0,0.0,0.0,2784.0,1024.0,0.0,,93.31,2784.0,0.0,0.0,0.0,5.69,2816.0,,93.79,94.88,0.0,93.49,2784.0,100,0,0.0,26622,810.77330189116,0.0,,0.0,0.0,26240,,,0.0,9,0.0,0.0,92.75,94.01,37,2144.0,94.04,0.0,7.58,0.0,0.0,,810.77330189116,0.0,2048.0
0,,95.4,59.4,5664.0,1681394210.0,2912.0,0.0,0.0,2912.0,1536.0,0.0,,93.16,2912.0,0.0,0.0,0.0,4.11,2944.0,,93.8,94.71,0.0,93.51,2912.0,102,0,0.0,28200,833.5056316727362,0.0,,0.0,0.0,27776,,,0.0,9,0.0,0.0,92.75,94.02,38,2272.0,94.02,0.0,5.48,0.0,0.0,,833.5056316727362,0.0,2176.0
0,,95.42,82.38,5792.0,1681394211.0,3040.0,0.0,0.0,3040.0,2048.0,0.0,,93.06,3040.0,0.0,0.0,0.0,2.63,3072.0,,93.76,94.66,0.0,93.4,3040.0,103,0,0.0,29766,856.5766371889302,0.0,,0.0,0.0,29344,,,0.0,9,0.0,0.0,92.65,94.05,39,2400.0,94.12,0.0,3.5,0.0,0.0,,856.5766371889302,0.0,2304.0
0,,95.32,105.6,5920.0,1681394213.0,3168.0,0.0,0.0,3168.0,2560.0,0.0,,93.04,3168.0,0.0,0.0,0.0,1.2,3200.0,,93.71,94.64,0.0,93.44,3200.0,105,0,0.0,31353,880.8759766684277,0.0,,0.0,0.0,30880,,,0.0,9,0.0,0.0,92.69,94.04,40,2528.0,94.1,0.0,1.61,0.0,0.0,,880.8759766684277,0.0,2432.0
