03_hivemind/global_epoch,03_hivemind/undershot_TBS,03_hivemind/eta_next_epoch_s,03_hivemind/next_fetch_time_s,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,03_hivemind/per_epoch_training_samples,03_hivemind/estimated_current_samples,03_hivemind/actual_total_samples_per_second,_runtime,03_hivemind/num_clients,04_peers/peer_2_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,03_hivemind/overshot_TBS,_step,03_hivemind/epoch_s,03_hivemind/global_samples_accumulated,_timestamp,03_hivemind/total_training_samples,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch_oos,03_hivemind/num_peers,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,04_peers/peer_2_samples_per_second
1,,40.51,10.0,1.0,237.59,1.0,0.0,,13525,475.0151379429628,145,0,6400.0,475.0151379429628,,87,,13472,1680691559.0,,6496.0,0.0,2,,,237.4
1,,39.39,10.0,1.0,237.91,1.0,0.0,,14089,474.25695481984883,146,0,6688.0,474.25695481984883,,88,,14016,1680691560.0,,6784.0,0.0,2,,,237.1
1,,38.17,10.0,1.0,237.69,1.0,0.0,,14654,474.524290006675,147,0,6944.0,474.524290006675,,89,,14560,1680691561.0,,7072.0,0.0,2,,,236.57
1,,36.95,10.0,1.0,238.07,1.0,0.0,,15219,474.9307858865541,148,0,7232.0,474.9307858865541,,90,,15136,1680691562.0,,7328.0,0.0,2,,,236.45
1,,35.79,10.0,1.0,237.72,1.0,0.0,,15783,474.61591363347515,149,0,7520.0,474.61591363347515,,91,,15712,1680691563.0,,7616.0,0.0,2,,,237.21
1,,34.61,10.0,1.0,237.75,1.0,0.0,,16346,474.4686454007057,150,0,7808.0,474.4686454007057,,92,,16288,1680691564.0,,7904.0,0.0,2,,,236.87
1,,33.4,10.0,1.0,237.56,1.0,0.0,,16911,474.6852355381093,152,0,8096.0,474.6852355381093,,93,,16832,1680691566.0,,8192.0,0.0,2,,,236.91
1,,32.24,10.0,1.0,237.92,1.0,0.0,,17475,474.3364729662668,153,0,8352.0,474.3364729662668,,94,,17408,1680691567.0,,8480.0,0.0,2,,,236.76
1,,31.02,10.0,1.0,237.64,1.0,0.0,,18042,474.74829209932716,154,0,8640.0,474.74829209932716,,95,,17952,1680691568.0,,8768.0,0.0,2,,,236.7
1,,29.84,10.0,1.0,237.47,1.0,0.0,,18604,474.6304903101941,155,0,8928.0,474.6304903101941,,96,,18528,1680691569.0,,9024.0,0.0,2,,,237.28
1,,28.7,10.0,1.0,237.33,1.0,0.0,,19166,473.9495364189387,156,0,9216.0,473.9495364189387,,97,,19104,1680691570.0,,9312.0,0.0,2,,,237.3
1,,27.56,10.0,1.0,237.23,1.0,0.0,,19727,473.2547797865194,158,0,9504.0,473.2547797865194,,98,,19648,1680691572.0,,9600.0,0.0,2,,,236.72
1,,26.37,10.0,1.0,236.81,1.0,0.0,,20290,473.260561863555,159,0,9760.0,473.260561863555,,99,,20224,1680691573.0,,9888.0,0.0,2,,,236.44
1,,25.21,10.0,1.0,236.81,1.0,0.0,,20851,472.77493372209767,160,0,10048.0,472.77493372209767,,100,,20768,1680691574.0,,10176.0,0.0,2,,,236.45
1,,24.06,9.63,1.0,236.76,1.0,0.0,,21413,471.8472000246385,161,0,10336.0,471.8472000246385,,101,,21344,1680691575.0,,10432.0,0.0,2,,,236.01
1,,22.98,9.19,1.0,235.45,1.0,0.0,,21971,469.83620098052234,162,0,10624.0,469.83620098052234,,102,,21920,1680691576.0,,10720.0,0.0,2,,,236.4
1,,22.09,8.84,1.0,233.3,1.0,0.0,,22519,464.0256443738933,164,0,10912.0,464.0256443738933,,103,,22432,1680691578.0,,11008.0,0.0,2,,,236.54
1,,20.9,8.36,1.0,227.88,1.0,0.0,,23068,464.2103827231489,165,0,11168.0,464.2103827231489,,104,,22976,1680691579.0,,11264.0,0.0,2,,,236.14
1,,19.85,7.94,1.0,228.25,1.0,0.0,,23612,461.2210959567325,166,0,11456.0,461.2210959567325,,105,,23552,1680691580.0,,11520.0,0.0,2,,,235.96
1,,18.64,7.46,1.0,226.08,1.0,0.0,,24160,461.8114827146908,167,0,11744.0,461.8114827146908,,106,,24064,1680691581.0,,11808.0,0.0,2,,,235.14
1,,17.43,6.97,1.0,226.67,1.0,0.0,,24709,462.4376532129145,168,0,12000.0,462.4376532129145,,107,,24640,1680691582.0,,12064.0,0.0,2,,,235.14
1,,16.11,6.44,1.0,227.13,1.0,0.0,,25265,465.74466578784575,169,0,12288.0,465.74466578784575,,108,,25184,1680691583.0,,12352.0,0.0,2,,,235.31
1,,14.83,5.93,1.0,230.19,1.0,0.0,,25825,468.17981403875456,171,0,12576.0,468.17981403875456,,109,,25760,1680691585.0,,12608.0,0.0,2,,,235.55
1,,13.61,5.44,1.0,232.29,1.0,0.0,,26385,469.04461887248533,172,0,12864.0,469.04461887248533,,110,,26336,1680691586.0,,12896.0,0.0,2,,,235.89
1,,12.41,4.97,1.0,233.03,1.0,0.0,,26944,469.2338224724847,173,0,13152.0,469.2338224724847,,111,,26848,1680691587.0,,13184.0,0.0,2,,,236.02
1,,11.2,4.48,1.0,233.36,1.0,0.0,,27504,470.033920049408,174,0,13408.0,470.033920049408,,112,,27424,1680691588.0,,13440.0,0.0,2,,,235.87
1,,9.99,4.0,1.0,234.29,1.0,0.0,,28066,470.764893631989,175,0,13696.0,470.764893631989,,113,,28000,1680691589.0,,13728.0,0.0,2,,,235.74
1,,8.81,3.52,1.0,234.89,1.0,0.0,,28625,470.3246040496365,177,0,13984.0,470.3246040496365,,114,,28576,1680691591.0,,14016.0,0.0,2,,,235.88
1,,7.62,3.05,1.0,234.54,1.0,0.0,,29185,470.00757337109843,178,0,14272.0,470.00757337109843,,115,,29088,1680691592.0,,14304.0,0.0,2,,,235.78
1,,6.44,2.57,1.0,234.37,1.0,0.0,,29745,469.76688372861446,179,0,14528.0,469.76688372861446,,116,,29664,1680691593.0,,14560.0,0.0,2,,,235.64
