04_peers/peer_2_samples_accumulated,03_hivemind/epoch_s,04_peers/peer_1_samples_accumulated,03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/total_training_samples,04_peers/peer_2_samples_per_second,04_peers/peer_2_epoch_oos,03_hivemind/eta_next_epoch_s,03_hivemind/actual_total_samples_per_second,_timestamp,04_peers/peer_1_epoch,04_peers/peer_2_epoch,03_hivemind/num_clients,03_hivemind/global_epoch,_runtime,03_hivemind/num_peers,04_peers/peer_1_samples_per_second,03_hivemind/global_samples_accumulated,_step,03_hivemind/next_fetch_time_s,03_hivemind/per_epoch_training_samples,04_peers/peer_1_epoch_oos,03_hivemind/reached_TBS,03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,03_hivemind/epoch_based_sps
3904.0,,4480.0,8684,179.90007587327761,,92.88,0.0,133.88,179.90007587327761,1681402553.0,0.0,0.0,0,0,83,2,87.1,8576,43,10.0,,0.0,,,,
4000.0,,4576.0,8898,179.84966970159525,,92.84,0.0,132.72,179.84966970159525,1681402554.0,0.0,0.0,0,0,84,2,87.06,8832,44,10.0,,0.0,,,,
4128.0,,4704.0,9111,179.80032137667467,,92.82,0.0,131.57,179.80032137667467,1681402555.0,0.0,0.0,0,0,85,2,87.03,9024,45,10.0,,0.0,,,,
4224.0,,4800.0,9324,179.7580482311325,,92.79,0.0,130.42,179.7580482311325,1681402557.0,0.0,0.0,0,0,87,2,87.01,9248,46,10.0,,0.0,,,,
4352.0,,4896.0,9538,179.71127446634557,,92.79,0.0,129.26,179.71127446634557,1681402558.0,0.0,0.0,0,0,88,2,86.97,9440,47,10.0,,0.0,,,,
4448.0,,4992.0,9751,179.6510055218486,,92.77,0.0,128.12,179.6510055218486,1681402559.0,0.0,0.0,0,0,89,2,86.94,9664,48,10.0,,0.0,,,,
4576.0,,5088.0,9965,179.58495486971412,,92.77,0.0,126.97,179.58495486971412,1681402560.0,0.0,0.0,0,0,90,2,86.88,9888,49,10.0,,0.0,,,,
4672.0,,5216.0,10179,179.4499650191629,,92.79,0.0,125.88,179.4499650191629,1681402561.0,0.0,0.0,0,0,91,2,86.8,10112,50,10.0,,0.0,,,,
4800.0,,5312.0,10391,179.43296701692975,,92.74,0.0,124.71,179.43296701692975,1681402563.0,0.0,0.0,0,0,93,2,86.71,10304,51,10.0,,0.0,,,,
4896.0,,5408.0,10603,179.28679928093004,,92.8,0.0,123.63,179.28679928093004,1681402564.0,0.0,0.0,0,0,94,2,86.64,10496,52,10.0,,0.0,,,,
4992.0,,5504.0,10815,179.16826260473547,,92.72,0.0,122.52,179.16826260473547,1681402565.0,0.0,0.0,0,0,95,2,86.56,10720,53,10.0,,0.0,,,,
5120.0,,5600.0,11027,179.0341684511293,,92.65,0.0,121.43,179.0341684511293,1681402566.0,0.0,0.0,0,0,96,2,86.52,10944,54,10.0,,0.0,,,,
5216.0,,5728.0,11240,178.97286235790327,,92.56,0.0,120.28,178.97286235790327,1681402567.0,0.0,0.0,0,0,97,2,86.48,11168,55,10.0,,0.0,,,,
5344.0,,5824.0,11452,178.91464187383832,,92.55,0.0,119.14,178.91464187383832,1681402568.0,0.0,0.0,0,0,98,2,86.42,11360,56,10.0,,0.0,,,,
5440.0,,5920.0,11665,178.8557666607116,,92.52,0.0,117.99,178.8557666607116,1681402570.0,0.0,0.0,0,0,100,2,86.39,11584,57,10.0,,0.0,,,,
5568.0,,6016.0,11877,178.78461725617547,,92.5,0.0,116.85,178.78461725617547,1681402571.0,0.0,0.0,0,0,101,2,86.35,11808,58,10.0,,0.0,,,,
5664.0,,6144.0,12091,178.70299902944384,,92.47,0.0,115.71,178.70299902944384,1681402572.0,0.0,0.0,0,0,102,2,86.32,12032,59,10.0,,0.0,,,,
5792.0,,6240.0,12303,178.6160130799169,,92.41,0.0,114.58,178.6160130799169,1681402573.0,0.0,0.0,0,0,103,2,86.29,12224,60,10.0,,0.0,,,,
5888.0,,6336.0,12514,178.6185327405068,,92.38,0.0,113.39,178.6185327405068,1681402574.0,0.0,0.0,0,0,104,2,86.23,12416,61,10.0,,0.0,,,,
5984.0,,6432.0,12725,178.2719241406807,,92.34,0.0,112.43,178.2719241406807,1681402576.0,0.0,0.0,0,0,106,2,86.28,12640,62,10.0,,0.0,,,,
6112.0,,6528.0,12935,178.09292433112984,,92.26,0.0,111.36,178.09292433112984,1681402577.0,0.0,0.0,0,0,107,2,86.01,12832,63,10.0,,0.0,,,,
6208.0,,6624.0,13145,177.8853672350472,,92.21,0.0,110.31,177.8853672350472,1681402578.0,0.0,0.0,0,0,108,2,85.89,13088,64,10.0,,0.0,,,,
6336.0,,6752.0,13356,177.79504209510267,,92.17,0.0,109.18,177.79504209510267,1681402579.0,0.0,0.0,0,0,109,2,85.72,13280,65,10.0,,0.0,,,,
6432.0,,6848.0,13566,177.74383136560056,,92.11,0.0,108.03,177.74383136560056,1681402580.0,0.0,0.0,0,0,110,2,85.69,13472,66,10.0,,0.0,,,,
6528.0,,6944.0,13778,177.73313574488049,,92.08,0.0,106.85,177.73313574488049,1681402582.0,0.0,0.0,0,0,112,2,85.66,13696,67,10.0,,0.0,,,,
