cpu/load/avg_sys_load_five_min_percent,disk/counter/disk_write_sys_count,_runtime,cpu/interrupts/interrupts_count,01_general/step_based_sps,disk/time/disk_read_time_sys_s,process/memory/text_resident_set_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,cpu/interrupts/soft_interrupts_count,cpu/load/avg_sys_load_one_min_percent,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/dirty_pages_proc_count,process/memory/data_resident_set_proc_MB,01_general/locally_processed_samples,disk/time/disk_write_time_sys_s,process/voluntary_proc_ctx_switches,process/memory/virtual_memory_size_proc_MB,02_timing/dataload_time_s,02_timing/loss_calc_time_s,01_general/dataset_iteration_count,memory/total_memory_sys_MB,01_general/step,memory/used_memory_sys_MB,02_timing/step_time_s,bandwidth/disk_write_sys_bandwidth_MBs,02_timing/forward_time_s,process/memory/lib_memory_proc_MB,_timestamp,cpu/logical_core_count,process/involuntary_proc_ctx_switches,memory/used_memory_sys_percent,disk/time/disk_busy_time_sys_s,process/memory/shared_memory_proc_MB,02_timing/backward_time_s,cpu/interrupts/ctx_switches_count,disk/counter/disk_read_sys_count,_step,bandwidth/net_sent_sys_bandwidth_Mbits,02_timing/opt_step_time_s,bandwidth/net_recv_sys_bandwidth_Mbits,01_general/minibatch_loss,memory/available_memory_sys_MB,process/memory/resident_set_size_proc_MB,02_timing/dataload_cuda_move_time_s,01_general/lr
,,16,,44.650647086204806,,,,,,,,,72.0,,,,0.0027120429999740736,0.0007938149999517918,0.0,,8.0,,0.17916873599961036,,0.13653844299983575,,1696164822.0,,,,,,0.03658557199992174,,,25,,3.3710000479914015e-06,,2.3247134685516357,,,,0.0001
,,17,,21.27403991769901,,,,,,,,,80.0,,,,0.20519017000015083,0.0007602600001064275,0.0,,9.0,,0.37604517200065857,,0.13660087100015517,,1696164823.0,,,,,,0.03104589899999155,,,26,,2.4020000637392513e-06,,2.5875959396362305,,,0.0024455700001908554,0.0001
17.875,45.0,17,34962.0,,0.0019999999999988916,2.654208,11.625,20112.0,20.0,0.0,0.0,0.0,,0.04300000000012005,6150.0,25403.748352,,,,,,4169.220096,,0.13062776077006474,,3600.175104,1696164823.0,,49.0,14.8,0.17200000000001125,972.345344,,22694.0,1.0,27,0.022204486922876975,,0.08563676626200872,,26895.654912,3701.16608,0.0025292239999998856,
,,17,,45.565735687668635,,,,,,,,,88.0,,,,0.0027584449999267235,0.0011501960000259714,0.0,,10.0,,0.17557052200004364,,0.14195690699989427,,1696164823.0,,,,,,0.027173327000127756,,,28,,2.423000069029513e-06,,2.5961086750030518,,,,0.0001
,,18,,19.30809359709065,,,,,,,,,96.0,,,,0.24683745299989823,0.0007637100000010832,0.0,,11.0,,0.41433401799986314,,0.13703398999996352,,1696164824.0,,,,,,0.027231334000134666,,,29,,3.0879998575983336e-06,,2.2933032512664795,,,0.002464443000008032,0.0001
17.875,47.0,18,37066.0,,0.0019999999999988916,2.654208,11.625,20881.0,20.0,0.0,0.0,0.0,,0.04500000000007276,6168.0,25403.744256,,,,,,4205.867008,,0.008147949092756745,,3600.175104,1696164824.0,,50.0,14.9,0.18000000000000682,972.36992,,23883.0,1.0,30,0.07293369276400541,,0.010972677537432418,,26852.016128,3701.190656,,
,,18,,46.60513324890094,,,,,,,,,104.0,,,,0.003920336000192037,0.000746097000046575,0.0,,12.0,,0.1716549110003598,,0.13673117500002263,,1696164824.0,,,,,,0.027434329000016078,,,31,,2.2599999738304177e-06,,2.4225618839263916,,,0.0028207140001086373,0.0001
17.875,50.0,19,39329.0,,0.0019999999999988916,2.654208,11.625,21640.0,20.0,0.0,0.0,0.0,,0.047000000000025466,6197.0,25403.748352,,0.000776201000007859,,,,4222.160896,,0.012250253029209424,0.1341243280000981,3600.175104,1696164825.0,,52.0,15.0,0.19200000000000728,972.36992,0.03375277300006019,25327.0,1.0,32,0.0,2.5800000003073364e-06,0.0,,26835.92704,3701.190656,0.0024525290000383393,
,,19,,20.694830485657388,,,,,,,,,112.0,,,,0.21546155900000485,,0.0,,13.0,,0.38656997000020965,,,,1696164825.0,,,,,,,,,33,,,,2.3280186653137207,,,,0.0001
,,19,,44.85312619566123,,,,,,,,,120.0,,,,0.0032131000000390486,0.0010192869999627874,0.0,,14.0,,0.1783599199998207,,0.13690145999999004,,1696164825.0,,,,,,0.034755910000058066,,,34,,2.8999997994105797e-06,,2.25808048248291,,,0.0024672629999713536,0.0001
