04_peers/peer_1_epoch_oos,03_hivemind/total_training_samples,03_hivemind/actual_total_samples_per_second,04_peers/peer_1_samples_per_second,03_hivemind/epoch_s,03_hivemind/num_peers,03_hivemind/reached_TBS,03_hivemind/global_epoch,03_hivemind/overshot_TBS,04_peers/peer_2_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_1_epoch,03_hivemind/num_clients,03_hivemind/epoch_based_sps,03_hivemind/global_samples_accumulated,_step,03_hivemind/undershot_TBS,03_hivemind/per_epoch_training_samples,_runtime,03_hivemind/optimistic_total_samples_per_second,_timestamp,04_peers/peer_2_epoch_oos,04_peers/peer_1_samples_accumulated,04_peers/peer_2_epoch,03_hivemind/next_fetch_time_s,03_hivemind/eta_next_epoch_s,03_hivemind/estimated_current_samples
0.0,,1870.9710991283791,943.3,,2,,2,,873.51,14720.0,2.0,0,,31456,41,,,89,1870.9710991283791,1683032338.0,0.0,14560.0,2.0,0.5,0.56,31728
0.0,,1114.129273024676,1162.17,,2,,2,,708.81,15680.0,2.0,0,,32288,42,,,90,1114.129273024676,1683032339.0,0.0,15776.0,2.0,0.5,0.07,32688
0.0,,2003.1850705216793,910.76,,2,,3,,203.37,15712.0,2.0,0,,1504,43,,,91,2003.1850705216793,1683032340.0,0.0,16576.0,2.0,6.2,15.5,1722
0.0,97760.0,2260.8845812748127,1145.42,17.868259902112186,2,0.0,3,0.0,857.76,768.0,3.0,0,1807.0030420915957,4160,44,3.0,32288.0,92,2260.8845812748127,1683032341.0,0.0,736.0,3.0,5.02,12.55,4396
0.0,,2368.658293044994,1082.52,,2,,3,,1178.37,2176.0,3.0,0,,6944,45,,,94,2368.658293044994,1683032343.0,0.0,1984.0,3.0,4.32,10.79,7199
0.0,,2363.100984779906,1162.16,,2,,3,,1206.49,3584.0,3.0,0,,9728,46,,,95,2363.100984779906,1683032344.0,0.0,3360.0,3.0,3.86,9.65,9965
0.0,,1818.9835678232696,1218.0,,2,,3,,1145.1,4960.0,3.0,0,,11616,47,,,96,1818.9835678232696,1683032345.0,0.0,4768.0,3.0,4.61,11.53,11804
0.0,,2069.105567045153,963.36,,2,,3,,855.62,5984.0,3.0,0,,13920,48,,,97,2069.105567045153,1683032346.0,0.0,5632.0,3.0,3.6,9.0,14137
0.0,,2142.334472193182,1066.47,,2,,3,,1002.64,7008.0,3.0,0,,16448,49,,,98,2142.334472193182,1683032347.0,0.0,6912.0,3.0,3.0,7.5,16697
0.0,,1909.5900760847057,1147.16,,2,,3,,995.18,8192.0,3.0,0,,18816,50,,,100,1909.5900760847057,1683032349.0,0.0,8256.0,3.0,2.89,7.21,18991
0.0,,2228.9007893170105,1020.32,,2,,3,,889.27,9312.0,3.0,0,,21280,51,,,101,2228.9007893170105,1683032350.0,0.0,9504.0,3.0,2.02,5.06,21490
0.0,,2098.8423632863864,1182.7,,2,,3,,1046.2,10432.0,3.0,0,,23872,52,,,102,2098.8423632863864,1683032351.0,0.0,10848.0,3.0,1.66,4.14,24079
0.0,,2075.629600246499,988.76,,2,,3,,1110.08,11776.0,3.0,0,,26208,53,,,103,2075.629600246499,1683032352.0,0.0,12096.0,3.0,1.23,3.06,26407
0.0,,2129.202368711549,948.46,,2,,3,,1127.17,12992.0,3.0,0,,28672,54,,,104,2129.202368711549,1683032353.0,0.0,13216.0,3.0,0.73,1.82,28894
0.0,,1947.5768273941421,985.28,,2,,3,,1143.92,14336.0,3.0,0,,31200,55,,,106,1947.5768273941421,1683032355.0,0.0,14336.0,3.0,0.5,0.69,31428
0.0,,2149.19591513779,1131.65,,2,,3,,815.93,15648.0,3.0,0,,32864,56,,,107,2149.19591513779,1683032356.0,0.0,15552.0,3.0,0.5,0.0,33948
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,16512.0,3.0,0,,0,57,,,108,2149.19591513779,1683032357.0,0.0,16352.0,3.0,5.67,14.18,2297
0.0,130624.0,2149.19591513779,1071.24,16.63966841902584,2,0.0,4,1.0,1077.95,0.0,4.0,0,1975.0393560981793,0,58,3.0,32864.0,109,2149.19591513779,1683032358.0,0.0,0.0,4.0,5.19,12.98,4861
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,59,,,110,2149.19591513779,1683032359.0,0.0,0.0,4.0,4.72,11.79,7421
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,60,,,112,2149.19591513779,1683032361.0,0.0,0.0,4.0,4.24,10.61,9970
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,61,,,116,2149.19591513779,1683032365.0,0.0,0.0,4.0,2.63,6.58,18626
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,62,,,117,2149.19591513779,1683032366.0,0.0,0.0,4.0,2.22,5.55,20834
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,63,,,118,2149.19591513779,1683032367.0,0.0,0.0,4.0,1.81,4.53,23024
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,64,,,119,2149.19591513779,1683032368.0,0.0,0.0,4.0,1.41,3.51,25214
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,65,,,120,2149.19591513779,1683032369.0,0.0,0.0,4.0,1.0,2.49,27407
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,66,,,121,2149.19591513779,1683032370.0,0.0,0.0,4.0,0.59,1.48,29596
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,67,,,122,2149.19591513779,1683032371.0,0.0,0.0,4.0,0.5,0.46,31785
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,68,,,123,2149.19591513779,1683032372.0,0.0,0.0,4.0,0.5,0.0,33974
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,69,,,124,2149.19591513779,1683032373.0,0.0,0.0,4.0,0.5,0.0,36165
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,70,,,125,2149.19591513779,1683032374.0,0.0,0.0,4.0,0.5,0.0,38350
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,71,,,126,2149.19591513779,1683032375.0,0.0,0.0,4.0,0.5,0.0,40560
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,72,,,127,2149.19591513779,1683032376.0,0.0,0.0,4.0,0.5,0.0,42750
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,73,,,128,2149.19591513779,1683032377.0,0.0,0.0,4.0,0.5,0.0,44935
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,74,,,129,2149.19591513779,1683032378.0,0.0,0.0,4.0,0.5,0.0,47132
0.0,,2149.19591513779,1071.24,,2,,4,,1077.95,0.0,4.0,0,,0,75,,,130,2149.19591513779,1683032379.0,0.0,0.0,4.0,0.5,0.0,49320
