04_peers/peer_1_epoch,03_hivemind/overshot_TBS,04_peers/peer_1_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_1_samples_per_second,03_hivemind/actual_total_samples_per_second,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/num_peers,03_hivemind/reached_TBS,03_hivemind/undershot_TBS,03_hivemind/eta_next_epoch_s,03_hivemind/estimated_current_samples,_timestamp,03_hivemind/epoch_s,03_hivemind/num_clients,04_peers/peer_2_epoch_oos,04_peers/peer_1_samples_accumulated,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,03_hivemind/per_epoch_training_samples,_step,03_hivemind/global_samples_accumulated,03_hivemind/optimistic_total_samples_per_second,_runtime,03_hivemind/total_training_samples,04_peers/peer_2_samples_per_second
0.0,,0.0,,92.77,186.23399727946045,0,0.5,2,,,0.0,8281,1680687820.0,,0,0.0,4480.0,3552.0,0.0,,38,8224,186.23399727946045,88,,93.56
0.0,,0.0,,92.76,186.23399727946045,0,0.5,2,,,0.0,8502,1680687821.0,,0,0.0,4576.0,3648.0,0.0,,39,8224,186.23399727946045,89,,93.47
0.0,,0.0,,92.76,186.23399727946045,0,0.5,2,,,0.0,8724,1680687822.0,,0,0.0,4576.0,3648.0,0.0,,40,8224,186.23399727946045,90,,93.47
0.0,,0.0,,92.76,186.23399727946045,0,0.5,2,,,0.0,8946,1680687823.0,,0,0.0,4576.0,3648.0,0.0,,41,8224,186.23399727946045,91,,93.47
0.0,,0.0,,92.76,186.23399727946045,1,10.0,2,,,43.79,36,1680687824.0,,0,0.0,4576.0,3648.0,0.0,,42,0,186.23399727946045,92,,93.47
1.0,1.0,0.0,154.5819985978445,92.76,185.06174387053875,1,10.0,2,0.0,0.0,42.88,256,1680687826.0,53.201537530869246,0,0.0,0.0,0.0,1.0,8224.0,43,192,185.06174387053875,94,8224.0,93.47
1.0,,0.0,,94.05,188.16418125275877,1,10.0,2,,,40.93,491,1680687827.0,,0,0.0,96.0,96.0,1.0,,44,448,188.16418125275877,95,,91.01
1.0,,0.0,,93.66,187.43282362617555,1,10.0,2,,,39.91,712,1680687828.0,,0,0.0,224.0,224.0,1.0,,45,640,187.43282362617555,96,,94.5
1.0,,0.0,,93.37,186.89792712107834,1,10.0,2,,,38.84,933,1680687829.0,,0,0.0,320.0,320.0,1.0,,46,896,186.89792712107834,97,,94.06
1.0,,0.0,,93.18,186.73101625981212,1,10.0,2,,,37.69,1155,1680687830.0,,0,0.0,448.0,448.0,1.0,,47,1088,186.73101625981212,98,,93.71
1.0,,0.0,,93.06,186.52983382713697,1,10.0,2,,,36.54,1376,1680687832.0,,0,0.0,544.0,544.0,1.0,,48,1344,186.52983382713697,100,,93.68
1.0,,0.0,,92.95,186.3836238956494,1,10.0,2,,,35.39,1596,1680687833.0,,0,0.0,672.0,672.0,1.0,,49,1536,186.3836238956494,101,,93.58
1.0,,0.0,,92.89,186.25380551732417,1,10.0,2,,,34.23,1817,1680687834.0,,0,0.0,768.0,768.0,1.0,,50,1792,186.25380551732417,102,,93.49
1.0,,0.0,,92.8,186.12391510314205,1,10.0,2,,,33.07,2037,1680687835.0,,0,0.0,896.0,896.0,1.0,,51,1984,186.12391510314205,103,,93.45
1.0,,0.0,,92.74,185.9811618752768,1,10.0,2,,,31.91,2257,1680687836.0,,0,0.0,992.0,992.0,1.0,,52,2208,185.9811618752768,104,,93.38
1.0,,0.0,,92.74,185.8759679378802,1,10.0,2,,,30.75,2477,1680687838.0,,0,0.0,1088.0,1120.0,1.0,,53,2432,185.8759679378802,106,,93.24
1.0,,0.0,,92.64,185.75618768169429,1,10.0,2,,,29.58,2697,1680687839.0,,0,0.0,1216.0,1216.0,1.0,,54,2656,185.75618768169429,107,,93.24
1.0,,0.0,,92.58,185.65687388955854,1,10.0,2,,,28.41,2917,1680687840.0,,0,0.0,1312.0,1344.0,1.0,,55,2880,185.65687388955854,108,,93.18
1.0,,0.0,,92.51,185.51277296869256,1,10.0,2,,,27.25,3137,1680687841.0,,0,0.0,1440.0,1440.0,1.0,,56,3072,185.51277296869256,109,,93.15
1.0,,0.0,,92.46,185.38067902973535,1,10.0,2,,,26.08,3357,1680687842.0,,0,0.0,1536.0,1536.0,1.0,,57,3328,185.38067902973535,110,,93.06
1.0,,0.0,,92.37,185.3207061997071,1,9.96,2,,,24.9,3577,1680687843.0,,0,0.0,1664.0,1664.0,1.0,,58,3520,185.3207061997071,111,,93.01
1.0,,0.0,,92.35,185.19240683073886,1,9.49,2,,,23.73,3797,1680687845.0,,0,0.0,1760.0,1760.0,1.0,,59,3744,185.19240683073886,113,,92.97
