memory/total_memory_sys_MB,cpu/logical_core_count,01_general/dataset_iteration_count,process/memory/shared_memory_proc_MB,cpu/load/avg_sys_load_one_min_percent,process/involuntary_proc_ctx_switches,cpu/load/avg_sys_load_five_min_percent,cpu/interrupts/soft_interrupts_count,02_timing/backward_time_s,disk/time/disk_busy_time_sys_s,01_general/step,process/memory/lib_memory_proc_MB,cpu/load/avg_sys_load_fifteen_min_percent,02_timing/dataload_time_s,memory/used_memory_sys_percent,memory/available_memory_sys_MB,process/voluntary_proc_ctx_switches,cpu/interrupts/ctx_switches_count,02_timing/dataload_cuda_move_time_s,memory/used_memory_sys_MB,01_general/lr,process/memory/text_resident_set_proc_MB,01_general/step_based_sps,process/memory/virtual_memory_size_proc_MB,disk/time/disk_read_time_sys_s,02_timing/loss_calc_time_s,bandwidth/net_recv_sys_bandwidth_Mbits,_runtime,02_timing/forward_time_s,_step,disk/time/disk_write_time_sys_s,cpu/interrupts/interrupts_count,01_general/minibatch_loss,02_timing/opt_step_time_s,process/memory/dirty_pages_proc_count,disk/counter/disk_write_sys_count,_timestamp,bandwidth/net_sent_sys_bandwidth_Mbits,02_timing/step_time_s,01_general/locally_processed_samples,bandwidth/disk_read_sys_bandwidth_MBs,process/memory/data_resident_set_proc_MB,disk/counter/disk_read_sys_count,process/memory/resident_set_size_proc_MB,bandwidth/disk_write_sys_bandwidth_MBs
,,0.0,,,,,,0.059669550999387866,,10.0,,,0.0017127119999713614,,,,,0.0010838830003194744,,0.0001,,13.08569224896173,,,0.0011606999996729428,,14,0.16562944399993285,25,,,2.205570936203003,1.737999809847679e-06,,,1696189971.0,,0.22925802799909434,33.0,,,,,
,,,968.564736,6.375,51.0,4.875,5791.0,0.06787002500004746,0.12400000000002365,,3594.539008,9.0,,15.0,26837.049344,273.0,6488.0,0.0011038950005968218,4229.85728,,2.654208,,28178.796544,0.0,0.001202148000629677,0.0,14,0.16619031299978815,26,0.021999999999934516,14004.0,,2.0990000848541968e-06,0.0,32.0,1696189971.0,0.0,,,0.0,0.0,0.0,3695.935488,0.012252140111818795
,,0.0,,,,,,,,11.0,,,0.001470402999984799,,,,,,,0.0001,,12.613580934054944,,,,,15,,27,,,1.9309252500534058,,,,1696189972.0,,0.23783888300113176,36.0,,,,,
,,0.0,,,,,,0.07262683599947195,,12.0,,,0.001621031000468065,,,,,0.0011273580003035022,,0.0001,,12.203709840669681,,,0.0012003350002487423,,15,0.16924956800085056,28,,,1.7240192890167236,1.759000042511616e-06,,,1696189972.0,,0.24582688700138533,39.0,,,,,
,,,968.564736,6.875000000000001,53.0,5.0,6308.0,0.05597596799998428,0.14400000000000546,,3594.539008,9.0,,15.0,26833.46944,293.0,7003.0,0.0011248929995417711,4233.224192,,2.654208,,28178.796544,0.0,0.001289017000090098,0.004211850389110289,15,0.16658811700017395,29,0.026000000000294676,15249.0,,1.8450000425218605e-06,0.0,38.0,1696189972.0,0.0715934795647682,,,0.0,0.0,0.0,3695.935488,0.08168437110810614
,,0.0,,,,,,,,13.0,,,0.0015229290002025664,,,,,,,0.0001,,13.244871191837545,,,,,16,,30,,,2.5731167793273926,,,,1696189973.0,,0.2265027690000352,42.0,,,,,
,,0.0,,,,,,0.05579545099953975,,14.0,,,0.001448751000680204,,,,,0.0011067590003221994,,0.0001,,13.244161278370562,,,0.0011825359997601481,,16,0.16698002900011488,31,,,2.6079676151275635,1.3839999155607074e-06,,,1696189973.0,,0.22651491000033275,45.0,,,,,
,,,968.564736,6.875000000000001,55.0,5.0,6837.0,0.05639232300018193,0.1640000000000157,,3594.539008,9.0,,15.0,26828.791808,312.0,7505.0,0.0010920739996436168,4237.930496,,2.654208,,28178.796544,0.0,0.0011607510004978394,0.059873075956730096,16,0.16530568599955586,32,0.028999999999996362,16679.0,,1.6590001905569807e-06,0.0,42.0,1696189973.0,0.017915657949435365,,,0.0,0.0,0.0,3695.935488,0.02042034031546648
,,0.0,,,,,,,,15.0,,,0.0015277689999493305,,,,,,,0.0001,,13.304933981315603,,,,,16,,33,,,2.583911657333374,,,,1696189973.0,,0.22548026200001914,48.0,,,,,
,,0.0,,,,,,0.06677027800014912,,16.0,,,0.0016149329994732398,,,,,0.001128286000493972,,0.0001,,12.609188638585318,,,0.001254030999916722,,17,0.16715116300019872,34,,,2.01057505607605,3.0409992177737877e-06,,,1696189974.0,,0.23792173199944955,51.0,,,,,
,,,968.564736,6.875000000000001,59.0,5.0,7380.0,0.058341185999779555,0.1839999999999975,,3594.539008,9.0,,15.0,26823.213056,334.0,8011.0,0.0011402010004530894,4243.509248,,2.654208,,28178.796544,0.0,0.001300217999414599,0.009541463740699899,17,0.16540514400003303,35,0.03099999999994907,18019.0,,1.4300003385869786e-06,0.0,45.0,1696189974.0,0.058557143641284344,,,0.0,0.0,0.0,3695.935488,0.012253919976960055
,,0.0,,,,,,,,17.0,,,0.0015167349993134849,,,,,,,0.0001,,13.174946237694266,,,,,17,,36,,,1.9764775037765503,,,,1696189974.0,,0.22770491399933235,54.0,,,,,
,,0.0,,,,,,0.05605647399988811,,18.0,,,0.0014856460002192762,,,,,0.0010190160001002369,,0.0001,,13.22151906411666,,,0.001289008000640024,,18,0.16705074399942532,37,,,2.092965602874756,1.9350000002305023e-06,,,1696189975.0,,0.2269028230002732,57.0,,,,,
,,,968.564736,6.875000000000001,61.0,5.0,7829.0,0.05585500400047749,0.20000000000001705,,3594.539008,9.0,,15.0,26818.31424,356.0,8496.0,0.0010316529996998725,4248.408064,,2.654208,,28178.796544,0.0,0.001262346000657999,0.0,18,0.16724186400006147,38,0.0340000000001055,19219.0,,1.5969999367371202e-06,0.0,49.0,1696189975.0,0.0,,,0.0,0.0,0.0,3695.935488,0.016343833090419774
,,0.0,,,,,,,,19.0,,,0.0015026560004116618,,,,,,,0.0001,,13.221967929427198,,,,,18,,39,,,2.366741895675659,,,,1696189975.0,,0.22689512000124523,60.0,,,,,
,,0.0,,,,,,0.06934434000049805,,20.0,,,0.001363320000564272,,,,,0.0010990289993060287,,0.0001,,12.41835444207781,,,0.0012418229998729657,,19,0.16852735100019345,40,,,1.9053585529327393,2.0380002752062865e-06,,,1696189976.0,,0.24157790100070997,63.0,,,,,
,,0.0,,,,,,0.058242248999704316,,21.0,,,0.0017908130002979306,,,,,0.0010735900004874566,,0.0001,,13.117577115636598,,,0.0012275259996386012,,19,0.16636483799993584,41,,,2.3513240814208984,1.7550000848132186e-06,,,1696189976.0,,0.22870077100014896,66.0,,,,,
,,,968.564736,6.875000000000001,65.0,5.0,8359.0,,0.22400000000001796,,3594.571776,9.0,,15.0,26815.67232,389.0,9112.0,0.0011157540002386668,4253.741056,,2.654208,,28178.796544,0.0,,0.026574076624726044,19,,42,0.037000000000261934,20599.0,,,0.0,53.0,1696189976.0,0.08883539214195524,,,0.0,0.0,0.0,3695.935488,0.016328745568305283
,,0.0,,,,,,0.05523092900057236,,22.0,,,0.0015372810003100312,,,,,,,0.0001,,13.12760968675931,,,0.0013110619993312866,,20,0.16932922399973904,43,,,2.2479124069213867,1.7399997886968777e-06,,,1696189977.0,,0.22852598999998008,69.0,,,,,
,,0.0,,,,,,0.07117488400035654,,23.0,,,0.0016176720000657951,,,,,0.0011429260002842057,,0.0001,,12.431230639204378,,,0.0012506470002335845,,20,0.1661395139999513,44,,,2.150500774383545,2.0330007828306407e-06,,,1696189977.0,,0.24132767600167426,72.0,,,,,
,,,968.564736,8.25,66.0,5.25,8952.0,,0.2560000000000002,,3594.571776,9.125,,15.0,26811.838464,426.0,9765.0,0.0011623400005191797,4257.763328,,2.654208,,28178.796544,0.0,,0.038257468201764615,20,,45,0.07600000000002183,22065.0,,,0.0,88.0,1696189977.0,0.009596274860071844,,,0.0,0.0,0.0,3695.935488,0.2409678063334402
,,0.0,,,,,,0.06665145000079065,,24.0,,,0.001450075000320794,,,,,,,0.0001,,12.579586167054806,,,0.0011874820002049091,,21,0.1680286229993726,46,,,2.1263558864593506,1.6429994502686895e-06,,,1696189978.0,,0.2384816130006584,75.0,,,,,
,,0.0,,,,,,0.05060479900021164,,25.0,,,0.0018866050004362478,,,,,0.0010992889992849086,,0.0001,,13.430729942504346,,,0.001254919000530208,,21,0.1685207160007849,47,,,3.269477128982544,2.0229999790899456e-06,,,1696189978.0,,0.22336835100122698,78.0,,,,,
,,,968.564736,8.25,67.0,5.25,9482.0,,0.2680000000000007,,3594.571776,9.125,,15.1,26803.736576,445.0,10255.0,0.0011530850006238325,4265.668608,,2.654208,,28178.796544,0.0,,0.010982854820380925,21,,48,0.07799999999997453,23479.0,,,0.0,91.0,1696189978.0,0.07654499468051597,,,0.0,0.0,0.0,3695.935488,0.01225102759463354
,,0.0,,,,,,0.05161238900018361,,26.0,,,0.0014968410005167243,,,,,,,0.0001,,13.418056312395777,,,0.0011776910005210084,,22,0.1681376040005489,49,,,3.5494039058685303,1.716999577183742e-06,,,1696189979.0,,0.22357932700197125,81.0,,,,,
,,0.0,,,,,,0.06529466900065017,,27.0,,,0.0016273749997708364,,,,,0.001143907999903604,,0.0001,,12.686563099474013,,,0.0012553889991977485,,22,0.1671472839998387,50,,,2.1791868209838867,2.038999809883535e-06,,,1696189979.0,,0.23647066399917094,84.0,,,,,
,,,968.564736,8.25,69.0,5.25,9978.0,,0.28000000000000114,,3594.571776,9.125,,15.1,26797.334528,465.0,10722.0,0.0011149609999847598,4272.074752,,2.654208,,28178.796544,0.0,,0.0,22,,51,0.07999999999992724,24636.0,,,0.0,94.0,1696189979.0,0.0,,,0.0,0.0,0.0,3695.935488,0.01225008124037526
,,0.0,,,,,,0.05370781400051783,,28.0,,,0.0015478100003747386,,,,,,,0.0001,,13.158437464600562,,,0.0012495179998950334,,23,0.17036854900015896,52,,,2.378486156463623,1.9440003597992472e-06,,,1696189980.0,,0.22799059600129112,87.0,,,,,
,,0.0,,,,,,0.05210030799935339,,29.0,,,0.0016428939998149872,,,,,0.0010920739996436168,,0.0001,,13.407119744659296,,,0.0013396489994192962,,23,0.1675847509995947,53,,,2.851060152053833,2.031000803981442e-06,,,1696189980.0,,0.22376170699862996,90.0,,,,,
,,,968.564736,8.25,71.0,5.25,10518.0,,0.2920000000000016,,3594.571776,9.125,,15.1,26789.421056,485.0,11287.0,0.001079431999642111,4279.99232,,2.654208,,28178.796544,0.0,,0.010917856201234602,23,,54,0.0820000000003347,26033.0,,,0.0,97.0,1696189980.0,0.07313129384473106,,,0.0,0.0,0.0,3695.935488,0.01224969109380181
,,0.0,,,,,,0.058100577000004705,,30.0,,,0.001723304999359243,,,,,,,0.0001,,13.086485516275523,,,0.0012208409998493153,,24,0.1671180719995391,55,,,1.955939769744873,1.903999873320572e-06,,,1696189981.0,,0.2292441309982678,93.0,,,,,
,,0.0,,,,,,0.055471846000727965,,31.0,,,0.0015354400002252078,,,,,0.0011278940000920556,,0.0001,,13.210585679256347,,,0.0012178369997855043,,24,0.16773583999929542,56,,,2.510053873062134,1.7560005289851688e-06,,,1696189981.0,,0.22709061300065514,96.0,,,,,
,,,968.564736,8.25,72.0,5.25,10981.0,,0.30400000000000205,,3594.571776,9.125,,15.1,26780.971008,510.0,11852.0,0.0010961469997710083,4288.638976,,2.654208,,28178.796544,0.0,0.001200932999381621,0.0,24,0.16871299300055398,57,0.0840000000002874,27485.0,,,0.0,100.0,1696189981.0,0.0,,,0.0,0.0,0.0,3695.935488,0.01224665520521851
,,0.0,,,,,,0.06085790500037547,,32.0,,,0.001779145000000426,,,,,,,0.0001,,12.839748739483394,,,,,25,,58,,,2.2666516304016113,2.3089996830094606e-06,,,1696189982.0,,0.2336494319997655,99.0,,,,,
